,date,open,high,low,close,volume,average,barCount
0,2015-04-10,40.5,57.18,39.52,40.64,-1,-1.0,-1
1,2015-04-13,38.81,41.52,37.5,39.07,-1,-1.0,-1
2,2015-04-14,37.44,38.89,37.11,37.64,-1,-1.0,-1
3,2015-04-15,37.33,38.86,36.51,37.52,-1,-1.0,-1
4,2015-04-16,37.1,38.8,36.3,37.34,-1,-1.0,-1
5,2015-04-17,37.06,38.68,34.05,37.25,-1,-1.0,-1
6,2015-04-20,38.55,38.87,37.49,38.67,-1,-1.0,-1
7,2015-04-21,43.56,47.63,38.18,43.84,-1,-1.0,-1
8,2015-04-22,45.42,48.38,45.0,45.62,-1,-1.0,-1
9,2015-04-23,43.97,45.46,43.33,44.1,-1,-1.0,-1
10,2015-04-24,40.88,41.71,39.86,41.02,-1,-1.0,-1
11,2015-04-27,39.27,43.11,38.78,39.35,-1,-1.0,-1
12,2015-04-28,38.06,38.7,37.65,38.16,-1,-1.0,-1
13,2015-04-29,37.7,38.04,35.92,37.77,-1,-1.0,-1
14,2015-04-30,38.74,39.02,38.59,38.83,-1,-1.0,-1
15,2015-05-01,38.82,39.06,38.64,38.89,-1,-1.0,-1
16,2015-05-04,38.58,39.19,38.3,38.63,-1,-1.0,-1
17,2015-05-05,36.68,38.68,36.5,36.76,-1,-1.0,-1
18,2015-05-06,34.72,35.25,34.32,34.8,-1,-1.0,-1
19,2015-05-07,33.67,33.93,33.29,33.72,-1,-1.0,-1
20,2015-05-08,36.6,36.95,36.26,36.66,-1,-1.0,-1
21,2015-05-11,36.03,36.3,35.76,36.09,-1,-1.0,-1
22,2015-05-12,36.97,37.39,36.37,37.05,-1,-1.0,-1
23,2015-05-13,35.75,36.05,35.65,35.84,-1,-1.0,-1
24,2015-05-14,36.02,36.24,35.68,36.08,-1,-1.0,-1
25,2015-05-15,35.82,35.94,35.7,35.87,-1,-1.0,-1
26,2015-05-18,35.4,35.69,35.16,35.47,-1,-1.0,-1
27,2015-05-19,35.54,36.0,35.16,35.6,-1,-1.0,-1
28,2015-05-20,37.24,37.52,36.91,37.3,-1,-1.0,-1
29,2015-05-21,37.15,37.53,37.0,37.22,-1,-1.0,-1
30,2015-05-22,37.07,37.29,36.84,37.11,-1,-1.0,-1
31,2015-05-26,39.39,39.95,39.2,39.44,-1,-1.0,-1
32,2015-05-27,40.01,40.31,39.83,40.07,-1,-1.0,-1
33,2015-05-28,37.81,38.07,37.66,37.89,-1,-1.0,-1
34,2015-05-29,38.37,39.19,37.75,38.42,-1,-1.0,-1
35,2015-06-01,38.06,38.66,37.66,38.16,-1,-1.0,-1
36,2015-06-02,38.58,38.86,38.27,38.68,-1,-1.0,-1
37,2015-06-03,38.49,38.8,38.32,38.57,-1,-1.0,-1
38,2015-06-04,39.22,39.61,39.05,39.29,-1,-1.0,-1
39,2015-06-05,39.25,39.5,39.0,39.34,-1,-1.0,-1
40,2015-06-08,41.1,42.62,40.2,41.22,-1,-1.0,-1
41,2015-06-09,39.08,39.98,38.74,39.18,-1,-1.0,-1
42,2015-06-10,40.52,40.7,40.37,40.59,-1,-1.0,-1
43,2015-06-11,39.48,40.0,39.11,39.59,-1,-1.0,-1
44,2015-06-12,39.96,40.13,39.71,40.03,-1,-1.0,-1
45,2015-06-15,40.29,40.61,40.05,40.37,-1,-1.0,-1
46,2015-06-16,38.4,38.65,38.24,38.46,-1,-1.0,-1
47,2015-06-17,39.84,40.09,39.69,39.92,-1,-1.0,-1
48,2015-06-18,41.99,42.3,41.87,42.05,-1,-1.0,-1
49,2015-06-19,42.7,42.95,42.47,42.78,-1,-1.0,-1
50,2015-06-22,42.78,42.97,42.56,42.86,-1,-1.0,-1
51,2015-06-23,45.51,45.87,45.17,45.6,-1,-1.0,-1
52,2015-06-24,45.83,46.18,45.63,45.96,-1,-1.0,-1
53,2015-06-25,45.12,46.37,42.37,45.21,-1,-1.0,-1
54,2015-06-26,42.23,42.69,42.01,42.35,-1,-1.0,-1
55,2015-06-29,39.36,39.75,39.16,39.44,-1,-1.0,-1
56,2015-06-30,41.43,41.81,40.97,41.49,-1,-1.0,-1
57,2015-07-01,40.7,43.16,40.0,40.94,-1,-1.0,-1
58,2015-07-02,39.53,40.02,39.35,39.62,-1,-1.0,-1
59,2015-07-06,37.08,37.8,36.35,37.19,-1,-1.0,-1
60,2015-07-07,35.21,36.22,34.5,35.31,-1,-1.0,-1
61,2015-07-08,33.35,34.2,32.9,33.45,-1,-1.0,-1
62,2015-07-09,38.23,38.5,36.34,38.36,-1,-1.0,-1
63,2015-07-10,39.16,39.54,38.87,39.23,-1,-1.0,-1
64,2015-07-13,41.24,41.8,40.73,41.35,-1,-1.0,-1
65,2015-07-14,40.09,40.32,39.9,40.18,-1,-1.0,-1
66,2015-07-15,37.91,39.0,37.68,38.05,-1,-1.0,-1
67,2015-07-16,41.31,41.63,40.57,41.4,-1,-1.0,-1
68,2015-07-17,43.81,44.35,43.51,43.9,-1,-1.0,-1
69,2015-07-20,44.32,44.79,44.01,44.4,-1,-1.0,-1
70,2015-07-21,45.04,45.26,44.85,45.12,-1,-1.0,-1
71,2015-07-22,44.31,44.42,44.19,44.37,-1,-1.0,-1
72,2015-07-23,49.51,50.8,46.15,49.77,-1,-1.0,-1
73,2015-07-24,47.91,50.2,46.51,48.29,-1,-1.0,-1
74,2015-07-27,44.7,46.95,41.0,44.95,-1,-1.0,-1
75,2015-07-28,42.54,42.85,42.25,42.65,-1,-1.0,-1
76,2015-07-29,42.52,43.72,41.57,42.63,-1,-1.0,-1
77,2015-07-30,40.18,41.28,39.81,40.29,-1,-1.0,-1
78,2015-07-31,40.48,41.36,39.93,40.59,-1,-1.0,-1
79,2015-08-03,40.38,40.61,40.25,40.46,-1,-1.0,-1
80,2015-08-04,42.57,42.97,42.2,42.69,-1,-1.0,-1
81,2015-08-05,42.03,42.38,41.78,42.13,-1,-1.0,-1
82,2015-08-06,41.56,41.89,41.34,41.65,-1,-1.0,-1
83,2015-08-07,41.17,41.42,41.02,41.27,-1,-1.0,-1
84,2015-08-10,42.47,42.71,42.12,42.53,-1,-1.0,-1
85,2015-08-11,36.48,38.74,34.62,36.62,-1,-1.0,-1
86,2015-08-12,33.86,34.55,33.1,33.92,-1,-1.0,-1
87,2015-08-13,35.13,36.0,34.29,35.25,-1,-1.0,-1
88,2015-08-14,35.49,36.5,34.59,35.64,-1,-1.0,-1
89,2015-08-17,35.88,36.44,35.61,35.99,-1,-1.0,-1
90,2015-08-18,32.92,33.35,32.59,32.98,-1,-1.0,-1
91,2015-08-19,32.0,32.35,31.81,32.05,-1,-1.0,-1
92,2015-08-20,30.06,30.37,29.79,30.12,-1,-1.0,-1
93,2015-08-21,28.69,29.15,28.38,28.77,-1,-1.0,-1
94,2015-08-24,26.34,27.0,25.01,26.51,-1,-1.0,-1
95,2015-08-25,26.55,27.32,25.53,26.62,-1,-1.0,-1
96,2015-08-26,25.47,26.22,24.97,25.55,-1,-1.0,-1
97,2015-08-27,28.77,29.28,28.08,28.85,-1,-1.0,-1
