The return of ADR_underlying pairs trading for CEA_670 from China is 108.6635912243572%
Hyperparameters: Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 2.5
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 83.73969837742509%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 83.73969837742509%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 83.73969837742509%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 94.57798643728206%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3	Return: 94.57798643728206%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 94.57798643728206%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 84.42625046724527%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 84.42625046724527%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 84.42625046724527%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 73.93545970483677%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 73.93545970483677%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 73.93545970483677%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 68.31356096254056%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 68.31356096254056%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 68.31356096254056%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 60.08808336029085%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 60.08808336029085%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 60.08808336029085%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 42.01626020588126%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 42.01626020588126%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 42.01626020588126%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 41.991595370584925%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3	Return: 41.991595370584925%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 41.991595370584925%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 36.548393063531144%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 36.548393063531144%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 36.548393063531144%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 88.29418457104504%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 88.29418457104504%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 88.29418457104504%
