(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 1, -0.5, 3.5), Return: 0.04%, Hit Ratio: 57.3%, Max Drawdown: 0.02%
(30, 1, -0.5, 2.5): Return: -0.01%, Hit Ratio: 51.09%, Max Drawdown: 0.03%
(30, 1, -0.5, 3): Return: -0.0%, Hit Ratio: 51.06%, Max Drawdown: 0.04%
(30, 1, -0.5, 3.5): Return: -0.0%, Hit Ratio: 51.06%, Max Drawdown: 0.04%
(30, 1, 0, 2.5): Return: 0.01%, Hit Ratio: 47.22%, Max Drawdown: 0.02%
(30, 1, 0, 3): Return: 0.02%, Hit Ratio: 49.55%, Max Drawdown: 0.03%
(30, 1, 0, 3.5): Return: 0.02%, Hit Ratio: 49.55%, Max Drawdown: 0.03%
(30, 1, 0.5, 2.5): Return: -0.02%, Hit Ratio: 44.74%, Max Drawdown: 0.03%
(30, 1, 0.5, 3): Return: -0.01%, Hit Ratio: 46.15%, Max Drawdown: 0.04%
(30, 1, 0.5, 3.5): Return: -0.01%, Hit Ratio: 46.15%, Max Drawdown: 0.04%
(30, 1.5, -0.5, 2.5): Return: 0.01%, Hit Ratio: 64.1%, Max Drawdown: 0.01%
(30, 1.5, -0.5, 3): Return: 0.01%, Hit Ratio: 59.09%, Max Drawdown: 0.03%
(30, 1.5, -0.5, 3.5): Return: 0.01%, Hit Ratio: 59.09%, Max Drawdown: 0.03%
(30, 1.5, 0, 2.5): Return: 0.02%, Hit Ratio: 51.22%, Max Drawdown: 0.02%
(30, 1.5, 0, 3): Return: 0.02%, Hit Ratio: 53.19%, Max Drawdown: 0.03%
(30, 1.5, 0, 3.5): Return: 0.02%, Hit Ratio: 53.19%, Max Drawdown: 0.03%
(30, 1.5, 0.5, 2.5): Return: 0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(30, 1.5, 0.5, 3): Return: 0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(30, 1.5, 0.5, 3.5): Return: 0.0%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(30, 2, -0.5, 2.5): Return: 0.0%, Hit Ratio: 64.29%, Max Drawdown: 0.01%
(30, 2, -0.5, 3): Return: -0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(30, 2, -0.5, 3.5): Return: -0.01%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(30, 2, 0, 2.5): Return: 0.01%, Hit Ratio: 66.67%, Max Drawdown: 0.0%
(30, 2, 0, 3): Return: 0.01%, Hit Ratio: 68.18%, Max Drawdown: 0.02%
(30, 2, 0, 3.5): Return: 0.01%, Hit Ratio: 68.18%, Max Drawdown: 0.02%
(30, 2, 0.5, 2.5): Return: 0.01%, Hit Ratio: 53.33%, Max Drawdown: 0.0%
