(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 1.6, -0.7, 3.4), Return: 0.28%, Hit Ratio: 63.16%, Max Drawdown: 0.05%
(30, 1.6, -0.7, 3.4): Return: 0.28%, Hit Ratio: 63.16%, Max Drawdown: 0.05%
(30, 1.6, -0.7, 3.5): Return: 0.28%, Hit Ratio: 63.16%, Max Drawdown: 0.05%
(30, 1.6, -0.7, 3.6): Return: 0.28%, Hit Ratio: 63.16%, Max Drawdown: 0.05%
(30, 1.6, -0.6, 3.4): Return: 0.28%, Hit Ratio: 66.1%, Max Drawdown: 0.05%
(30, 1.6, -0.6, 3.5): Return: 0.28%, Hit Ratio: 66.1%, Max Drawdown: 0.05%
(30, 1.6, -0.6, 3.6): Return: 0.28%, Hit Ratio: 66.1%, Max Drawdown: 0.05%
(30, 1.6, -0.6, 3.7): Return: 0.28%, Hit Ratio: 66.1%, Max Drawdown: 0.05%
(30, 1.6, -0.7, 3.7): Return: 0.27%, Hit Ratio: 63.16%, Max Drawdown: 0.05%
(30, 1.3, -0.7, 3.4): Return: 0.26%, Hit Ratio: 63.75%, Max Drawdown: 0.1%
(30, 1.3, -0.7, 3.5): Return: 0.26%, Hit Ratio: 63.75%, Max Drawdown: 0.1%
(30, 1.3, -0.7, 3.6): Return: 0.26%, Hit Ratio: 63.75%, Max Drawdown: 0.1%
(30, 1.3, -0.7, 3.7): Return: 0.26%, Hit Ratio: 63.75%, Max Drawdown: 0.1%
(30, 1.6, -0.7, 3.3): Return: 0.26%, Hit Ratio: 61.4%, Max Drawdown: 0.05%
(30, 1.6, -0.6, 3.3): Return: 0.26%, Hit Ratio: 64.41%, Max Drawdown: 0.05%
(20, 1.5, -0.4, 3.3): Return: 0.25%, Hit Ratio: 60.81%, Max Drawdown: 0.04%
(20, 1.5, -0.4, 3.4): Return: 0.25%, Hit Ratio: 60.81%, Max Drawdown: 0.04%
(20, 1.5, -0.4, 3.6): Return: 0.25%, Hit Ratio: 60.53%, Max Drawdown: 0.04%
(20, 1.5, -0.4, 3.7): Return: 0.25%, Hit Ratio: 60.53%, Max Drawdown: 0.04%
(20, 1.6, -0.4, 3.3): Return: 0.25%, Hit Ratio: 59.09%, Max Drawdown: 0.04%
(20, 1.6, -0.4, 3.4): Return: 0.25%, Hit Ratio: 59.09%, Max Drawdown: 0.04%
(20, 1.6, -0.4, 3.5): Return: 0.25%, Hit Ratio: 57.35%, Max Drawdown: 0.04%
(20, 1.6, -0.4, 3.6): Return: 0.25%, Hit Ratio: 58.82%, Max Drawdown: 0.04%
(20, 1.6, -0.4, 3.7): Return: 0.25%, Hit Ratio: 58.82%, Max Drawdown: 0.04%
(30, 1.5, -0.7, 3.4): Return: 0.25%, Hit Ratio: 65.08%, Max Drawdown: 0.05%
(30, 1.5, -0.7, 3.5): Return: 0.25%, Hit Ratio: 65.08%, Max Drawdown: 0.05%
(30, 1.5, -0.7, 3.6): Return: 0.25%, Hit Ratio: 65.08%, Max Drawdown: 0.05%
(30, 1.5, -0.6, 3.4): Return: 0.25%, Hit Ratio: 66.15%, Max Drawdown: 0.05%
(30, 1.5, -0.6, 3.5): Return: 0.25%, Hit Ratio: 66.15%, Max Drawdown: 0.05%
(30, 1.5, -0.6, 3.6): Return: 0.25%, Hit Ratio: 66.15%, Max Drawdown: 0.05%
(30, 1.5, -0.6, 3.7): Return: 0.25%, Hit Ratio: 66.15%, Max Drawdown: 0.05%
(30, 1.6, -0.5, 3.4): Return: 0.25%, Hit Ratio: 63.93%, Max Drawdown: 0.05%
(30, 1.6, -0.5, 3.5): Return: 0.25%, Hit Ratio: 63.93%, Max Drawdown: 0.05%
(30, 1.6, -0.5, 3.6): Return: 0.25%, Hit Ratio: 63.93%, Max Drawdown: 0.05%
(30, 1.6, -0.5, 3.7): Return: 0.25%, Hit Ratio: 63.93%, Max Drawdown: 0.05%
(30, 1.6, -0.3, 3.4): Return: 0.25%, Hit Ratio: 64.06%, Max Drawdown: 0.03%
(30, 1.6, -0.3, 3.5): Return: 0.25%, Hit Ratio: 64.06%, Max Drawdown: 0.03%
(30, 1.6, -0.3, 3.6): Return: 0.25%, Hit Ratio: 64.06%, Max Drawdown: 0.03%
(30, 1.6, -0.3, 3.7): Return: 0.25%, Hit Ratio: 64.06%, Max Drawdown: 0.03%
(20, 1.5, -0.5, 3.3): Return: 0.24%, Hit Ratio: 61.11%, Max Drawdown: 0.04%
(20, 1.5, -0.5, 3.4): Return: 0.24%, Hit Ratio: 61.11%, Max Drawdown: 0.04%
(20, 1.5, -0.5, 3.5): Return: 0.24%, Hit Ratio: 59.46%, Max Drawdown: 0.04%
(20, 1.5, -0.5, 3.6): Return: 0.24%, Hit Ratio: 60.81%, Max Drawdown: 0.04%
(20, 1.5, -0.5, 3.7): Return: 0.24%, Hit Ratio: 60.81%, Max Drawdown: 0.04%
(20, 1.5, -0.4, 3.5): Return: 0.24%, Hit Ratio: 59.21%, Max Drawdown: 0.04%
(30, 1.3, -0.7, 3.3): Return: 0.24%, Hit Ratio: 63.75%, Max Drawdown: 0.1%
(30, 1.5, -0.7, 3.7): Return: 0.24%, Hit Ratio: 65.08%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 3.4): Return: 0.24%, Hit Ratio: 64.71%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 3.5): Return: 0.24%, Hit Ratio: 64.71%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 3.6): Return: 0.24%, Hit Ratio: 64.71%, Max Drawdown: 0.05%
(30, 1.6, -0.5, 3.3): Return: 0.24%, Hit Ratio: 63.93%, Max Drawdown: 0.05%
(30, 1.6, -0.3, 3.3): Return: 0.24%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(40, 1.3, -0.7, 3.3): Return: 0.24%, Hit Ratio: 63.51%, Max Drawdown: 0.06%
(40, 1.3, -0.7, 3.4): Return: 0.24%, Hit Ratio: 63.51%, Max Drawdown: 0.06%
(40, 1.3, -0.7, 3.5): Return: 0.24%, Hit Ratio: 62.16%, Max Drawdown: 0.06%
(40, 1.3, -0.7, 3.6): Return: 0.24%, Hit Ratio: 62.16%, Max Drawdown: 0.06%
(40, 1.3, -0.7, 3.7): Return: 0.24%, Hit Ratio: 62.16%, Max Drawdown: 0.06%
(20, 1.5, -0.6, 3.3): Return: 0.23%, Hit Ratio: 62.32%, Max Drawdown: 0.05%
(20, 1.5, -0.6, 3.4): Return: 0.23%, Hit Ratio: 62.32%, Max Drawdown: 0.05%
(20, 1.5, -0.6, 3.5): Return: 0.23%, Hit Ratio: 61.97%, Max Drawdown: 0.05%
(20, 1.5, -0.6, 3.6): Return: 0.23%, Hit Ratio: 63.38%, Max Drawdown: 0.05%
(20, 1.5, -0.6, 3.7): Return: 0.23%, Hit Ratio: 63.38%, Max Drawdown: 0.05%
(20, 1.6, -0.3, 3.3): Return: 0.23%, Hit Ratio: 62.12%, Max Drawdown: 0.04%
(20, 1.6, -0.3, 3.4): Return: 0.23%, Hit Ratio: 62.12%, Max Drawdown: 0.04%
(20, 1.6, -0.3, 3.5): Return: 0.23%, Hit Ratio: 60.29%, Max Drawdown: 0.04%
(20, 1.6, -0.3, 3.6): Return: 0.23%, Hit Ratio: 61.76%, Max Drawdown: 0.04%
(20, 1.6, -0.3, 3.7): Return: 0.23%, Hit Ratio: 61.76%, Max Drawdown: 0.04%
(30, 1.5, -0.7, 3.3): Return: 0.23%, Hit Ratio: 63.49%, Max Drawdown: 0.05%
(30, 1.5, -0.6, 3.3): Return: 0.23%, Hit Ratio: 64.62%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 3.3): Return: 0.23%, Hit Ratio: 64.71%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 3.7): Return: 0.23%, Hit Ratio: 64.71%, Max Drawdown: 0.05%
(30, 1.5, -0.4, 3.4): Return: 0.23%, Hit Ratio: 63.38%, Max Drawdown: 0.04%
(30, 1.5, -0.4, 3.5): Return: 0.23%, Hit Ratio: 63.38%, Max Drawdown: 0.04%
(30, 1.5, -0.4, 3.6): Return: 0.23%, Hit Ratio: 63.38%, Max Drawdown: 0.04%
(30, 1.6, -0.4, 3.4): Return: 0.23%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(30, 1.6, -0.4, 3.5): Return: 0.23%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(30, 1.6, -0.4, 3.6): Return: 0.23%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(30, 1.6, -0.4, 3.7): Return: 0.23%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(40, 1.4, -0.7, 3.3): Return: 0.23%, Hit Ratio: 60.94%, Max Drawdown: 0.06%
(40, 1.4, -0.7, 3.4): Return: 0.23%, Hit Ratio: 60.94%, Max Drawdown: 0.06%
(40, 1.4, -0.7, 3.5): Return: 0.23%, Hit Ratio: 59.38%, Max Drawdown: 0.06%
(40, 1.4, -0.7, 3.6): Return: 0.23%, Hit Ratio: 59.38%, Max Drawdown: 0.06%
(40, 1.4, -0.7, 3.7): Return: 0.23%, Hit Ratio: 59.38%, Max Drawdown: 0.06%
(20, 1.5, -0.7, 3.6): Return: 0.22%, Hit Ratio: 64.71%, Max Drawdown: 0.06%
(20, 1.5, -0.7, 3.7): Return: 0.22%, Hit Ratio: 64.71%, Max Drawdown: 0.06%
(20, 1.5, -0.3, 3.3): Return: 0.22%, Hit Ratio: 60.81%, Max Drawdown: 0.04%
(20, 1.5, -0.3, 3.4): Return: 0.22%, Hit Ratio: 60.81%, Max Drawdown: 0.04%
(20, 1.5, -0.3, 3.5): Return: 0.22%, Hit Ratio: 59.21%, Max Drawdown: 0.04%
(20, 1.5, -0.3, 3.6): Return: 0.22%, Hit Ratio: 60.53%, Max Drawdown: 0.04%
(20, 1.5, -0.3, 3.7): Return: 0.22%, Hit Ratio: 60.53%, Max Drawdown: 0.04%
(20, 1.6, -0.5, 3.3): Return: 0.22%, Hit Ratio: 59.09%, Max Drawdown: 0.04%
(20, 1.6, -0.5, 3.4): Return: 0.22%, Hit Ratio: 59.09%, Max Drawdown: 0.04%
(20, 1.6, -0.5, 3.5): Return: 0.22%, Hit Ratio: 57.35%, Max Drawdown: 0.04%
(20, 1.6, -0.5, 3.6): Return: 0.22%, Hit Ratio: 58.82%, Max Drawdown: 0.04%
(20, 1.6, -0.5, 3.7): Return: 0.22%, Hit Ratio: 58.82%, Max Drawdown: 0.04%
(30, 1.5, -0.4, 3.3): Return: 0.22%, Hit Ratio: 61.97%, Max Drawdown: 0.04%
(30, 1.5, -0.4, 3.7): Return: 0.22%, Hit Ratio: 63.38%, Max Drawdown: 0.04%
(30, 1.5, -0.3, 3.4): Return: 0.22%, Hit Ratio: 64.79%, Max Drawdown: 0.04%
(30, 1.5, -0.3, 3.5): Return: 0.22%, Hit Ratio: 64.79%, Max Drawdown: 0.04%
(30, 1.5, -0.3, 3.6): Return: 0.22%, Hit Ratio: 64.79%, Max Drawdown: 0.04%
(30, 1.5, -0.3, 3.7): Return: 0.22%, Hit Ratio: 64.79%, Max Drawdown: 0.04%
(30, 1.6, -0.4, 3.3): Return: 0.22%, Hit Ratio: 60.94%, Max Drawdown: 0.03%
(40, 1.5, -0.7, 3.3): Return: 0.22%, Hit Ratio: 59.02%, Max Drawdown: 0.06%
(40, 1.5, -0.7, 3.4): Return: 0.22%, Hit Ratio: 59.02%, Max Drawdown: 0.06%
(40, 1.5, -0.7, 3.5): Return: 0.22%, Hit Ratio: 57.38%, Max Drawdown: 0.06%
(40, 1.5, -0.7, 3.6): Return: 0.22%, Hit Ratio: 57.38%, Max Drawdown: 0.06%
(40, 1.5, -0.7, 3.7): Return: 0.22%, Hit Ratio: 57.38%, Max Drawdown: 0.06%
(20, 1.5, -0.7, 3.3): Return: 0.21%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(20, 1.5, -0.7, 3.4): Return: 0.21%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(20, 1.5, -0.7, 3.5): Return: 0.21%, Hit Ratio: 63.24%, Max Drawdown: 0.06%
(30, 1.3, -0.6, 3.4): Return: 0.21%, Hit Ratio: 60.24%, Max Drawdown: 0.07%
(30, 1.3, -0.6, 3.5): Return: 0.21%, Hit Ratio: 60.24%, Max Drawdown: 0.07%
(30, 1.3, -0.6, 3.6): Return: 0.21%, Hit Ratio: 60.24%, Max Drawdown: 0.07%
(30, 1.3, -0.5, 3.4): Return: 0.21%, Hit Ratio: 60.92%, Max Drawdown: 0.07%
(30, 1.3, -0.5, 3.5): Return: 0.21%, Hit Ratio: 60.92%, Max Drawdown: 0.07%
(30, 1.3, -0.5, 3.6): Return: 0.21%, Hit Ratio: 60.92%, Max Drawdown: 0.07%
(30, 1.4, -0.7, 3.4): Return: 0.21%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(30, 1.4, -0.7, 3.5): Return: 0.21%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(30, 1.4, -0.7, 3.6): Return: 0.21%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(30, 1.4, -0.7, 3.7): Return: 0.21%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(30, 1.5, -0.3, 3.3): Return: 0.21%, Hit Ratio: 63.38%, Max Drawdown: 0.04%
(30, 1.3, -0.6, 3.7): Return: 0.2%, Hit Ratio: 60.24%, Max Drawdown: 0.07%
(30, 1.3, -0.5, 3.7): Return: 0.2%, Hit Ratio: 60.92%, Max Drawdown: 0.07%
(20, 1.4, -0.7, 3.3): Return: 0.19%, Hit Ratio: 58.23%, Max Drawdown: 0.07%
(20, 1.4, -0.7, 3.4): Return: 0.19%, Hit Ratio: 58.23%, Max Drawdown: 0.07%
(20, 1.4, -0.7, 3.5): Return: 0.19%, Hit Ratio: 58.02%, Max Drawdown: 0.07%
(20, 1.4, -0.7, 3.6): Return: 0.19%, Hit Ratio: 59.26%, Max Drawdown: 0.07%
(20, 1.4, -0.7, 3.7): Return: 0.19%, Hit Ratio: 59.26%, Max Drawdown: 0.07%
(20, 1.6, -0.6, 3.3): Return: 0.19%, Hit Ratio: 56.45%, Max Drawdown: 0.06%
(20, 1.6, -0.6, 3.4): Return: 0.19%, Hit Ratio: 56.45%, Max Drawdown: 0.06%
(20, 1.6, -0.6, 3.5): Return: 0.19%, Hit Ratio: 56.25%, Max Drawdown: 0.06%
(20, 1.6, -0.6, 3.6): Return: 0.19%, Hit Ratio: 57.81%, Max Drawdown: 0.05%
(20, 1.6, -0.6, 3.7): Return: 0.19%, Hit Ratio: 57.81%, Max Drawdown: 0.05%
(20, 1.7, -0.4, 3.3): Return: 0.19%, Hit Ratio: 58.93%, Max Drawdown: 0.04%
(20, 1.7, -0.4, 3.4): Return: 0.19%, Hit Ratio: 58.93%, Max Drawdown: 0.04%
(20, 1.7, -0.4, 3.6): Return: 0.19%, Hit Ratio: 58.62%, Max Drawdown: 0.04%
(20, 1.7, -0.4, 3.7): Return: 0.19%, Hit Ratio: 58.62%, Max Drawdown: 0.04%
(30, 1.3, -0.5, 3.3): Return: 0.19%, Hit Ratio: 60.92%, Max Drawdown: 0.07%
(30, 1.4, -0.7, 3.3): Return: 0.19%, Hit Ratio: 62.5%, Max Drawdown: 0.06%
(30, 1.7, -0.7, 3.4): Return: 0.19%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(30, 1.7, -0.7, 3.5): Return: 0.19%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(30, 1.7, -0.7, 3.6): Return: 0.19%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(30, 1.7, -0.6, 3.4): Return: 0.19%, Hit Ratio: 66.67%, Max Drawdown: 0.03%
(30, 1.7, -0.6, 3.5): Return: 0.19%, Hit Ratio: 66.67%, Max Drawdown: 0.03%
(30, 1.7, -0.6, 3.6): Return: 0.19%, Hit Ratio: 66.67%, Max Drawdown: 0.03%
(30, 1.7, -0.6, 3.7): Return: 0.19%, Hit Ratio: 66.67%, Max Drawdown: 0.03%
(20, 1.6, -0.7, 3.6): Return: 0.18%, Hit Ratio: 59.68%, Max Drawdown: 0.06%
(20, 1.6, -0.7, 3.7): Return: 0.18%, Hit Ratio: 59.68%, Max Drawdown: 0.06%
(20, 1.7, -0.4, 3.5): Return: 0.18%, Hit Ratio: 56.9%, Max Drawdown: 0.04%
(35, 1.3, -0.7, 3.4): Return: 0.18%, Hit Ratio: 60.26%, Max Drawdown: 0.09%
(35, 1.3, -0.7, 3.5): Return: 0.18%, Hit Ratio: 60.26%, Max Drawdown: 0.09%
(35, 1.3, -0.7, 3.6): Return: 0.18%, Hit Ratio: 60.26%, Max Drawdown: 0.09%
(35, 1.3, -0.7, 3.7): Return: 0.18%, Hit Ratio: 60.26%, Max Drawdown: 0.09%
(35, 1.3, -0.6, 3.7): Return: 0.18%, Hit Ratio: 60.98%, Max Drawdown: 0.06%
(35, 1.3, -0.5, 3.7): Return: 0.18%, Hit Ratio: 60.71%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.4): Return: 0.18%, Hit Ratio: 60.67%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.5): Return: 0.18%, Hit Ratio: 60.67%, Max Drawdown: 0.06%
(30, 1.3, -0.6, 3.3): Return: 0.18%, Hit Ratio: 60.24%, Max Drawdown: 0.07%
(30, 1.3, -0.4, 3.4): Return: 0.18%, Hit Ratio: 60.22%, Max Drawdown: 0.07%
(30, 1.3, -0.4, 3.5): Return: 0.18%, Hit Ratio: 60.22%, Max Drawdown: 0.07%
(30, 1.3, -0.4, 3.6): Return: 0.18%, Hit Ratio: 60.22%, Max Drawdown: 0.07%
(30, 1.3, -0.4, 3.7): Return: 0.18%, Hit Ratio: 60.22%, Max Drawdown: 0.07%
(30, 1.7, -0.7, 3.7): Return: 0.18%, Hit Ratio: 62.5%, Max Drawdown: 0.03%
(35, 1.3, -0.7, 3.4): Return: 0.18%, Hit Ratio: 60.26%, Max Drawdown: 0.09%
(35, 1.3, -0.7, 3.5): Return: 0.18%, Hit Ratio: 60.26%, Max Drawdown: 0.09%
(35, 1.3, -0.7, 3.6): Return: 0.18%, Hit Ratio: 60.26%, Max Drawdown: 0.09%
(35, 1.3, -0.7, 3.7): Return: 0.18%, Hit Ratio: 60.26%, Max Drawdown: 0.09%
(35, 1.3, -0.6, 3.7): Return: 0.18%, Hit Ratio: 60.98%, Max Drawdown: 0.06%
(35, 1.3, -0.5, 3.7): Return: 0.18%, Hit Ratio: 60.71%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.4): Return: 0.18%, Hit Ratio: 60.67%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.5): Return: 0.18%, Hit Ratio: 60.67%, Max Drawdown: 0.06%
(20, 1.6, -0.7, 3.3): Return: 0.17%, Hit Ratio: 58.33%, Max Drawdown: 0.06%
(20, 1.6, -0.7, 3.4): Return: 0.17%, Hit Ratio: 58.33%, Max Drawdown: 0.06%
(20, 1.6, -0.7, 3.5): Return: 0.17%, Hit Ratio: 58.06%, Max Drawdown: 0.06%
(35, 1.3, -0.7, 3.3): Return: 0.17%, Hit Ratio: 61.54%, Max Drawdown: 0.09%
(35, 1.3, -0.6, 3.3): Return: 0.17%, Hit Ratio: 60.98%, Max Drawdown: 0.06%
(35, 1.3, -0.6, 3.4): Return: 0.17%, Hit Ratio: 59.76%, Max Drawdown: 0.06%
(35, 1.3, -0.6, 3.5): Return: 0.17%, Hit Ratio: 59.76%, Max Drawdown: 0.06%
(35, 1.3, -0.6, 3.6): Return: 0.17%, Hit Ratio: 59.76%, Max Drawdown: 0.06%
(35, 1.3, -0.5, 3.4): Return: 0.17%, Hit Ratio: 59.52%, Max Drawdown: 0.06%
(35, 1.3, -0.5, 3.5): Return: 0.17%, Hit Ratio: 59.52%, Max Drawdown: 0.06%
(35, 1.3, -0.5, 3.6): Return: 0.17%, Hit Ratio: 59.52%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.3): Return: 0.17%, Hit Ratio: 61.8%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.6): Return: 0.17%, Hit Ratio: 60.67%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.7): Return: 0.17%, Hit Ratio: 60.67%, Max Drawdown: 0.06%
(30, 1.3, -0.4, 3.3): Return: 0.17%, Hit Ratio: 59.14%, Max Drawdown: 0.07%
(30, 1.3, -0.3, 3.4): Return: 0.17%, Hit Ratio: 59.57%, Max Drawdown: 0.07%
(30, 1.3, -0.3, 3.5): Return: 0.17%, Hit Ratio: 59.57%, Max Drawdown: 0.07%
(30, 1.3, -0.3, 3.6): Return: 0.17%, Hit Ratio: 59.57%, Max Drawdown: 0.07%
(30, 1.4, -0.5, 3.4): Return: 0.17%, Hit Ratio: 60.26%, Max Drawdown: 0.06%
(30, 1.4, -0.5, 3.5): Return: 0.17%, Hit Ratio: 60.26%, Max Drawdown: 0.06%
(30, 1.4, -0.5, 3.6): Return: 0.17%, Hit Ratio: 60.26%, Max Drawdown: 0.06%
(30, 1.7, -0.7, 3.3): Return: 0.17%, Hit Ratio: 60.42%, Max Drawdown: 0.03%
(30, 1.7, -0.6, 3.3): Return: 0.17%, Hit Ratio: 64.58%, Max Drawdown: 0.03%
(30, 1.7, -0.4, 3.4): Return: 0.17%, Hit Ratio: 63.46%, Max Drawdown: 0.03%
(30, 1.7, -0.4, 3.5): Return: 0.17%, Hit Ratio: 63.46%, Max Drawdown: 0.03%
(30, 1.7, -0.4, 3.6): Return: 0.17%, Hit Ratio: 63.46%, Max Drawdown: 0.03%
(30, 1.7, -0.3, 3.4): Return: 0.17%, Hit Ratio: 63.46%, Max Drawdown: 0.04%
(30, 1.7, -0.3, 3.5): Return: 0.17%, Hit Ratio: 63.46%, Max Drawdown: 0.04%
(30, 1.7, -0.3, 3.6): Return: 0.17%, Hit Ratio: 63.46%, Max Drawdown: 0.04%
(35, 1.3, -0.7, 3.3): Return: 0.17%, Hit Ratio: 61.54%, Max Drawdown: 0.09%
(35, 1.3, -0.6, 3.3): Return: 0.17%, Hit Ratio: 60.98%, Max Drawdown: 0.06%
(35, 1.3, -0.6, 3.4): Return: 0.17%, Hit Ratio: 59.76%, Max Drawdown: 0.06%
(35, 1.3, -0.6, 3.5): Return: 0.17%, Hit Ratio: 59.76%, Max Drawdown: 0.06%
(35, 1.3, -0.6, 3.6): Return: 0.17%, Hit Ratio: 59.76%, Max Drawdown: 0.06%
(35, 1.3, -0.5, 3.4): Return: 0.17%, Hit Ratio: 59.52%, Max Drawdown: 0.06%
(35, 1.3, -0.5, 3.5): Return: 0.17%, Hit Ratio: 59.52%, Max Drawdown: 0.06%
(35, 1.3, -0.5, 3.6): Return: 0.17%, Hit Ratio: 59.52%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.3): Return: 0.17%, Hit Ratio: 61.8%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.6): Return: 0.17%, Hit Ratio: 60.67%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.7): Return: 0.17%, Hit Ratio: 60.67%, Max Drawdown: 0.06%
(40, 1.3, -0.6, 3.3): Return: 0.17%, Hit Ratio: 59.21%, Max Drawdown: 0.06%
(40, 1.3, -0.6, 3.4): Return: 0.17%, Hit Ratio: 59.21%, Max Drawdown: 0.06%
(40, 1.3, -0.6, 3.5): Return: 0.17%, Hit Ratio: 57.89%, Max Drawdown: 0.06%
(40, 1.3, -0.6, 3.6): Return: 0.17%, Hit Ratio: 57.89%, Max Drawdown: 0.06%
(40, 1.3, -0.6, 3.7): Return: 0.17%, Hit Ratio: 57.89%, Max Drawdown: 0.06%
(40, 1.3, -0.5, 3.3): Return: 0.17%, Hit Ratio: 58.75%, Max Drawdown: 0.06%
(40, 1.3, -0.5, 3.4): Return: 0.17%, Hit Ratio: 58.75%, Max Drawdown: 0.06%
(20, 1.7, -0.3, 3.3): Return: 0.16%, Hit Ratio: 60.71%, Max Drawdown: 0.04%
(20, 1.7, -0.3, 3.4): Return: 0.16%, Hit Ratio: 60.71%, Max Drawdown: 0.04%
(20, 1.7, -0.3, 3.5): Return: 0.16%, Hit Ratio: 58.62%, Max Drawdown: 0.04%
(20, 1.7, -0.3, 3.6): Return: 0.16%, Hit Ratio: 60.34%, Max Drawdown: 0.04%
(20, 1.7, -0.3, 3.7): Return: 0.16%, Hit Ratio: 60.34%, Max Drawdown: 0.04%
(35, 1.3, -0.5, 3.3): Return: 0.16%, Hit Ratio: 60.71%, Max Drawdown: 0.06%
(30, 1.3, -0.3, 3.7): Return: 0.16%, Hit Ratio: 59.57%, Max Drawdown: 0.07%
(30, 1.4, -0.6, 3.4): Return: 0.16%, Hit Ratio: 60.81%, Max Drawdown: 0.06%
(30, 1.4, -0.6, 3.5): Return: 0.16%, Hit Ratio: 60.81%, Max Drawdown: 0.06%
(30, 1.4, -0.6, 3.6): Return: 0.16%, Hit Ratio: 60.81%, Max Drawdown: 0.06%
(30, 1.4, -0.6, 3.7): Return: 0.16%, Hit Ratio: 60.81%, Max Drawdown: 0.06%
(30, 1.4, -0.5, 3.7): Return: 0.16%, Hit Ratio: 60.26%, Max Drawdown: 0.06%
(30, 1.4, -0.4, 3.4): Return: 0.16%, Hit Ratio: 60.24%, Max Drawdown: 0.06%
(30, 1.4, -0.4, 3.5): Return: 0.16%, Hit Ratio: 60.24%, Max Drawdown: 0.06%
(30, 1.4, -0.4, 3.6): Return: 0.16%, Hit Ratio: 60.24%, Max Drawdown: 0.06%
(30, 1.7, -0.5, 3.4): Return: 0.16%, Hit Ratio: 63.27%, Max Drawdown: 0.03%
(30, 1.7, -0.5, 3.5): Return: 0.16%, Hit Ratio: 63.27%, Max Drawdown: 0.03%
(30, 1.7, -0.5, 3.6): Return: 0.16%, Hit Ratio: 63.27%, Max Drawdown: 0.03%
(30, 1.7, -0.4, 3.7): Return: 0.16%, Hit Ratio: 63.46%, Max Drawdown: 0.03%
(30, 1.7, -0.3, 3.7): Return: 0.16%, Hit Ratio: 63.46%, Max Drawdown: 0.04%
(35, 1.3, -0.5, 3.3): Return: 0.16%, Hit Ratio: 60.71%, Max Drawdown: 0.06%
(40, 1.3, -0.5, 3.5): Return: 0.16%, Hit Ratio: 57.5%, Max Drawdown: 0.06%
(40, 1.3, -0.5, 3.6): Return: 0.16%, Hit Ratio: 57.5%, Max Drawdown: 0.06%
(40, 1.3, -0.5, 3.7): Return: 0.16%, Hit Ratio: 57.5%, Max Drawdown: 0.06%
(20, 1.3, -0.7, 3.6): Return: 0.15%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
