(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (105, 0.8, 0.3, 2.8), Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 2.8): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 2.9): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 3.0): Return: 0.14%, Hit Ratio: 62.13%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 3.1): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 3.2): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 2.8): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 2.9): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 3.0): Return: 0.14%, Hit Ratio: 62.13%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 3.1): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(105, 0.8, 0.3, 3.2): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
(105, 0.8, 0.4, 2.8): Return: 0.13%, Hit Ratio: 59.65%, Max Drawdown: 0.03%
(105, 0.8, 0.4, 2.9): Return: 0.13%, Hit Ratio: 59.65%, Max Drawdown: 0.03%
(105, 0.8, 0.4, 3.0): Return: 0.13%, Hit Ratio: 59.3%, Max Drawdown: 0.03%
(105, 0.8, 0.4, 3.1): Return: 0.13%, Hit Ratio: 60.23%, Max Drawdown: 0.03%
(105, 0.8, 0.4, 3.2): Return: 0.13%, Hit Ratio: 60.23%, Max Drawdown: 0.03%
(100, 0.8, 0.3, 2.8): Return: 0.13%, Hit Ratio: 60.48%, Max Drawdown: 0.02%
(100, 0.8, 0.3, 2.9): Return: 0.13%, Hit Ratio: 60.48%, Max Drawdown: 0.02%
(100, 0.8, 0.3, 3.0): Return: 0.13%, Hit Ratio: 60.12%, Max Drawdown: 0.02%
(100, 0.8, 0.3, 3.1): Return: 0.13%, Hit Ratio: 60.12%, Max Drawdown: 0.02%
(100, 0.8, 0.3, 3.2): Return: 0.13%, Hit Ratio: 60.12%, Max Drawdown: 0.02%
(100, 0.8, 0.4, 2.8): Return: 0.13%, Hit Ratio: 59.76%, Max Drawdown: 0.02%
(100, 0.8, 0.4, 2.9): Return: 0.13%, Hit Ratio: 59.76%, Max Drawdown: 0.02%
(100, 0.8, 0.4, 3.0): Return: 0.13%, Hit Ratio: 59.41%, Max Drawdown: 0.02%
(100, 0.8, 0.4, 3.1): Return: 0.13%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(100, 0.8, 0.4, 3.2): Return: 0.13%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(100, 0.8, 0.5, 2.8): Return: 0.13%, Hit Ratio: 59.41%, Max Drawdown: 0.02%
