(Lookback, Entry, Exit, Stop-loss)
Best HPs: (105, 0.8, -0.1, 3.4), Return: 0.21%, Hit Ratio: 50.52%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.4): Return: 0.21%, Hit Ratio: 50.52%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.5): Return: 0.21%, Hit Ratio: 50.52%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.6): Return: 0.21%, Hit Ratio: 50.52%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.4): Return: 0.21%, Hit Ratio: 50.52%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.5): Return: 0.21%, Hit Ratio: 50.52%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.6): Return: 0.21%, Hit Ratio: 50.52%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.3): Return: 0.2%, Hit Ratio: 50.0%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.7): Return: 0.2%, Hit Ratio: 50.52%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.3): Return: 0.2%, Hit Ratio: 50.0%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.7): Return: 0.2%, Hit Ratio: 50.52%, Max Drawdown: 0.05%
(105, 0.8, -0.2, 3.3): Return: 0.19%, Hit Ratio: 51.09%, Max Drawdown: 0.05%
(105, 0.8, -0.2, 3.4): Return: 0.19%, Hit Ratio: 51.61%, Max Drawdown: 0.05%
(105, 0.8, -0.2, 3.5): Return: 0.19%, Hit Ratio: 51.61%, Max Drawdown: 0.05%
(105, 0.8, -0.2, 3.6): Return: 0.19%, Hit Ratio: 51.61%, Max Drawdown: 0.05%
(105, 0.8, 0.0, 3.4): Return: 0.19%, Hit Ratio: 48.04%, Max Drawdown: 0.06%
(105, 0.8, 0.0, 3.5): Return: 0.19%, Hit Ratio: 48.04%, Max Drawdown: 0.06%
(105, 0.8, 0.0, 3.6): Return: 0.19%, Hit Ratio: 48.04%, Max Drawdown: 0.06%
(105, 0.8, -0.2, 3.3): Return: 0.19%, Hit Ratio: 51.09%, Max Drawdown: 0.05%
(105, 0.8, -0.2, 3.4): Return: 0.19%, Hit Ratio: 51.61%, Max Drawdown: 0.05%
(105, 0.8, -0.2, 3.5): Return: 0.19%, Hit Ratio: 51.61%, Max Drawdown: 0.05%
(105, 0.8, -0.2, 3.6): Return: 0.19%, Hit Ratio: 51.61%, Max Drawdown: 0.05%
(105, 0.8, 0.0, 3.4): Return: 0.19%, Hit Ratio: 48.04%, Max Drawdown: 0.06%
(105, 0.8, 0.0, 3.5): Return: 0.19%, Hit Ratio: 48.04%, Max Drawdown: 0.06%
(105, 0.8, 0.0, 3.6): Return: 0.19%, Hit Ratio: 48.04%, Max Drawdown: 0.06%
(110, 0.8, -0.2, 3.3): Return: 0.19%, Hit Ratio: 52.69%, Max Drawdown: 0.05%
(110, 0.8, -0.2, 3.4): Return: 0.19%, Hit Ratio: 52.69%, Max Drawdown: 0.05%
(110, 0.8, -0.2, 3.5): Return: 0.19%, Hit Ratio: 52.69%, Max Drawdown: 0.05%
(110, 0.8, -0.2, 3.6): Return: 0.19%, Hit Ratio: 52.69%, Max Drawdown: 0.05%
(110, 0.8, 0.0, 3.3): Return: 0.19%, Hit Ratio: 49.04%, Max Drawdown: 0.06%
(110, 0.8, 0.0, 3.4): Return: 0.19%, Hit Ratio: 49.04%, Max Drawdown: 0.06%
(110, 0.8, 0.0, 3.5): Return: 0.19%, Hit Ratio: 49.04%, Max Drawdown: 0.06%
(110, 0.8, 0.0, 3.6): Return: 0.19%, Hit Ratio: 49.04%, Max Drawdown: 0.06%
