(Lookback, Entry, Exit, Stop-loss)
Best HPs: (105, 1.1, 0.0, 3.6), Return: 0.3%, Hit Ratio: 56.99%, Max Drawdown: 0.05%
(105, 1.1, 0.0, 3.6): Return: 0.3%, Hit Ratio: 56.99%, Max Drawdown: 0.05%
(105, 1.1, 0.1, 3.6): Return: 0.3%, Hit Ratio: 55.79%, Max Drawdown: 0.05%
(105, 1.1, 0.0, 3.6): Return: 0.3%, Hit Ratio: 56.99%, Max Drawdown: 0.05%
(105, 1.1, 0.1, 3.6): Return: 0.3%, Hit Ratio: 55.79%, Max Drawdown: 0.05%
(105, 1.1, -0.2, 3.6): Return: 0.29%, Hit Ratio: 59.34%, Max Drawdown: 0.05%
(105, 1.1, -0.1, 3.6): Return: 0.29%, Hit Ratio: 56.52%, Max Drawdown: 0.05%
(105, 1.1, 0.0, 3.7): Return: 0.29%, Hit Ratio: 56.99%, Max Drawdown: 0.05%
(105, 1.1, 0.1, 3.7): Return: 0.29%, Hit Ratio: 55.79%, Max Drawdown: 0.05%
(105, 1.1, -0.2, 3.6): Return: 0.29%, Hit Ratio: 59.34%, Max Drawdown: 0.05%
(105, 1.1, -0.1, 3.6): Return: 0.29%, Hit Ratio: 56.52%, Max Drawdown: 0.05%
(105, 1.1, 0.0, 3.7): Return: 0.29%, Hit Ratio: 56.99%, Max Drawdown: 0.05%
(105, 1.1, 0.1, 3.7): Return: 0.29%, Hit Ratio: 55.79%, Max Drawdown: 0.05%
(110, 1.0, 0.1, 3.5): Return: 0.29%, Hit Ratio: 54.81%, Max Drawdown: 0.08%
(110, 1.0, 0.1, 3.6): Return: 0.29%, Hit Ratio: 54.81%, Max Drawdown: 0.08%
(105, 1.0, 0.0, 3.6): Return: 0.28%, Hit Ratio: 53.92%, Max Drawdown: 0.08%
(105, 1.1, -0.2, 3.7): Return: 0.28%, Hit Ratio: 59.34%, Max Drawdown: 0.05%
(100, 1.1, 0.0, 3.5): Return: 0.28%, Hit Ratio: 55.32%, Max Drawdown: 0.05%
(100, 1.1, 0.0, 3.6): Return: 0.28%, Hit Ratio: 55.32%, Max Drawdown: 0.05%
(105, 1.0, 0.0, 3.6): Return: 0.28%, Hit Ratio: 53.92%, Max Drawdown: 0.08%
(105, 1.1, -0.2, 3.7): Return: 0.28%, Hit Ratio: 59.34%, Max Drawdown: 0.05%
(110, 1.0, -0.2, 3.6): Return: 0.28%, Hit Ratio: 58.0%, Max Drawdown: 0.06%
