(Lookback, Entry, Exit, Stop-loss)
Best HPs: (110, 0.9, 0.0, 3.3), Return: 0.32%, Hit Ratio: 60.2%, Max Drawdown: 0.04%
(110, 0.9, 0.0, 3.3): Return: 0.32%, Hit Ratio: 60.2%, Max Drawdown: 0.04%
(110, 0.9, 0.0, 3.4): Return: 0.32%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(110, 0.9, 0.0, 3.5): Return: 0.32%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(110, 0.9, 0.0, 3.6): Return: 0.32%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(110, 0.9, 0.0, 3.7): Return: 0.32%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(110, 0.8, -0.2, 3.4): Return: 0.31%, Hit Ratio: 61.22%, Max Drawdown: 0.04%
(110, 0.8, -0.2, 3.5): Return: 0.31%, Hit Ratio: 61.22%, Max Drawdown: 0.04%
(110, 0.8, -0.2, 3.6): Return: 0.31%, Hit Ratio: 61.22%, Max Drawdown: 0.04%
(110, 0.8, -0.2, 3.7): Return: 0.31%, Hit Ratio: 61.22%, Max Drawdown: 0.04%
(110, 0.8, 0.0, 3.4): Return: 0.31%, Hit Ratio: 56.76%, Max Drawdown: 0.04%
(110, 0.8, 0.0, 3.5): Return: 0.31%, Hit Ratio: 56.76%, Max Drawdown: 0.04%
(110, 0.8, 0.0, 3.6): Return: 0.31%, Hit Ratio: 56.76%, Max Drawdown: 0.04%
(110, 0.8, 0.0, 3.7): Return: 0.31%, Hit Ratio: 56.76%, Max Drawdown: 0.04%
(110, 0.8, -0.2, 3.3): Return: 0.3%, Hit Ratio: 60.82%, Max Drawdown: 0.04%
(110, 0.8, 0.0, 3.3): Return: 0.3%, Hit Ratio: 56.36%, Max Drawdown: 0.04%
(110, 0.9, -0.1, 3.4): Return: 0.3%, Hit Ratio: 62.37%, Max Drawdown: 0.04%
(110, 0.9, -0.1, 3.5): Return: 0.3%, Hit Ratio: 62.37%, Max Drawdown: 0.04%
(110, 0.9, -0.1, 3.6): Return: 0.3%, Hit Ratio: 62.37%, Max Drawdown: 0.04%
(110, 0.9, -0.1, 3.7): Return: 0.3%, Hit Ratio: 62.37%, Max Drawdown: 0.04%
(105, 0.8, -0.1, 3.3): Return: 0.29%, Hit Ratio: 60.4%, Max Drawdown: 0.04%
(105, 0.8, -0.1, 3.4): Return: 0.29%, Hit Ratio: 60.4%, Max Drawdown: 0.04%
(105, 0.8, -0.1, 3.5): Return: 0.29%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(105, 0.8, -0.1, 3.6): Return: 0.29%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(105, 0.8, -0.1, 3.7): Return: 0.29%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(100, 0.9, -0.1, 3.3): Return: 0.29%, Hit Ratio: 61.29%, Max Drawdown: 0.05%
(100, 0.9, -0.1, 3.4): Return: 0.29%, Hit Ratio: 61.7%, Max Drawdown: 0.05%
(100, 0.9, -0.1, 3.5): Return: 0.29%, Hit Ratio: 61.7%, Max Drawdown: 0.05%
(100, 0.9, -0.1, 3.6): Return: 0.29%, Hit Ratio: 61.7%, Max Drawdown: 0.05%
(100, 0.9, -0.1, 3.7): Return: 0.29%, Hit Ratio: 61.7%, Max Drawdown: 0.05%
(105, 0.8, -0.1, 3.3): Return: 0.29%, Hit Ratio: 60.4%, Max Drawdown: 0.04%
(105, 0.8, -0.1, 3.4): Return: 0.29%, Hit Ratio: 60.4%, Max Drawdown: 0.04%
(105, 0.8, -0.1, 3.5): Return: 0.29%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(105, 0.8, -0.1, 3.6): Return: 0.29%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(105, 0.8, -0.1, 3.7): Return: 0.29%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(110, 0.9, -0.2, 3.4): Return: 0.29%, Hit Ratio: 62.22%, Max Drawdown: 0.04%
(110, 0.9, -0.2, 3.5): Return: 0.29%, Hit Ratio: 62.22%, Max Drawdown: 0.04%
(110, 0.9, -0.2, 3.6): Return: 0.29%, Hit Ratio: 62.22%, Max Drawdown: 0.04%
(110, 0.9, -0.2, 3.7): Return: 0.29%, Hit Ratio: 62.22%, Max Drawdown: 0.04%
(110, 0.9, -0.1, 3.3): Return: 0.29%, Hit Ratio: 61.96%, Max Drawdown: 0.04%
(110, 0.9, 0.1, 3.4): Return: 0.29%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(110, 0.9, 0.1, 3.5): Return: 0.29%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(110, 0.9, 0.1, 3.6): Return: 0.29%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(110, 0.9, 0.1, 3.7): Return: 0.29%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(105, 0.8, 0.0, 3.3): Return: 0.28%, Hit Ratio: 56.88%, Max Drawdown: 0.07%
(105, 0.8, 0.0, 3.4): Return: 0.28%, Hit Ratio: 56.88%, Max Drawdown: 0.07%
(105, 0.8, 0.0, 3.5): Return: 0.28%, Hit Ratio: 57.27%, Max Drawdown: 0.07%
(105, 0.8, 0.0, 3.6): Return: 0.28%, Hit Ratio: 57.27%, Max Drawdown: 0.07%
(105, 0.8, 0.0, 3.7): Return: 0.28%, Hit Ratio: 57.27%, Max Drawdown: 0.07%
(105, 0.8, 0.1, 3.5): Return: 0.28%, Hit Ratio: 58.04%, Max Drawdown: 0.05%
(105, 0.8, 0.1, 3.6): Return: 0.28%, Hit Ratio: 58.04%, Max Drawdown: 0.05%
(105, 0.8, 0.1, 3.7): Return: 0.28%, Hit Ratio: 58.04%, Max Drawdown: 0.05%
(105, 0.9, 0.0, 3.5): Return: 0.28%, Hit Ratio: 59.6%, Max Drawdown: 0.04%
(105, 0.9, 0.0, 3.6): Return: 0.28%, Hit Ratio: 59.6%, Max Drawdown: 0.04%
(105, 0.9, 0.0, 3.7): Return: 0.28%, Hit Ratio: 59.6%, Max Drawdown: 0.04%
(105, 0.8, 0.0, 3.3): Return: 0.28%, Hit Ratio: 56.88%, Max Drawdown: 0.07%
(105, 0.8, 0.0, 3.4): Return: 0.28%, Hit Ratio: 56.88%, Max Drawdown: 0.07%
(105, 0.8, 0.0, 3.5): Return: 0.28%, Hit Ratio: 57.27%, Max Drawdown: 0.07%
(105, 0.8, 0.0, 3.6): Return: 0.28%, Hit Ratio: 57.27%, Max Drawdown: 0.07%
(105, 0.8, 0.0, 3.7): Return: 0.28%, Hit Ratio: 57.27%, Max Drawdown: 0.07%
(105, 0.8, 0.1, 3.5): Return: 0.28%, Hit Ratio: 58.04%, Max Drawdown: 0.05%
(105, 0.8, 0.1, 3.6): Return: 0.28%, Hit Ratio: 58.04%, Max Drawdown: 0.05%
(105, 0.8, 0.1, 3.7): Return: 0.28%, Hit Ratio: 58.04%, Max Drawdown: 0.05%
(105, 0.9, 0.0, 3.5): Return: 0.28%, Hit Ratio: 59.6%, Max Drawdown: 0.04%
(105, 0.9, 0.0, 3.6): Return: 0.28%, Hit Ratio: 59.6%, Max Drawdown: 0.04%
(105, 0.9, 0.0, 3.7): Return: 0.28%, Hit Ratio: 59.6%, Max Drawdown: 0.04%
(110, 0.8, -0.1, 3.3): Return: 0.28%, Hit Ratio: 60.4%, Max Drawdown: 0.04%
(110, 0.8, -0.1, 3.4): Return: 0.28%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(110, 0.8, -0.1, 3.5): Return: 0.28%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(110, 0.8, -0.1, 3.6): Return: 0.28%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(110, 0.8, -0.1, 3.7): Return: 0.28%, Hit Ratio: 60.78%, Max Drawdown: 0.04%
(110, 0.9, -0.2, 3.3): Return: 0.28%, Hit Ratio: 61.8%, Max Drawdown: 0.04%
(110, 0.9, 0.1, 3.3): Return: 0.28%, Hit Ratio: 60.2%, Max Drawdown: 0.04%
(105, 0.8, -0.2, 3.5): Return: 0.27%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(105, 0.8, -0.2, 3.6): Return: 0.27%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(105, 0.8, -0.2, 3.7): Return: 0.27%, Hit Ratio: 60.61%, Max Drawdown: 0.04%
(105, 0.8, 0.1, 3.3): Return: 0.27%, Hit Ratio: 57.66%, Max Drawdown: 0.05%
