,date,open,high,low,close,volume,average,barCount
0,2015-04-23 21:30:00,6.6,6.65,6.51,6.57,4784000,6.5914,198
1,2015-04-23 21:31:00,6.58,6.59,6.52,6.53,726000,6.5599,74
2,2015-04-23 21:32:00,6.53,6.53,6.37,6.37,1776000,6.4462,65
3,2015-04-23 21:33:00,6.37,6.37,6.26,6.34,966000,6.3138,59
4,2015-04-23 21:34:00,6.34,6.39,6.34,6.37,1026000,6.3692,62
5,2015-04-23 21:35:00,6.37,6.43,6.35,6.43,1318000,6.3994,52
6,2015-04-23 21:36:00,6.43,6.43,6.41,6.43,658000,6.4216,47
7,2015-04-23 21:37:00,6.42,6.46,6.42,6.46,1118000,6.4388,39
8,2015-04-23 21:38:00,6.46,6.47,6.42,6.42,956000,6.4418,50
9,2015-04-23 21:39:00,6.43,6.43,6.41,6.41,288000,6.4209,23
10,2015-04-23 21:40:00,6.42,6.42,6.38,6.38,1214000,6.3944,29
11,2015-04-23 21:41:00,6.38,6.42,6.37,6.42,546000,6.389,18
12,2015-04-23 21:42:00,6.44,6.44,6.41,6.42,344000,6.4228,15
13,2015-04-23 21:43:00,6.42,6.43,6.4,6.41,370000,6.4166,18
14,2015-04-23 21:44:00,6.41,6.43,6.4,6.41,492000,6.4082,15
15,2015-04-23 21:45:00,6.42,6.42,6.41,6.41,280000,6.4143,16
16,2015-04-23 21:46:00,6.42,6.42,6.41,6.42,98000,6.4137,12
17,2015-04-23 21:47:00,6.42,6.42,6.4,6.42,146000,6.4099,11
18,2015-04-23 21:48:00,6.42,6.42,6.4,6.4,668000,6.4017,36
19,2015-04-23 21:49:00,6.4,6.4,6.38,6.38,330000,6.393,23
20,2015-04-23 21:50:00,6.38,6.38,6.35,6.35,380000,6.3689,23
21,2015-04-23 21:51:00,6.36,6.37,6.35,6.36,316000,6.3584,20
22,2015-04-23 21:52:00,6.36,6.36,6.33,6.33,528000,6.3484,36
23,2015-04-23 21:53:00,6.33,6.33,6.26,6.26,820000,6.295,38
24,2015-04-23 21:54:00,6.28,6.3,6.24,6.3,290000,6.2748,27
25,2015-04-23 21:55:00,6.27,6.27,6.23,6.23,126000,6.2437,18
26,2015-04-23 21:56:00,6.24,6.25,6.23,6.25,316000,6.2408,26
27,2015-04-23 21:57:00,6.26,6.29,6.25,6.28,540000,6.267,36
28,2015-04-23 21:58:00,6.27,6.3,6.26,6.28,464000,6.2837,44
29,2015-04-23 21:59:00,6.29,6.31,6.29,6.3,550000,6.3008,28
30,2015-04-23 22:00:00,6.31,6.33,6.3,6.31,246000,6.3161,15
31,2015-04-23 22:01:00,6.32,6.33,6.31,6.32,682000,6.3182,32
32,2015-04-23 22:02:00,6.32,6.33,6.31,6.32,400000,6.3237,21
33,2015-04-23 22:03:00,6.32,6.32,6.27,6.27,828000,6.2984,24
34,2015-04-23 22:04:00,6.27,6.29,6.25,6.28,624000,6.2639,23
35,2015-04-23 22:05:00,6.28,6.29,6.26,6.28,286000,6.2776,13
36,2015-04-23 22:06:00,6.27,6.27,6.26,6.26,274000,6.2646,9
37,2015-04-23 22:07:00,6.26,6.26,6.23,6.23,426000,6.2471,16
38,2015-04-23 22:08:00,6.23,6.23,6.2,6.2,486000,6.2153,22
39,2015-04-23 22:09:00,6.2,6.2,6.12,6.12,224000,6.1597,19
40,2015-04-23 22:10:00,6.11,6.14,6.1,6.13,734000,6.1301,32
41,2015-04-23 22:11:00,6.13,6.18,6.13,6.18,738000,6.1517,37
42,2015-04-23 22:12:00,6.18,6.18,6.14,6.15,752000,6.1627,22
43,2015-04-23 22:13:00,6.15,6.15,6.12,6.13,302000,6.1344,20
44,2015-04-23 22:14:00,6.13,6.14,6.12,6.13,406000,6.1329,21
45,2015-04-23 22:15:00,6.13,6.14,6.12,6.13,354000,6.129,19
46,2015-04-23 22:16:00,6.13,6.15,6.13,6.14,188000,6.1429,14
47,2015-04-23 22:17:00,6.15,6.17,6.15,6.17,504000,6.1573,17
48,2015-04-23 22:18:00,6.16,6.17,6.15,6.17,186000,6.1642,18
49,2015-04-23 22:19:00,6.17,6.17,6.16,6.17,124000,6.1629,9
50,2015-04-23 22:20:00,6.17,6.18,6.16,6.18,392000,6.1687,7
51,2015-04-23 22:21:00,6.17,6.25,6.17,6.25,538000,6.2034,21
52,2015-04-23 22:22:00,6.25,6.26,6.22,6.22,328000,6.2447,20
53,2015-04-23 22:23:00,6.24,6.25,6.24,6.25,138000,6.2449,9
54,2015-04-23 22:24:00,6.25,6.26,6.24,6.26,564000,6.248,22
55,2015-04-23 22:25:00,6.26,6.29,6.26,6.28,248000,6.2806,11
56,2015-04-23 22:26:00,6.28,6.31,6.28,6.29,660000,6.2951,32
57,2015-04-23 22:27:00,6.29,6.29,6.25,6.26,540000,6.2754,19
58,2015-04-23 22:28:00,6.25,6.26,6.24,6.26,330000,6.2519,19
59,2015-04-23 22:29:00,6.26,6.27,6.25,6.25,166000,6.2571,12
60,2015-04-23 22:30:00,6.25,6.26,6.24,6.25,318000,6.2517,18
61,2015-04-23 22:31:00,6.24,6.25,6.24,6.24,72000,6.2419,11
62,2015-04-23 22:32:00,6.24,6.24,6.24,6.24,64000,6.24,6
63,2015-04-23 22:33:00,6.24,6.24,6.24,6.24,44000,6.24,5
64,2015-04-23 22:34:00,6.24,6.24,6.23,6.24,674000,6.2362,14
65,2015-04-23 22:35:00,6.26,6.27,6.26,6.26,140000,6.2634,8
66,2015-04-23 22:36:00,6.26,6.28,6.26,6.27,150000,6.2667,6
67,2015-04-23 22:37:00,6.27,6.27,6.26,6.26,86000,6.2672,10
68,2015-04-23 22:38:00,6.25,6.27,6.24,6.25,184000,6.258,12
69,2015-04-23 22:39:00,6.25,6.25,6.23,6.24,158000,6.2418,10
70,2015-04-23 22:40:00,6.23,6.24,6.22,6.23,128000,6.2305,10
71,2015-04-23 22:41:00,6.23,6.23,6.23,6.23,218000,6.23,12
72,2015-04-23 22:42:00,6.23,6.25,6.23,6.25,170000,6.2426,6
