The return of ADR_underlying pairs trading for HNP_902 from China is 68.29058362927515%
Hyperparameters: Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 63.499810780080914%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 63.499810780080914%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 63.499810780080914%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 68.29058362927515%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3	Return: 68.29058362927515%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 68.29058362927515%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 38.88751771198554%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 38.88751771198554%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 38.88751771198554%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 31.822388945094364%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 31.822388945094364%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 31.822388945094364%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 27.520373837886147%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 27.520373837886147%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 27.520373837886147%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 18.36472936739333%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 18.36472936739333%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 18.36472936739333%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 28.17432879804865%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 28.17432879804865%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 28.17432879804865%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 21.46430817644157%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3	Return: 21.46430817644157%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 21.46430817644157%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 17.168426671736203%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 17.168426671736203%
Lookback: 30	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 17.168426671736203%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 39.519952440030906%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 39.519952440030906%
Lookback: 60	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 39.519952440030906%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 44.68230227523804%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3	Return: 44.68230227523804%
Lookback: 60	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 44.68230227523804%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 28.180478722078405%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 28.180478722078405%
Lookback: 60	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 28.180478722078405%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 28.45970267947338%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 28.45970267947338%
Lookback: 60	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 28.45970267947338%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 26.744417904266125%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 26.744417904266125%
Lookback: 60	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 26.744417904266125%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 13.235927365171024%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 13.235927365171024%
Lookback: 60	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 13.235927365171024%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 25.612546552775516%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 25.612546552775516%
Lookback: 60	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 25.612546552775516%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 23.320067780106125%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 3	Return: 23.320067780106125%
Lookback: 60	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 23.320067780106125%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 15.100247255871393%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 15.100247255871393%
Lookback: 60	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 15.100247255871393%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 39.652599250639675%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 39.652599250639675%
Lookback: 100	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 39.652599250639675%
Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 41.76176821855607%
Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 3	Return: 41.76176821855607%
Lookback: 100	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 41.76176821855607%
Lookback: 100	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 25.604147497784812%
Lookback: 100	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 25.604147497784812%
Lookback: 100	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 25.604147497784812%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 25.360338691150623%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 25.360338691150623%
Lookback: 100	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 25.360338691150623%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 25.182501330572443%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 25.182501330572443%
Lookback: 100	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 25.182501330572443%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 12.99869340249084%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 12.99869340249084%
Lookback: 100	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 12.99869340249084%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 17.524768658626154%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 17.524768658626154%
Lookback: 100	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 17.524768658626154%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 16.99553742515086%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3	Return: 16.99553742515086%
Lookback: 100	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 16.99553742515086%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 2.5	Return: 7.9544315264027095%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3	Return: 7.9544315264027095%
Lookback: 100	Entry: 2	Exit: 0.5	Stop-loss: 3.5	Return: 7.9544315264027095%
