(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (60, 1, 2, -0.5, 0, 3, 3), Return: 0.14%, Hit Ratio: 55.0%, Max Drawdown: 0.02%
(30, 1, 1, -0.5, -0.5, 2.5, 2.5): Return: 0.05%, Hit Ratio: 50.42%, Max Drawdown: 0.07%
(30, 1, 1, -0.5, -0.5, 2.5, 3): Return: 0.05%, Hit Ratio: 50.85%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 2.5, 3.5): Return: 0.05%, Hit Ratio: 50.85%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, -0.5, 3, 2.5): Return: 0.07%, Hit Ratio: 51.2%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, -0.5, 3, 3): Return: 0.08%, Hit Ratio: 51.61%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 3, 3.5): Return: 0.08%, Hit Ratio: 51.61%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 3.5, 2.5): Return: 0.07%, Hit Ratio: 50.79%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, -0.5, 3.5, 3): Return: 0.08%, Hit Ratio: 51.2%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: 0.08%, Hit Ratio: 51.2%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 2.5, 2.5): Return: 0.08%, Hit Ratio: 51.94%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 2.5, 3): Return: 0.09%, Hit Ratio: 52.71%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, 0, 2.5, 3.5): Return: 0.09%, Hit Ratio: 52.71%, Max Drawdown: 0.05%
(30, 1, 1, -0.5, 0, 3, 2.5): Return: 0.1%, Hit Ratio: 52.94%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 3, 3): Return: 0.11%, Hit Ratio: 53.68%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3, 3.5): Return: 0.11%, Hit Ratio: 53.68%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3.5, 2.5): Return: 0.1%, Hit Ratio: 52.55%, Max Drawdown: 0.06%
(30, 1, 1, -0.5, 0, 3.5, 3): Return: 0.11%, Hit Ratio: 53.28%, Max Drawdown: 0.04%
(30, 1, 1, -0.5, 0, 3.5, 3.5): Return: 0.11%, Hit Ratio: 53.28%, Max Drawdown: 0.04%
