(Lookback, Entry, Exit, Stop-loss)
Best HPs: (40, 0.8, 0.2, 2.6), Return: 0.56%, Hit Ratio: 61.21%, Max Drawdown: 0.09%
(40, 0.8, 0.2, 2.6): Return: 0.56%, Hit Ratio: 61.21%, Max Drawdown: 0.09%
(40, 0.8, 0.2, 2.7): Return: 0.56%, Hit Ratio: 60.68%, Max Drawdown: 0.09%
(40, 0.9, 0.2, 2.4): Return: 0.56%, Hit Ratio: 62.0%, Max Drawdown: 0.09%
(40, 0.9, 0.2, 2.5): Return: 0.56%, Hit Ratio: 62.0%, Max Drawdown: 0.09%
(40, 0.9, 0.2, 2.6): Return: 0.56%, Hit Ratio: 62.0%, Max Drawdown: 0.09%
(40, 0.9, 0.2, 2.7): Return: 0.56%, Hit Ratio: 61.39%, Max Drawdown: 0.09%
(40, 0.8, 0.2, 2.3): Return: 0.55%, Hit Ratio: 61.74%, Max Drawdown: 0.09%
(40, 0.8, 0.2, 2.4): Return: 0.55%, Hit Ratio: 61.21%, Max Drawdown: 0.09%
(40, 0.8, 0.2, 2.5): Return: 0.55%, Hit Ratio: 61.21%, Max Drawdown: 0.09%
(40, 0.9, 0.2, 2.3): Return: 0.55%, Hit Ratio: 62.63%, Max Drawdown: 0.09%
(40, 1.1, 0.1, 2.3): Return: 0.55%, Hit Ratio: 62.34%, Max Drawdown: 0.06%
(40, 1.1, 0.1, 2.4): Return: 0.55%, Hit Ratio: 61.54%, Max Drawdown: 0.06%
(40, 1.1, 0.1, 2.5): Return: 0.55%, Hit Ratio: 61.54%, Max Drawdown: 0.06%
(40, 1.1, 0.1, 2.6): Return: 0.55%, Hit Ratio: 61.54%, Max Drawdown: 0.06%
(40, 1.1, 0.1, 2.7): Return: 0.55%, Hit Ratio: 60.76%, Max Drawdown: 0.06%
(40, 1.1, 0.2, 2.6): Return: 0.55%, Hit Ratio: 62.03%, Max Drawdown: 0.06%
(40, 1.1, 0.2, 2.7): Return: 0.55%, Hit Ratio: 61.25%, Max Drawdown: 0.06%
(35, 0.9, 0.1, 2.4): Return: 0.54%, Hit Ratio: 60.19%, Max Drawdown: 0.09%
(35, 0.9, 0.1, 2.5): Return: 0.54%, Hit Ratio: 60.19%, Max Drawdown: 0.09%
(35, 0.9, 0.1, 2.6): Return: 0.54%, Hit Ratio: 59.62%, Max Drawdown: 0.09%
(35, 0.9, 0.1, 2.7): Return: 0.54%, Hit Ratio: 59.62%, Max Drawdown: 0.09%
(30, 0.8, 0.1, 2.4): Return: 0.54%, Hit Ratio: 58.47%, Max Drawdown: 0.09%
(30, 0.8, 0.1, 2.5): Return: 0.54%, Hit Ratio: 58.47%, Max Drawdown: 0.09%
(30, 0.8, 0.1, 2.6): Return: 0.54%, Hit Ratio: 58.47%, Max Drawdown: 0.09%
(30, 0.8, 0.1, 2.7): Return: 0.54%, Hit Ratio: 57.14%, Max Drawdown: 0.09%
(35, 0.9, 0.1, 2.4): Return: 0.54%, Hit Ratio: 60.19%, Max Drawdown: 0.09%
(35, 0.9, 0.1, 2.5): Return: 0.54%, Hit Ratio: 60.19%, Max Drawdown: 0.09%
(35, 0.9, 0.1, 2.6): Return: 0.54%, Hit Ratio: 59.62%, Max Drawdown: 0.09%
(35, 0.9, 0.1, 2.7): Return: 0.54%, Hit Ratio: 59.62%, Max Drawdown: 0.09%
(40, 1.1, 0.2, 2.3): Return: 0.54%, Hit Ratio: 62.82%, Max Drawdown: 0.06%
(40, 1.1, 0.2, 2.4): Return: 0.54%, Hit Ratio: 62.03%, Max Drawdown: 0.06%
(40, 1.1, 0.2, 2.5): Return: 0.54%, Hit Ratio: 62.03%, Max Drawdown: 0.06%
(35, 0.8, 0.2, 2.4): Return: 0.53%, Hit Ratio: 59.66%, Max Drawdown: 0.09%
(35, 0.8, 0.2, 2.5): Return: 0.53%, Hit Ratio: 59.66%, Max Drawdown: 0.09%
(35, 0.8, 0.2, 2.6): Return: 0.53%, Hit Ratio: 59.17%, Max Drawdown: 0.09%
(35, 0.8, 0.2, 2.7): Return: 0.53%, Hit Ratio: 59.17%, Max Drawdown: 0.09%
(35, 1.2, 0.1, 2.4): Return: 0.53%, Hit Ratio: 63.38%, Max Drawdown: 0.06%
(35, 1.2, 0.1, 2.5): Return: 0.53%, Hit Ratio: 63.38%, Max Drawdown: 0.06%
(35, 1.2, 0.1, 2.6): Return: 0.53%, Hit Ratio: 62.5%, Max Drawdown: 0.06%
(35, 1.2, 0.1, 2.7): Return: 0.53%, Hit Ratio: 62.5%, Max Drawdown: 0.06%
(30, 1.0, 0.0, 2.4): Return: 0.53%, Hit Ratio: 62.22%, Max Drawdown: 0.05%
(30, 1.0, 0.0, 2.5): Return: 0.53%, Hit Ratio: 62.22%, Max Drawdown: 0.05%
