(Lookback, Entry, Exit, Stop-loss)
Best HPs: (35, 1.1, 0.1, 3.3), Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.3): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.4): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.5): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.6): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.7): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.3): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.4): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.5): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.6): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.1, 0.1, 3.7): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.3): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.4): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.5): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.6): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.7): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(30, 1.0, 0.0, 3.3): Return: 0.45%, Hit Ratio: 62.35%, Max Drawdown: 0.07%
(30, 1.0, 0.0, 3.4): Return: 0.45%, Hit Ratio: 62.35%, Max Drawdown: 0.07%
(30, 1.0, 0.0, 3.5): Return: 0.45%, Hit Ratio: 62.35%, Max Drawdown: 0.07%
(30, 1.0, 0.0, 3.6): Return: 0.45%, Hit Ratio: 62.35%, Max Drawdown: 0.07%
(30, 1.0, 0.0, 3.7): Return: 0.45%, Hit Ratio: 62.35%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.3): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.4): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.5): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.6): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(35, 1.0, 0.1, 3.7): Return: 0.45%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(40, 1.0, 0.1, 3.3): Return: 0.45%, Hit Ratio: 58.23%, Max Drawdown: 0.07%
(40, 1.0, 0.1, 3.4): Return: 0.45%, Hit Ratio: 58.23%, Max Drawdown: 0.07%
(40, 1.0, 0.1, 3.5): Return: 0.45%, Hit Ratio: 58.23%, Max Drawdown: 0.07%
(40, 1.0, 0.1, 3.6): Return: 0.45%, Hit Ratio: 58.23%, Max Drawdown: 0.07%
(40, 1.0, 0.1, 3.7): Return: 0.45%, Hit Ratio: 58.23%, Max Drawdown: 0.07%
(35, 1.0, 0.2, 3.3): Return: 0.44%, Hit Ratio: 59.26%, Max Drawdown: 0.07%
(35, 1.0, 0.2, 3.4): Return: 0.44%, Hit Ratio: 59.26%, Max Drawdown: 0.07%
(35, 1.0, 0.2, 3.5): Return: 0.44%, Hit Ratio: 59.26%, Max Drawdown: 0.07%
(35, 1.0, 0.2, 3.6): Return: 0.44%, Hit Ratio: 59.26%, Max Drawdown: 0.07%
(35, 1.0, 0.2, 3.7): Return: 0.44%, Hit Ratio: 59.26%, Max Drawdown: 0.07%
