(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 1.0, -0.6, 3.0), Return: 0.74%, Hit Ratio: 60.23%, Max Drawdown: 0.06%
(60, 1.0, -0.6, 3.0): Return: 0.74%, Hit Ratio: 60.23%, Max Drawdown: 0.06%
(60, 1.0, -0.6, 3.1): Return: 0.74%, Hit Ratio: 62.07%, Max Drawdown: 0.06%
(60, 1.0, -0.6, 3.2): Return: 0.74%, Hit Ratio: 62.07%, Max Drawdown: 0.06%
(60, 1.0, -0.6, 2.8): Return: 0.73%, Hit Ratio: 60.23%, Max Drawdown: 0.06%
(60, 1.0, -0.6, 2.9): Return: 0.73%, Hit Ratio: 60.23%, Max Drawdown: 0.06%
(60, 1.1, -0.6, 3.1): Return: 0.73%, Hit Ratio: 65.33%, Max Drawdown: 0.06%
(60, 1.1, -0.6, 3.2): Return: 0.73%, Hit Ratio: 65.33%, Max Drawdown: 0.06%
(60, 1.1, -0.6, 2.8): Return: 0.72%, Hit Ratio: 64.0%, Max Drawdown: 0.06%
(60, 1.1, -0.6, 2.9): Return: 0.72%, Hit Ratio: 64.0%, Max Drawdown: 0.06%
(60, 1.1, -0.6, 3.0): Return: 0.72%, Hit Ratio: 64.0%, Max Drawdown: 0.06%
(70, 1.2, -0.5, 2.9): Return: 0.71%, Hit Ratio: 62.12%, Max Drawdown: 0.06%
(70, 1.2, -0.5, 3.0): Return: 0.71%, Hit Ratio: 62.12%, Max Drawdown: 0.06%
(70, 1.2, -0.5, 3.1): Return: 0.71%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(70, 1.2, -0.5, 3.2): Return: 0.71%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(60, 1.0, -0.4, 2.8): Return: 0.7%, Hit Ratio: 60.22%, Max Drawdown: 0.06%
(60, 1.0, -0.4, 2.9): Return: 0.7%, Hit Ratio: 60.22%, Max Drawdown: 0.06%
(60, 1.0, -0.4, 3.0): Return: 0.7%, Hit Ratio: 60.22%, Max Drawdown: 0.06%
