(Lookback, Entry, Exit, Stop-loss)
Best HPs: (105, 0.9, -0.1, 2.9), Return: 0.57%, Hit Ratio: 59.65%, Max Drawdown: 0.11%
(105, 0.9, -0.1, 2.9): Return: 0.57%, Hit Ratio: 59.65%, Max Drawdown: 0.11%
(105, 0.9, -0.1, 3.0): Return: 0.57%, Hit Ratio: 59.83%, Max Drawdown: 0.11%
(105, 0.9, -0.1, 2.9): Return: 0.57%, Hit Ratio: 59.65%, Max Drawdown: 0.11%
(105, 0.9, -0.1, 3.0): Return: 0.57%, Hit Ratio: 59.83%, Max Drawdown: 0.11%
(105, 0.9, -0.1, 2.8): Return: 0.56%, Hit Ratio: 59.29%, Max Drawdown: 0.11%
(105, 0.9, -0.1, 2.8): Return: 0.56%, Hit Ratio: 59.29%, Max Drawdown: 0.11%
(110, 0.8, 0.0, 2.8): Return: 0.56%, Hit Ratio: 56.82%, Max Drawdown: 0.14%
(110, 0.8, 0.0, 2.9): Return: 0.56%, Hit Ratio: 57.46%, Max Drawdown: 0.14%
(110, 0.8, 0.0, 3.0): Return: 0.56%, Hit Ratio: 56.72%, Max Drawdown: 0.14%
(90, 1.0, 0.0, 2.9): Return: 0.55%, Hit Ratio: 58.82%, Max Drawdown: 0.07%
(90, 1.0, 0.0, 3.0): Return: 0.55%, Hit Ratio: 57.84%, Max Drawdown: 0.07%
(105, 0.9, -0.1, 3.1): Return: 0.55%, Hit Ratio: 58.97%, Max Drawdown: 0.11%
(105, 0.9, -0.1, 3.2): Return: 0.55%, Hit Ratio: 59.48%, Max Drawdown: 0.11%
(105, 0.9, -0.1, 3.1): Return: 0.55%, Hit Ratio: 58.97%, Max Drawdown: 0.11%
(105, 0.9, -0.1, 3.2): Return: 0.55%, Hit Ratio: 59.48%, Max Drawdown: 0.11%
(110, 0.8, 0.0, 3.1): Return: 0.55%, Hit Ratio: 56.3%, Max Drawdown: 0.14%
(110, 0.8, 0.0, 3.2): Return: 0.55%, Hit Ratio: 56.72%, Max Drawdown: 0.14%
(90, 0.8, 0.0, 2.9): Return: 0.54%, Hit Ratio: 55.64%, Max Drawdown: 0.14%
(90, 0.8, 0.0, 3.0): Return: 0.54%, Hit Ratio: 54.89%, Max Drawdown: 0.14%
(90, 0.9, 0.0, 3.0): Return: 0.54%, Hit Ratio: 58.33%, Max Drawdown: 0.1%
(90, 1.0, 0.0, 3.2): Return: 0.54%, Hit Ratio: 58.42%, Max Drawdown: 0.08%
(105, 0.9, 0.0, 2.9): Return: 0.54%, Hit Ratio: 60.34%, Max Drawdown: 0.1%
(105, 0.9, 0.0, 3.0): Return: 0.54%, Hit Ratio: 60.5%, Max Drawdown: 0.1%
(100, 0.8, 0.0, 3.0): Return: 0.54%, Hit Ratio: 56.52%, Max Drawdown: 0.14%
(105, 0.9, 0.0, 2.9): Return: 0.54%, Hit Ratio: 60.34%, Max Drawdown: 0.1%
(105, 0.9, 0.0, 3.0): Return: 0.54%, Hit Ratio: 60.5%, Max Drawdown: 0.1%
(90, 0.8, 0.0, 3.1): Return: 0.53%, Hit Ratio: 54.48%, Max Drawdown: 0.14%
(90, 0.8, 0.0, 3.2): Return: 0.53%, Hit Ratio: 54.55%, Max Drawdown: 0.14%
(90, 0.9, 0.0, 2.9): Return: 0.53%, Hit Ratio: 59.17%, Max Drawdown: 0.1%
(90, 1.0, 0.0, 2.8): Return: 0.53%, Hit Ratio: 58.59%, Max Drawdown: 0.07%
(90, 1.0, 0.0, 3.1): Return: 0.53%, Hit Ratio: 57.28%, Max Drawdown: 0.08%
(105, 0.9, 0.0, 2.8): Return: 0.53%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.0, 0.0, 2.8): Return: 0.53%, Hit Ratio: 60.2%, Max Drawdown: 0.07%
(105, 1.0, 0.0, 2.9): Return: 0.53%, Hit Ratio: 60.61%, Max Drawdown: 0.07%
(105, 1.0, 0.0, 3.0): Return: 0.53%, Hit Ratio: 60.78%, Max Drawdown: 0.07%
(105, 0.9, 0.0, 2.8): Return: 0.53%, Hit Ratio: 60.0%, Max Drawdown: 0.1%
(105, 1.0, 0.0, 2.8): Return: 0.53%, Hit Ratio: 60.2%, Max Drawdown: 0.07%
(105, 1.0, 0.0, 2.9): Return: 0.53%, Hit Ratio: 60.61%, Max Drawdown: 0.07%
(105, 1.0, 0.0, 3.0): Return: 0.53%, Hit Ratio: 60.78%, Max Drawdown: 0.07%
(110, 0.8, -0.1, 3.0): Return: 0.53%, Hit Ratio: 56.35%, Max Drawdown: 0.14%
(90, 0.8, 0.0, 2.8): Return: 0.52%, Hit Ratio: 55.38%, Max Drawdown: 0.14%
(90, 0.9, 0.0, 2.8): Return: 0.52%, Hit Ratio: 58.97%, Max Drawdown: 0.1%
(90, 0.9, 0.0, 3.1): Return: 0.52%, Hit Ratio: 57.85%, Max Drawdown: 0.11%
(90, 0.9, 0.0, 3.2): Return: 0.52%, Hit Ratio: 57.98%, Max Drawdown: 0.11%
(90, 1.0, 0.1, 3.0): Return: 0.52%, Hit Ratio: 57.69%, Max Drawdown: 0.07%
(90, 1.0, 0.1, 3.1): Return: 0.52%, Hit Ratio: 58.1%, Max Drawdown: 0.07%
(90, 1.0, 0.1, 3.2): Return: 0.52%, Hit Ratio: 58.65%, Max Drawdown: 0.07%
(105, 0.9, 0.0, 3.1): Return: 0.52%, Hit Ratio: 58.82%, Max Drawdown: 0.1%
(105, 0.9, 0.0, 3.2): Return: 0.52%, Hit Ratio: 59.32%, Max Drawdown: 0.1%
(100, 0.8, 0.0, 2.9): Return: 0.52%, Hit Ratio: 55.47%, Max Drawdown: 0.14%
(100, 0.8, 0.0, 3.1): Return: 0.52%, Hit Ratio: 55.07%, Max Drawdown: 0.14%
(100, 0.8, 0.0, 3.2): Return: 0.52%, Hit Ratio: 55.07%, Max Drawdown: 0.14%
(100, 0.9, 0.0, 3.0): Return: 0.52%, Hit Ratio: 59.5%, Max Drawdown: 0.1%
(105, 0.9, 0.0, 3.1): Return: 0.52%, Hit Ratio: 58.82%, Max Drawdown: 0.1%
(105, 0.9, 0.0, 3.2): Return: 0.52%, Hit Ratio: 59.32%, Max Drawdown: 0.1%
(110, 0.8, -0.1, 2.8): Return: 0.52%, Hit Ratio: 55.2%, Max Drawdown: 0.14%
(110, 0.8, -0.1, 2.9): Return: 0.52%, Hit Ratio: 56.35%, Max Drawdown: 0.14%
(110, 0.9, -0.1, 2.8): Return: 0.52%, Hit Ratio: 56.64%, Max Drawdown: 0.12%
(110, 0.9, -0.1, 2.9): Return: 0.52%, Hit Ratio: 57.39%, Max Drawdown: 0.12%
(110, 0.9, -0.1, 3.0): Return: 0.52%, Hit Ratio: 57.39%, Max Drawdown: 0.12%
(90, 1.0, 0.1, 2.9): Return: 0.51%, Hit Ratio: 58.25%, Max Drawdown: 0.07%
(105, 1.0, -0.1, 2.8): Return: 0.51%, Hit Ratio: 58.76%, Max Drawdown: 0.08%
(105, 1.0, -0.1, 2.9): Return: 0.51%, Hit Ratio: 59.18%, Max Drawdown: 0.08%
(105, 1.0, -0.1, 3.0): Return: 0.51%, Hit Ratio: 59.41%, Max Drawdown: 0.08%
(105, 1.0, 0.0, 3.1): Return: 0.51%, Hit Ratio: 58.82%, Max Drawdown: 0.08%
(105, 1.0, 0.0, 3.2): Return: 0.51%, Hit Ratio: 59.41%, Max Drawdown: 0.08%
(100, 0.9, 0.0, 2.9): Return: 0.51%, Hit Ratio: 58.82%, Max Drawdown: 0.1%
(100, 1.0, 0.0, 3.0): Return: 0.51%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(105, 1.0, -0.1, 2.8): Return: 0.51%, Hit Ratio: 58.76%, Max Drawdown: 0.08%
(105, 1.0, -0.1, 2.9): Return: 0.51%, Hit Ratio: 59.18%, Max Drawdown: 0.08%
(105, 1.0, -0.1, 3.0): Return: 0.51%, Hit Ratio: 59.41%, Max Drawdown: 0.08%
(105, 1.0, 0.0, 3.1): Return: 0.51%, Hit Ratio: 58.82%, Max Drawdown: 0.08%
(105, 1.0, 0.0, 3.2): Return: 0.51%, Hit Ratio: 59.41%, Max Drawdown: 0.08%
(110, 0.8, -0.1, 3.1): Return: 0.51%, Hit Ratio: 55.91%, Max Drawdown: 0.14%
(110, 0.8, -0.1, 3.2): Return: 0.51%, Hit Ratio: 56.35%, Max Drawdown: 0.14%
(110, 0.9, -0.1, 3.1): Return: 0.51%, Hit Ratio: 56.9%, Max Drawdown: 0.12%
(110, 0.9, -0.1, 3.2): Return: 0.51%, Hit Ratio: 57.39%, Max Drawdown: 0.12%
(90, 1.0, -0.2, 3.0): Return: 0.5%, Hit Ratio: 56.7%, Max Drawdown: 0.08%
(105, 1.0, -0.1, 3.1): Return: 0.5%, Hit Ratio: 58.42%, Max Drawdown: 0.08%
(105, 1.0, -0.1, 3.2): Return: 0.5%, Hit Ratio: 59.0%, Max Drawdown: 0.08%
(100, 0.8, 0.0, 2.8): Return: 0.5%, Hit Ratio: 55.22%, Max Drawdown: 0.14%
(100, 0.9, 0.0, 3.1): Return: 0.5%, Hit Ratio: 57.85%, Max Drawdown: 0.1%
(100, 0.9, 0.0, 3.2): Return: 0.5%, Hit Ratio: 57.85%, Max Drawdown: 0.1%
(100, 1.0, 0.0, 2.9): Return: 0.5%, Hit Ratio: 59.18%, Max Drawdown: 0.07%
(105, 1.0, -0.1, 3.1): Return: 0.5%, Hit Ratio: 58.42%, Max Drawdown: 0.08%
(105, 1.0, -0.1, 3.2): Return: 0.5%, Hit Ratio: 59.0%, Max Drawdown: 0.08%
(110, 0.8, 0.1, 2.8): Return: 0.5%, Hit Ratio: 55.56%, Max Drawdown: 0.14%
(110, 0.8, 0.1, 2.9): Return: 0.5%, Hit Ratio: 56.2%, Max Drawdown: 0.14%
(110, 0.8, 0.1, 3.0): Return: 0.5%, Hit Ratio: 55.8%, Max Drawdown: 0.14%
(90, 1.0, -0.2, 2.9): Return: 0.49%, Hit Ratio: 57.14%, Max Drawdown: 0.08%
(90, 1.0, -0.1, 3.0): Return: 0.49%, Hit Ratio: 57.0%, Max Drawdown: 0.08%
(90, 1.0, 0.1, 2.8): Return: 0.49%, Hit Ratio: 58.0%, Max Drawdown: 0.07%
(105, 0.8, 0.0, 2.9): Return: 0.49%, Hit Ratio: 56.72%, Max Drawdown: 0.14%
(105, 0.8, 0.0, 3.0): Return: 0.49%, Hit Ratio: 57.35%, Max Drawdown: 0.14%
(105, 0.9, 0.1, 2.9): Return: 0.49%, Hit Ratio: 59.32%, Max Drawdown: 0.1%
