,date,open,high,low,close,volume,average,barCount
0,2015-02-02 20:30:00,10.72,10.84,10.68,10.68,116000,10.7366,19
1,2015-02-02 20:31:00,10.68,10.68,10.64,10.64,120000,10.659,20
2,2015-02-02 20:32:00,10.64,10.66,10.64,10.66,226000,10.648,15
3,2015-02-02 20:33:00,10.68,10.68,10.66,10.66,30000,10.6747,7
4,2015-02-02 20:34:00,10.66,10.66,10.64,10.64,84000,10.6486,10
5,2015-02-02 20:35:00,10.64,10.64,10.64,10.64,2000,10.64,1
6,2015-02-02 20:36:00,10.62,10.64,10.62,10.64,76000,10.6268,8
7,2015-02-02 20:37:00,10.64,10.64,10.62,10.62,184000,10.6215,10
8,2015-02-02 20:38:00,10.6,10.6,10.6,10.6,28000,10.6,7
9,2015-02-02 20:39:00,10.6,10.62,10.58,10.62,144000,10.6017,10
10,2015-02-02 20:40:00,10.6,10.62,10.58,10.58,86000,10.5856,4
11,2015-02-02 20:41:00,10.58,10.6,10.58,10.58,58000,10.5862,14
12,2015-02-02 20:42:00,10.58,10.58,10.56,10.56,58000,10.5772,9
13,2015-02-02 20:43:00,10.56,10.58,10.54,10.56,140000,10.5671,17
14,2015-02-02 20:44:00,10.58,10.58,10.56,10.56,46000,10.5609,4
15,2015-02-02 20:45:00,10.58,10.58,10.56,10.56,50000,10.5624,8
16,2015-02-02 20:46:00,10.54,10.58,10.54,10.58,440000,10.5642,9
17,2015-02-02 20:47:00,10.6,10.62,10.58,10.62,114000,10.5874,3
18,2015-02-02 20:48:00,10.62,10.62,10.62,10.62,8000,10.62,3
19,2015-02-02 20:49:00,10.62,10.64,10.6,10.6,76000,10.6189,5
20,2015-02-02 20:50:00,10.62,10.62,10.62,10.62,88000,10.62,7
21,2015-02-02 20:51:00,10.62,10.62,10.62,10.62,2000,10.62,1
22,2015-02-02 20:52:00,10.62,10.62,10.62,10.62,14000,10.62,3
23,2015-02-02 20:53:00,10.62,10.62,10.6,10.6,68000,10.6024,6
24,2015-02-02 20:54:00,10.58,10.58,10.58,10.58,38000,10.58,2
25,2015-02-02 20:55:00,10.58,10.58,10.54,10.56,206000,10.574,10
26,2015-02-02 20:56:00,10.54,10.56,10.54,10.56,4000,10.55,2
27,2015-02-02 20:57:00,10.54,10.56,10.54,10.56,90000,10.5404,6
28,2015-02-02 20:58:00,10.56,10.56,10.52,10.52,134000,10.5397,8
29,2015-02-02 20:59:00,10.54,10.54,10.52,10.52,146000,10.5268,4
30,2015-02-02 21:00:00,10.52,10.52,10.52,10.52,116000,10.52,12
31,2015-02-02 21:01:00,10.54,10.54,10.52,10.52,100000,10.5244,6
32,2015-02-02 21:02:00,10.52,10.52,10.5,10.5,64000,10.5038,4
33,2015-02-02 21:03:00,10.5,10.5,10.46,10.46,204000,10.4839,16
34,2015-02-02 21:04:00,10.48,10.52,10.48,10.52,120000,10.491,7
35,2015-02-02 21:05:00,10.52,10.52,10.48,10.48,32000,10.5075,5
36,2015-02-02 21:06:00,10.52,10.52,10.5,10.5,50000,10.5184,2
37,2015-02-02 21:07:00,10.52,10.52,10.52,10.52,46000,10.52,4
38,2015-02-02 21:08:00,10.52,10.52,10.52,10.52,32000,10.52,2
39,2015-02-02 21:09:00,10.52,10.54,10.52,10.54,18000,10.5222,3
40,2015-02-02 21:10:00,10.52,10.52,10.5,10.52,66000,10.5176,6
41,2015-02-02 21:11:00,10.5,10.5,10.48,10.48,92000,10.4987,4
42,2015-02-02 21:12:00,10.48,10.48,10.48,10.48,70000,10.48,7
43,2015-02-02 21:13:00,10.5,10.5,10.5,10.5,114000,10.5,2
44,2015-02-02 21:14:00,10.5,10.5,10.5,10.5,50000,10.5,1
45,2015-02-02 21:15:00,10.5,10.5,10.5,10.5,0,10.5,0
46,2015-02-02 21:16:00,10.5,10.5,10.5,10.5,0,10.5,0
47,2015-02-02 21:17:00,10.48,10.5,10.46,10.5,112000,10.4757,6
48,2015-02-02 21:18:00,10.48,10.48,10.48,10.48,2000,10.48,1
49,2015-02-02 21:19:00,10.5,10.52,10.5,10.52,72000,10.5006,4
50,2015-02-02 21:20:00,10.5,10.56,10.5,10.56,164000,10.5276,7
51,2015-02-02 21:21:00,10.56,10.56,10.56,10.56,0,10.56,0
52,2015-02-02 21:22:00,10.56,10.56,10.56,10.56,0,10.56,0
53,2015-02-02 21:23:00,10.56,10.56,10.54,10.56,36000,10.5456,5
54,2015-02-02 21:24:00,10.56,10.56,10.56,10.56,0,10.56,0
55,2015-02-02 21:25:00,10.52,10.52,10.5,10.5,48000,10.5192,6
56,2015-02-02 21:26:00,10.5,10.5,10.5,10.5,0,10.5,0
57,2015-02-02 21:27:00,10.5,10.5,10.5,10.5,72000,10.5,3
58,2015-02-02 21:28:00,10.5,10.5,10.5,10.5,8000,10.5,2
59,2015-02-02 21:29:00,10.5,10.5,10.48,10.5,10000,10.496,3
60,2015-02-02 21:30:00,10.5,10.5,10.48,10.48,4000,10.49,2
61,2015-02-02 21:31:00,10.48,10.5,10.48,10.48,102000,10.4808,6
62,2015-02-02 21:32:00,10.48,10.48,10.48,10.48,0,10.48,0
63,2015-02-02 21:33:00,10.48,10.48,10.48,10.48,18000,10.48,3
64,2015-02-02 21:34:00,10.48,10.48,10.48,10.48,90000,10.48,5
65,2015-02-02 21:35:00,10.48,10.52,10.48,10.52,58000,10.5007,3
66,2015-02-02 21:36:00,10.52,10.52,10.52,10.52,4000,10.52,1
67,2015-02-02 21:37:00,10.5,10.5,10.5,10.5,66000,10.5,3
68,2015-02-02 21:38:00,10.5,10.5,10.5,10.5,0,10.5,0
69,2015-02-02 21:39:00,10.5,10.5,10.5,10.5,0,10.5,0
70,2015-02-02 21:40:00,10.52,10.52,10.5,10.5,100000,10.5008,5
