,date,open,high,low,close,volume,average,barCount
0,2015-04-10,26.06,26.32,25.8,26.08,-1,-1.0,-1
1,2015-04-13,25.57,26.06,25.31,25.59,-1,-1.0,-1
2,2015-04-14,24.9,25.13,24.72,24.92,-1,-1.0,-1
3,2015-04-15,24.36,24.47,24.22,24.37,-1,-1.0,-1
4,2015-04-16,25.55,25.8,25.19,25.56,-1,-1.0,-1
5,2015-04-17,23.83,24.23,23.56,23.85,-1,-1.0,-1
6,2015-04-20,24.13,24.25,23.86,24.15,-1,-1.0,-1
7,2015-04-21,24.98,25.19,24.85,25.01,-1,-1.0,-1
8,2015-04-22,25.01,25.17,24.83,25.03,-1,-1.0,-1
9,2015-04-23,24.45,24.62,24.1,24.48,-1,-1.0,-1
10,2015-04-24,24.44,24.52,24.36,24.45,-1,-1.0,-1
11,2015-04-27,24.6,24.73,24.48,24.62,-1,-1.0,-1
12,2015-04-28,24.93,25.49,24.61,24.97,-1,-1.0,-1
13,2015-04-29,24.55,24.79,24.38,24.58,-1,-1.0,-1
14,2015-04-30,24.22,24.44,24.1,24.24,-1,-1.0,-1
15,2015-05-01,24.34,24.5,24.15,24.37,-1,-1.0,-1
16,2015-05-04,24.47,24.68,24.17,24.49,-1,-1.0,-1
17,2015-05-05,23.82,24.07,23.69,23.84,-1,-1.0,-1
18,2015-05-06,24.13,24.6,23.89,24.15,-1,-1.0,-1
19,2015-05-07,23.99,24.16,23.84,24.01,-1,-1.0,-1
20,2015-05-08,24.55,24.69,24.35,24.57,-1,-1.0,-1
21,2015-05-11,24.7,24.79,24.54,24.72,-1,-1.0,-1
22,2015-05-12,24.16,24.35,23.94,24.19,-1,-1.0,-1
23,2015-05-13,23.64,23.86,23.47,23.66,-1,-1.0,-1
24,2015-05-14,23.72,23.82,23.43,23.73,-1,-1.0,-1
25,2015-05-15,24.04,24.17,23.93,24.05,-1,-1.0,-1
26,2015-05-18,23.75,23.84,23.58,23.77,-1,-1.0,-1
27,2015-05-19,24.29,24.42,24.19,24.31,-1,-1.0,-1
28,2015-05-20,24.31,24.44,24.21,24.33,-1,-1.0,-1
29,2015-05-21,24.1,24.21,23.96,24.12,-1,-1.0,-1
30,2015-05-22,25.23,25.52,24.98,25.25,-1,-1.0,-1
