(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 1.9, -0.5, 2.4), Return: 0.97%, Hit Ratio: 50.0%, Max Drawdown: 0.3%
(100, 1.9, -0.5, 2.4): Return: 0.97%, Hit Ratio: 50.0%, Max Drawdown: 0.3%
(100, 1.9, -0.6, 2.4): Return: 0.96%, Hit Ratio: 50.0%, Max Drawdown: 0.3%
(105, 1.9, -0.6, 2.4): Return: 0.94%, Hit Ratio: 50.0%, Max Drawdown: 0.3%
(105, 1.9, -0.6, 2.4): Return: 0.94%, Hit Ratio: 50.0%, Max Drawdown: 0.3%
(105, 1.9, -0.5, 2.4): Return: 0.93%, Hit Ratio: 42.86%, Max Drawdown: 0.3%
(105, 1.9, -0.5, 2.4): Return: 0.93%, Hit Ratio: 42.86%, Max Drawdown: 0.3%
(105, 1.9, -0.7, 2.4): Return: 0.86%, Hit Ratio: 42.86%, Max Drawdown: 0.3%
(105, 1.9, -0.3, 2.4): Return: 0.86%, Hit Ratio: 53.33%, Max Drawdown: 0.23%
(105, 1.9, -0.7, 2.4): Return: 0.86%, Hit Ratio: 42.86%, Max Drawdown: 0.3%
(105, 1.9, -0.3, 2.4): Return: 0.86%, Hit Ratio: 53.33%, Max Drawdown: 0.23%
(100, 1.9, -0.7, 2.4): Return: 0.84%, Hit Ratio: 42.86%, Max Drawdown: 0.3%
(100, 1.9, -0.4, 2.4): Return: 0.84%, Hit Ratio: 53.33%, Max Drawdown: 0.23%
(100, 1.9, -0.3, 2.4): Return: 0.84%, Hit Ratio: 53.33%, Max Drawdown: 0.23%
(105, 1.9, -0.4, 2.4): Return: 0.81%, Hit Ratio: 46.67%, Max Drawdown: 0.23%
(105, 1.9, -0.4, 2.4): Return: 0.81%, Hit Ratio: 46.67%, Max Drawdown: 0.23%
(90, 1.9, -0.6, 2.3): Return: 0.8%, Hit Ratio: 53.85%, Max Drawdown: 0.12%
(90, 1.9, -0.5, 2.3): Return: 0.8%, Hit Ratio: 53.85%, Max Drawdown: 0.12%
(110, 1.9, -0.6, 2.5): Return: 0.79%, Hit Ratio: 50.0%, Max Drawdown: 0.3%
(110, 1.9, -0.7, 2.5): Return: 0.78%, Hit Ratio: 50.0%, Max Drawdown: 0.3%
(110, 1.9, -0.5, 2.5): Return: 0.78%, Hit Ratio: 43.75%, Max Drawdown: 0.3%
(90, 1.9, -0.3, 2.3): Return: 0.77%, Hit Ratio: 53.85%, Max Drawdown: 0.12%
(90, 1.9, -0.7, 2.3): Return: 0.74%, Hit Ratio: 53.85%, Max Drawdown: 0.12%
(100, 1.9, -0.5, 2.7): Return: 0.74%, Hit Ratio: 45.0%, Max Drawdown: 0.36%
(110, 1.9, -0.6, 2.7): Return: 0.74%, Hit Ratio: 47.62%, Max Drawdown: 0.35%
(100, 1.9, -0.6, 2.7): Return: 0.73%, Hit Ratio: 45.0%, Max Drawdown: 0.36%
(110, 1.9, -0.7, 2.7): Return: 0.73%, Hit Ratio: 47.62%, Max Drawdown: 0.35%
(110, 1.9, -0.5, 2.7): Return: 0.73%, Hit Ratio: 42.86%, Max Drawdown: 0.37%
(90, 1.9, -0.4, 2.3): Return: 0.72%, Hit Ratio: 46.15%, Max Drawdown: 0.12%
(90, 2.0, -0.6, 2.3): Return: 0.72%, Hit Ratio: 44.44%, Max Drawdown: 0.11%
(90, 2.0, -0.5, 2.3): Return: 0.72%, Hit Ratio: 44.44%, Max Drawdown: 0.11%
(90, 2.0, -0.4, 2.3): Return: 0.72%, Hit Ratio: 44.44%, Max Drawdown: 0.11%
(90, 2.0, -0.3, 2.3): Return: 0.72%, Hit Ratio: 44.44%, Max Drawdown: 0.11%
(90, 2.1, -0.6, 2.3): Return: 0.72%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(90, 2.1, -0.5, 2.3): Return: 0.72%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(90, 2.1, -0.4, 2.3): Return: 0.72%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(90, 2.1, -0.3, 2.3): Return: 0.72%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(105, 1.9, -0.6, 2.6): Return: 0.71%, Hit Ratio: 47.37%, Max Drawdown: 0.35%
(100, 1.9, -0.5, 2.6): Return: 0.71%, Hit Ratio: 44.44%, Max Drawdown: 0.36%
(100, 2.0, -0.6, 2.4): Return: 0.71%, Hit Ratio: 60.0%, Max Drawdown: 0.11%
(100, 2.0, -0.5, 2.4): Return: 0.71%, Hit Ratio: 60.0%, Max Drawdown: 0.11%
(105, 1.9, -0.6, 2.6): Return: 0.71%, Hit Ratio: 47.37%, Max Drawdown: 0.35%
(110, 1.9, -0.6, 2.6): Return: 0.71%, Hit Ratio: 47.37%, Max Drawdown: 0.35%
(110, 1.9, -0.4, 2.5): Return: 0.71%, Hit Ratio: 52.94%, Max Drawdown: 0.24%
(110, 1.9, -0.3, 2.5): Return: 0.71%, Hit Ratio: 52.94%, Max Drawdown: 0.24%
(90, 2.1, -0.7, 2.3): Return: 0.7%, Hit Ratio: 60.0%, Max Drawdown: 0.05%
(105, 1.9, -0.5, 2.6): Return: 0.7%, Hit Ratio: 42.11%, Max Drawdown: 0.37%
(100, 1.9, -0.6, 2.6): Return: 0.7%, Hit Ratio: 44.44%, Max Drawdown: 0.36%
(105, 1.9, -0.5, 2.6): Return: 0.7%, Hit Ratio: 42.11%, Max Drawdown: 0.37%
(110, 1.9, -0.7, 2.6): Return: 0.7%, Hit Ratio: 47.37%, Max Drawdown: 0.35%
(110, 1.9, -0.5, 2.6): Return: 0.7%, Hit Ratio: 42.11%, Max Drawdown: 0.37%
(105, 1.9, -0.6, 2.5): Return: 0.68%, Hit Ratio: 47.06%, Max Drawdown: 0.38%
(105, 2.0, -0.5, 2.4): Return: 0.68%, Hit Ratio: 50.0%, Max Drawdown: 0.11%
(100, 1.9, -0.5, 2.5): Return: 0.68%, Hit Ratio: 43.75%, Max Drawdown: 0.39%
(105, 1.9, -0.6, 2.5): Return: 0.68%, Hit Ratio: 47.06%, Max Drawdown: 0.38%
(105, 2.0, -0.5, 2.4): Return: 0.68%, Hit Ratio: 50.0%, Max Drawdown: 0.11%
(90, 2.0, -0.7, 2.3): Return: 0.67%, Hit Ratio: 44.44%, Max Drawdown: 0.11%
(105, 1.9, -0.5, 2.5): Return: 0.67%, Hit Ratio: 41.18%, Max Drawdown: 0.4%
(105, 2.0, -0.7, 2.4): Return: 0.67%, Hit Ratio: 50.0%, Max Drawdown: 0.11%
(105, 2.0, -0.6, 2.4): Return: 0.67%, Hit Ratio: 50.0%, Max Drawdown: 0.11%
(100, 1.9, -0.6, 2.5): Return: 0.67%, Hit Ratio: 43.75%, Max Drawdown: 0.39%
