(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 1.2, -0.7, 2.8), Return: 0.34%, Hit Ratio: 43.75%, Max Drawdown: 0.26%
(20, 1.2, -0.7, 2.8): Return: 0.34%, Hit Ratio: 43.75%, Max Drawdown: 0.26%
(20, 1.2, -0.7, 2.9): Return: 0.34%, Hit Ratio: 43.75%, Max Drawdown: 0.26%
(20, 1.2, -0.7, 3.0): Return: 0.33%, Hit Ratio: 43.08%, Max Drawdown: 0.27%
(20, 1.2, -0.7, 3.1): Return: 0.33%, Hit Ratio: 43.08%, Max Drawdown: 0.27%
(20, 1.2, -0.7, 3.2): Return: 0.33%, Hit Ratio: 43.08%, Max Drawdown: 0.27%
(20, 1.2, -0.6, 2.8): Return: 0.28%, Hit Ratio: 38.81%, Max Drawdown: 0.29%
(20, 1.2, -0.6, 2.9): Return: 0.28%, Hit Ratio: 38.81%, Max Drawdown: 0.29%
(20, 1.2, -0.5, 2.8): Return: 0.27%, Hit Ratio: 39.13%, Max Drawdown: 0.27%
(20, 1.2, -0.5, 2.9): Return: 0.27%, Hit Ratio: 39.13%, Max Drawdown: 0.27%
(20, 1.2, -0.6, 3.0): Return: 0.26%, Hit Ratio: 38.24%, Max Drawdown: 0.31%
(20, 1.2, -0.6, 3.1): Return: 0.26%, Hit Ratio: 38.24%, Max Drawdown: 0.31%
(20, 1.2, -0.6, 3.2): Return: 0.26%, Hit Ratio: 38.24%, Max Drawdown: 0.31%
(20, 1.2, -0.5, 3.0): Return: 0.25%, Hit Ratio: 38.57%, Max Drawdown: 0.29%
(20, 1.2, -0.5, 3.1): Return: 0.25%, Hit Ratio: 38.57%, Max Drawdown: 0.29%
(20, 1.2, -0.5, 3.2): Return: 0.25%, Hit Ratio: 38.57%, Max Drawdown: 0.29%
(20, 1.0, -0.6, 2.8): Return: 0.21%, Hit Ratio: 38.82%, Max Drawdown: 0.45%
(20, 1.0, -0.6, 2.9): Return: 0.21%, Hit Ratio: 38.82%, Max Drawdown: 0.45%
(30, 1.0, -0.6, 2.8): Return: 0.21%, Hit Ratio: 39.33%, Max Drawdown: 0.33%
(30, 1.0, -0.6, 2.9): Return: 0.21%, Hit Ratio: 39.33%, Max Drawdown: 0.33%
(30, 1.0, -0.6, 3.0): Return: 0.21%, Hit Ratio: 39.33%, Max Drawdown: 0.33%
(30, 1.0, -0.6, 3.1): Return: 0.21%, Hit Ratio: 39.33%, Max Drawdown: 0.33%
(30, 1.0, -0.6, 3.2): Return: 0.2%, Hit Ratio: 38.89%, Max Drawdown: 0.35%
(20, 1.0, -0.6, 3.0): Return: 0.19%, Hit Ratio: 38.37%, Max Drawdown: 0.47%
(20, 1.0, -0.6, 3.1): Return: 0.19%, Hit Ratio: 38.37%, Max Drawdown: 0.47%
(20, 1.0, -0.6, 3.2): Return: 0.19%, Hit Ratio: 38.37%, Max Drawdown: 0.47%
(30, 1.1, -0.6, 2.8): Return: 0.18%, Hit Ratio: 38.96%, Max Drawdown: 0.39%
(30, 1.1, -0.6, 2.9): Return: 0.18%, Hit Ratio: 38.96%, Max Drawdown: 0.39%
(30, 1.1, -0.6, 3.0): Return: 0.18%, Hit Ratio: 38.96%, Max Drawdown: 0.39%
(30, 1.1, -0.6, 3.1): Return: 0.18%, Hit Ratio: 38.96%, Max Drawdown: 0.39%
(20, 1.0, -0.7, 2.8): Return: 0.17%, Hit Ratio: 39.51%, Max Drawdown: 0.44%
(20, 1.0, -0.7, 2.9): Return: 0.17%, Hit Ratio: 39.51%, Max Drawdown: 0.44%
(20, 0.9, -0.7, 2.8): Return: 0.16%, Hit Ratio: 40.0%, Max Drawdown: 0.43%
(20, 0.9, -0.7, 2.9): Return: 0.16%, Hit Ratio: 40.0%, Max Drawdown: 0.43%
(20, 0.9, -0.6, 2.8): Return: 0.16%, Hit Ratio: 38.14%, Max Drawdown: 0.43%
(20, 0.9, -0.6, 2.9): Return: 0.16%, Hit Ratio: 38.14%, Max Drawdown: 0.43%
(20, 1.0, -0.7, 3.0): Return: 0.16%, Hit Ratio: 39.02%, Max Drawdown: 0.45%
(20, 1.0, -0.7, 3.1): Return: 0.16%, Hit Ratio: 39.02%, Max Drawdown: 0.45%
(20, 1.0, -0.7, 3.2): Return: 0.16%, Hit Ratio: 39.02%, Max Drawdown: 0.45%
(20, 1.0, -0.5, 2.8): Return: 0.16%, Hit Ratio: 38.2%, Max Drawdown: 0.48%
(20, 1.0, -0.5, 2.9): Return: 0.16%, Hit Ratio: 38.2%, Max Drawdown: 0.48%
