(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (20, 1.8, -0.7, 2.7), Return: 0.27%, Hit Ratio: 59.46%, Max Drawdown: 0.13%
(20, 1.8, -0.7, 2.7): Return: 0.27%, Hit Ratio: 59.46%, Max Drawdown: 0.13%
(20, 1.8, -0.6, 2.7): Return: 0.27%, Hit Ratio: 63.16%, Max Drawdown: 0.13%
(20, 1.8, -0.5, 2.4): Return: 0.27%, Hit Ratio: 64.52%, Max Drawdown: 0.13%
(20, 1.8, -0.5, 2.7): Return: 0.27%, Hit Ratio: 63.16%, Max Drawdown: 0.14%
(20, 1.8, -0.7, 2.4): Return: 0.26%, Hit Ratio: 60.0%, Max Drawdown: 0.13%
(20, 1.8, -0.7, 2.6): Return: 0.26%, Hit Ratio: 57.14%, Max Drawdown: 0.13%
(20, 1.8, -0.6, 2.4): Return: 0.26%, Hit Ratio: 64.52%, Max Drawdown: 0.13%
(20, 1.8, -0.6, 2.6): Return: 0.26%, Hit Ratio: 61.11%, Max Drawdown: 0.13%
(20, 1.8, -0.5, 2.6): Return: 0.26%, Hit Ratio: 61.11%, Max Drawdown: 0.14%
(20, 1.8, -0.4, 2.4): Return: 0.26%, Hit Ratio: 67.74%, Max Drawdown: 0.13%
(20, 1.8, -0.7, 2.5): Return: 0.25%, Hit Ratio: 57.58%, Max Drawdown: 0.13%
(20, 1.8, -0.6, 2.5): Return: 0.25%, Hit Ratio: 61.76%, Max Drawdown: 0.13%
(20, 1.8, -0.5, 2.5): Return: 0.25%, Hit Ratio: 61.76%, Max Drawdown: 0.14%
(20, 1.8, -0.4, 2.5): Return: 0.24%, Hit Ratio: 64.71%, Max Drawdown: 0.13%
(20, 1.8, -0.3, 2.4): Return: 0.23%, Hit Ratio: 64.52%, Max Drawdown: 0.13%
(35, 2.0, -0.7, 2.6): Return: 0.23%, Hit Ratio: 56.0%, Max Drawdown: 0.13%
(35, 2.0, -0.7, 2.6): Return: 0.23%, Hit Ratio: 56.0%, Max Drawdown: 0.13%
(20, 1.8, -0.5, 2.3): Return: 0.22%, Hit Ratio: 62.07%, Max Drawdown: 0.13%
(20, 1.8, -0.4, 2.7): Return: 0.22%, Hit Ratio: 63.16%, Max Drawdown: 0.13%
(20, 1.8, -0.7, 2.3): Return: 0.21%, Hit Ratio: 57.14%, Max Drawdown: 0.13%
(20, 1.8, -0.6, 2.3): Return: 0.21%, Hit Ratio: 62.07%, Max Drawdown: 0.13%
(20, 1.8, -0.4, 2.3): Return: 0.21%, Hit Ratio: 65.52%, Max Drawdown: 0.13%
(20, 1.8, -0.4, 2.6): Return: 0.21%, Hit Ratio: 61.11%, Max Drawdown: 0.13%
(35, 2.0, -0.6, 2.6): Return: 0.21%, Hit Ratio: 56.0%, Max Drawdown: 0.13%
(35, 2.0, -0.6, 2.6): Return: 0.21%, Hit Ratio: 56.0%, Max Drawdown: 0.13%
(30, 1.9, -0.7, 2.4): Return: 0.2%, Hit Ratio: 45.83%, Max Drawdown: 0.13%
(40, 2.1, -0.7, 2.6): Return: 0.2%, Hit Ratio: 59.09%, Max Drawdown: 0.13%
(40, 2.1, -0.6, 2.6): Return: 0.2%, Hit Ratio: 59.09%, Max Drawdown: 0.13%
(20, 1.8, -0.3, 2.5): Return: 0.19%, Hit Ratio: 61.76%, Max Drawdown: 0.13%
(20, 1.8, -0.3, 2.3): Return: 0.18%, Hit Ratio: 62.07%, Max Drawdown: 0.13%
(20, 1.8, -0.3, 2.7): Return: 0.18%, Hit Ratio: 60.53%, Max Drawdown: 0.13%
(35, 2.0, -0.5, 2.6): Return: 0.18%, Hit Ratio: 56.0%, Max Drawdown: 0.13%
(35, 2.0, -0.3, 2.6): Return: 0.18%, Hit Ratio: 60.0%, Max Drawdown: 0.13%
(30, 1.9, -0.7, 2.7): Return: 0.18%, Hit Ratio: 50.0%, Max Drawdown: 0.13%
(30, 1.9, -0.5, 2.4): Return: 0.18%, Hit Ratio: 54.17%, Max Drawdown: 0.15%
(30, 2.0, -0.7, 2.4): Return: 0.18%, Hit Ratio: 43.48%, Max Drawdown: 0.14%
(30, 2.0, -0.5, 2.4): Return: 0.18%, Hit Ratio: 52.17%, Max Drawdown: 0.15%
(35, 2.0, -0.5, 2.6): Return: 0.18%, Hit Ratio: 56.0%, Max Drawdown: 0.13%
(35, 2.0, -0.3, 2.6): Return: 0.18%, Hit Ratio: 60.0%, Max Drawdown: 0.13%
(40, 2.1, -0.5, 2.6): Return: 0.18%, Hit Ratio: 59.09%, Max Drawdown: 0.13%
