The return of ADR_underlying pairs trading for LFC_2628 from China is 33.44748169756986%
Hyperparameters: Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 31.20673393105698%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 31.20673393105698%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 31.20673393105698%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 33.44748169756986%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3	Return: 33.44748169756986%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 33.44748169756986%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 16.129874884119765%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 16.129874884119765%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 16.129874884119765%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 22.84385487323935%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 22.84385487323935%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 22.84385487323935%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 24.153841122144673%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 24.153841122144673%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 24.153841122144673%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 20.012822336934608%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 20.012822336934608%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 20.012822336934608%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 7.996303715404647%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 7.996303715404647%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 7.996303715404647%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 6.32879630006061%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3	Return: 6.32879630006061%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3.5	Return: 6.32879630006061%
