(Lookback, Entry, Exit, Stop-loss)
Best HPs: (65, 1.0, -0.6, 2.3), Return: 0.95%, Hit Ratio: 44.07%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.3): Return: 0.95%, Hit Ratio: 44.07%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.4): Return: 0.95%, Hit Ratio: 44.07%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.5): Return: 0.95%, Hit Ratio: 44.07%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.3): Return: 0.95%, Hit Ratio: 44.07%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.4): Return: 0.95%, Hit Ratio: 44.07%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.5): Return: 0.95%, Hit Ratio: 44.07%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.6): Return: 0.93%, Hit Ratio: 44.07%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.6): Return: 0.93%, Hit Ratio: 44.07%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.7): Return: 0.92%, Hit Ratio: 43.33%, Max Drawdown: 0.92%
(65, 1.0, -0.6, 2.7): Return: 0.92%, Hit Ratio: 43.33%, Max Drawdown: 0.92%
(50, 0.9, -0.7, 2.5): Return: 0.91%, Hit Ratio: 45.83%, Max Drawdown: 0.92%
(50, 0.9, -0.7, 2.6): Return: 0.9%, Hit Ratio: 46.48%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.3): Return: 0.9%, Hit Ratio: 43.1%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.4): Return: 0.9%, Hit Ratio: 43.1%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.5): Return: 0.9%, Hit Ratio: 43.1%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.3): Return: 0.9%, Hit Ratio: 43.1%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.4): Return: 0.9%, Hit Ratio: 43.1%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.5): Return: 0.9%, Hit Ratio: 43.1%, Max Drawdown: 0.92%
(50, 0.9, -0.7, 2.3): Return: 0.89%, Hit Ratio: 46.48%, Max Drawdown: 0.92%
(50, 0.9, -0.7, 2.4): Return: 0.89%, Hit Ratio: 46.48%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.6): Return: 0.89%, Hit Ratio: 43.1%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.6): Return: 0.89%, Hit Ratio: 43.1%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.7): Return: 0.88%, Hit Ratio: 42.37%, Max Drawdown: 0.92%
(65, 1.0, -0.7, 2.7): Return: 0.88%, Hit Ratio: 42.37%, Max Drawdown: 0.92%
(70, 0.8, -0.7, 2.3): Return: 0.88%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(70, 0.8, -0.7, 2.4): Return: 0.88%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(70, 0.8, -0.7, 2.5): Return: 0.88%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(70, 0.8, -0.7, 2.6): Return: 0.87%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(70, 0.8, -0.6, 2.3): Return: 0.86%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(70, 0.8, -0.6, 2.4): Return: 0.86%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(70, 0.8, -0.6, 2.5): Return: 0.86%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(60, 0.8, -0.7, 2.7): Return: 0.85%, Hit Ratio: 49.32%, Max Drawdown: 0.96%
(50, 0.9, -0.6, 2.5): Return: 0.84%, Hit Ratio: 43.24%, Max Drawdown: 0.91%
(60, 0.8, -0.7, 2.3): Return: 0.84%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(60, 0.8, -0.7, 2.4): Return: 0.84%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(60, 0.8, -0.7, 2.5): Return: 0.84%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(70, 0.8, -0.6, 2.6): Return: 0.84%, Hit Ratio: 50.0%, Max Drawdown: 0.98%
(50, 0.9, -0.6, 2.6): Return: 0.83%, Hit Ratio: 43.84%, Max Drawdown: 0.91%
(60, 0.8, -0.7, 2.6): Return: 0.83%, Hit Ratio: 50.0%, Max Drawdown: 0.99%
(60, 1.0, -0.7, 2.7): Return: 0.83%, Hit Ratio: 42.37%, Max Drawdown: 0.92%
(50, 0.9, -0.6, 2.3): Return: 0.82%, Hit Ratio: 43.84%, Max Drawdown: 0.94%
