(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 1.4, -0.7, 2.3), Return: 1.18%, Hit Ratio: 51.35%, Max Drawdown: 0.84%
(50, 1.4, -0.7, 2.3): Return: 1.18%, Hit Ratio: 51.35%, Max Drawdown: 0.84%
(50, 1.6, -0.7, 2.3): Return: 1.12%, Hit Ratio: 49.06%, Max Drawdown: 0.73%
(50, 1.6, -0.6, 2.3): Return: 0.97%, Hit Ratio: 49.06%, Max Drawdown: 0.73%
(50, 1.6, -0.3, 2.3): Return: 0.9%, Hit Ratio: 52.83%, Max Drawdown: 0.5%
(50, 1.4, -0.6, 2.3): Return: 0.85%, Hit Ratio: 51.35%, Max Drawdown: 0.84%
(50, 1.4, -0.5, 2.3): Return: 0.82%, Hit Ratio: 52.7%, Max Drawdown: 0.84%
(50, 1.4, -0.4, 2.3): Return: 0.82%, Hit Ratio: 51.35%, Max Drawdown: 0.82%
(50, 1.5, -0.7, 2.3): Return: 0.8%, Hit Ratio: 44.62%, Max Drawdown: 0.84%
(50, 1.6, -0.4, 2.3): Return: 0.8%, Hit Ratio: 49.06%, Max Drawdown: 0.52%
(50, 1.4, -0.3, 2.3): Return: 0.79%, Hit Ratio: 52.7%, Max Drawdown: 0.78%
(50, 1.6, -0.5, 2.3): Return: 0.77%, Hit Ratio: 49.06%, Max Drawdown: 0.73%
(60, 1.5, -0.5, 2.3): Return: 0.66%, Hit Ratio: 50.79%, Max Drawdown: 0.75%
(50, 1.5, -0.4, 2.3): Return: 0.61%, Hit Ratio: 47.69%, Max Drawdown: 0.78%
(60, 1.5, -0.7, 2.3): Return: 0.61%, Hit Ratio: 43.55%, Max Drawdown: 0.75%
(60, 1.5, -0.6, 2.3): Return: 0.61%, Hit Ratio: 47.62%, Max Drawdown: 0.75%
(50, 1.5, -0.6, 2.3): Return: 0.6%, Hit Ratio: 46.15%, Max Drawdown: 0.84%
(65, 1.6, -0.4, 2.3): Return: 0.6%, Hit Ratio: 50.98%, Max Drawdown: 0.58%
(65, 1.6, -0.4, 2.3): Return: 0.6%, Hit Ratio: 50.98%, Max Drawdown: 0.58%
(50, 1.4, -0.7, 2.4): Return: 0.59%, Hit Ratio: 50.0%, Max Drawdown: 0.9%
(50, 1.5, -0.5, 2.3): Return: 0.58%, Hit Ratio: 47.69%, Max Drawdown: 0.84%
(50, 1.5, -0.3, 2.3): Return: 0.58%, Hit Ratio: 50.77%, Max Drawdown: 0.74%
(50, 1.6, -0.7, 2.4): Return: 0.58%, Hit Ratio: 47.27%, Max Drawdown: 0.75%
(60, 1.5, -0.5, 2.4): Return: 0.54%, Hit Ratio: 50.79%, Max Drawdown: 0.83%
(60, 1.5, -0.5, 2.5): Return: 0.54%, Hit Ratio: 50.79%, Max Drawdown: 0.83%
(60, 1.3, -0.7, 2.3): Return: 0.52%, Hit Ratio: 45.68%, Max Drawdown: 1.1%
(70, 1.7, -0.5, 2.4): Return: 0.52%, Hit Ratio: 53.49%, Max Drawdown: 0.64%
(70, 1.7, -0.5, 2.5): Return: 0.52%, Hit Ratio: 53.49%, Max Drawdown: 0.64%
(70, 1.7, -0.5, 2.6): Return: 0.52%, Hit Ratio: 53.49%, Max Drawdown: 0.64%
(60, 1.3, -0.6, 2.3): Return: 0.5%, Hit Ratio: 47.56%, Max Drawdown: 1.1%
(60, 1.5, -0.7, 2.4): Return: 0.5%, Hit Ratio: 43.55%, Max Drawdown: 0.75%
(60, 1.5, -0.7, 2.5): Return: 0.5%, Hit Ratio: 43.55%, Max Drawdown: 0.75%
(60, 1.5, -0.6, 2.4): Return: 0.5%, Hit Ratio: 47.62%, Max Drawdown: 0.83%
(60, 1.5, -0.6, 2.5): Return: 0.5%, Hit Ratio: 47.62%, Max Drawdown: 0.83%
(50, 1.4, -0.7, 2.5): Return: 0.49%, Hit Ratio: 49.35%, Max Drawdown: 0.9%
(50, 1.6, -0.7, 2.5): Return: 0.49%, Hit Ratio: 46.43%, Max Drawdown: 0.75%
(65, 1.6, -0.4, 2.4): Return: 0.47%, Hit Ratio: 50.0%, Max Drawdown: 0.7%
(65, 1.6, -0.4, 2.5): Return: 0.47%, Hit Ratio: 50.0%, Max Drawdown: 0.7%
(65, 1.6, -0.4, 2.6): Return: 0.47%, Hit Ratio: 50.0%, Max Drawdown: 0.7%
(65, 1.6, -0.4, 2.4): Return: 0.47%, Hit Ratio: 50.0%, Max Drawdown: 0.7%
(65, 1.6, -0.4, 2.5): Return: 0.47%, Hit Ratio: 50.0%, Max Drawdown: 0.7%
(65, 1.6, -0.4, 2.6): Return: 0.47%, Hit Ratio: 50.0%, Max Drawdown: 0.7%
(65, 1.7, -0.5, 2.3): Return: 0.46%, Hit Ratio: 52.38%, Max Drawdown: 0.64%
(65, 1.7, -0.5, 2.3): Return: 0.46%, Hit Ratio: 52.38%, Max Drawdown: 0.64%
(70, 1.7, -0.4, 2.4): Return: 0.46%, Hit Ratio: 53.49%, Max Drawdown: 0.6%
(70, 1.7, -0.4, 2.5): Return: 0.46%, Hit Ratio: 53.49%, Max Drawdown: 0.6%
(70, 1.7, -0.4, 2.6): Return: 0.46%, Hit Ratio: 53.49%, Max Drawdown: 0.6%
(60, 1.5, -0.4, 2.3): Return: 0.44%, Hit Ratio: 50.0%, Max Drawdown: 0.73%
(50, 1.6, -0.6, 2.4): Return: 0.43%, Hit Ratio: 47.27%, Max Drawdown: 0.73%
(65, 1.7, -0.4, 2.3): Return: 0.43%, Hit Ratio: 52.38%, Max Drawdown: 0.63%
(60, 1.5, -0.3, 2.3): Return: 0.43%, Hit Ratio: 51.56%, Max Drawdown: 0.81%
(65, 1.7, -0.4, 2.3): Return: 0.43%, Hit Ratio: 52.38%, Max Drawdown: 0.63%
(65, 1.6, -0.3, 2.3): Return: 0.42%, Hit Ratio: 50.98%, Max Drawdown: 0.59%
(65, 1.6, -0.3, 2.3): Return: 0.42%, Hit Ratio: 50.98%, Max Drawdown: 0.59%
(60, 1.3, -0.7, 2.4): Return: 0.41%, Hit Ratio: 45.68%, Max Drawdown: 1.1%
(60, 1.3, -0.7, 2.5): Return: 0.41%, Hit Ratio: 45.68%, Max Drawdown: 1.1%
(60, 1.3, -0.6, 2.4): Return: 0.39%, Hit Ratio: 47.56%, Max Drawdown: 1.1%
(60, 1.3, -0.6, 2.5): Return: 0.39%, Hit Ratio: 47.56%, Max Drawdown: 1.1%
(60, 1.3, -0.5, 2.3): Return: 0.38%, Hit Ratio: 48.81%, Max Drawdown: 1.1%
(65, 1.6, -0.5, 2.3): Return: 0.37%, Hit Ratio: 49.02%, Max Drawdown: 0.73%
(65, 1.6, -0.5, 2.3): Return: 0.37%, Hit Ratio: 49.02%, Max Drawdown: 0.73%
(50, 1.6, -0.6, 2.5): Return: 0.34%, Hit Ratio: 46.43%, Max Drawdown: 0.73%
(50, 1.6, -0.3, 2.4): Return: 0.34%, Hit Ratio: 49.09%, Max Drawdown: 0.6%
(65, 1.7, -0.5, 2.4): Return: 0.34%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.7, -0.5, 2.5): Return: 0.34%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.7, -0.5, 2.6): Return: 0.34%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.7, -0.5, 2.4): Return: 0.34%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.7, -0.5, 2.5): Return: 0.34%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.7, -0.5, 2.6): Return: 0.34%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(70, 1.7, -0.5, 2.3): Return: 0.34%, Hit Ratio: 55.0%, Max Drawdown: 0.64%
(60, 1.4, -0.7, 2.3): Return: 0.33%, Hit Ratio: 43.24%, Max Drawdown: 1.11%
(60, 1.5, -0.4, 2.4): Return: 0.33%, Hit Ratio: 50.0%, Max Drawdown: 0.78%
(60, 1.5, -0.4, 2.5): Return: 0.33%, Hit Ratio: 50.0%, Max Drawdown: 0.78%
(60, 1.5, -0.3, 2.4): Return: 0.31%, Hit Ratio: 51.56%, Max Drawdown: 0.81%
(60, 1.5, -0.3, 2.5): Return: 0.31%, Hit Ratio: 51.56%, Max Drawdown: 0.81%
(70, 1.6, -0.4, 2.4): Return: 0.31%, Hit Ratio: 52.73%, Max Drawdown: 0.87%
(70, 1.6, -0.4, 2.5): Return: 0.31%, Hit Ratio: 52.73%, Max Drawdown: 0.87%
(70, 1.6, -0.4, 2.6): Return: 0.31%, Hit Ratio: 52.73%, Max Drawdown: 0.87%
(50, 1.7, -0.7, 2.3): Return: 0.3%, Hit Ratio: 46.51%, Max Drawdown: 1.16%
(65, 1.6, -0.3, 2.4): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(65, 1.6, -0.3, 2.5): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(65, 1.6, -0.3, 2.6): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(65, 1.7, -0.4, 2.4): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.7, -0.4, 2.5): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.7, -0.4, 2.6): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(60, 1.4, -0.6, 2.3): Return: 0.3%, Hit Ratio: 45.33%, Max Drawdown: 1.11%
(65, 1.6, -0.3, 2.4): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(65, 1.6, -0.3, 2.5): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(65, 1.6, -0.3, 2.6): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(65, 1.7, -0.4, 2.4): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.7, -0.4, 2.5): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.7, -0.4, 2.6): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.76%
(65, 1.5, -0.6, 2.3): Return: 0.28%, Hit Ratio: 43.94%, Max Drawdown: 0.79%
(65, 1.5, -0.6, 2.3): Return: 0.28%, Hit Ratio: 43.94%, Max Drawdown: 0.79%
(70, 1.7, -0.4, 2.3): Return: 0.28%, Hit Ratio: 55.0%, Max Drawdown: 0.58%
(60, 1.3, -0.5, 2.4): Return: 0.27%, Hit Ratio: 48.81%, Max Drawdown: 1.1%
(60, 1.3, -0.5, 2.5): Return: 0.27%, Hit Ratio: 48.81%, Max Drawdown: 1.1%
(70, 1.4, -0.6, 2.4): Return: 0.27%, Hit Ratio: 48.0%, Max Drawdown: 1.19%
(70, 1.4, -0.6, 2.5): Return: 0.27%, Hit Ratio: 48.0%, Max Drawdown: 1.19%
(70, 1.4, -0.6, 2.6): Return: 0.27%, Hit Ratio: 48.0%, Max Drawdown: 1.19%
(50, 1.4, -0.6, 2.4): Return: 0.26%, Hit Ratio: 50.0%, Max Drawdown: 0.89%
(70, 1.7, -0.3, 2.4): Return: 0.26%, Hit Ratio: 51.16%, Max Drawdown: 0.67%
(70, 1.7, -0.3, 2.5): Return: 0.26%, Hit Ratio: 51.16%, Max Drawdown: 0.67%
(70, 1.7, -0.3, 2.6): Return: 0.26%, Hit Ratio: 51.16%, Max Drawdown: 0.67%
(50, 1.6, -0.7, 2.7): Return: 0.25%, Hit Ratio: 45.76%, Max Drawdown: 0.84%
(65, 1.6, -0.5, 2.4): Return: 0.25%, Hit Ratio: 48.08%, Max Drawdown: 0.86%
(65, 1.6, -0.5, 2.5): Return: 0.25%, Hit Ratio: 48.08%, Max Drawdown: 0.86%
(65, 1.6, -0.5, 2.6): Return: 0.25%, Hit Ratio: 48.08%, Max Drawdown: 0.86%
(65, 1.6, -0.5, 2.4): Return: 0.25%, Hit Ratio: 48.08%, Max Drawdown: 0.86%
(65, 1.6, -0.5, 2.5): Return: 0.25%, Hit Ratio: 48.08%, Max Drawdown: 0.86%
(65, 1.6, -0.5, 2.6): Return: 0.25%, Hit Ratio: 48.08%, Max Drawdown: 0.86%
(50, 1.6, -0.4, 2.4): Return: 0.24%, Hit Ratio: 45.45%, Max Drawdown: 0.61%
(50, 1.6, -0.3, 2.5): Return: 0.24%, Hit Ratio: 48.21%, Max Drawdown: 0.6%
(65, 1.5, -0.7, 2.3): Return: 0.24%, Hit Ratio: 40.62%, Max Drawdown: 0.79%
(65, 1.5, -0.7, 2.3): Return: 0.24%, Hit Ratio: 40.62%, Max Drawdown: 0.79%
(65, 1.7, -0.3, 2.3): Return: 0.23%, Hit Ratio: 50.0%, Max Drawdown: 0.69%
(65, 1.7, -0.3, 2.3): Return: 0.23%, Hit Ratio: 50.0%, Max Drawdown: 0.69%
(65, 1.5, -0.5, 2.3): Return: 0.22%, Hit Ratio: 44.78%, Max Drawdown: 0.9%
(60, 1.4, -0.7, 2.4): Return: 0.22%, Hit Ratio: 43.24%, Max Drawdown: 1.11%
(60, 1.4, -0.7, 2.5): Return: 0.22%, Hit Ratio: 43.24%, Max Drawdown: 1.11%
(60, 1.4, -0.5, 2.3): Return: 0.22%, Hit Ratio: 47.37%, Max Drawdown: 1.11%
(65, 1.5, -0.5, 2.3): Return: 0.22%, Hit Ratio: 44.78%, Max Drawdown: 0.9%
(70, 1.4, -0.7, 2.4): Return: 0.22%, Hit Ratio: 46.58%, Max Drawdown: 1.18%
(70, 1.4, -0.7, 2.5): Return: 0.22%, Hit Ratio: 46.58%, Max Drawdown: 1.18%
(70, 1.4, -0.7, 2.6): Return: 0.22%, Hit Ratio: 46.58%, Max Drawdown: 1.18%
(70, 1.7, -0.6, 2.4): Return: 0.22%, Hit Ratio: 51.16%, Max Drawdown: 0.88%
(70, 1.7, -0.6, 2.5): Return: 0.22%, Hit Ratio: 51.16%, Max Drawdown: 0.88%
(70, 1.7, -0.6, 2.6): Return: 0.22%, Hit Ratio: 51.16%, Max Drawdown: 0.88%
(50, 1.4, -0.5, 2.4): Return: 0.21%, Hit Ratio: 50.0%, Max Drawdown: 0.89%
(50, 1.6, -0.5, 2.4): Return: 0.21%, Hit Ratio: 45.45%, Max Drawdown: 0.73%
(65, 1.5, -0.4, 2.3): Return: 0.21%, Hit Ratio: 43.28%, Max Drawdown: 0.9%
(65, 1.6, -0.7, 2.3): Return: 0.21%, Hit Ratio: 44.0%, Max Drawdown: 0.74%
(65, 1.5, -0.4, 2.3): Return: 0.21%, Hit Ratio: 43.28%, Max Drawdown: 0.9%
(65, 1.6, -0.7, 2.3): Return: 0.21%, Hit Ratio: 44.0%, Max Drawdown: 0.74%
(50, 1.4, -0.4, 2.4): Return: 0.2%, Hit Ratio: 48.68%, Max Drawdown: 0.92%
(50, 1.5, -0.7, 2.4): Return: 0.2%, Hit Ratio: 43.28%, Max Drawdown: 0.84%
(70, 1.5, -0.5, 2.4): Return: 0.2%, Hit Ratio: 46.97%, Max Drawdown: 1.21%
