(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 1.8, -0.7, 3.3), Return: 0.43%, Hit Ratio: 47.62%, Max Drawdown: 0.84%
(50, 1.8, -0.7, 3.3): Return: 0.43%, Hit Ratio: 47.62%, Max Drawdown: 0.84%
(65, 2.2, -0.5, 3.6): Return: 0.43%, Hit Ratio: 54.84%, Max Drawdown: 0.59%
(65, 2.2, -0.5, 3.6): Return: 0.43%, Hit Ratio: 54.84%, Max Drawdown: 0.59%
(70, 2.2, -0.5, 3.5): Return: 0.4%, Hit Ratio: 53.33%, Max Drawdown: 0.59%
(70, 2.2, -0.5, 3.6): Return: 0.4%, Hit Ratio: 53.33%, Max Drawdown: 0.59%
(70, 2.2, -0.5, 3.7): Return: 0.4%, Hit Ratio: 53.33%, Max Drawdown: 0.59%
(65, 2.0, -0.5, 3.6): Return: 0.39%, Hit Ratio: 51.35%, Max Drawdown: 0.71%
(65, 2.2, -0.4, 3.6): Return: 0.39%, Hit Ratio: 54.84%, Max Drawdown: 0.59%
(65, 2.0, -0.5, 3.6): Return: 0.39%, Hit Ratio: 51.35%, Max Drawdown: 0.71%
(65, 2.2, -0.4, 3.6): Return: 0.39%, Hit Ratio: 54.84%, Max Drawdown: 0.59%
(50, 1.8, -0.7, 3.4): Return: 0.37%, Hit Ratio: 45.45%, Max Drawdown: 0.89%
(65, 2.0, -0.4, 3.6): Return: 0.37%, Hit Ratio: 50.0%, Max Drawdown: 0.71%
(65, 2.0, -0.4, 3.6): Return: 0.37%, Hit Ratio: 50.0%, Max Drawdown: 0.71%
(70, 2.2, -0.5, 3.3): Return: 0.37%, Hit Ratio: 52.0%, Max Drawdown: 0.61%
(70, 2.2, -0.5, 3.4): Return: 0.36%, Hit Ratio: 51.85%, Max Drawdown: 0.62%
(70, 2.2, -0.4, 3.5): Return: 0.36%, Hit Ratio: 53.33%, Max Drawdown: 0.59%
(70, 2.2, -0.4, 3.6): Return: 0.36%, Hit Ratio: 53.33%, Max Drawdown: 0.59%
(70, 2.2, -0.4, 3.7): Return: 0.36%, Hit Ratio: 53.33%, Max Drawdown: 0.59%
(65, 2.2, -0.3, 3.6): Return: 0.34%, Hit Ratio: 51.61%, Max Drawdown: 0.64%
(65, 2.2, -0.3, 3.6): Return: 0.34%, Hit Ratio: 51.61%, Max Drawdown: 0.64%
(70, 2.1, -0.5, 3.5): Return: 0.34%, Hit Ratio: 53.12%, Max Drawdown: 0.64%
(70, 2.1, -0.5, 3.6): Return: 0.34%, Hit Ratio: 53.12%, Max Drawdown: 0.64%
(70, 2.1, -0.5, 3.7): Return: 0.34%, Hit Ratio: 53.12%, Max Drawdown: 0.64%
(50, 1.9, -0.7, 3.3): Return: 0.33%, Hit Ratio: 46.15%, Max Drawdown: 0.84%
(60, 2.0, -0.5, 3.5): Return: 0.33%, Hit Ratio: 48.57%, Max Drawdown: 0.71%
(70, 1.9, -0.6, 3.5): Return: 0.33%, Hit Ratio: 51.11%, Max Drawdown: 0.86%
(70, 1.9, -0.6, 3.6): Return: 0.33%, Hit Ratio: 51.11%, Max Drawdown: 0.86%
(70, 1.9, -0.6, 3.7): Return: 0.33%, Hit Ratio: 51.11%, Max Drawdown: 0.86%
(70, 2.2, -0.4, 3.3): Return: 0.33%, Hit Ratio: 52.0%, Max Drawdown: 0.61%
(65, 2.0, -0.3, 3.6): Return: 0.32%, Hit Ratio: 47.37%, Max Drawdown: 0.77%
(65, 2.2, -0.5, 3.3): Return: 0.32%, Hit Ratio: 50.0%, Max Drawdown: 0.61%
(65, 2.0, -0.3, 3.6): Return: 0.32%, Hit Ratio: 47.37%, Max Drawdown: 0.77%
(65, 2.2, -0.5, 3.3): Return: 0.32%, Hit Ratio: 50.0%, Max Drawdown: 0.61%
(70, 1.9, -0.5, 3.5): Return: 0.32%, Hit Ratio: 54.35%, Max Drawdown: 1.0%
(70, 1.9, -0.5, 3.6): Return: 0.32%, Hit Ratio: 54.35%, Max Drawdown: 1.0%
(70, 1.9, -0.5, 3.7): Return: 0.32%, Hit Ratio: 54.35%, Max Drawdown: 1.0%
(70, 2.2, -0.4, 3.4): Return: 0.32%, Hit Ratio: 51.85%, Max Drawdown: 0.62%
(65, 2.2, -0.5, 3.5): Return: 0.31%, Hit Ratio: 50.0%, Max Drawdown: 0.62%
(65, 2.2, -0.5, 3.5): Return: 0.31%, Hit Ratio: 50.0%, Max Drawdown: 0.62%
(60, 2.0, -0.5, 3.3): Return: 0.3%, Hit Ratio: 46.88%, Max Drawdown: 0.74%
(60, 2.0, -0.3, 3.5): Return: 0.3%, Hit Ratio: 48.57%, Max Drawdown: 0.71%
(70, 2.1, -0.5, 3.3): Return: 0.3%, Hit Ratio: 51.85%, Max Drawdown: 0.68%
(70, 2.1, -0.4, 3.5): Return: 0.3%, Hit Ratio: 53.12%, Max Drawdown: 0.62%
(70, 2.1, -0.4, 3.6): Return: 0.3%, Hit Ratio: 53.12%, Max Drawdown: 0.62%
(70, 2.1, -0.4, 3.7): Return: 0.3%, Hit Ratio: 53.12%, Max Drawdown: 0.62%
(50, 1.8, -0.6, 3.3): Return: 0.29%, Hit Ratio: 50.0%, Max Drawdown: 0.84%
(50, 1.8, -0.3, 3.3): Return: 0.29%, Hit Ratio: 53.33%, Max Drawdown: 0.95%
(65, 2.2, -0.5, 3.4): Return: 0.29%, Hit Ratio: 48.15%, Max Drawdown: 0.64%
(65, 2.2, -0.3, 3.3): Return: 0.29%, Hit Ratio: 50.0%, Max Drawdown: 0.61%
(60, 2.0, -0.5, 3.4): Return: 0.29%, Hit Ratio: 47.06%, Max Drawdown: 0.75%
(60, 2.0, -0.4, 3.5): Return: 0.29%, Hit Ratio: 48.57%, Max Drawdown: 0.71%
(65, 2.2, -0.5, 3.4): Return: 0.29%, Hit Ratio: 48.15%, Max Drawdown: 0.64%
(65, 2.2, -0.3, 3.3): Return: 0.29%, Hit Ratio: 50.0%, Max Drawdown: 0.61%
(70, 2.1, -0.5, 3.4): Return: 0.29%, Hit Ratio: 51.72%, Max Drawdown: 0.69%
(65, 1.9, -0.5, 3.7): Return: 0.28%, Hit Ratio: 51.16%, Max Drawdown: 1.02%
(65, 2.0, -0.5, 3.3): Return: 0.28%, Hit Ratio: 46.88%, Max Drawdown: 0.74%
(65, 2.2, -0.4, 3.3): Return: 0.28%, Hit Ratio: 50.0%, Max Drawdown: 0.61%
(65, 1.9, -0.5, 3.7): Return: 0.28%, Hit Ratio: 51.16%, Max Drawdown: 1.02%
(65, 2.0, -0.5, 3.3): Return: 0.28%, Hit Ratio: 46.88%, Max Drawdown: 0.74%
(65, 2.2, -0.4, 3.3): Return: 0.28%, Hit Ratio: 50.0%, Max Drawdown: 0.61%
(70, 1.9, -0.6, 3.4): Return: 0.28%, Hit Ratio: 50.0%, Max Drawdown: 0.9%
(70, 1.9, -0.5, 3.3): Return: 0.28%, Hit Ratio: 53.66%, Max Drawdown: 1.03%
(50, 1.9, -0.7, 3.4): Return: 0.27%, Hit Ratio: 43.9%, Max Drawdown: 0.88%
(65, 2.0, -0.5, 3.5): Return: 0.27%, Hit Ratio: 47.06%, Max Drawdown: 0.75%
(65, 2.0, -0.3, 3.3): Return: 0.27%, Hit Ratio: 45.45%, Max Drawdown: 0.74%
(65, 2.2, -0.4, 3.5): Return: 0.27%, Hit Ratio: 50.0%, Max Drawdown: 0.62%
(60, 2.0, -0.3, 3.3): Return: 0.27%, Hit Ratio: 46.88%, Max Drawdown: 0.74%
