,date,open,high,low,close,volume,average,barCount
0,2015-11-09 20:30:00,28.1,28.25,28.05,28.05,831000,28.0936,102
1,2015-11-09 20:31:00,28.05,28.15,28.05,28.1,423000,28.1033,33
2,2015-11-09 20:32:00,28.15,28.15,28.05,28.1,136000,28.1015,23
3,2015-11-09 20:33:00,28.1,28.15,28.1,28.15,99000,28.1051,21
4,2015-11-09 20:34:00,28.1,28.15,28.1,28.15,161000,28.1447,13
5,2015-11-09 20:35:00,28.1,28.15,28.05,28.05,215000,28.1037,25
6,2015-11-09 20:36:00,28.1,28.1,28.1,28.1,5000,28.1,5
7,2015-11-09 20:37:00,28.1,28.1,28.05,28.1,43000,28.0814,8
8,2015-11-09 20:38:00,28.1,28.1,28.05,28.1,123000,28.098,17
9,2015-11-09 20:39:00,28.1,28.15,28.1,28.15,231000,28.1078,16
10,2015-11-09 20:40:00,28.15,28.2,28.1,28.15,258000,28.1703,24
11,2015-11-09 20:41:00,28.2,28.3,28.2,28.25,330000,28.2474,23
12,2015-11-09 20:42:00,28.25,28.25,28.2,28.2,180000,28.2069,11
13,2015-11-09 20:43:00,28.2,28.3,28.2,28.3,106000,28.225,17
14,2015-11-09 20:44:00,28.3,28.3,28.25,28.3,76000,28.2961,15
15,2015-11-09 20:45:00,28.3,28.3,28.2,28.2,161000,28.2466,12
16,2015-11-09 20:46:00,28.2,28.25,28.15,28.25,101000,28.2,13
17,2015-11-09 20:47:00,28.25,28.25,28.15,28.2,267000,28.2071,16
18,2015-11-09 20:48:00,28.2,28.25,28.15,28.15,34000,28.1926,10
19,2015-11-09 20:49:00,28.2,28.25,28.2,28.2,117000,28.2013,5
20,2015-11-09 20:50:00,28.25,28.25,28.15,28.2,99000,28.199,10
21,2015-11-09 20:51:00,28.2,28.2,28.15,28.15,31000,28.1694,13
22,2015-11-09 20:52:00,28.15,28.2,28.1,28.15,140000,28.1436,19
23,2015-11-09 20:53:00,28.15,28.15,28.1,28.1,9000,28.1278,3
24,2015-11-09 20:54:00,28.15,28.15,28.1,28.15,77000,28.1494,8
25,2015-11-09 20:55:00,28.15,28.15,28.1,28.15,26000,28.1442,5
26,2015-11-09 20:56:00,28.15,28.15,28.15,28.15,50000,28.15,1
27,2015-11-09 20:57:00,28.1,28.15,28.1,28.1,112000,28.1013,13
28,2015-11-09 20:58:00,28.1,28.15,28.1,28.15,42000,28.1274,14
29,2015-11-09 20:59:00,28.1,28.15,28.1,28.1,27000,28.1056,10
30,2015-11-09 21:00:00,28.1,28.1,28.05,28.1,425000,28.0956,12
31,2015-11-09 21:01:00,28.15,28.15,28.1,28.15,18000,28.1306,4
32,2015-11-09 21:02:00,28.15,28.15,28.15,28.15,7000,28.15,4
33,2015-11-09 21:03:00,28.15,28.15,28.15,28.15,3000,28.15,3
34,2015-11-09 21:04:00,28.1,28.1,28.1,28.1,66000,28.1,5
35,2015-11-09 21:05:00,28.15,28.15,28.1,28.1,12000,28.1375,7
36,2015-11-09 21:06:00,28.1,28.15,28.1,28.15,4000,28.1375,3
37,2015-11-09 21:07:00,28.15,28.15,28.15,28.15,3000,28.15,2
38,2015-11-09 21:08:00,28.15,28.15,28.1,28.1,16000,28.1375,6
39,2015-11-09 21:09:00,28.15,28.15,28.15,28.15,3000,28.15,2
40,2015-11-09 21:10:00,28.15,28.15,28.15,28.15,26000,28.15,10
41,2015-11-09 21:11:00,28.15,28.15,28.15,28.15,4000,28.15,3
42,2015-11-09 21:12:00,28.15,28.15,28.1,28.15,15000,28.1467,6
43,2015-11-09 21:13:00,28.15,28.15,28.1,28.15,28000,28.1393,6
44,2015-11-09 21:14:00,28.15,28.15,28.1,28.1,171000,28.126,19
45,2015-11-09 21:15:00,28.15,28.15,28.1,28.15,14000,28.1429,7
46,2015-11-09 21:16:00,28.15,28.15,28.05,28.05,462000,28.0895,20
47,2015-11-09 21:17:00,28.05,28.05,28.05,28.05,309000,28.05,13
48,2015-11-09 21:18:00,28.05,28.05,28.0,28.0,134000,28.0287,12
49,2015-11-09 21:19:00,28.05,28.1,28.05,28.1,286000,28.061,7
50,2015-11-09 21:20:00,28.1,28.1,28.05,28.1,87000,28.0977,12
51,2015-11-09 21:21:00,28.1,28.15,28.1,28.15,23000,28.1043,3
52,2015-11-09 21:22:00,28.15,28.15,28.15,28.15,0,28.15,0
53,2015-11-09 21:23:00,28.1,28.1,28.1,28.1,233000,28.1,13
54,2015-11-09 21:24:00,28.15,28.15,28.1,28.1,99000,28.1455,7
55,2015-11-09 21:25:00,28.15,28.15,28.15,28.15,228000,28.15,7
56,2015-11-09 21:26:00,28.15,28.15,28.15,28.15,29000,28.15,4
57,2015-11-09 21:27:00,28.15,28.15,28.15,28.15,28000,28.15,4
58,2015-11-09 21:28:00,28.15,28.15,28.15,28.15,55000,28.15,5
59,2015-11-09 21:29:00,28.15,28.15,28.15,28.15,6000,28.15,2
60,2015-11-09 21:30:00,28.15,28.15,28.15,28.15,84000,28.15,9
61,2015-11-09 21:31:00,28.15,28.15,28.15,28.15,73000,28.15,6
62,2015-11-09 21:32:00,28.15,28.2,28.15,28.15,56000,28.1589,8
63,2015-11-09 21:33:00,28.15,28.15,28.1,28.1,37000,28.1243,4
64,2015-11-09 21:34:00,28.15,28.15,28.15,28.15,3000,28.15,2
65,2015-11-09 21:35:00,28.15,28.15,28.15,28.15,0,28.15,0
66,2015-11-09 21:36:00,28.15,28.15,28.15,28.15,50000,28.15,1
67,2015-11-09 21:37:00,28.15,28.15,28.1,28.1,76000,28.1487,7
68,2015-11-09 21:38:00,28.15,28.15,28.15,28.15,1000,28.15,1
69,2015-11-09 21:39:00,28.15,28.15,28.1,28.1,436000,28.1002,6
70,2015-11-09 21:40:00,28.05,28.1,28.05,28.1,53000,28.0972,7
71,2015-11-09 21:41:00,28.1,28.1,28.1,28.1,13000,28.1,5
72,2015-11-09 21:42:00,28.05,28.1,28.05,28.1,18000,28.0972,8
73,2015-11-09 21:43:00,28.1,28.15,28.1,28.15,96000,28.1063,4
74,2015-11-09 21:44:00,28.15,28.15,28.15,28.15,142000,28.15,12
75,2015-11-09 21:45:00,28.15,28.15,28.15,28.15,8000,28.15,3
76,2015-11-09 21:46:00,28.15,28.2,28.15,28.15,106000,28.1509,8
77,2015-11-09 21:47:00,28.15,28.2,28.15,28.2,11000,28.1591,4
78,2015-11-09 21:48:00,28.2,28.2,28.15,28.15,52000,28.1913,11
79,2015-11-09 21:49:00,28.15,28.2,28.15,28.2,4000,28.1875,4
80,2015-11-09 21:50:00,28.2,28.3,28.2,28.25,632000,28.2343,17
81,2015-11-09 21:51:00,28.3,28.3,28.25,28.25,143000,28.2535,8
82,2015-11-09 21:52:00,28.25,28.25,28.25,28.25,55000,28.25,3
83,2015-11-09 21:53:00,28.25,28.25,28.2,28.25,88000,28.2489,5
84,2015-11-09 21:54:00,28.25,28.25,28.25,28.25,28000,28.25,8
85,2015-11-09 21:55:00,28.25,28.25,28.2,28.2,103000,28.2019,11
86,2015-11-09 21:56:00,28.2,28.2,28.2,28.2,45000,28.2,4
87,2015-11-09 21:57:00,28.15,28.2,28.15,28.2,75000,28.1953,2
88,2015-11-09 21:58:00,28.25,28.25,28.2,28.2,2000,28.225,2
89,2015-11-09 21:59:00,28.2,28.2,28.2,28.2,26000,28.2,3
90,2015-11-09 22:00:00,28.25,28.25,28.25,28.25,85000,28.25,11
91,2015-11-09 22:01:00,28.25,28.25,28.25,28.25,7000,28.25,2
92,2015-11-09 22:02:00,28.25,28.25,28.25,28.25,26000,28.25,4
93,2015-11-09 22:03:00,28.2,28.2,28.15,28.15,109000,28.1995,8
94,2015-11-09 22:04:00,28.2,28.2,28.2,28.2,2000,28.2,2
95,2015-11-09 22:05:00,28.2,28.2,28.15,28.2,112000,28.1661,7
96,2015-11-09 22:06:00,28.15,28.2,28.15,28.15,73000,28.1979,8
97,2015-11-09 22:07:00,28.15,28.2,28.15,28.2,63000,28.1738,5
98,2015-11-09 22:08:00,28.2,28.25,28.2,28.25,58000,28.2095,6
99,2015-11-09 22:09:00,28.2,28.25,28.2,28.25,2000,28.225,2
100,2015-11-09 22:10:00,28.2,28.2,28.15,28.15,56000,28.1982,6
101,2015-11-09 22:11:00,28.2,28.2,28.2,28.2,2000,28.2,1
102,2015-11-09 22:12:00,28.2,28.25,28.2,28.25,110000,28.2005,7
103,2015-11-09 22:13:00,28.2,28.25,28.2,28.25,5000,28.23,4
104,2015-11-09 22:14:00,28.25,28.25,28.25,28.25,1000,28.25,1
105,2015-11-09 22:15:00,28.2,28.25,28.2,28.25,2000,28.225,2
106,2015-11-09 22:16:00,28.25,28.3,28.25,28.3,128000,28.2539,8
107,2015-11-09 22:17:00,28.3,28.35,28.3,28.35,251000,28.3002,10
108,2015-11-09 22:18:00,28.35,28.4,28.35,28.4,437000,28.3896,35
109,2015-11-09 22:19:00,28.4,28.4,28.35,28.4,254000,28.398,9
110,2015-11-09 22:20:00,28.4,28.4,28.35,28.4,229000,28.3507,9
111,2015-11-09 22:21:00,28.4,28.4,28.35,28.4,44000,28.3864,7
112,2015-11-09 22:22:00,28.4,28.45,28.4,28.45,52000,28.4125,9
113,2015-11-09 22:23:00,28.45,28.45,28.45,28.45,72000,28.45,8
114,2015-11-09 22:24:00,28.45,28.45,28.4,28.45,5000,28.44,5
115,2015-11-09 22:25:00,28.45,28.45,28.35,28.35,99000,28.399,7
116,2015-11-09 22:26:00,28.4,28.4,28.35,28.4,58000,28.3664,6
117,2015-11-09 22:27:00,28.35,28.45,28.35,28.35,304000,28.3646,14
118,2015-11-09 22:28:00,28.4,28.45,28.35,28.35,20000,28.4,6
119,2015-11-09 22:29:00,28.4,28.4,28.35,28.35,188000,28.3505,5
120,2015-11-09 22:30:00,28.35,28.35,28.35,28.35,34000,28.35,4
121,2015-11-09 22:31:00,28.4,28.4,28.4,28.4,2000,28.4,2
122,2015-11-09 22:32:00,28.4,28.4,28.35,28.35,2000,28.375,2
123,2015-11-09 22:33:00,28.4,28.4,28.35,28.4,19000,28.3895,3
124,2015-11-09 22:34:00,28.35,28.35,28.35,28.35,18000,28.35,3
125,2015-11-09 22:35:00,28.35,28.35,28.3,28.35,35000,28.3443,9
126,2015-11-09 22:36:00,28.35,28.35,28.35,28.35,5000,28.35,2
127,2015-11-09 22:37:00,28.3,28.35,28.3,28.3,15000,28.3067,6
128,2015-11-09 22:38:00,28.3,28.35,28.3,28.35,3000,28.3333,3
129,2015-11-09 22:39:00,28.3,28.35,28.3,28.35,4000,28.325,3
130,2015-11-09 22:40:00,28.3,28.35,28.3,28.3,13000,28.3038,9
131,2015-11-09 22:41:00,28.3,28.3,28.3,28.3,35000,28.3,5
132,2015-11-09 22:42:00,28.35,28.35,28.3,28.3,7000,28.3357,2
133,2015-11-09 22:43:00,28.35,28.35,28.3,28.35,9000,28.3111,5
134,2015-11-09 22:44:00,28.3,28.35,28.3,28.35,32000,28.3016,6
135,2015-11-09 22:45:00,28.35,28.35,28.3,28.35,74000,28.3473,11
136,2015-11-09 22:46:00,28.35,28.35,28.3,28.3,10000,28.315,4
137,2015-11-09 22:47:00,28.35,28.35,28.3,28.35,45000,28.3467,4
138,2015-11-09 22:48:00,28.3,28.3,28.3,28.3,5000,28.3,2
139,2015-11-09 22:49:00,28.35,28.35,28.3,28.3,5000,28.31,3
140,2015-11-09 22:50:00,28.3,28.35,28.3,28.35,14000,28.3393,3
141,2015-11-09 22:51:00,28.3,28.3,28.25,28.25,106000,28.2929,15
142,2015-11-09 22:52:00,28.25,28.3,28.25,28.25,124000,28.2504,10
143,2015-11-09 22:53:00,28.25,28.25,28.25,28.25,24000,28.25,4
144,2015-11-09 22:54:00,28.3,28.3,28.3,28.3,2000,28.3,2
145,2015-11-09 22:55:00,28.3,28.3,28.25,28.25,6000,28.2583,3
