,date,open,high,low,close,volume,average,barCount
0,2015-04-13,129.98,130.79,128.07,128.34,1887,129.323,1567
1,2015-04-14,127.8,129.64,127.19,128.36,5230,128.531,4178
2,2015-04-15,130.01,131.32,129.35,130.99,2767,130.3765,2178
3,2015-04-16,134.96,136.98,134.46,136.37,3451,135.4635,2645
4,2015-04-17,132.19,133.38,131.16,133.23,2754,132.3865,2190
5,2015-04-20,129.3,130.9,128.77,129.59,2643,129.833,2132
6,2015-04-21,131.85,132.24,130.83,130.98,1404,131.4425,1097
7,2015-04-22,131.75,131.91,130.82,131.37,1005,131.4475,858
8,2015-04-23,130.48,131.51,129.98,131.24,1496,130.9325,1259
9,2015-04-24,129.63,130.17,128.95,130.05,1528,129.506,1223
10,2015-04-27,133.88,136.23,133.61,134.3,2992,134.581,2298
11,2015-04-28,131.47,131.95,130.24,131.47,1250,130.974,1013
12,2015-04-29,128.93,130.19,128.3,130.04,1469,129.3285,1221
13,2015-04-30,128.42,129.39,128.04,128.92,1180,128.7935,1032
14,2015-05-01,129.07,130.08,128.56,129.5,700,129.4775,618
15,2015-05-04,129.85,130.97,129.68,130.61,1306,130.477,1112
16,2015-05-05,129.0,129.36,127.51,127.94,1011,128.423,825
17,2015-05-06,127.94,128.2,125.17,125.62,1444,126.2085,1242
18,2015-05-07,123.52,125.01,122.36,124.83,2544,123.664,2131
19,2015-05-08,125.65,126.68,124.12,125.78,1159,125.7025,1006
20,2015-05-11,122.97,123.43,121.98,122.13,1626,122.533,1372
21,2015-05-12,120.55,122.37,120.21,122.21,1104,121.547,932
22,2015-05-13,121.59,121.98,120.89,121.21,758,121.3685,635
23,2015-05-14,121.54,122.35,120.57,121.31,1373,121.826,1120
24,2015-05-15,123.2,125.3,123.0,124.99,3824,124.1405,2761
25,2015-05-18,122.4,123.78,121.75,123.12,2609,122.9085,2132
26,2015-05-19,124.24,124.46,123.39,123.72,1002,123.859,880
27,2015-05-20,123.4,123.87,122.89,123.41,647,123.2965,559
