(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (110, 2.2, 0.6, 2.3), Return: 0.14%, Hit Ratio: 66.67%, Max Drawdown: 0.01%
(110, 2.2, 0.6, 2.3): Return: 0.14%, Hit Ratio: 66.67%, Max Drawdown: 0.01%
(110, 2.2, 0.7, 2.3): Return: 0.14%, Hit Ratio: 66.67%, Max Drawdown: 0.01%
(110, 2.1, 0.3, 2.3): Return: 0.13%, Hit Ratio: 63.64%, Max Drawdown: 0.04%
(110, 2.1, 0.4, 2.3): Return: 0.13%, Hit Ratio: 63.64%, Max Drawdown: 0.04%
(110, 2.2, 0.3, 2.3): Return: 0.13%, Hit Ratio: 83.33%, Max Drawdown: 0.01%
(110, 2.2, 0.4, 2.3): Return: 0.13%, Hit Ratio: 83.33%, Max Drawdown: 0.01%
(110, 2.2, 0.5, 2.3): Return: 0.13%, Hit Ratio: 66.67%, Max Drawdown: 0.01%
(110, 2.2, 0.6, 2.4): Return: 0.13%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(110, 2.2, 0.7, 2.4): Return: 0.13%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(105, 2.0, 0.3, 2.3): Return: 0.12%, Hit Ratio: 64.71%, Max Drawdown: 0.07%
(105, 2.0, 0.4, 2.3): Return: 0.12%, Hit Ratio: 58.82%, Max Drawdown: 0.07%
(100, 2.0, 0.3, 2.3): Return: 0.12%, Hit Ratio: 66.67%, Max Drawdown: 0.04%
(100, 2.0, 0.6, 2.3): Return: 0.12%, Hit Ratio: 53.33%, Max Drawdown: 0.05%
(105, 2.0, 0.3, 2.3): Return: 0.12%, Hit Ratio: 64.71%, Max Drawdown: 0.07%
(105, 2.0, 0.4, 2.3): Return: 0.12%, Hit Ratio: 58.82%, Max Drawdown: 0.07%
(110, 2.0, 0.3, 2.3): Return: 0.12%, Hit Ratio: 64.71%, Max Drawdown: 0.07%
(110, 2.0, 0.4, 2.3): Return: 0.12%, Hit Ratio: 58.82%, Max Drawdown: 0.07%
(110, 2.1, 0.3, 2.4): Return: 0.12%, Hit Ratio: 61.54%, Max Drawdown: 0.08%
(110, 2.1, 0.4, 2.4): Return: 0.12%, Hit Ratio: 61.54%, Max Drawdown: 0.08%
(110, 2.1, 0.6, 2.3): Return: 0.12%, Hit Ratio: 54.55%, Max Drawdown: 0.06%
(110, 2.1, 0.7, 2.3): Return: 0.12%, Hit Ratio: 54.55%, Max Drawdown: 0.06%
(110, 2.2, 0.3, 2.4): Return: 0.12%, Hit Ratio: 75.0%, Max Drawdown: 0.04%
(110, 2.2, 0.4, 2.4): Return: 0.12%, Hit Ratio: 75.0%, Max Drawdown: 0.04%
(110, 2.2, 0.5, 2.4): Return: 0.12%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(105, 2.0, 0.3, 2.4): Return: 0.11%, Hit Ratio: 63.16%, Max Drawdown: 0.07%
(105, 2.0, 0.4, 2.4): Return: 0.11%, Hit Ratio: 57.89%, Max Drawdown: 0.07%
(105, 2.0, 0.6, 2.3): Return: 0.11%, Hit Ratio: 52.94%, Max Drawdown: 0.09%
(100, 2.0, 0.4, 2.3): Return: 0.11%, Hit Ratio: 53.33%, Max Drawdown: 0.04%
(105, 2.0, 0.3, 2.4): Return: 0.11%, Hit Ratio: 63.16%, Max Drawdown: 0.07%
(105, 2.0, 0.4, 2.4): Return: 0.11%, Hit Ratio: 57.89%, Max Drawdown: 0.07%
(105, 2.0, 0.6, 2.3): Return: 0.11%, Hit Ratio: 52.94%, Max Drawdown: 0.09%
(110, 2.0, 0.3, 2.4): Return: 0.11%, Hit Ratio: 63.16%, Max Drawdown: 0.07%
(110, 2.0, 0.4, 2.4): Return: 0.11%, Hit Ratio: 57.89%, Max Drawdown: 0.07%
(110, 2.0, 0.6, 2.3): Return: 0.11%, Hit Ratio: 52.94%, Max Drawdown: 0.09%
(110, 2.1, 0.5, 2.3): Return: 0.11%, Hit Ratio: 54.55%, Max Drawdown: 0.06%
(110, 2.1, 0.6, 2.4): Return: 0.11%, Hit Ratio: 53.85%, Max Drawdown: 0.08%
(110, 2.1, 0.7, 2.4): Return: 0.11%, Hit Ratio: 53.85%, Max Drawdown: 0.08%
(105, 2.0, 0.5, 2.3): Return: 0.1%, Hit Ratio: 52.94%, Max Drawdown: 0.09%
(105, 2.0, 0.6, 2.4): Return: 0.1%, Hit Ratio: 52.63%, Max Drawdown: 0.09%
(100, 2.0, 0.6, 2.5): Return: 0.1%, Hit Ratio: 52.17%, Max Drawdown: 0.09%
(105, 2.0, 0.5, 2.3): Return: 0.1%, Hit Ratio: 52.94%, Max Drawdown: 0.09%
(105, 2.0, 0.6, 2.4): Return: 0.1%, Hit Ratio: 52.63%, Max Drawdown: 0.09%
(110, 2.0, 0.5, 2.3): Return: 0.1%, Hit Ratio: 52.94%, Max Drawdown: 0.09%
(110, 2.0, 0.6, 2.4): Return: 0.1%, Hit Ratio: 52.63%, Max Drawdown: 0.09%
(110, 2.1, 0.5, 2.4): Return: 0.1%, Hit Ratio: 53.85%, Max Drawdown: 0.08%
(105, 1.9, 0.3, 2.3): Return: 0.09%, Hit Ratio: 55.0%, Max Drawdown: 0.08%
(105, 1.9, 0.4, 2.3): Return: 0.09%, Hit Ratio: 50.0%, Max Drawdown: 0.09%
(105, 2.0, 0.5, 2.4): Return: 0.09%, Hit Ratio: 52.63%, Max Drawdown: 0.09%
(105, 2.2, 0.6, 2.3): Return: 0.09%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(105, 2.2, 0.7, 2.3): Return: 0.09%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(100, 2.0, 0.3, 2.5): Return: 0.09%, Hit Ratio: 60.87%, Max Drawdown: 0.08%
(100, 2.0, 0.4, 2.5): Return: 0.09%, Hit Ratio: 52.17%, Max Drawdown: 0.08%
(100, 2.0, 0.5, 2.3): Return: 0.09%, Hit Ratio: 53.33%, Max Drawdown: 0.05%
(100, 2.0, 0.7, 2.3): Return: 0.09%, Hit Ratio: 53.33%, Max Drawdown: 0.05%
(105, 1.9, 0.3, 2.3): Return: 0.09%, Hit Ratio: 55.0%, Max Drawdown: 0.08%
(105, 1.9, 0.4, 2.3): Return: 0.09%, Hit Ratio: 50.0%, Max Drawdown: 0.09%
(105, 2.0, 0.5, 2.4): Return: 0.09%, Hit Ratio: 52.63%, Max Drawdown: 0.09%
(105, 2.2, 0.6, 2.3): Return: 0.09%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(105, 2.2, 0.7, 2.3): Return: 0.09%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(110, 2.0, 0.5, 2.4): Return: 0.09%, Hit Ratio: 52.63%, Max Drawdown: 0.09%
(90, 2.0, 0.3, 2.3): Return: 0.08%, Hit Ratio: 53.85%, Max Drawdown: 0.04%
(90, 2.0, 0.4, 2.3): Return: 0.08%, Hit Ratio: 46.15%, Max Drawdown: 0.04%
(105, 1.9, 0.3, 2.4): Return: 0.08%, Hit Ratio: 54.55%, Max Drawdown: 0.08%
(105, 1.9, 0.4, 2.4): Return: 0.08%, Hit Ratio: 50.0%, Max Drawdown: 0.09%
(105, 1.9, 0.6, 2.3): Return: 0.08%, Hit Ratio: 45.0%, Max Drawdown: 0.1%
(105, 2.0, 0.7, 2.3): Return: 0.08%, Hit Ratio: 52.94%, Max Drawdown: 0.09%
(105, 2.2, 0.3, 2.3): Return: 0.08%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(105, 2.2, 0.4, 2.3): Return: 0.08%, Hit Ratio: 62.5%, Max Drawdown: 0.04%
(105, 2.2, 0.5, 2.3): Return: 0.08%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(105, 2.2, 0.6, 2.4): Return: 0.08%, Hit Ratio: 50.0%, Max Drawdown: 0.08%
