The return of ADR_underlying pairs trading for PTR_857 from China is 44.99122741509037%
Hyperparameters: Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 2.5	Return: 24.742960630046902%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3	Return: 24.742960630046902%
Lookback: 30	Entry: 1	Exit: -0.5	Stop-loss: 3.5	Return: 24.742960630046902%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 2.5	Return: 44.99122741509037%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3	Return: 44.99122741509037%
Lookback: 30	Entry: 1	Exit: 0	Stop-loss: 3.5	Return: 44.99122741509037%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 2.5	Return: 35.235771906099664%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3	Return: 35.235771906099664%
Lookback: 30	Entry: 1	Exit: 0.5	Stop-loss: 3.5	Return: 35.235771906099664%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 2.5	Return: 14.680283229171822%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3	Return: 14.680283229171822%
Lookback: 30	Entry: 1.5	Exit: -0.5	Stop-loss: 3.5	Return: 14.680283229171822%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 2.5	Return: 28.335962207554783%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3	Return: 28.335962207554783%
Lookback: 30	Entry: 1.5	Exit: 0	Stop-loss: 3.5	Return: 28.335962207554783%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 2.5	Return: 21.05243925997443%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3	Return: 21.05243925997443%
Lookback: 30	Entry: 1.5	Exit: 0.5	Stop-loss: 3.5	Return: 21.05243925997443%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 2.5	Return: 8.683968925594789%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3	Return: 8.683968925594789%
Lookback: 30	Entry: 2	Exit: -0.5	Stop-loss: 3.5	Return: 8.683968925594789%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 2.5	Return: 15.588086494348913%
Lookback: 30	Entry: 2	Exit: 0	Stop-loss: 3	Return: 15.588086494348913%
