(Lookback, Entry, Exit, Stop-loss)
Best HPs: (110, 1.6, -0.2, 2.5), Return: 0.21%, Hit Ratio: 53.33%, Max Drawdown: 0.31%
(110, 1.6, -0.2, 2.5): Return: 0.21%, Hit Ratio: 53.33%, Max Drawdown: 0.31%
(110, 1.6, -0.1, 2.5): Return: 0.21%, Hit Ratio: 53.33%, Max Drawdown: 0.31%
(110, 1.6, 0.0, 2.5): Return: 0.21%, Hit Ratio: 53.33%, Max Drawdown: 0.31%
(110, 1.6, -0.2, 2.6): Return: 0.2%, Hit Ratio: 53.33%, Max Drawdown: 0.33%
(110, 1.6, -0.2, 2.7): Return: 0.2%, Hit Ratio: 53.33%, Max Drawdown: 0.33%
(110, 1.6, -0.1, 2.6): Return: 0.2%, Hit Ratio: 53.33%, Max Drawdown: 0.33%
(110, 1.6, -0.1, 2.7): Return: 0.2%, Hit Ratio: 53.33%, Max Drawdown: 0.33%
(110, 1.6, 0.0, 2.6): Return: 0.2%, Hit Ratio: 53.33%, Max Drawdown: 0.33%
(110, 1.6, 0.0, 2.7): Return: 0.2%, Hit Ratio: 53.33%, Max Drawdown: 0.33%
(110, 1.6, 0.1, 2.5): Return: 0.2%, Hit Ratio: 60.0%, Max Drawdown: 0.27%
(110, 1.6, 0.2, 2.5): Return: 0.2%, Hit Ratio: 60.0%, Max Drawdown: 0.27%
(110, 1.6, 0.1, 2.6): Return: 0.19%, Hit Ratio: 60.0%, Max Drawdown: 0.29%
(110, 1.6, 0.1, 2.7): Return: 0.19%, Hit Ratio: 60.0%, Max Drawdown: 0.29%
(110, 1.6, 0.2, 2.6): Return: 0.19%, Hit Ratio: 60.0%, Max Drawdown: 0.29%
(110, 1.6, 0.2, 2.7): Return: 0.19%, Hit Ratio: 60.0%, Max Drawdown: 0.29%
(100, 1.7, -0.2, 2.5): Return: 0.18%, Hit Ratio: 53.85%, Max Drawdown: 0.29%
(100, 1.7, -0.2, 2.6): Return: 0.18%, Hit Ratio: 53.85%, Max Drawdown: 0.29%
(100, 1.7, -0.2, 2.7): Return: 0.18%, Hit Ratio: 53.85%, Max Drawdown: 0.29%
(100, 1.7, -0.1, 2.5): Return: 0.18%, Hit Ratio: 53.85%, Max Drawdown: 0.29%
(100, 1.7, -0.1, 2.6): Return: 0.18%, Hit Ratio: 53.85%, Max Drawdown: 0.29%
(100, 1.7, -0.1, 2.7): Return: 0.18%, Hit Ratio: 53.85%, Max Drawdown: 0.29%
(100, 1.7, 0.0, 2.5): Return: 0.18%, Hit Ratio: 53.85%, Max Drawdown: 0.29%
(100, 1.7, 0.0, 2.6): Return: 0.18%, Hit Ratio: 53.85%, Max Drawdown: 0.29%
(100, 1.7, 0.0, 2.7): Return: 0.18%, Hit Ratio: 53.85%, Max Drawdown: 0.29%
(100, 1.7, 0.2, 2.5): Return: 0.18%, Hit Ratio: 61.54%, Max Drawdown: 0.26%
(100, 1.7, 0.2, 2.6): Return: 0.18%, Hit Ratio: 61.54%, Max Drawdown: 0.26%
(100, 1.7, 0.2, 2.7): Return: 0.18%, Hit Ratio: 61.54%, Max Drawdown: 0.26%
(110, 1.6, -0.2, 2.3): Return: 0.18%, Hit Ratio: 50.0%, Max Drawdown: 0.33%
(110, 1.6, -0.2, 2.4): Return: 0.18%, Hit Ratio: 50.0%, Max Drawdown: 0.33%
(110, 1.6, -0.1, 2.3): Return: 0.18%, Hit Ratio: 50.0%, Max Drawdown: 0.33%
(110, 1.6, -0.1, 2.4): Return: 0.18%, Hit Ratio: 50.0%, Max Drawdown: 0.33%
(110, 1.6, 0.0, 2.3): Return: 0.18%, Hit Ratio: 50.0%, Max Drawdown: 0.33%
(110, 1.6, 0.0, 2.4): Return: 0.18%, Hit Ratio: 50.0%, Max Drawdown: 0.33%
(110, 1.6, 0.1, 2.3): Return: 0.18%, Hit Ratio: 57.14%, Max Drawdown: 0.3%
(110, 1.6, 0.1, 2.4): Return: 0.18%, Hit Ratio: 57.14%, Max Drawdown: 0.3%
(110, 1.6, 0.2, 2.3): Return: 0.18%, Hit Ratio: 57.14%, Max Drawdown: 0.3%
(110, 1.6, 0.2, 2.4): Return: 0.18%, Hit Ratio: 57.14%, Max Drawdown: 0.3%
(90, 1.7, -0.2, 2.5): Return: 0.17%, Hit Ratio: 53.85%, Max Drawdown: 0.31%
(90, 1.7, -0.1, 2.5): Return: 0.17%, Hit Ratio: 53.85%, Max Drawdown: 0.31%
(90, 1.7, 0.0, 2.5): Return: 0.17%, Hit Ratio: 53.85%, Max Drawdown: 0.31%
(100, 1.7, -0.2, 2.3): Return: 0.17%, Hit Ratio: 50.0%, Max Drawdown: 0.29%
(100, 1.7, -0.2, 2.4): Return: 0.17%, Hit Ratio: 50.0%, Max Drawdown: 0.29%
(100, 1.7, -0.1, 2.3): Return: 0.17%, Hit Ratio: 50.0%, Max Drawdown: 0.29%
(100, 1.7, -0.1, 2.4): Return: 0.17%, Hit Ratio: 50.0%, Max Drawdown: 0.29%
(100, 1.7, 0.0, 2.3): Return: 0.17%, Hit Ratio: 50.0%, Max Drawdown: 0.29%
(100, 1.7, 0.0, 2.4): Return: 0.17%, Hit Ratio: 50.0%, Max Drawdown: 0.29%
(90, 1.7, 0.2, 2.5): Return: 0.16%, Hit Ratio: 61.54%, Max Drawdown: 0.27%
(105, 1.7, -0.2, 2.5): Return: 0.16%, Hit Ratio: 50.0%, Max Drawdown: 0.31%
(105, 1.7, -0.1, 2.5): Return: 0.16%, Hit Ratio: 50.0%, Max Drawdown: 0.31%
(105, 1.7, 0.0, 2.5): Return: 0.16%, Hit Ratio: 50.0%, Max Drawdown: 0.31%
(100, 1.7, 0.2, 2.3): Return: 0.16%, Hit Ratio: 58.33%, Max Drawdown: 0.26%
(100, 1.7, 0.2, 2.4): Return: 0.16%, Hit Ratio: 58.33%, Max Drawdown: 0.26%
