(Lookback, Entry, Exit, Stop-loss)
Best HPs: (50, 1.9, -0.1, 2.4), Return: 0.66%, Hit Ratio: 68.75%, Max Drawdown: 0.44%
(50, 1.9, -0.1, 2.4): Return: 0.66%, Hit Ratio: 68.75%, Max Drawdown: 0.44%
(50, 1.9, -0.1, 2.5): Return: 0.66%, Hit Ratio: 66.67%, Max Drawdown: 0.44%
(50, 1.9, -0.2, 2.4): Return: 0.65%, Hit Ratio: 62.5%, Max Drawdown: 0.44%
(50, 1.9, -0.2, 2.5): Return: 0.64%, Hit Ratio: 61.11%, Max Drawdown: 0.44%
(50, 1.9, 0.0, 2.4): Return: 0.63%, Hit Ratio: 68.75%, Max Drawdown: 0.44%
(50, 1.9, 0.0, 2.5): Return: 0.63%, Hit Ratio: 66.67%, Max Drawdown: 0.44%
(50, 1.9, 0.1, 2.4): Return: 0.63%, Hit Ratio: 68.75%, Max Drawdown: 0.44%
(50, 1.9, 0.1, 2.5): Return: 0.63%, Hit Ratio: 66.67%, Max Drawdown: 0.44%
(60, 1.9, -0.2, 2.5): Return: 0.58%, Hit Ratio: 71.43%, Max Drawdown: 0.44%
(60, 1.9, -0.1, 2.5): Return: 0.58%, Hit Ratio: 71.43%, Max Drawdown: 0.44%
(50, 1.9, -0.1, 2.6): Return: 0.57%, Hit Ratio: 63.16%, Max Drawdown: 0.44%
(50, 2.0, -0.1, 2.4): Return: 0.57%, Hit Ratio: 69.23%, Max Drawdown: 0.44%
(50, 2.0, -0.1, 2.5): Return: 0.57%, Hit Ratio: 66.67%, Max Drawdown: 0.44%
(60, 2.1, -0.2, 2.5): Return: 0.57%, Hit Ratio: 77.78%, Max Drawdown: 0.44%
(60, 2.1, -0.1, 2.5): Return: 0.57%, Hit Ratio: 77.78%, Max Drawdown: 0.44%
(50, 1.9, -0.2, 2.6): Return: 0.56%, Hit Ratio: 57.89%, Max Drawdown: 0.44%
(50, 2.0, -0.2, 2.4): Return: 0.56%, Hit Ratio: 61.54%, Max Drawdown: 0.44%
(50, 2.0, -0.2, 2.5): Return: 0.56%, Hit Ratio: 60.0%, Max Drawdown: 0.44%
(60, 1.9, 0.0, 2.5): Return: 0.56%, Hit Ratio: 71.43%, Max Drawdown: 0.44%
(60, 1.9, 0.1, 2.5): Return: 0.56%, Hit Ratio: 71.43%, Max Drawdown: 0.44%
(50, 2.0, 0.0, 2.4): Return: 0.55%, Hit Ratio: 69.23%, Max Drawdown: 0.44%
(50, 2.0, 0.1, 2.4): Return: 0.55%, Hit Ratio: 69.23%, Max Drawdown: 0.44%
(60, 2.0, -0.2, 2.5): Return: 0.55%, Hit Ratio: 69.23%, Max Drawdown: 0.44%
(60, 2.0, -0.1, 2.5): Return: 0.55%, Hit Ratio: 69.23%, Max Drawdown: 0.44%
(70, 2.0, -0.2, 2.4): Return: 0.55%, Hit Ratio: 80.0%, Max Drawdown: 0.44%
(70, 2.0, -0.1, 2.4): Return: 0.55%, Hit Ratio: 80.0%, Max Drawdown: 0.44%
(70, 2.0, 0.0, 2.4): Return: 0.55%, Hit Ratio: 80.0%, Max Drawdown: 0.44%
(70, 2.0, 0.1, 2.4): Return: 0.55%, Hit Ratio: 80.0%, Max Drawdown: 0.44%
(50, 1.9, -0.1, 2.3): Return: 0.54%, Hit Ratio: 64.29%, Max Drawdown: 0.25%
(50, 1.9, 0.0, 2.3): Return: 0.54%, Hit Ratio: 64.29%, Max Drawdown: 0.25%
(50, 1.9, 0.0, 2.6): Return: 0.54%, Hit Ratio: 63.16%, Max Drawdown: 0.44%
(50, 1.9, 0.1, 2.3): Return: 0.54%, Hit Ratio: 64.29%, Max Drawdown: 0.25%
(50, 1.9, 0.1, 2.6): Return: 0.54%, Hit Ratio: 63.16%, Max Drawdown: 0.44%
(50, 1.9, 0.2, 2.3): Return: 0.54%, Hit Ratio: 64.29%, Max Drawdown: 0.25%
(50, 2.0, 0.0, 2.5): Return: 0.54%, Hit Ratio: 66.67%, Max Drawdown: 0.44%
(50, 2.0, 0.1, 2.5): Return: 0.54%, Hit Ratio: 66.67%, Max Drawdown: 0.44%
(60, 1.9, -0.2, 2.4): Return: 0.54%, Hit Ratio: 69.23%, Max Drawdown: 0.25%
(60, 1.9, -0.1, 2.4): Return: 0.54%, Hit Ratio: 69.23%, Max Drawdown: 0.25%
(60, 2.1, 0.0, 2.5): Return: 0.54%, Hit Ratio: 77.78%, Max Drawdown: 0.44%
(60, 2.1, 0.1, 2.5): Return: 0.54%, Hit Ratio: 77.78%, Max Drawdown: 0.44%
(50, 1.9, -0.2, 2.3): Return: 0.53%, Hit Ratio: 57.14%, Max Drawdown: 0.25%
(65, 2.0, -0.2, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, -0.1, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, 0.0, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, 0.1, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, 0.2, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, -0.2, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, -0.1, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, 0.0, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, 0.1, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, 0.2, 2.3): Return: 0.53%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(65, 2.0, -0.2, 2.4): Return: 0.52%, Hit Ratio: 72.73%, Max Drawdown: 0.44%
(65, 2.0, -0.1, 2.4): Return: 0.52%, Hit Ratio: 72.73%, Max Drawdown: 0.44%
(65, 2.0, 0.0, 2.4): Return: 0.52%, Hit Ratio: 72.73%, Max Drawdown: 0.44%
(65, 2.0, 0.1, 2.4): Return: 0.52%, Hit Ratio: 72.73%, Max Drawdown: 0.44%
(60, 1.9, -0.2, 2.3): Return: 0.52%, Hit Ratio: 70.0%, Max Drawdown: 0.25%
(60, 1.9, -0.1, 2.3): Return: 0.52%, Hit Ratio: 70.0%, Max Drawdown: 0.25%
(60, 1.9, 0.0, 2.3): Return: 0.52%, Hit Ratio: 70.0%, Max Drawdown: 0.25%
(60, 1.9, 0.1, 2.3): Return: 0.52%, Hit Ratio: 70.0%, Max Drawdown: 0.25%
(60, 1.9, 0.2, 2.3): Return: 0.52%, Hit Ratio: 70.0%, Max Drawdown: 0.25%
(60, 2.0, 0.0, 2.5): Return: 0.52%, Hit Ratio: 69.23%, Max Drawdown: 0.44%
(60, 2.0, 0.1, 2.5): Return: 0.52%, Hit Ratio: 69.23%, Max Drawdown: 0.44%
(60, 2.1, -0.2, 2.4): Return: 0.52%, Hit Ratio: 75.0%, Max Drawdown: 0.23%
(60, 2.1, -0.1, 2.4): Return: 0.52%, Hit Ratio: 75.0%, Max Drawdown: 0.23%
(65, 2.0, -0.2, 2.4): Return: 0.52%, Hit Ratio: 72.73%, Max Drawdown: 0.44%
(65, 2.0, -0.1, 2.4): Return: 0.52%, Hit Ratio: 72.73%, Max Drawdown: 0.44%
(65, 2.0, 0.0, 2.4): Return: 0.52%, Hit Ratio: 72.73%, Max Drawdown: 0.44%
(65, 2.0, 0.1, 2.4): Return: 0.52%, Hit Ratio: 72.73%, Max Drawdown: 0.44%
(50, 1.9, 0.2, 2.4): Return: 0.51%, Hit Ratio: 62.5%, Max Drawdown: 0.25%
(50, 1.9, 0.2, 2.5): Return: 0.51%, Hit Ratio: 61.11%, Max Drawdown: 0.25%
(60, 1.9, 0.0, 2.4): Return: 0.51%, Hit Ratio: 69.23%, Max Drawdown: 0.25%
(60, 1.9, 0.1, 2.4): Return: 0.51%, Hit Ratio: 69.23%, Max Drawdown: 0.25%
(60, 1.9, 0.2, 2.4): Return: 0.51%, Hit Ratio: 69.23%, Max Drawdown: 0.25%
(70, 2.1, -0.2, 2.4): Return: 0.51%, Hit Ratio: 77.78%, Max Drawdown: 0.44%
(70, 2.1, -0.1, 2.4): Return: 0.51%, Hit Ratio: 77.78%, Max Drawdown: 0.44%
(70, 2.1, 0.0, 2.4): Return: 0.51%, Hit Ratio: 77.78%, Max Drawdown: 0.44%
(70, 2.1, 0.1, 2.4): Return: 0.51%, Hit Ratio: 77.78%, Max Drawdown: 0.44%
(60, 2.0, -0.2, 2.4): Return: 0.5%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(60, 2.0, -0.1, 2.4): Return: 0.5%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(60, 2.1, -0.2, 2.3): Return: 0.5%, Hit Ratio: 80.0%, Max Drawdown: 0.23%
(60, 2.1, -0.1, 2.3): Return: 0.5%, Hit Ratio: 80.0%, Max Drawdown: 0.23%
(60, 2.1, 0.0, 2.3): Return: 0.5%, Hit Ratio: 80.0%, Max Drawdown: 0.23%
(60, 2.1, 0.1, 2.3): Return: 0.5%, Hit Ratio: 80.0%, Max Drawdown: 0.23%
(60, 2.1, 0.2, 2.3): Return: 0.5%, Hit Ratio: 80.0%, Max Drawdown: 0.23%
(70, 2.0, -0.2, 2.3): Return: 0.5%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(70, 2.0, -0.1, 2.3): Return: 0.5%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(70, 2.0, 0.0, 2.3): Return: 0.5%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(70, 2.0, 0.1, 2.3): Return: 0.5%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(70, 2.0, 0.2, 2.3): Return: 0.5%, Hit Ratio: 77.78%, Max Drawdown: 0.25%
(50, 2.0, -0.1, 2.6): Return: 0.49%, Hit Ratio: 62.5%, Max Drawdown: 0.44%
(60, 2.1, 0.0, 2.4): Return: 0.49%, Hit Ratio: 75.0%, Max Drawdown: 0.23%
(60, 2.1, 0.1, 2.4): Return: 0.49%, Hit Ratio: 75.0%, Max Drawdown: 0.23%
(60, 2.1, 0.2, 2.4): Return: 0.49%, Hit Ratio: 75.0%, Max Drawdown: 0.23%
(60, 2.0, -0.2, 2.3): Return: 0.48%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(60, 2.0, -0.1, 2.3): Return: 0.48%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(60, 2.0, 0.0, 2.3): Return: 0.48%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(60, 2.0, 0.1, 2.3): Return: 0.48%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(60, 2.0, 0.2, 2.3): Return: 0.48%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(50, 2.0, -0.2, 2.6): Return: 0.47%, Hit Ratio: 56.25%, Max Drawdown: 0.44%
(65, 2.0, -0.2, 2.5): Return: 0.47%, Hit Ratio: 64.29%, Max Drawdown: 0.44%
(65, 2.0, -0.1, 2.5): Return: 0.47%, Hit Ratio: 64.29%, Max Drawdown: 0.44%
(65, 2.0, 0.0, 2.5): Return: 0.47%, Hit Ratio: 64.29%, Max Drawdown: 0.44%
(60, 1.9, -0.2, 2.6): Return: 0.47%, Hit Ratio: 62.5%, Max Drawdown: 0.44%
(60, 1.9, -0.1, 2.6): Return: 0.47%, Hit Ratio: 62.5%, Max Drawdown: 0.44%
(60, 2.0, 0.0, 2.4): Return: 0.47%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(60, 2.0, 0.1, 2.4): Return: 0.47%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(60, 2.0, 0.2, 2.4): Return: 0.47%, Hit Ratio: 66.67%, Max Drawdown: 0.25%
(65, 2.0, -0.2, 2.5): Return: 0.47%, Hit Ratio: 64.29%, Max Drawdown: 0.44%
(65, 2.0, -0.1, 2.5): Return: 0.47%, Hit Ratio: 64.29%, Max Drawdown: 0.44%
(65, 2.0, 0.0, 2.5): Return: 0.47%, Hit Ratio: 64.29%, Max Drawdown: 0.44%
(50, 2.0, -0.1, 2.3): Return: 0.46%, Hit Ratio: 63.64%, Max Drawdown: 0.23%
(50, 2.0, 0.0, 2.3): Return: 0.46%, Hit Ratio: 63.64%, Max Drawdown: 0.23%
(50, 2.0, 0.0, 2.6): Return: 0.46%, Hit Ratio: 62.5%, Max Drawdown: 0.44%
(50, 2.0, 0.1, 2.3): Return: 0.46%, Hit Ratio: 63.64%, Max Drawdown: 0.23%
(50, 2.0, 0.1, 2.6): Return: 0.46%, Hit Ratio: 62.5%, Max Drawdown: 0.44%
(50, 2.0, 0.2, 2.3): Return: 0.46%, Hit Ratio: 63.64%, Max Drawdown: 0.23%
(70, 2.1, -0.2, 2.3): Return: 0.46%, Hit Ratio: 75.0%, Max Drawdown: 0.25%
(70, 2.1, -0.1, 2.3): Return: 0.46%, Hit Ratio: 75.0%, Max Drawdown: 0.25%
