(Lookback, Entry, Exit, Stop-loss)
Best HPs: (40, 2.2, -0.7, 2.8), Return: 0.7%, Hit Ratio: 63.16%, Max Drawdown: 0.28%
(40, 2.2, -0.7, 2.8): Return: 0.7%, Hit Ratio: 63.16%, Max Drawdown: 0.28%
(40, 2.2, -0.6, 2.8): Return: 0.69%, Hit Ratio: 63.16%, Max Drawdown: 0.29%
(20, 1.9, -0.7, 2.8): Return: 0.56%, Hit Ratio: 53.66%, Max Drawdown: 0.59%
(20, 1.9, -0.6, 2.8): Return: 0.56%, Hit Ratio: 53.66%, Max Drawdown: 0.59%
(35, 2.2, -0.7, 2.8): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.35%
(35, 2.2, -0.7, 2.8): Return: 0.46%, Hit Ratio: 61.11%, Max Drawdown: 0.35%
(40, 2.2, -0.7, 3.1): Return: 0.46%, Hit Ratio: 62.5%, Max Drawdown: 0.4%
(40, 2.2, -0.7, 3.2): Return: 0.46%, Hit Ratio: 62.5%, Max Drawdown: 0.4%
(40, 2.2, -0.7, 2.9): Return: 0.44%, Hit Ratio: 60.87%, Max Drawdown: 0.36%
(40, 2.2, -0.7, 3.0): Return: 0.44%, Hit Ratio: 60.87%, Max Drawdown: 0.36%
(40, 2.2, -0.6, 2.9): Return: 0.44%, Hit Ratio: 60.87%, Max Drawdown: 0.37%
(40, 2.2, -0.6, 3.0): Return: 0.44%, Hit Ratio: 60.87%, Max Drawdown: 0.37%
(40, 2.2, -0.5, 2.8): Return: 0.44%, Hit Ratio: 63.16%, Max Drawdown: 0.29%
(40, 2.2, -0.6, 3.1): Return: 0.42%, Hit Ratio: 58.33%, Max Drawdown: 0.38%
(40, 2.2, -0.6, 3.2): Return: 0.42%, Hit Ratio: 58.33%, Max Drawdown: 0.38%
(40, 2.2, -0.4, 2.8): Return: 0.42%, Hit Ratio: 63.16%, Max Drawdown: 0.25%
(35, 2.2, -0.6, 2.8): Return: 0.38%, Hit Ratio: 55.56%, Max Drawdown: 0.35%
(35, 2.2, -0.6, 2.8): Return: 0.38%, Hit Ratio: 55.56%, Max Drawdown: 0.35%
(20, 1.9, -0.7, 2.9): Return: 0.31%, Hit Ratio: 52.38%, Max Drawdown: 0.59%
(20, 1.9, -0.6, 2.9): Return: 0.31%, Hit Ratio: 52.38%, Max Drawdown: 0.59%
(30, 2.0, -0.7, 2.9): Return: 0.29%, Hit Ratio: 63.64%, Max Drawdown: 0.72%
(30, 2.0, -0.7, 3.0): Return: 0.29%, Hit Ratio: 63.64%, Max Drawdown: 0.72%
(30, 2.0, -0.7, 3.1): Return: 0.29%, Hit Ratio: 63.64%, Max Drawdown: 0.72%
(20, 1.9, -0.7, 3.0): Return: 0.27%, Hit Ratio: 52.38%, Max Drawdown: 0.59%
(20, 1.9, -0.7, 3.1): Return: 0.27%, Hit Ratio: 52.38%, Max Drawdown: 0.59%
(20, 1.9, -0.7, 3.2): Return: 0.27%, Hit Ratio: 52.38%, Max Drawdown: 0.59%
(20, 1.9, -0.6, 3.0): Return: 0.27%, Hit Ratio: 52.38%, Max Drawdown: 0.59%
(20, 1.9, -0.6, 3.1): Return: 0.27%, Hit Ratio: 52.38%, Max Drawdown: 0.59%
(20, 1.9, -0.6, 3.2): Return: 0.27%, Hit Ratio: 52.38%, Max Drawdown: 0.59%
(20, 1.9, -0.5, 2.8): Return: 0.24%, Hit Ratio: 53.66%, Max Drawdown: 0.64%
(30, 2.0, -0.6, 2.9): Return: 0.22%, Hit Ratio: 60.61%, Max Drawdown: 0.73%
(30, 2.0, -0.6, 3.0): Return: 0.22%, Hit Ratio: 60.61%, Max Drawdown: 0.73%
(30, 2.0, -0.6, 3.1): Return: 0.22%, Hit Ratio: 60.61%, Max Drawdown: 0.73%
(35, 2.2, -0.7, 3.0): Return: 0.19%, Hit Ratio: 59.09%, Max Drawdown: 0.47%
(35, 2.2, -0.7, 3.1): Return: 0.19%, Hit Ratio: 59.09%, Max Drawdown: 0.47%
(35, 2.2, -0.7, 3.2): Return: 0.19%, Hit Ratio: 59.09%, Max Drawdown: 0.47%
(35, 2.2, -0.7, 3.0): Return: 0.19%, Hit Ratio: 59.09%, Max Drawdown: 0.47%
(35, 2.2, -0.7, 3.1): Return: 0.19%, Hit Ratio: 59.09%, Max Drawdown: 0.47%
