(Lookback, Entry, Exit, Stop-loss)
Best HPs: (100, 1, -0.5, 2.5), Return: 0.1%, Hit Ratio: 52.0%, Max Drawdown: 0.03%
(100, 1, -0.5, 2.5): Return: 0.1%, Hit Ratio: 52.0%, Max Drawdown: 0.03%
(100, 1, -0.5, 3): Return: 0.1%, Hit Ratio: 52.0%, Max Drawdown: 0.03%
(100, 1, -0.5, 3.5): Return: 0.1%, Hit Ratio: 50.98%, Max Drawdown: 0.03%
(30, 1, -0.5, 3.5): Return: 0.08%, Hit Ratio: 48.53%, Max Drawdown: 0.06%
(30, 1, 0, 3.5): Return: 0.08%, Hit Ratio: 48.72%, Max Drawdown: 0.05%
(30, 1, -0.5, 2.5): Return: 0.07%, Hit Ratio: 46.97%, Max Drawdown: 0.06%
(30, 1, -0.5, 3): Return: 0.07%, Hit Ratio: 47.76%, Max Drawdown: 0.06%
(60, 1, -0.5, 3): Return: 0.07%, Hit Ratio: 51.92%, Max Drawdown: 0.02%
(30, 1, 0, 2.5): Return: 0.06%, Hit Ratio: 46.05%, Max Drawdown: 0.05%
(30, 1, 0, 3): Return: 0.06%, Hit Ratio: 46.75%, Max Drawdown: 0.05%
(30, 1.5, 0, 3.5): Return: 0.06%, Hit Ratio: 62.86%, Max Drawdown: 0.02%
(60, 1, -0.5, 2.5): Return: 0.06%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(30, 1.5, 0, 3): Return: 0.05%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
(30, 1.5, 0.5, 3): Return: 0.05%, Hit Ratio: 55.26%, Max Drawdown: 0.03%
(60, 1, -0.5, 3.5): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.04%
(100, 1, 0, 2.5): Return: 0.05%, Hit Ratio: 46.67%, Max Drawdown: 0.05%
(100, 1, 0, 3): Return: 0.05%, Hit Ratio: 46.67%, Max Drawdown: 0.05%
(100, 1, 0, 3.5): Return: 0.05%, Hit Ratio: 45.9%, Max Drawdown: 0.05%
(30, 1.5, -0.5, 3.5): Return: 0.04%, Hit Ratio: 61.76%, Max Drawdown: 0.04%
(30, 1.5, 0, 2.5): Return: 0.04%, Hit Ratio: 56.67%, Max Drawdown: 0.02%
(30, 1.5, 0.5, 2.5): Return: 0.04%, Hit Ratio: 51.43%, Max Drawdown: 0.02%
