(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (20, 1.2, -0.3, 3.4), Return: 0.23%, Hit Ratio: 62.3%, Max Drawdown: 0.02%
(20, 1.2, -0.3, 3.4): Return: 0.23%, Hit Ratio: 62.3%, Max Drawdown: 0.02%
(20, 1.2, -0.3, 3.5): Return: 0.23%, Hit Ratio: 62.3%, Max Drawdown: 0.02%
(20, 1.2, -0.3, 3.6): Return: 0.23%, Hit Ratio: 62.3%, Max Drawdown: 0.02%
(20, 1.2, -0.3, 3.7): Return: 0.23%, Hit Ratio: 62.3%, Max Drawdown: 0.02%
(20, 1.2, -0.4, 3.4): Return: 0.22%, Hit Ratio: 63.79%, Max Drawdown: 0.02%
(20, 1.2, -0.4, 3.5): Return: 0.22%, Hit Ratio: 63.79%, Max Drawdown: 0.02%
(20, 1.2, -0.4, 3.6): Return: 0.22%, Hit Ratio: 63.79%, Max Drawdown: 0.02%
(20, 1.2, -0.4, 3.7): Return: 0.22%, Hit Ratio: 63.79%, Max Drawdown: 0.02%
(20, 1.2, -0.5, 3.4): Return: 0.2%, Hit Ratio: 61.82%, Max Drawdown: 0.02%
(20, 1.2, -0.5, 3.5): Return: 0.2%, Hit Ratio: 61.82%, Max Drawdown: 0.02%
(20, 1.2, -0.5, 3.6): Return: 0.2%, Hit Ratio: 61.82%, Max Drawdown: 0.02%
(20, 1.2, -0.5, 3.7): Return: 0.2%, Hit Ratio: 61.82%, Max Drawdown: 0.02%
(30, 1.0, -0.6, 3.6): Return: 0.2%, Hit Ratio: 62.18%, Max Drawdown: 0.03%
(30, 1.0, -0.6, 3.7): Return: 0.2%, Hit Ratio: 62.18%, Max Drawdown: 0.03%
(20, 1.2, -0.3, 3.3): Return: 0.19%, Hit Ratio: 61.48%, Max Drawdown: 0.05%
(35, 0.9, -0.4, 3.6): Return: 0.19%, Hit Ratio: 58.62%, Max Drawdown: 0.03%
(35, 0.9, -0.4, 3.7): Return: 0.19%, Hit Ratio: 58.62%, Max Drawdown: 0.03%
(35, 1.0, -0.5, 3.6): Return: 0.19%, Hit Ratio: 61.42%, Max Drawdown: 0.03%
(35, 1.0, -0.5, 3.7): Return: 0.19%, Hit Ratio: 61.42%, Max Drawdown: 0.03%
(35, 1.0, -0.4, 3.6): Return: 0.19%, Hit Ratio: 60.74%, Max Drawdown: 0.03%
(35, 1.0, -0.4, 3.7): Return: 0.19%, Hit Ratio: 60.74%, Max Drawdown: 0.03%
(35, 1.1, -0.4, 3.5): Return: 0.19%, Hit Ratio: 61.48%, Max Drawdown: 0.02%
(35, 1.1, -0.4, 3.6): Return: 0.19%, Hit Ratio: 61.48%, Max Drawdown: 0.02%
(35, 1.1, -0.4, 3.7): Return: 0.19%, Hit Ratio: 61.48%, Max Drawdown: 0.02%
(30, 1.0, -0.5, 3.6): Return: 0.19%, Hit Ratio: 61.42%, Max Drawdown: 0.03%
(30, 1.0, -0.5, 3.7): Return: 0.19%, Hit Ratio: 61.42%, Max Drawdown: 0.03%
(30, 1.0, -0.4, 3.6): Return: 0.19%, Hit Ratio: 59.69%, Max Drawdown: 0.03%
(30, 1.0, -0.4, 3.7): Return: 0.19%, Hit Ratio: 59.69%, Max Drawdown: 0.03%
(35, 0.9, -0.4, 3.6): Return: 0.19%, Hit Ratio: 58.62%, Max Drawdown: 0.03%
(35, 0.9, -0.4, 3.7): Return: 0.19%, Hit Ratio: 58.62%, Max Drawdown: 0.03%
(35, 1.0, -0.5, 3.6): Return: 0.19%, Hit Ratio: 61.42%, Max Drawdown: 0.03%
(35, 1.0, -0.5, 3.7): Return: 0.19%, Hit Ratio: 61.42%, Max Drawdown: 0.03%
(35, 1.0, -0.4, 3.6): Return: 0.19%, Hit Ratio: 60.74%, Max Drawdown: 0.03%
(35, 1.0, -0.4, 3.7): Return: 0.19%, Hit Ratio: 60.74%, Max Drawdown: 0.03%
(35, 1.1, -0.4, 3.5): Return: 0.19%, Hit Ratio: 61.48%, Max Drawdown: 0.02%
(35, 1.1, -0.4, 3.6): Return: 0.19%, Hit Ratio: 61.48%, Max Drawdown: 0.02%
(35, 1.1, -0.4, 3.7): Return: 0.19%, Hit Ratio: 61.48%, Max Drawdown: 0.02%
(40, 1.0, -0.4, 3.6): Return: 0.19%, Hit Ratio: 58.46%, Max Drawdown: 0.02%
(40, 1.0, -0.4, 3.7): Return: 0.19%, Hit Ratio: 58.46%, Max Drawdown: 0.02%
(40, 1.0, -0.3, 3.6): Return: 0.19%, Hit Ratio: 59.7%, Max Drawdown: 0.02%
(40, 1.0, -0.3, 3.7): Return: 0.19%, Hit Ratio: 59.7%, Max Drawdown: 0.02%
(20, 1.2, -0.4, 3.3): Return: 0.18%, Hit Ratio: 62.93%, Max Drawdown: 0.04%
(35, 1.0, -0.6, 3.6): Return: 0.18%, Hit Ratio: 61.48%, Max Drawdown: 0.03%
(35, 1.0, -0.6, 3.7): Return: 0.18%, Hit Ratio: 61.48%, Max Drawdown: 0.03%
(35, 1.0, -0.3, 3.6): Return: 0.18%, Hit Ratio: 59.56%, Max Drawdown: 0.03%
(35, 1.0, -0.3, 3.7): Return: 0.18%, Hit Ratio: 59.56%, Max Drawdown: 0.03%
(35, 1.1, -0.5, 3.6): Return: 0.18%, Hit Ratio: 61.74%, Max Drawdown: 0.02%
