(Lookback, Entry, Exit, Stop-loss)
Best HPs: (20, 1.2, -0.3, 3.4), Return: 0.76%, Hit Ratio: 59.02%, Max Drawdown: 0.07%
(20, 1.2, -0.3, 3.4): Return: 0.76%, Hit Ratio: 59.02%, Max Drawdown: 0.07%
(20, 1.2, -0.3, 3.5): Return: 0.76%, Hit Ratio: 59.02%, Max Drawdown: 0.07%
(20, 1.2, -0.3, 3.6): Return: 0.76%, Hit Ratio: 59.02%, Max Drawdown: 0.07%
(20, 1.2, -0.3, 3.7): Return: 0.76%, Hit Ratio: 59.02%, Max Drawdown: 0.07%
(20, 1.2, -0.4, 3.4): Return: 0.72%, Hit Ratio: 61.21%, Max Drawdown: 0.07%
(20, 1.2, -0.4, 3.5): Return: 0.72%, Hit Ratio: 61.21%, Max Drawdown: 0.07%
(20, 1.2, -0.4, 3.6): Return: 0.72%, Hit Ratio: 61.21%, Max Drawdown: 0.07%
(20, 1.2, -0.4, 3.7): Return: 0.72%, Hit Ratio: 61.21%, Max Drawdown: 0.07%
(20, 1.2, -0.5, 3.4): Return: 0.65%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(20, 1.2, -0.5, 3.5): Return: 0.65%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(20, 1.2, -0.5, 3.6): Return: 0.65%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(20, 1.2, -0.5, 3.7): Return: 0.65%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(20, 1.2, -0.3, 3.3): Return: 0.65%, Hit Ratio: 58.2%, Max Drawdown: 0.17%
(30, 1.0, -0.6, 3.6): Return: 0.65%, Hit Ratio: 61.34%, Max Drawdown: 0.1%
(30, 1.0, -0.6, 3.7): Return: 0.65%, Hit Ratio: 61.34%, Max Drawdown: 0.1%
(35, 1.1, -0.4, 3.6): Return: 0.63%, Hit Ratio: 59.84%, Max Drawdown: 0.07%
(35, 1.1, -0.4, 3.7): Return: 0.63%, Hit Ratio: 59.84%, Max Drawdown: 0.07%
(30, 1.0, -0.4, 3.6): Return: 0.63%, Hit Ratio: 58.14%, Max Drawdown: 0.1%
(30, 1.0, -0.4, 3.7): Return: 0.63%, Hit Ratio: 58.14%, Max Drawdown: 0.1%
(35, 1.1, -0.4, 3.6): Return: 0.63%, Hit Ratio: 59.84%, Max Drawdown: 0.07%
(35, 1.1, -0.4, 3.7): Return: 0.63%, Hit Ratio: 59.84%, Max Drawdown: 0.07%
