,date,open,high,low,close,volume,average,barCount
0,2015-07-13 09:30:00,45.55,46.02,45.55,45.76,56,45.582,6
1,2015-07-13 09:31:00,45.76,45.76,45.76,45.76,0,45.76,0
2,2015-07-13 09:32:00,46.0,46.0,46.0,46.0,1,46.0,1
3,2015-07-13 09:33:00,46.0,46.0,46.0,46.0,0,46.0,0
4,2015-07-13 09:34:00,45.89,45.9,45.86,45.86,6,45.872,6
5,2015-07-13 09:35:00,45.86,45.87,45.81,45.84,11,45.843,10
6,2015-07-13 09:36:00,45.88,45.88,45.77,45.82,11,45.83,10
7,2015-07-13 09:37:00,45.85,45.86,45.76,45.78,24,45.81,16
8,2015-07-13 09:38:00,45.78,45.78,45.75,45.75,9,45.763,9
9,2015-07-13 09:39:00,45.73,45.73,45.65,45.68,23,45.687,20
10,2015-07-13 09:40:00,45.7,45.71,45.51,45.66,49,45.594,28
11,2015-07-13 09:41:00,45.65,45.71,45.64,45.7,15,45.662,11
12,2015-07-13 09:42:00,45.7,45.71,45.68,45.68,12,45.695,12
13,2015-07-13 09:43:00,45.68,45.68,45.49,45.54,26,45.602,23
14,2015-07-13 09:44:00,45.57,45.7,45.55,45.69,22,45.617,19
15,2015-07-13 09:45:00,45.7,45.71,45.61,45.62,15,45.667,15
16,2015-07-13 09:46:00,45.63,45.64,45.62,45.63,24,45.633,17
17,2015-07-13 09:47:00,45.63,45.64,45.53,45.53,16,45.619,16
18,2015-07-13 09:48:00,45.59,45.59,45.59,45.59,1,45.59,1
19,2015-07-13 09:49:00,45.58,45.62,45.58,45.62,2,45.6,2
20,2015-07-13 09:50:00,45.61,45.62,45.61,45.62,4,45.612,3
21,2015-07-13 09:51:00,45.63,45.63,45.63,45.63,2,45.63,2
22,2015-07-13 09:52:00,45.63,45.64,45.62,45.64,13,45.633,13
23,2015-07-13 09:53:00,45.64,45.88,45.64,45.88,18,45.684,12
24,2015-07-13 09:54:00,45.88,45.88,45.88,45.88,14,45.88,4
25,2015-07-13 09:55:00,45.89,45.9,45.86,45.86,16,45.862,7
26,2015-07-13 09:56:00,45.84,45.86,45.84,45.86,14,45.846,3
27,2015-07-13 09:57:00,45.79,45.94,45.79,45.92,10,45.872,4
28,2015-07-13 09:58:00,45.85,45.85,45.85,45.85,2,45.85,2
29,2015-07-13 09:59:00,45.83,45.83,45.82,45.82,5,45.824,5
30,2015-07-13 10:00:00,45.91,45.91,45.75,45.75,25,45.833,14
31,2015-07-13 10:01:00,45.75,45.75,45.54,45.66,13,45.576,4
32,2015-07-13 10:02:00,45.66,45.66,45.66,45.66,2,45.66,2
33,2015-07-13 10:03:00,45.68,45.68,45.68,45.68,2,45.68,2
34,2015-07-13 10:04:00,45.66,45.67,45.66,45.67,5,45.668,4
35,2015-07-13 10:05:00,45.66,45.69,45.66,45.69,15,45.662,5
36,2015-07-13 10:06:00,45.83,45.83,45.81,45.81,2,45.82,2
37,2015-07-13 10:07:00,45.81,45.82,45.81,45.81,2,45.811,2
38,2015-07-13 10:08:00,45.81,45.81,45.8,45.8,2,45.805,2
39,2015-07-13 10:09:00,45.78,45.78,45.77,45.77,10,45.775,10
40,2015-07-13 10:10:00,45.73,45.73,45.71,45.71,2,45.721,2
41,2015-07-13 10:11:00,45.7,45.7,45.61,45.61,6,45.649,4
42,2015-07-13 10:12:00,45.66,45.66,45.64,45.64,3,45.647,3
43,2015-07-13 10:13:00,45.64,45.64,45.64,45.64,0,45.64,0
44,2015-07-13 10:14:00,45.63,45.63,45.62,45.62,2,45.625,2
45,2015-07-13 10:15:00,45.62,45.62,45.61,45.61,3,45.613,3
46,2015-07-13 10:16:00,45.61,45.61,45.61,45.61,0,45.61,0
47,2015-07-13 10:17:00,45.61,45.61,45.61,45.61,0,45.61,0
48,2015-07-13 10:18:00,45.61,45.61,45.61,45.61,0,45.61,0
49,2015-07-13 10:19:00,45.61,45.61,45.61,45.61,0,45.61,0
50,2015-07-13 10:20:00,45.48,45.48,45.48,45.48,1,45.48,1
51,2015-07-13 10:21:00,45.48,45.48,45.48,45.48,0,45.48,0
52,2015-07-13 10:22:00,45.48,45.48,45.48,45.48,0,45.48,0
53,2015-07-13 10:23:00,45.46,45.46,45.4,45.4,14,45.428,11
54,2015-07-13 10:24:00,45.38,45.38,45.38,45.38,2,45.38,1
55,2015-07-13 10:25:00,45.38,45.39,45.35,45.36,17,45.366,14
56,2015-07-13 10:26:00,45.36,45.36,45.36,45.36,1,45.36,1
57,2015-07-13 10:27:00,45.42,45.42,45.42,45.42,2,45.42,1
58,2015-07-13 10:28:00,45.37,45.37,45.37,45.37,1,45.37,1
59,2015-07-13 10:29:00,45.37,45.37,45.37,45.37,0,45.37,0
60,2015-07-13 10:30:00,45.37,45.37,45.37,45.37,0,45.37,0
61,2015-07-13 10:31:00,45.37,45.37,45.37,45.37,0,45.37,0
62,2015-07-13 10:32:00,45.4,45.4,45.4,45.4,2,45.4,2
63,2015-07-13 10:33:00,45.4,45.4,45.4,45.4,0,45.4,0
64,2015-07-13 10:34:00,45.4,45.4,45.4,45.4,0,45.4,0
65,2015-07-13 10:35:00,45.4,45.4,45.4,45.4,0,45.4,0
66,2015-07-13 10:36:00,45.4,45.4,45.4,45.4,0,45.4,0
67,2015-07-13 10:37:00,45.4,45.4,45.4,45.4,0,45.4,0
68,2015-07-13 10:38:00,45.48,45.48,45.48,45.48,1,45.48,1
69,2015-07-13 10:39:00,45.48,45.48,45.48,45.48,0,45.48,0
70,2015-07-13 10:40:00,45.48,45.48,45.48,45.48,0,45.48,0
71,2015-07-13 10:41:00,45.35,45.35,45.35,45.35,6,45.35,2
72,2015-07-13 10:42:00,45.35,45.35,45.35,45.35,0,45.35,0
73,2015-07-13 10:43:00,45.38,45.38,45.38,45.38,1,45.38,1
74,2015-07-13 10:44:00,45.38,45.38,45.38,45.38,0,45.38,0
75,2015-07-13 10:45:00,45.38,45.38,45.38,45.38,0,45.38,0
76,2015-07-13 10:46:00,45.38,45.38,45.38,45.38,0,45.38,0
77,2015-07-13 10:47:00,45.37,45.37,45.37,45.37,1,45.37,1
78,2015-07-13 10:48:00,45.37,45.37,45.37,45.37,0,45.37,0
79,2015-07-13 10:49:00,45.37,45.37,45.37,45.37,0,45.37,0
80,2015-07-13 10:50:00,45.37,45.37,45.37,45.37,0,45.37,0
81,2015-07-13 10:51:00,45.37,45.37,45.37,45.37,2,45.37,2
82,2015-07-13 10:52:00,45.4,45.41,45.4,45.4,1,45.403,1
83,2015-07-13 10:53:00,45.47,45.47,45.47,45.47,1,45.47,1
84,2015-07-13 10:54:00,45.47,45.47,45.47,45.47,0,45.47,0
85,2015-07-13 10:55:00,45.38,45.38,45.38,45.38,1,45.38,1
86,2015-07-13 10:56:00,45.38,45.38,45.38,45.38,1,45.38,1
87,2015-07-13 10:57:00,45.38,45.38,45.38,45.38,0,45.38,0
88,2015-07-13 10:58:00,45.38,45.38,45.38,45.38,0,45.38,0
89,2015-07-13 10:59:00,45.47,45.47,45.47,45.47,1,45.47,1
90,2015-07-13 11:00:00,45.47,45.47,45.47,45.47,0,45.47,0
91,2015-07-13 11:01:00,45.47,45.47,45.47,45.47,0,45.47,0
92,2015-07-13 11:02:00,45.47,45.47,45.47,45.47,1,45.47,1
93,2015-07-13 11:03:00,45.47,45.47,45.47,45.47,0,45.47,0
94,2015-07-13 11:04:00,45.47,45.47,45.47,45.47,0,45.47,0
95,2015-07-13 11:05:00,45.47,45.47,45.47,45.47,1,45.47,1
96,2015-07-13 11:06:00,45.42,45.42,45.42,45.42,1,45.42,1
97,2015-07-13 11:07:00,45.48,45.48,45.48,45.48,1,45.48,1
98,2015-07-13 11:08:00,45.42,45.42,45.42,45.42,2,45.42,2
99,2015-07-13 11:09:00,45.42,45.42,45.42,45.42,2,45.42,2
100,2015-07-13 11:10:00,45.42,45.42,45.42,45.42,1,45.42,1
101,2015-07-13 11:11:00,45.42,45.42,45.42,45.42,0,45.42,0
102,2015-07-13 11:12:00,45.42,45.42,45.42,45.42,0,45.42,0
103,2015-07-13 11:13:00,45.42,45.42,45.42,45.42,0,45.42,0
104,2015-07-13 11:14:00,45.42,45.42,45.42,45.42,4,45.42,4
105,2015-07-13 11:15:00,45.47,45.48,45.47,45.48,3,45.477,3
106,2015-07-13 11:16:00,45.48,45.48,45.48,45.48,0,45.48,0
107,2015-07-13 11:17:00,45.48,45.48,45.48,45.48,1,45.48,1
108,2015-07-13 11:18:00,45.48,45.48,45.48,45.48,0,45.48,0
109,2015-07-13 11:19:00,45.42,45.42,45.36,45.36,10,45.385,6
110,2015-07-13 11:20:00,45.36,45.36,45.36,45.36,0,45.36,0
111,2015-07-13 11:21:00,45.45,45.45,45.45,45.45,1,45.45,1
112,2015-07-13 11:22:00,45.42,45.42,45.42,45.42,1,45.42,1
113,2015-07-13 11:23:00,45.47,45.47,45.47,45.47,3,45.47,1
114,2015-07-13 11:24:00,45.47,45.47,45.47,45.47,0,45.47,0
115,2015-07-13 11:25:00,45.47,45.47,45.47,45.47,0,45.47,0
116,2015-07-13 11:26:00,45.46,45.46,45.46,45.46,1,45.46,1
117,2015-07-13 11:27:00,45.46,45.46,45.46,45.46,0,45.46,0
118,2015-07-13 11:28:00,45.47,45.47,45.47,45.47,1,45.47,1
119,2015-07-13 11:29:00,45.47,45.47,45.47,45.47,0,45.47,0
120,2015-07-13 11:30:00,45.36,45.46,45.36,45.46,2,45.41,2
121,2015-07-13 11:31:00,45.46,45.46,45.46,45.46,0,45.46,0
122,2015-07-13 11:32:00,45.47,45.47,45.47,45.47,1,45.47,1
123,2015-07-13 11:33:00,45.47,45.47,45.47,45.47,0,45.47,0
124,2015-07-13 11:34:00,45.47,45.47,45.47,45.47,2,45.47,2
125,2015-07-13 11:35:00,45.47,45.47,45.47,45.47,0,45.47,0
126,2015-07-13 11:36:00,45.47,45.47,45.47,45.47,0,45.47,0
127,2015-07-13 11:37:00,45.52,45.52,45.51,45.51,3,45.517,3
128,2015-07-13 11:38:00,45.51,45.51,45.51,45.51,0,45.51,0
129,2015-07-13 11:39:00,45.51,45.51,45.51,45.51,0,45.51,0
130,2015-07-13 11:40:00,45.54,45.54,45.54,45.54,4,45.54,4
131,2015-07-13 11:41:00,45.54,45.54,45.54,45.54,0,45.54,0
132,2015-07-13 11:42:00,45.53,45.53,45.53,45.53,1,45.53,1
133,2015-07-13 11:43:00,45.52,45.52,45.52,45.52,2,45.52,2
134,2015-07-13 11:44:00,45.52,45.66,45.52,45.62,23,45.583,15
135,2015-07-13 11:45:00,45.61,45.62,45.6,45.61,16,45.609,10
136,2015-07-13 11:46:00,45.59,45.59,45.58,45.58,6,45.583,6
137,2015-07-13 11:47:00,45.55,45.55,45.55,45.55,2,45.55,2
138,2015-07-13 11:48:00,45.56,45.56,45.55,45.55,5,45.556,5
139,2015-07-13 11:49:00,45.55,45.6,45.55,45.6,8,45.594,3
140,2015-07-13 11:50:00,45.6,45.62,45.6,45.62,6,45.603,2
141,2015-07-13 11:51:00,45.65,45.7,45.63,45.63,21,45.683,8
142,2015-07-13 11:52:00,45.68,45.7,45.65,45.65,21,45.691,10
143,2015-07-13 11:53:00,45.57,45.57,45.57,45.57,1,45.57,1
144,2015-07-13 11:54:00,45.57,45.57,45.57,45.57,0,45.57,0
145,2015-07-13 11:55:00,45.57,45.57,45.57,45.57,2,45.57,2
146,2015-07-13 11:56:00,45.57,45.57,45.57,45.57,0,45.57,0
147,2015-07-13 11:57:00,45.65,45.65,45.65,45.65,1,45.65,1
148,2015-07-13 11:58:00,45.61,45.64,45.61,45.64,7,45.614,5
149,2015-07-13 11:59:00,45.65,45.66,45.65,45.66,2,45.655,2
150,2015-07-13 12:00:00,45.66,45.66,45.66,45.66,0,45.66,0
151,2015-07-13 12:01:00,45.65,45.65,45.62,45.62,5,45.629,2
152,2015-07-13 12:02:00,45.66,45.66,45.66,45.66,1,45.66,1
153,2015-07-13 12:03:00,45.66,45.66,45.66,45.66,0,45.66,0
154,2015-07-13 12:04:00,45.65,45.66,45.65,45.66,2,45.655,2
155,2015-07-13 12:05:00,45.66,45.66,45.66,45.66,9,45.66,9
156,2015-07-13 12:06:00,45.66,45.66,45.66,45.66,0,45.66,0
157,2015-07-13 12:07:00,45.72,45.72,45.72,45.72,1,45.72,1
158,2015-07-13 12:08:00,45.72,45.72,45.72,45.72,0,45.72,0
159,2015-07-13 12:09:00,45.72,45.72,45.72,45.72,1,45.72,1
160,2015-07-13 12:10:00,45.72,45.72,45.72,45.72,0,45.72,0
161,2015-07-13 12:11:00,45.8,45.8,45.8,45.8,1,45.8,1
162,2015-07-13 12:12:00,45.8,45.8,45.8,45.8,0,45.8,0
163,2015-07-13 12:13:00,45.86,45.86,45.86,45.86,1,45.86,1
164,2015-07-13 12:14:00,45.86,45.86,45.86,45.86,0,45.86,0
165,2015-07-13 12:15:00,45.72,45.72,45.71,45.71,2,45.715,2
166,2015-07-13 12:16:00,45.85,45.85,45.85,45.85,1,45.85,1
167,2015-07-13 12:17:00,45.85,45.85,45.85,45.85,0,45.85,0
168,2015-07-13 12:18:00,45.84,45.84,45.84,45.84,1,45.84,1
169,2015-07-13 12:19:00,45.84,45.84,45.84,45.84,0,45.84,0
170,2015-07-13 12:20:00,45.84,45.84,45.84,45.84,0,45.84,0
171,2015-07-13 12:21:00,45.84,45.84,45.84,45.84,0,45.84,0
172,2015-07-13 12:22:00,45.84,45.84,45.84,45.84,0,45.84,0
173,2015-07-13 12:23:00,45.82,45.82,45.82,45.82,1,45.82,1
174,2015-07-13 12:24:00,45.82,45.82,45.82,45.82,0,45.82,0
175,2015-07-13 12:25:00,45.81,45.81,45.81,45.81,1,45.81,1
176,2015-07-13 12:26:00,45.81,45.81,45.81,45.81,0,45.81,0
177,2015-07-13 12:27:00,45.81,45.81,45.81,45.81,0,45.81,0
178,2015-07-13 12:28:00,45.67,45.67,45.67,45.67,1,45.67,1
179,2015-07-13 12:29:00,45.8,45.8,45.8,45.8,1,45.8,1
180,2015-07-13 12:30:00,45.8,45.8,45.8,45.8,0,45.8,0
181,2015-07-13 12:31:00,45.8,45.8,45.8,45.8,0,45.8,0
182,2015-07-13 12:32:00,45.8,45.8,45.8,45.8,0,45.8,0
183,2015-07-13 12:33:00,45.8,45.8,45.8,45.8,1,45.8,1
184,2015-07-13 12:34:00,45.8,45.8,45.8,45.8,0,45.8,0
185,2015-07-13 12:35:00,45.8,45.8,45.8,45.8,0,45.8,0
186,2015-07-13 12:36:00,45.8,45.8,45.8,45.8,0,45.8,0
187,2015-07-13 12:37:00,45.8,45.8,45.8,45.8,0,45.8,0
188,2015-07-13 12:38:00,45.8,45.8,45.8,45.8,0,45.8,0
189,2015-07-13 12:39:00,45.83,45.83,45.83,45.83,1,45.83,1
190,2015-07-13 12:40:00,45.8,45.8,45.8,45.8,1,45.8,1
191,2015-07-13 12:41:00,45.8,45.8,45.8,45.8,0,45.8,0
192,2015-07-13 12:42:00,45.68,45.69,45.68,45.68,2,45.681,1
193,2015-07-13 12:43:00,45.68,45.68,45.68,45.68,0,45.68,0
194,2015-07-13 12:44:00,45.68,45.68,45.68,45.68,0,45.68,0
195,2015-07-13 12:45:00,45.79,45.79,45.79,45.79,1,45.79,1
