,date,open,high,low,close,volume,average,barCount
0,2015-03-10 21:30:00,2.58,2.59,2.58,2.58,62000,2.5813,4
1,2015-03-10 21:31:00,2.58,2.58,2.58,2.58,4000,2.58,2
2,2015-03-10 21:32:00,2.58,2.61,2.58,2.61,348000,2.592,7
3,2015-03-10 21:33:00,2.61,2.61,2.59,2.6,72000,2.6003,4
4,2015-03-10 21:34:00,2.61,2.63,2.61,2.63,190000,2.6162,10
5,2015-03-10 21:35:00,2.62,2.62,2.61,2.61,114000,2.6165,2
6,2015-03-10 21:36:00,2.61,2.61,2.61,2.61,0,2.61,0
7,2015-03-10 21:37:00,2.61,2.61,2.61,2.61,112000,2.61,2
8,2015-03-10 21:38:00,2.61,2.61,2.61,2.61,82000,2.61,3
9,2015-03-10 21:39:00,2.62,2.62,2.62,2.62,56000,2.62,5
10,2015-03-10 21:40:00,2.62,2.62,2.62,2.62,26000,2.62,4
11,2015-03-10 21:41:00,2.62,2.63,2.62,2.63,154000,2.6212,9
12,2015-03-10 21:42:00,2.63,2.63,2.62,2.62,68000,2.6291,7
13,2015-03-10 21:43:00,2.63,2.63,2.61,2.62,86000,2.62,4
14,2015-03-10 21:44:00,2.61,2.62,2.61,2.62,28000,2.6129,2
15,2015-03-10 21:45:00,2.61,2.62,2.61,2.61,42000,2.6186,7
16,2015-03-10 21:46:00,2.62,2.62,2.61,2.62,96000,2.6196,7
17,2015-03-10 21:47:00,2.62,2.62,2.61,2.62,14000,2.6186,3
18,2015-03-10 21:48:00,2.62,2.62,2.62,2.62,8000,2.62,2
19,2015-03-10 21:49:00,2.62,2.63,2.61,2.63,200000,2.6222,10
20,2015-03-10 21:50:00,2.62,2.63,2.62,2.63,18000,2.6289,4
21,2015-03-10 21:51:00,2.63,2.63,2.63,2.63,6000,2.63,1
22,2015-03-10 21:52:00,2.63,2.63,2.63,2.63,14000,2.63,2
23,2015-03-10 21:53:00,2.63,2.63,2.62,2.62,162000,2.6206,3
24,2015-03-10 21:54:00,2.61,2.61,2.61,2.61,18000,2.61,1
25,2015-03-10 21:55:00,2.61,2.61,2.6,2.6,204000,2.6093,6
26,2015-03-10 21:56:00,2.6,2.6,2.6,2.6,0,2.6,0
27,2015-03-10 21:57:00,2.6,2.6,2.6,2.6,4000,2.6,1
28,2015-03-10 21:58:00,2.6,2.6,2.6,2.6,0,2.6,0
29,2015-03-10 21:59:00,2.6,2.61,2.6,2.6,14000,2.6014,5
30,2015-03-10 22:00:00,2.6,2.6,2.6,2.6,18000,2.6,3
31,2015-03-10 22:01:00,2.61,2.61,2.61,2.61,34000,2.61,1
32,2015-03-10 22:02:00,2.61,2.61,2.61,2.61,0,2.61,0
33,2015-03-10 22:03:00,2.6,2.61,2.6,2.61,8000,2.6075,4
34,2015-03-10 22:04:00,2.61,2.61,2.6,2.61,20000,2.606,4
35,2015-03-10 22:05:00,2.6,2.61,2.6,2.61,4000,2.605,2
36,2015-03-10 22:06:00,2.61,2.61,2.61,2.61,52000,2.61,3
37,2015-03-10 22:07:00,2.61,2.61,2.61,2.61,6000,2.61,1
38,2015-03-10 22:08:00,2.61,2.62,2.61,2.62,140000,2.6129,3
39,2015-03-10 22:09:00,2.62,2.62,2.62,2.62,12000,2.62,1
40,2015-03-10 22:10:00,2.62,2.62,2.62,2.62,4000,2.62,1
41,2015-03-10 22:11:00,2.62,2.62,2.61,2.62,262000,2.6127,4
42,2015-03-10 22:12:00,2.62,2.62,2.62,2.62,280000,2.62,6
43,2015-03-10 22:13:00,2.62,2.62,2.62,2.62,332000,2.62,5
44,2015-03-10 22:14:00,2.63,2.63,2.63,2.63,70000,2.63,2
45,2015-03-10 22:15:00,2.63,2.63,2.63,2.63,32000,2.63,2
46,2015-03-10 22:16:00,2.63,2.63,2.63,2.63,8000,2.63,1
47,2015-03-10 22:17:00,2.62,2.62,2.61,2.61,188000,2.6179,3
