,date,open,high,low,close,volume,average,barCount
0,2015-04-10,4.099,4.22,3.96,4.11,-1,-1.0,-1
1,2015-04-13,4.103,4.17,4.01,4.114,-1,-1.0,-1
2,2015-04-14,4.013,4.15,3.81,4.026,-1,-1.0,-1
3,2015-04-15,3.855,3.99,3.72,3.867,-1,-1.0,-1
4,2015-04-16,3.951,4.06,3.76,3.963,-1,-1.0,-1
5,2015-04-17,4.1,4.2,3.96,4.111,-1,-1.0,-1
6,2015-04-20,3.98,4.14,3.8,3.993,-1,-1.0,-1
7,2015-04-21,3.909,4.03,3.86,3.922,-1,-1.0,-1
8,2015-04-22,4.062,4.13,3.92,4.073,-1,-1.0,-1
9,2015-04-23,4.15,4.24,4.02,4.161,-1,-1.0,-1
10,2015-04-24,4.36,4.52,4.1,4.371,-1,-1.0,-1
11,2015-04-27,4.977,5.35,4.51,4.99,-1,-1.0,-1
12,2015-04-28,4.956,5.3,4.78,4.969,-1,-1.0,-1
13,2015-04-29,4.867,5.07,4.7,4.88,-1,-1.0,-1
14,2015-04-30,4.717,4.96,4.64,4.73,-1,-1.0,-1
15,2015-05-04,4.493,4.7,4.37,4.506,-1,-1.0,-1
16,2015-05-05,4.269,4.59,4.1,4.284,-1,-1.0,-1
17,2015-05-06,4.105,4.28,3.88,4.118,-1,-1.0,-1
18,2015-05-07,3.85,4.0,3.66,3.863,-1,-1.0,-1
19,2015-05-08,3.861,3.96,3.76,3.875,-1,-1.0,-1
20,2015-05-11,3.936,4.07,3.83,3.949,-1,-1.0,-1
21,2015-05-12,3.904,4.0,3.85,3.916,-1,-1.0,-1
22,2015-05-13,3.924,4.01,3.85,3.936,-1,-1.0,-1
23,2015-05-14,4.002,4.13,3.85,4.015,-1,-1.0,-1
24,2015-05-15,4.021,4.12,3.94,4.034,-1,-1.0,-1
25,2015-05-18,3.89,4.1,3.78,3.901,-1,-1.0,-1
26,2015-05-19,4.002,4.09,3.9,4.014,-1,-1.0,-1
27,2015-05-20,3.967,4.05,3.88,3.978,-1,-1.0,-1
28,2015-05-21,3.907,4.0,3.86,3.919,-1,-1.0,-1
29,2015-05-22,3.974,4.07,3.89,3.986,-1,-1.0,-1
30,2015-05-26,4.12,4.2,4.09,4.131,-1,-1.0,-1
31,2015-05-27,4.121,4.24,4.03,4.132,-1,-1.0,-1
32,2015-05-28,4.011,4.18,3.84,4.022,-1,-1.0,-1
33,2015-05-29,3.881,3.93,3.72,3.892,-1,-1.0,-1
34,2015-06-01,3.893,3.98,3.78,3.905,-1,-1.0,-1
35,2015-06-02,3.838,3.95,3.79,3.849,-1,-1.0,-1
36,2015-06-03,3.848,3.94,3.8,3.859,-1,-1.0,-1
37,2015-06-04,3.819,3.9,3.73,3.831,-1,-1.0,-1
38,2015-06-05,3.834,3.92,3.79,3.846,-1,-1.0,-1
39,2015-06-08,3.846,3.89,3.78,3.857,-1,-1.0,-1
40,2015-06-09,3.743,3.88,3.65,3.755,-1,-1.0,-1
41,2015-06-10,3.715,3.79,3.66,3.727,-1,-1.0,-1
42,2015-06-11,3.768,3.83,3.7,3.779,-1,-1.0,-1
43,2015-06-12,3.8,3.91,3.7,3.812,-1,-1.0,-1
44,2015-06-15,3.884,3.95,3.84,3.895,-1,-1.0,-1
45,2015-06-16,3.808,3.93,3.69,3.819,-1,-1.0,-1
46,2015-06-17,3.894,4.1,3.71,3.906,-1,-1.0,-1
47,2015-06-18,4.325,4.49,4.0,4.336,-1,-1.0,-1
48,2015-06-19,4.288,4.48,4.12,4.3,-1,-1.0,-1
49,2015-06-22,4.279,4.35,4.19,4.291,-1,-1.0,-1
50,2015-06-23,4.221,4.43,4.09,4.233,-1,-1.0,-1
51,2015-06-24,4.297,4.44,4.21,4.309,-1,-1.0,-1
52,2015-06-25,4.438,4.57,4.3,4.45,-1,-1.0,-1
53,2015-06-26,4.356,4.49,4.12,4.369,-1,-1.0,-1
54,2015-06-29,4.092,4.34,3.9,4.106,-1,-1.0,-1
55,2015-06-30,4.098,4.26,3.86,4.112,-1,-1.0,-1
56,2015-07-02,4.059,4.22,3.98,4.071,-1,-1.0,-1
57,2015-07-03,3.879,4.05,3.73,3.893,-1,-1.0,-1
58,2015-07-06,3.439,3.96,3.01,3.455,-1,-1.0,-1
59,2015-07-07,3.084,3.45,2.9,3.1,-1,-1.0,-1
60,2015-07-08,2.521,2.82,2.33,2.536,-1,-1.0,-1
61,2015-07-09,3.077,3.24,2.7,3.092,-1,-1.0,-1
