,date,open,high,low,close,volume,average,barCount
0,2015-04-10,86.77,87.28,85.96,86.82,-1,-1.0,-1
1,2015-04-13,87.04,89.73,86.62,87.17,-1,-1.0,-1
2,2015-04-14,85.92,86.38,85.28,85.98,-1,-1.0,-1
3,2015-04-15,87.82,89.73,85.43,87.88,-1,-1.0,-1
4,2015-04-16,90.16,90.9,89.35,90.24,-1,-1.0,-1
5,2015-04-17,88.1,88.94,87.01,88.2,-1,-1.0,-1
6,2015-04-20,88.52,90.44,87.8,88.6,-1,-1.0,-1
7,2015-04-21,90.27,90.6,89.88,90.35,-1,-1.0,-1
8,2015-04-22,90.7,91.04,90.19,90.78,-1,-1.0,-1
9,2015-04-23,91.03,91.91,90.26,91.12,-1,-1.0,-1
10,2015-04-24,91.57,92.0,91.36,91.64,-1,-1.0,-1
11,2015-04-27,94.96,96.8,94.0,95.06,-1,-1.0,-1
12,2015-04-28,93.7,96.71,90.97,93.8,-1,-1.0,-1
13,2015-04-29,95.38,96.46,93.66,95.5,-1,-1.0,-1
14,2015-04-30,94.04,94.7,93.5,94.11,-1,-1.0,-1
15,2015-05-01,94.85,95.47,93.94,94.93,-1,-1.0,-1
16,2015-05-04,95.38,96.02,94.76,95.46,-1,-1.0,-1
17,2015-05-05,93.91,94.32,93.45,93.99,-1,-1.0,-1
18,2015-05-06,92.61,95.05,91.55,92.69,-1,-1.0,-1
19,2015-05-07,90.75,91.35,90.26,90.81,-1,-1.0,-1
20,2015-05-08,92.13,92.77,91.25,92.21,-1,-1.0,-1
21,2015-05-11,91.04,91.82,90.42,91.12,-1,-1.0,-1
22,2015-05-12,89.45,90.05,88.7,89.54,-1,-1.0,-1
23,2015-05-13,88.95,89.36,88.66,89.03,-1,-1.0,-1
24,2015-05-14,89.65,89.98,88.83,89.74,-1,-1.0,-1
25,2015-05-15,90.12,90.72,89.29,90.19,-1,-1.0,-1
26,2015-05-18,88.58,88.81,87.93,88.66,-1,-1.0,-1
27,2015-05-19,88.9,89.27,88.55,88.98,-1,-1.0,-1
28,2015-05-20,88.46,88.84,88.21,88.55,-1,-1.0,-1
29,2015-05-21,88.28,88.51,87.95,88.36,-1,-1.0,-1
30,2015-05-22,91.1,91.52,90.89,91.17,-1,-1.0,-1
31,2015-05-26,91.47,93.4,91.01,91.54,-1,-1.0,-1
32,2015-05-27,91.1,91.93,90.69,91.18,-1,-1.0,-1
33,2015-05-28,88.2,89.21,87.91,88.26,-1,-1.0,-1
34,2015-05-29,87.89,88.51,87.55,87.96,-1,-1.0,-1
35,2015-06-01,87.28,91.22,86.42,87.36,-1,-1.0,-1
36,2015-06-02,87.6,87.98,87.31,87.67,-1,-1.0,-1
37,2015-06-03,87.47,87.88,87.05,87.56,-1,-1.0,-1
38,2015-06-04,85.88,86.62,85.27,85.94,-1,-1.0,-1
39,2015-06-05,84.52,84.85,83.71,84.6,-1,-1.0,-1
40,2015-06-08,85.79,86.21,85.54,85.86,-1,-1.0,-1
41,2015-06-09,83.41,83.65,82.89,83.48,-1,-1.0,-1
42,2015-06-10,82.55,83.33,81.93,82.61,-1,-1.0,-1
43,2015-06-11,83.01,83.36,82.45,83.07,-1,-1.0,-1
44,2015-06-12,83.33,83.58,83.04,83.41,-1,-1.0,-1
45,2015-06-15,81.97,85.18,81.38,82.06,-1,-1.0,-1
46,2015-06-16,81.06,81.46,80.44,81.13,-1,-1.0,-1
47,2015-06-17,82.39,82.99,82.02,82.47,-1,-1.0,-1
48,2015-06-18,84.42,85.25,83.68,84.49,-1,-1.0,-1
49,2015-06-19,83.97,84.96,82.16,84.07,-1,-1.0,-1
50,2015-06-22,85.05,85.45,84.72,85.12,-1,-1.0,-1
51,2015-06-23,88.34,88.61,87.4,88.41,-1,-1.0,-1
52,2015-06-24,88.13,88.79,87.71,88.2,-1,-1.0,-1
53,2015-06-25,87.34,88.37,87.04,87.43,-1,-1.0,-1
54,2015-06-26,85.53,86.27,85.08,85.61,-1,-1.0,-1
55,2015-06-29,83.8,84.89,83.19,83.9,-1,-1.0,-1
56,2015-06-30,85.75,88.4,85.44,85.84,-1,-1.0,-1
57,2015-07-01,84.55,87.74,82.74,84.64,-1,-1.0,-1
58,2015-07-02,84.52,90.34,82.59,84.6,-1,-1.0,-1
59,2015-07-06,83.31,84.32,82.67,83.39,-1,-1.0,-1
60,2015-07-07,79.82,81.14,78.47,79.91,-1,-1.0,-1
61,2015-07-08,79.33,81.53,78.0,79.46,-1,-1.0,-1
62,2015-07-09,78.94,80.06,78.5,79.02,-1,-1.0,-1
63,2015-07-10,79.92,81.57,79.33,80.03,-1,-1.0,-1
64,2015-07-13,79.8,81.12,78.42,79.9,-1,-1.0,-1
65,2015-07-14,78.79,79.07,78.2,78.87,-1,-1.0,-1
66,2015-07-15,79.3,80.05,78.85,79.38,-1,-1.0,-1
67,2015-07-16,79.87,80.24,79.53,79.94,-1,-1.0,-1
68,2015-07-17,79.29,79.86,79.13,79.37,-1,-1.0,-1
