(Lookback, Entry, Exit, Stop-loss)
Best HPs: (110, 1.6, -0.1, 2.9), Return: 1.99%, Hit Ratio: 60.0%, Max Drawdown: 0.57%
(110, 1.6, -0.1, 2.9): Return: 1.99%, Hit Ratio: 60.0%, Max Drawdown: 0.57%
(110, 1.6, 0.0, 2.9): Return: 1.95%, Hit Ratio: 60.0%, Max Drawdown: 0.57%
(110, 1.6, 0.0, 3.0): Return: 1.91%, Hit Ratio: 57.69%, Max Drawdown: 0.57%
(110, 1.6, 0.0, 3.1): Return: 1.91%, Hit Ratio: 57.69%, Max Drawdown: 0.57%
(110, 1.6, 0.0, 3.2): Return: 1.91%, Hit Ratio: 57.69%, Max Drawdown: 0.57%
(110, 1.6, -0.1, 2.8): Return: 1.9%, Hit Ratio: 58.33%, Max Drawdown: 0.57%
(110, 1.6, -0.1, 3.0): Return: 1.9%, Hit Ratio: 57.69%, Max Drawdown: 0.57%
(110, 1.6, -0.1, 3.1): Return: 1.9%, Hit Ratio: 57.69%, Max Drawdown: 0.57%
(110, 1.6, -0.1, 3.2): Return: 1.9%, Hit Ratio: 57.69%, Max Drawdown: 0.57%
(110, 1.6, 0.1, 2.9): Return: 1.89%, Hit Ratio: 64.0%, Max Drawdown: 0.43%
(110, 1.6, 0.0, 2.8): Return: 1.87%, Hit Ratio: 58.33%, Max Drawdown: 0.57%
(110, 1.6, 0.1, 3.0): Return: 1.84%, Hit Ratio: 61.54%, Max Drawdown: 0.43%
(110, 1.6, 0.1, 3.1): Return: 1.84%, Hit Ratio: 61.54%, Max Drawdown: 0.43%
(110, 1.6, 0.1, 3.2): Return: 1.84%, Hit Ratio: 61.54%, Max Drawdown: 0.43%
(110, 1.4, -0.1, 2.9): Return: 1.8%, Hit Ratio: 51.43%, Max Drawdown: 0.64%
(110, 1.6, 0.1, 2.8): Return: 1.8%, Hit Ratio: 62.5%, Max Drawdown: 0.43%
(110, 1.6, 0.2, 2.9): Return: 1.8%, Hit Ratio: 64.0%, Max Drawdown: 0.43%
(110, 1.4, 0.0, 2.9): Return: 1.77%, Hit Ratio: 51.43%, Max Drawdown: 0.68%
(110, 1.6, 0.2, 3.0): Return: 1.76%, Hit Ratio: 61.54%, Max Drawdown: 0.43%
(110, 1.6, 0.2, 3.1): Return: 1.76%, Hit Ratio: 61.54%, Max Drawdown: 0.43%
(110, 1.6, 0.2, 3.2): Return: 1.76%, Hit Ratio: 61.54%, Max Drawdown: 0.43%
(110, 1.7, -0.1, 2.9): Return: 1.75%, Hit Ratio: 54.55%, Max Drawdown: 0.57%
(110, 1.7, 0.0, 2.9): Return: 1.75%, Hit Ratio: 54.55%, Max Drawdown: 0.57%
(110, 1.4, 0.0, 3.0): Return: 1.73%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(110, 1.4, 0.0, 3.1): Return: 1.73%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(110, 1.4, 0.0, 3.2): Return: 1.73%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(110, 1.4, -0.1, 2.8): Return: 1.72%, Hit Ratio: 50.0%, Max Drawdown: 0.64%
(105, 1.6, -0.1, 2.8): Return: 1.71%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(105, 1.6, -0.1, 2.9): Return: 1.71%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(100, 1.6, -0.1, 2.8): Return: 1.71%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(100, 1.6, -0.1, 2.9): Return: 1.71%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(100, 1.6, -0.1, 3.0): Return: 1.71%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(105, 1.6, -0.1, 2.8): Return: 1.71%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(105, 1.6, -0.1, 2.9): Return: 1.71%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(110, 1.4, -0.1, 3.0): Return: 1.71%, Hit Ratio: 50.0%, Max Drawdown: 0.64%
(110, 1.4, -0.1, 3.1): Return: 1.71%, Hit Ratio: 50.0%, Max Drawdown: 0.64%
(110, 1.4, -0.1, 3.2): Return: 1.71%, Hit Ratio: 50.0%, Max Drawdown: 0.64%
(110, 1.6, 0.2, 2.8): Return: 1.71%, Hit Ratio: 62.5%, Max Drawdown: 0.43%
(110, 1.7, 0.0, 3.0): Return: 1.71%, Hit Ratio: 52.17%, Max Drawdown: 0.57%
(110, 1.7, 0.0, 3.1): Return: 1.71%, Hit Ratio: 52.17%, Max Drawdown: 0.57%
(110, 1.7, 0.0, 3.2): Return: 1.71%, Hit Ratio: 52.17%, Max Drawdown: 0.57%
(110, 1.7, 0.1, 2.9): Return: 1.69%, Hit Ratio: 59.09%, Max Drawdown: 0.47%
(90, 1.6, 0.1, 2.8): Return: 1.68%, Hit Ratio: 57.14%, Max Drawdown: 0.44%
(90, 1.6, 0.1, 2.9): Return: 1.68%, Hit Ratio: 57.14%, Max Drawdown: 0.44%
(90, 1.6, 0.1, 3.0): Return: 1.68%, Hit Ratio: 57.14%, Max Drawdown: 0.44%
(110, 1.4, 0.0, 2.8): Return: 1.68%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(110, 1.7, -0.1, 2.8): Return: 1.67%, Hit Ratio: 52.38%, Max Drawdown: 0.57%
(110, 1.7, 0.0, 2.8): Return: 1.67%, Hit Ratio: 52.38%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 2.8): Return: 1.66%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 2.9): Return: 1.66%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(100, 1.6, 0.0, 2.8): Return: 1.66%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(100, 1.6, 0.0, 2.9): Return: 1.66%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(100, 1.6, 0.0, 3.0): Return: 1.66%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 2.8): Return: 1.66%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 2.9): Return: 1.66%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(110, 1.6, -0.2, 2.9): Return: 1.66%, Hit Ratio: 56.0%, Max Drawdown: 0.57%
(110, 1.7, -0.1, 3.0): Return: 1.66%, Hit Ratio: 52.17%, Max Drawdown: 0.57%
(110, 1.7, -0.1, 3.1): Return: 1.66%, Hit Ratio: 52.17%, Max Drawdown: 0.57%
(110, 1.7, -0.1, 3.2): Return: 1.66%, Hit Ratio: 52.17%, Max Drawdown: 0.57%
(110, 1.7, 0.1, 3.0): Return: 1.65%, Hit Ratio: 56.52%, Max Drawdown: 0.47%
(110, 1.7, 0.1, 3.1): Return: 1.65%, Hit Ratio: 56.52%, Max Drawdown: 0.47%
(110, 1.7, 0.1, 3.2): Return: 1.65%, Hit Ratio: 56.52%, Max Drawdown: 0.47%
(90, 1.6, -0.1, 2.8): Return: 1.64%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(90, 1.6, -0.1, 2.9): Return: 1.64%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(90, 1.6, -0.1, 3.0): Return: 1.64%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(110, 1.4, 0.1, 2.9): Return: 1.64%, Hit Ratio: 52.78%, Max Drawdown: 0.82%
(90, 1.6, 0.1, 3.1): Return: 1.63%, Hit Ratio: 55.17%, Max Drawdown: 0.44%
(90, 1.6, 0.1, 3.2): Return: 1.63%, Hit Ratio: 55.17%, Max Drawdown: 0.44%
(105, 1.4, -0.1, 2.8): Return: 1.62%, Hit Ratio: 50.0%, Max Drawdown: 0.82%
(105, 1.4, -0.1, 2.9): Return: 1.62%, Hit Ratio: 50.0%, Max Drawdown: 0.82%
(105, 1.6, -0.1, 3.0): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, -0.1, 3.1): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, -0.1, 3.2): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 3.0): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 3.1): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 3.2): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(100, 1.4, -0.1, 2.8): Return: 1.62%, Hit Ratio: 50.0%, Max Drawdown: 0.82%
(100, 1.4, -0.1, 2.9): Return: 1.62%, Hit Ratio: 50.0%, Max Drawdown: 0.82%
(100, 1.4, -0.1, 3.0): Return: 1.62%, Hit Ratio: 50.0%, Max Drawdown: 0.82%
(100, 1.6, -0.1, 3.1): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(100, 1.6, -0.1, 3.2): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(100, 1.6, 0.0, 3.1): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(100, 1.6, 0.0, 3.2): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.4, -0.1, 2.8): Return: 1.62%, Hit Ratio: 50.0%, Max Drawdown: 0.82%
(105, 1.4, -0.1, 2.9): Return: 1.62%, Hit Ratio: 50.0%, Max Drawdown: 0.82%
(105, 1.6, -0.1, 3.0): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, -0.1, 3.1): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, -0.1, 3.2): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 3.0): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 3.1): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(105, 1.6, 0.0, 3.2): Return: 1.62%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(110, 1.5, -0.1, 2.9): Return: 1.62%, Hit Ratio: 50.0%, Max Drawdown: 0.64%
(90, 1.5, 0.1, 2.8): Return: 1.61%, Hit Ratio: 51.52%, Max Drawdown: 0.61%
(90, 1.5, 0.1, 2.9): Return: 1.61%, Hit Ratio: 51.52%, Max Drawdown: 0.61%
(90, 1.5, 0.1, 3.0): Return: 1.61%, Hit Ratio: 51.52%, Max Drawdown: 0.61%
(105, 1.6, 0.1, 2.8): Return: 1.61%, Hit Ratio: 57.14%, Max Drawdown: 0.63%
(105, 1.6, 0.1, 2.9): Return: 1.61%, Hit Ratio: 57.14%, Max Drawdown: 0.63%
(100, 1.6, 0.1, 2.8): Return: 1.61%, Hit Ratio: 57.14%, Max Drawdown: 0.63%
(100, 1.6, 0.1, 2.9): Return: 1.61%, Hit Ratio: 57.14%, Max Drawdown: 0.63%
(100, 1.6, 0.1, 3.0): Return: 1.61%, Hit Ratio: 57.14%, Max Drawdown: 0.63%
(105, 1.6, 0.1, 2.8): Return: 1.61%, Hit Ratio: 57.14%, Max Drawdown: 0.63%
(105, 1.6, 0.1, 2.9): Return: 1.61%, Hit Ratio: 57.14%, Max Drawdown: 0.63%
(110, 1.4, 0.1, 3.0): Return: 1.6%, Hit Ratio: 51.35%, Max Drawdown: 0.82%
(110, 1.4, 0.1, 3.1): Return: 1.6%, Hit Ratio: 51.35%, Max Drawdown: 0.82%
(110, 1.4, 0.1, 3.2): Return: 1.6%, Hit Ratio: 51.35%, Max Drawdown: 0.82%
(110, 1.7, 0.1, 2.8): Return: 1.6%, Hit Ratio: 57.14%, Max Drawdown: 0.47%
(110, 1.7, 0.2, 2.9): Return: 1.6%, Hit Ratio: 59.09%, Max Drawdown: 0.47%
(90, 1.6, 0.0, 2.8): Return: 1.59%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(90, 1.6, 0.0, 2.9): Return: 1.59%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(90, 1.6, 0.0, 3.0): Return: 1.59%, Hit Ratio: 53.57%, Max Drawdown: 0.57%
(110, 1.5, 0.0, 2.9): Return: 1.59%, Hit Ratio: 50.0%, Max Drawdown: 0.68%
(90, 1.5, -0.1, 2.8): Return: 1.57%, Hit Ratio: 48.48%, Max Drawdown: 0.57%
(90, 1.5, -0.1, 2.9): Return: 1.57%, Hit Ratio: 48.48%, Max Drawdown: 0.57%
(90, 1.5, -0.1, 3.0): Return: 1.57%, Hit Ratio: 48.48%, Max Drawdown: 0.57%
(90, 1.5, 0.1, 3.1): Return: 1.57%, Hit Ratio: 50.0%, Max Drawdown: 0.61%
(90, 1.5, 0.1, 3.2): Return: 1.57%, Hit Ratio: 50.0%, Max Drawdown: 0.61%
(105, 1.4, 0.0, 2.8): Return: 1.57%, Hit Ratio: 50.0%, Max Drawdown: 0.86%
(105, 1.4, 0.0, 2.9): Return: 1.57%, Hit Ratio: 50.0%, Max Drawdown: 0.86%
(100, 1.4, 0.0, 2.8): Return: 1.57%, Hit Ratio: 50.0%, Max Drawdown: 0.86%
(100, 1.4, 0.0, 2.9): Return: 1.57%, Hit Ratio: 50.0%, Max Drawdown: 0.86%
(100, 1.4, 0.0, 3.0): Return: 1.57%, Hit Ratio: 50.0%, Max Drawdown: 0.86%
(105, 1.4, 0.0, 2.8): Return: 1.57%, Hit Ratio: 50.0%, Max Drawdown: 0.86%
(105, 1.4, 0.0, 2.9): Return: 1.57%, Hit Ratio: 50.0%, Max Drawdown: 0.86%
(110, 1.6, -0.2, 2.8): Return: 1.57%, Hit Ratio: 54.17%, Max Drawdown: 0.57%
(110, 1.6, -0.2, 3.0): Return: 1.57%, Hit Ratio: 53.85%, Max Drawdown: 0.57%
(110, 1.6, -0.2, 3.1): Return: 1.57%, Hit Ratio: 53.85%, Max Drawdown: 0.57%
(110, 1.6, -0.2, 3.2): Return: 1.57%, Hit Ratio: 53.85%, Max Drawdown: 0.57%
(90, 1.6, -0.1, 3.1): Return: 1.56%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
(90, 1.6, -0.1, 3.2): Return: 1.56%, Hit Ratio: 51.72%, Max Drawdown: 0.57%
