,date,open,high,low,close,volume,average,barCount
0,2015-11-06 09:30:00,70.58,70.59,70.58,70.59,3,70.587,2
1,2015-11-06 09:31:00,70.58,70.83,70.41,70.64,58,70.802,8
2,2015-11-06 09:32:00,70.64,70.64,70.64,70.64,0,70.64,0
3,2015-11-06 09:33:00,70.3,70.3,70.3,70.3,1,70.3,1
4,2015-11-06 09:34:00,70.3,70.3,70.3,70.3,0,70.3,0
5,2015-11-06 09:35:00,70.61,70.64,70.61,70.64,8,70.624,5
6,2015-11-06 09:36:00,70.67,70.72,70.67,70.72,3,70.703,3
7,2015-11-06 09:37:00,70.72,70.72,70.72,70.72,0,70.72,0
8,2015-11-06 09:38:00,70.72,70.72,70.72,70.72,0,70.72,0
9,2015-11-06 09:39:00,70.72,70.72,70.72,70.72,0,70.72,0
10,2015-11-06 09:40:00,70.6,70.68,70.6,70.68,4,70.66,2
11,2015-11-06 09:41:00,70.71,70.79,70.71,70.78,11,70.736,5
12,2015-11-06 09:42:00,70.76,70.76,70.54,70.61,5,70.612,5
13,2015-11-06 09:43:00,70.5,70.5,70.44,70.44,6,70.475,6
14,2015-11-06 09:44:00,70.42,70.48,70.38,70.48,13,70.42,8
15,2015-11-06 09:45:00,70.48,70.48,70.48,70.48,1,70.48,1
16,2015-11-06 09:46:00,70.44,70.44,70.34,70.34,11,70.431,3
17,2015-11-06 09:47:00,70.31,70.31,70.31,70.31,2,70.31,2
18,2015-11-06 09:48:00,70.31,70.31,70.31,70.31,0,70.31,0
19,2015-11-06 09:49:00,70.19,70.19,70.19,70.19,1,70.19,1
20,2015-11-06 09:50:00,70.19,70.19,70.19,70.19,0,70.19,0
21,2015-11-06 09:51:00,70.32,70.32,70.32,70.32,1,70.32,1
22,2015-11-06 09:52:00,70.13,70.19,70.12,70.19,7,70.131,6
23,2015-11-06 09:53:00,70.19,70.19,70.19,70.19,0,70.19,0
24,2015-11-06 09:54:00,70.19,70.2,70.19,70.19,10,70.191,1
25,2015-11-06 09:55:00,70.19,70.19,70.19,70.19,0,70.19,0
26,2015-11-06 09:56:00,70.2,70.2,70.2,70.2,2,70.2,1
27,2015-11-06 09:57:00,70.23,70.23,70.22,70.22,3,70.227,3
28,2015-11-06 09:58:00,70.26,70.26,70.26,70.26,1,70.26,1
29,2015-11-06 09:59:00,70.2,70.2,70.16,70.16,3,70.183,3
30,2015-11-06 10:00:00,70.21,70.21,70.16,70.16,6,70.175,5
31,2015-11-06 10:01:00,70.16,70.16,70.16,70.16,0,70.16,0
32,2015-11-06 10:02:00,70.16,70.16,70.16,70.16,0,70.16,0
33,2015-11-06 10:03:00,70.22,70.22,70.22,70.22,1,70.22,1
34,2015-11-06 10:04:00,70.22,70.22,70.22,70.22,0,70.22,0
35,2015-11-06 10:05:00,70.09,70.09,70.09,70.09,1,70.09,1
36,2015-11-06 10:06:00,70.01,70.01,69.9,69.9,13,69.985,3
37,2015-11-06 10:07:00,69.9,69.9,69.9,69.9,0,69.9,0
38,2015-11-06 10:08:00,70.06,70.06,70.06,70.06,1,70.06,1
39,2015-11-06 10:09:00,70.06,70.06,70.06,70.06,0,70.06,0
40,2015-11-06 10:10:00,70.06,70.06,70.06,70.06,0,70.06,0
41,2015-11-06 10:11:00,70.2,70.2,70.2,70.2,1,70.2,1
42,2015-11-06 10:12:00,70.2,70.2,70.2,70.2,0,70.2,0
43,2015-11-06 10:13:00,70.2,70.2,70.2,70.2,0,70.2,0
44,2015-11-06 10:14:00,70.2,70.2,70.2,70.2,0,70.2,0
45,2015-11-06 10:15:00,70.2,70.2,70.2,70.2,0,70.2,0
46,2015-11-06 10:16:00,70.19,70.19,70.09,70.09,5,70.12,5
47,2015-11-06 10:17:00,70.07,70.07,70.0,70.0,3,70.044,3
48,2015-11-06 10:18:00,70.0,70.0,70.0,70.0,0,70.0,0
49,2015-11-06 10:19:00,70.17,70.17,70.17,70.17,1,70.17,1
50,2015-11-06 10:20:00,70.1,70.1,70.1,70.1,1,70.1,1
51,2015-11-06 10:21:00,70.1,70.1,70.1,70.1,0,70.1,0
52,2015-11-06 10:22:00,70.1,70.1,70.1,70.1,0,70.1,0
53,2015-11-06 10:23:00,70.16,70.16,70.16,70.16,1,70.16,1
54,2015-11-06 10:24:00,70.11,70.12,70.11,70.11,1,70.113,1
55,2015-11-06 10:25:00,70.11,70.11,70.11,70.11,0,70.11,0
56,2015-11-06 10:26:00,70.11,70.11,70.11,70.11,0,70.11,0
57,2015-11-06 10:27:00,70.11,70.11,70.11,70.11,0,70.11,0
58,2015-11-06 10:28:00,70.11,70.11,70.11,70.11,0,70.11,0
59,2015-11-06 10:29:00,70.11,70.11,70.11,70.11,0,70.11,0
60,2015-11-06 10:30:00,70.11,70.11,70.11,70.11,0,70.11,0
61,2015-11-06 10:31:00,70.11,70.11,70.11,70.11,0,70.11,0
62,2015-11-06 10:32:00,70.11,70.11,70.11,70.11,0,70.11,0
63,2015-11-06 10:33:00,70.11,70.11,70.11,70.11,0,70.11,0
64,2015-11-06 10:34:00,70.11,70.11,70.11,70.11,0,70.11,0
65,2015-11-06 10:35:00,70.11,70.11,70.11,70.11,0,70.11,0
66,2015-11-06 10:36:00,70.24,70.24,70.23,70.23,3,70.233,3
67,2015-11-06 10:37:00,70.24,70.24,70.24,70.24,1,70.24,1
68,2015-11-06 10:38:00,70.24,70.24,70.24,70.24,0,70.24,0
69,2015-11-06 10:39:00,70.22,70.25,70.19,70.2,4,70.229,4
70,2015-11-06 10:40:00,70.2,70.35,70.2,70.35,4,70.29,4
71,2015-11-06 10:41:00,70.26,70.36,70.26,70.36,8,70.298,6
72,2015-11-06 10:42:00,70.32,70.4,70.32,70.4,5,70.368,5
