,date,open,high,low,close,volume,average,barCount
0,2015-04-13,6.74,6.79,6.66,6.79,195772000,6.7356,5585
1,2015-04-14,6.74,6.77,6.61,6.64,224528000,6.6754,5916
2,2015-04-15,6.67,6.93,6.67,6.78,277946000,6.81945,6007
3,2015-04-16,6.91,7.04,6.86,6.98,314578000,6.96855,6484
4,2015-04-17,7.04,7.17,7.0,7.01,244242000,7.0883,5636
5,2015-04-20,6.95,6.95,6.74,6.84,208958000,6.828,4928
6,2015-04-21,6.98,7.0,6.86,6.96,121278000,6.9243,3970
7,2015-04-22,6.93,7.06,6.88,7.0,119962000,6.99075,3307
8,2015-04-23,7.07,7.15,7.01,7.05,158430000,7.0936,3938
9,2015-04-24,7.06,7.17,6.96,7.12,163916000,7.07805,3899
10,2015-04-27,7.13,7.79,7.12,7.63,542502000,7.53825,10641
11,2015-04-28,7.29,7.48,7.15,7.26,344984000,7.3113,8143
12,2015-04-29,7.22,7.3,7.15,7.28,153750000,7.21315,4497
13,2015-04-30,7.36,7.42,7.24,7.26,162524000,7.32065,4361
14,2015-05-04,7.49,7.5,7.29,7.36,133892000,7.38945,4258
15,2015-05-05,7.41,7.47,7.15,7.24,157016000,7.29035,4059
16,2015-05-06,7.38,7.39,7.13,7.15,112888000,7.24455,3788
17,2015-05-07,7.09,7.14,6.98,7.03,106118000,7.04985,3595
18,2015-05-08,7.07,7.09,6.86,7.06,101030000,7.0149,3331
19,2015-05-11,7.08,7.14,6.91,7.1,84884000,7.03765,2751
20,2015-05-12,6.98,7.03,6.86,6.94,111946000,6.9323,4089
21,2015-05-13,6.99,7.02,6.86,6.9,106242000,6.92985,4206
22,2015-05-14,6.92,6.93,6.81,6.9,75768000,6.85495,2486
23,2015-05-15,6.88,6.98,6.77,6.93,96736000,6.87435,2624
24,2015-05-18,6.9,6.9,6.79,6.85,97608000,6.8336,2711
25,2015-05-19,6.8,6.95,6.79,6.9,113976000,6.8819,4488
26,2015-05-20,6.88,6.92,6.8,6.89,92906000,6.864,3148
27,2015-05-21,6.86,6.86,6.78,6.82,85364000,6.81485,3238
28,2015-05-22,6.9,7.05,6.84,7.01,104548000,6.9828,2934
29,2015-05-26,7.3,7.35,7.13,7.17,197878000,7.23695,4773
30,2015-05-27,7.09,7.2,7.07,7.11,117444000,7.13595,4287
31,2015-05-28,7.12,7.12,6.75,6.92,196868000,6.91885,5610
32,2015-05-29,6.87,6.9,6.73,6.83,139202000,6.8284,4241
33,2015-06-01,6.82,6.96,6.71,6.82,82772000,6.8533,2766
34,2015-06-02,6.75,6.89,6.74,6.82,69758000,6.8065,2134
35,2015-06-03,6.82,6.92,6.75,6.77,78368000,6.8,2443
36,2015-06-04,6.77,6.87,6.52,6.68,178814000,6.67545,4358
37,2015-06-05,6.63,6.68,6.48,6.55,285308000,6.54085,5782
38,2015-06-08,6.5,6.7,6.48,6.66,120954000,6.63895,3518
39,2015-06-09,6.66,6.69,6.57,6.58,88354000,6.61215,2603
40,2015-06-10,6.46,6.5,6.32,6.37,115742000,6.414,3460
41,2015-06-11,6.4,6.46,6.35,6.39,99100000,6.41035,2518
42,2015-06-12,6.42,6.56,6.4,6.47,95336000,6.46215,2447
43,2015-06-15,6.47,6.49,6.38,6.43,58236000,6.4336,2179
44,2015-06-16,6.37,6.43,6.27,6.29,131476000,6.3183,3329
45,2015-06-17,6.29,6.52,6.22,6.43,133716000,6.3973,3055
46,2015-06-18,6.43,6.62,6.39,6.55,155746000,6.54775,4093
47,2015-06-19,6.56,6.6,6.43,6.56,90212000,6.53495,2656
48,2015-06-22,6.58,6.65,6.52,6.6,74096000,6.5943,1826
49,2015-06-23,6.6,6.85,6.6,6.78,162070000,6.77945,3546
50,2015-06-24,6.86,6.92,6.8,6.83,113900000,6.8635,2784
51,2015-06-25,6.87,6.88,6.78,6.81,129978000,6.82925,3154
52,2015-06-26,6.71,6.76,6.61,6.66,120188000,6.68765,2827
53,2015-06-29,6.64,6.69,6.44,6.53,143372000,6.52545,3490
54,2015-06-30,6.55,6.77,6.53,6.69,156754000,6.68135,3615
55,2015-07-02,6.53,6.68,6.52,6.56,125678000,6.5886,2918
56,2015-07-03,6.66,6.69,6.54,6.59,100444000,6.6078,2800
57,2015-07-06,6.66,6.73,6.35,6.5,139864000,6.46045,3431
58,2015-07-07,6.43,6.46,6.32,6.38,127992000,6.3718,3559
59,2015-07-08,6.29,6.31,6.05,6.16,140368001,6.1705,3267
60,2015-07-09,6.23,6.44,6.07,6.13,297042000,6.2287,7495
61,2015-07-10,6.14,6.25,6.13,6.22,197950000,6.20195,5454
62,2015-07-13,6.17,6.24,6.09,6.2,107238000,6.1693,3539
63,2015-07-14,6.18,6.18,6.06,6.09,126988000,6.0997,4959
64,2015-07-15,6.13,6.21,6.1,6.21,109074000,6.1577,3088
65,2015-07-16,6.16,6.21,6.12,6.2,63360000,6.16945,1813
66,2015-07-17,6.17,6.24,6.13,6.16,76782000,6.1841,2454
67,2015-07-20,6.15,6.16,6.03,6.12,81814000,6.0892,2661
68,2015-07-21,6.08,6.15,6.05,6.13,51922000,6.1134,1859
69,2015-07-22,6.05,6.1,6.03,6.08,67076000,6.0564,2091
70,2015-07-23,6.05,6.12,6.04,6.1,42876000,6.0872,1494
71,2015-07-24,6.03,6.06,6.01,6.03,69908000,6.029,2185
72,2015-07-27,6.0,6.03,5.75,5.79,156880000,5.8341,4589
73,2015-07-28,5.74,6.0,5.72,5.82,135242000,5.85715,2840
74,2015-07-29,5.82,5.95,5.82,5.9,90742000,5.908,2633
75,2015-07-30,5.98,5.99,5.87,5.89,68062000,5.93585,2758
76,2015-07-31,5.92,5.96,5.82,5.88,61804000,5.8863,2414
77,2015-08-03,5.83,5.83,5.7,5.81,63470000,5.78245,2477
78,2015-08-04,5.72,5.82,5.71,5.77,52470000,5.77345,1985
79,2015-08-05,5.77,5.88,5.75,5.83,32432000,5.83,1469
80,2015-08-06,5.83,5.85,5.75,5.77,38668000,5.7881,1470
81,2015-08-07,5.79,5.91,5.79,5.83,37530000,5.8678,1542
82,2015-08-10,5.77,5.83,5.7,5.79,59578000,5.7629,2095
83,2015-08-11,5.86,5.93,5.75,5.78,79916000,5.8496,2721
84,2015-08-12,5.71,5.8,5.65,5.77,65962000,5.7507,2298
85,2015-08-13,5.76,5.91,5.76,5.82,73542000,5.8468,2141
86,2015-08-14,5.87,5.87,5.76,5.8,49294000,5.80205,1796
87,2015-08-17,5.77,5.8,5.72,5.76,42890000,5.7471,2360
88,2015-08-18,5.82,5.85,5.67,5.68,73294000,5.7529,2245
89,2015-08-19,5.66,5.68,5.55,5.58,89248000,5.6101,3300
90,2015-08-20,5.55,5.56,5.28,5.43,107560000,5.4,2802
91,2015-08-21,5.27,5.33,5.22,5.3,97408000,5.2649,2956
92,2015-08-24,5.1,5.18,4.9,5.14,178216000,5.041,4377
93,2015-08-25,5.11,5.13,4.8,5.04,171178000,4.9815,4834
