,date,open,high,low,close,volume,average,barCount
0,2015-04-13,50.86,50.86,48.36,48.88,4230,49.406,2563
1,2015-04-14,47.16,47.74,46.5,46.91,2403,47.0195,1430
2,2015-04-15,46.91,47.18,46.43,46.59,1146,46.809,854
3,2015-04-16,45.51,46.6,45.46,46.46,1769,46.0495,1192
4,2015-04-17,46.17,46.6,45.61,46.53,1536,46.118,1094
5,2015-04-20,48.23,48.71,48.12,48.61,925,48.547,636
6,2015-04-21,49.57,53.43,49.52,53.0,2607,51.62,1748
7,2015-04-22,51.81,52.44,50.1,51.06,1587,50.914,1056
8,2015-04-23,49.87,50.06,49.21,49.35,1102,49.447,792
9,2015-04-24,49.61,50.76,49.59,50.72,1073,50.3345,759
10,2015-04-27,51.38,51.85,51.29,51.73,1041,51.583,624
11,2015-04-28,50.24,50.72,50.08,50.56,942,50.384,737
12,2015-04-29,49.41,49.43,48.64,48.75,825,48.88,676
13,2015-04-30,48.87,49.25,48.86,49.04,404,49.0755,305
14,2015-05-01,49.16,49.43,49.01,49.34,258,49.282,227
15,2015-05-04,48.67,48.67,47.72,48.44,495,48.159,359
16,2015-05-05,46.39,46.39,45.52,45.74,1439,45.9115,850
17,2015-05-06,44.0,44.0,43.38,43.57,1141,43.573,792
18,2015-05-07,41.84,43.17,41.83,43.07,1563,42.599,1097
19,2015-05-08,46.18,47.62,46.18,46.74,1392,46.849,990
20,2015-05-11,46.29,46.61,45.89,45.91,750,46.1595,496
21,2015-05-12,47.13,47.14,45.77,46.14,1220,46.5155,799
22,2015-05-13,45.44,45.6,45.27,45.41,470,45.3995,329
23,2015-05-14,45.47,46.07,45.47,46.07,453,45.8515,331
24,2015-05-15,46.33,46.46,46.18,46.34,582,46.3175,396
25,2015-05-18,46.86,47.34,46.73,47.33,521,47.1585,447
26,2015-05-19,47.9,48.39,47.71,48.35,838,48.077,640
27,2015-05-20,49.65,49.85,49.05,49.22,1273,49.3515,827
28,2015-05-21,49.1,49.37,48.64,48.73,560,48.8755,443
29,2015-05-22,49.19,50.14,49.19,49.84,1253,49.7645,756
30,2015-05-26,51.05,51.87,51.05,51.71,1072,51.567,660
31,2015-05-27,51.25,51.94,51.18,51.9,533,51.631,427
32,2015-05-28,48.52,48.67,48.15,48.46,925,48.358,664
33,2015-05-29,50.92,51.03,49.61,49.73,1613,50.2295,1099
34,2015-06-01,50.5,50.59,49.78,50.38,844,50.27,650
35,2015-06-02,49.59,49.59,49.28,49.34,245,49.4075,145
36,2015-06-03,50.05,50.52,49.92,50.44,524,50.3185,375
37,2015-06-04,51.12,51.36,50.74,50.9,526,50.9675,395
38,2015-06-05,51.3,51.48,51.19,51.36,283,51.2975,223
39,2015-06-08,54.67,55.5,54.49,54.88,1563,54.851,979
40,2015-06-09,53.01,53.04,50.83,51.09,1561,51.743,950
41,2015-06-10,53.09,53.34,52.82,53.28,755,53.147,446
42,2015-06-11,53.27,53.46,52.81,53.41,271,53.1685,220
43,2015-06-12,54.41,54.71,54.28,54.58,594,54.5155,400
44,2015-06-15,54.52,55.31,54.0,55.17,771,54.994,471
45,2015-06-16,54.47,54.72,54.28,54.5,523,54.5525,329
46,2015-06-17,53.77,53.77,53.28,53.67,589,53.54,349
47,2015-06-18,56.72,57.13,56.02,56.9,1312,56.8505,703
48,2015-06-19,55.79,56.83,55.75,56.63,1363,56.4045,781
49,2015-06-22,57.62,58.49,57.62,57.92,665,58.106,490
50,2015-06-23,61.5,61.66,60.91,61.28,1055,61.3685,550
51,2015-06-24,63.3,64.71,63.14,63.29,1284,63.5295,782
52,2015-06-25,62.62,62.83,62.5,62.64,491,62.646,283
53,2015-06-26,58.12,58.18,57.25,57.63,1346,57.6105,707
54,2015-06-29,54.66,54.8,54.05,54.07,840,54.3385,556
55,2015-06-30,58.5,58.75,57.96,58.34,1119,58.251,690
56,2015-07-01,58.27,58.3,56.92,57.5,825,57.535,559
57,2015-07-02,55.53,55.59,54.84,55.18,685,55.1375,435
58,2015-07-06,49.05,50.48,49.01,50.4,1335,49.7315,915
59,2015-07-07,47.56,48.97,47.21,48.68,1168,48.053,852
60,2015-07-08,46.05,46.75,45.46,45.58,2000,45.925,1197
61,2015-07-09,51.86,52.36,51.47,51.64,1220,51.8735,784
62,2015-07-10,53.03,53.03,51.85,52.88,1849,52.3245,793
63,2015-07-13,55.07,55.4,54.86,55.14,848,55.118,485
64,2015-07-14,53.72,53.81,53.38,53.49,545,53.544,367
65,2015-07-15,51.8,51.83,50.78,50.88,761,51.1315,516
66,2015-07-16,53.54,53.94,53.44,53.77,449,53.7655,314
67,2015-07-17,54.98,55.14,54.69,54.73,562,54.8865,382
68,2015-07-20,55.08,55.15,54.64,54.74,712,54.8245,437
69,2015-07-21,56.9,56.97,56.54,56.7,793,56.717,532
70,2015-07-22,55.65,55.65,55.36,55.53,294,55.506,169
71,2015-07-23,57.58,58.26,57.37,57.39,929,57.818,585
72,2015-07-24,56.5,56.5,55.53,55.64,563,55.9045,363
73,2015-07-27,51.54,51.55,50.15,50.41,1042,50.8605,667
74,2015-07-28,50.53,51.09,50.31,51.09,638,50.721,417
75,2015-07-29,49.83,50.69,49.76,50.59,284,50.3595,204
76,2015-07-30,49.37,49.42,48.91,49.38,363,49.1845,218
77,2015-07-31,49.33,49.67,49.08,49.3,356,49.3625,216
78,2015-08-03,48.06,48.27,47.83,48.14,414,48.054,263
79,2015-08-04,51.66,51.92,51.54,51.7,355,51.73,245
80,2015-08-05,51.87,51.98,51.45,51.48,160,51.6975,117
81,2015-08-06,52.03,52.24,51.85,51.95,311,52.0125,246
82,2015-08-07,50.82,51.11,50.54,51.07,406,50.776,262
83,2015-08-10,53.14,53.43,52.93,53.02,580,53.188,346
84,2015-08-11,43.53,45.2,42.58,44.23,3213,43.5785,2152
85,2015-08-12,40.55,41.11,40.28,40.98,2640,40.748,1905
86,2015-08-13,40.73,41.8,40.61,41.46,1348,41.2655,788
87,2015-08-14,41.84,42.44,41.82,42.27,777,42.1935,414
88,2015-08-17,42.74,43.02,42.74,42.9,345,42.884,172
89,2015-08-18,39.5,39.53,39.1,39.19,988,39.289,535
90,2015-08-19,38.0,38.41,37.8,38.04,816,38.0545,388
91,2015-08-20,36.93,37.02,35.71,35.85,926,36.4135,637
92,2015-08-21,35.52,35.8,35.05,35.23,944,35.4925,552
93,2015-08-24,30.82,31.75,30.79,31.38,1559,31.2455,841
94,2015-08-25,31.12,32.94,30.3,31.6,1131,31.7695,688
95,2015-08-26,30.84,31.1,29.85,31.04,763,30.5735,519
96,2015-08-27,32.94,33.98,32.9,33.41,819,33.388,547
97,2015-08-28,33.0,33.22,31.8,31.9,232,32.624,152
98,2015-08-31,32.1,32.4,31.21,31.21,438,31.7795,289
99,2015-09-01,28.32,28.61,27.93,28.01,1271,28.2365,606
