(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (110, 0.9, 0.4, 3.1), Return: 0.18%, Hit Ratio: 55.48%, Max Drawdown: 0.07%
(110, 0.9, 0.4, 3.1): Return: 0.18%, Hit Ratio: 55.48%, Max Drawdown: 0.07%
(110, 0.9, 0.4, 3.2): Return: 0.18%, Hit Ratio: 55.48%, Max Drawdown: 0.07%
(100, 0.9, 0.4, 2.8): Return: 0.17%, Hit Ratio: 52.74%, Max Drawdown: 0.07%
(100, 0.9, 0.4, 2.9): Return: 0.17%, Hit Ratio: 52.74%, Max Drawdown: 0.07%
(100, 0.9, 0.4, 3.0): Return: 0.17%, Hit Ratio: 52.74%, Max Drawdown: 0.07%
(100, 0.9, 0.4, 3.1): Return: 0.17%, Hit Ratio: 54.11%, Max Drawdown: 0.07%
(100, 0.9, 0.4, 3.2): Return: 0.17%, Hit Ratio: 54.11%, Max Drawdown: 0.07%
(110, 0.9, 0.4, 2.8): Return: 0.17%, Hit Ratio: 54.11%, Max Drawdown: 0.07%
(110, 0.9, 0.4, 2.9): Return: 0.17%, Hit Ratio: 54.11%, Max Drawdown: 0.07%
(110, 0.9, 0.4, 3.0): Return: 0.17%, Hit Ratio: 54.79%, Max Drawdown: 0.07%
(110, 1.0, 0.4, 2.8): Return: 0.16%, Hit Ratio: 54.55%, Max Drawdown: 0.07%
(110, 1.0, 0.4, 2.9): Return: 0.16%, Hit Ratio: 54.55%, Max Drawdown: 0.07%
(110, 1.0, 0.4, 3.0): Return: 0.16%, Hit Ratio: 55.3%, Max Drawdown: 0.07%
(110, 1.0, 0.4, 3.1): Return: 0.16%, Hit Ratio: 56.06%, Max Drawdown: 0.07%
(110, 1.0, 0.4, 3.2): Return: 0.16%, Hit Ratio: 56.06%, Max Drawdown: 0.07%
(105, 0.8, 0.4, 2.8): Return: 0.15%, Hit Ratio: 52.0%, Max Drawdown: 0.07%
(105, 0.8, 0.4, 2.9): Return: 0.15%, Hit Ratio: 52.0%, Max Drawdown: 0.07%
(105, 0.8, 0.4, 3.0): Return: 0.15%, Hit Ratio: 52.0%, Max Drawdown: 0.07%
(105, 0.8, 0.4, 3.1): Return: 0.15%, Hit Ratio: 52.57%, Max Drawdown: 0.07%
(105, 0.8, 0.4, 3.2): Return: 0.15%, Hit Ratio: 52.57%, Max Drawdown: 0.07%
(105, 0.9, 0.4, 2.8): Return: 0.15%, Hit Ratio: 52.05%, Max Drawdown: 0.08%
(105, 0.9, 0.4, 2.9): Return: 0.15%, Hit Ratio: 52.05%, Max Drawdown: 0.08%
