(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
Best HPs: (65, 2.0, 0.6, 3.6), Return: 0.09%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(65, 2.0, 0.6, 3.6): Return: 0.09%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(65, 2.0, 0.6, 3.7): Return: 0.09%, Hit Ratio: 62.16%, Max Drawdown: 0.02%
(65, 2.1, 0.6, 3.6): Return: 0.09%, Hit Ratio: 59.38%, Max Drawdown: 0.02%
(65, 2.1, 0.6, 3.7): Return: 0.09%, Hit Ratio: 61.76%, Max Drawdown: 0.02%
(65, 2.2, 0.6, 3.6): Return: 0.09%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(65, 2.2, 0.6, 3.7): Return: 0.09%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(60, 2.0, 0.6, 3.5): Return: 0.09%, Hit Ratio: 57.58%, Max Drawdown: 0.02%
(60, 2.0, 0.6, 3.6): Return: 0.09%, Hit Ratio: 61.11%, Max Drawdown: 0.02%
(60, 2.0, 0.6, 3.7): Return: 0.09%, Hit Ratio: 61.11%, Max Drawdown: 0.02%
(60, 2.1, 0.6, 3.5): Return: 0.09%, Hit Ratio: 56.67%, Max Drawdown: 0.02%
(60, 2.1, 0.6, 3.6): Return: 0.09%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
(60, 2.1, 0.6, 3.7): Return: 0.09%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
(65, 2.0, 0.6, 3.6): Return: 0.09%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(65, 2.0, 0.6, 3.7): Return: 0.09%, Hit Ratio: 62.16%, Max Drawdown: 0.02%
(65, 2.1, 0.6, 3.6): Return: 0.09%, Hit Ratio: 59.38%, Max Drawdown: 0.02%
(65, 2.1, 0.6, 3.7): Return: 0.09%, Hit Ratio: 61.76%, Max Drawdown: 0.02%
(65, 2.2, 0.6, 3.6): Return: 0.09%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(65, 2.2, 0.6, 3.7): Return: 0.09%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(65, 2.0, 0.7, 3.6): Return: 0.08%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(65, 2.0, 0.7, 3.7): Return: 0.08%, Hit Ratio: 59.46%, Max Drawdown: 0.02%
(65, 2.1, 0.5, 3.6): Return: 0.08%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(65, 2.1, 0.5, 3.7): Return: 0.08%, Hit Ratio: 58.82%, Max Drawdown: 0.02%
(65, 2.1, 0.7, 3.6): Return: 0.08%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(65, 2.1, 0.7, 3.7): Return: 0.08%, Hit Ratio: 58.82%, Max Drawdown: 0.02%
(65, 2.2, 0.7, 3.6): Return: 0.08%, Hit Ratio: 53.57%, Max Drawdown: 0.02%
(65, 2.2, 0.7, 3.7): Return: 0.08%, Hit Ratio: 56.67%, Max Drawdown: 0.02%
(60, 2.0, 0.5, 3.5): Return: 0.08%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(60, 2.0, 0.5, 3.6): Return: 0.08%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(60, 2.0, 0.5, 3.7): Return: 0.08%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(60, 2.1, 0.5, 3.5): Return: 0.08%, Hit Ratio: 55.17%, Max Drawdown: 0.02%
(60, 2.1, 0.5, 3.6): Return: 0.08%, Hit Ratio: 59.38%, Max Drawdown: 0.02%
(60, 2.1, 0.5, 3.7): Return: 0.08%, Hit Ratio: 59.38%, Max Drawdown: 0.02%
(65, 2.0, 0.7, 3.6): Return: 0.08%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(65, 2.0, 0.7, 3.7): Return: 0.08%, Hit Ratio: 59.46%, Max Drawdown: 0.02%
(65, 2.1, 0.5, 3.6): Return: 0.08%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(65, 2.1, 0.5, 3.7): Return: 0.08%, Hit Ratio: 58.82%, Max Drawdown: 0.02%
(65, 2.1, 0.7, 3.6): Return: 0.08%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(65, 2.1, 0.7, 3.7): Return: 0.08%, Hit Ratio: 58.82%, Max Drawdown: 0.02%
(65, 2.2, 0.7, 3.6): Return: 0.08%, Hit Ratio: 53.57%, Max Drawdown: 0.02%
(65, 2.2, 0.7, 3.7): Return: 0.08%, Hit Ratio: 56.67%, Max Drawdown: 0.02%
(70, 2.0, 0.6, 3.6): Return: 0.08%, Hit Ratio: 56.76%, Max Drawdown: 0.02%
(70, 2.0, 0.6, 3.7): Return: 0.08%, Hit Ratio: 56.76%, Max Drawdown: 0.02%
(70, 2.1, 0.6, 3.6): Return: 0.08%, Hit Ratio: 53.12%, Max Drawdown: 0.02%
(70, 2.1, 0.6, 3.7): Return: 0.08%, Hit Ratio: 53.12%, Max Drawdown: 0.02%
(70, 2.2, 0.6, 3.6): Return: 0.08%, Hit Ratio: 53.57%, Max Drawdown: 0.02%
(70, 2.2, 0.6, 3.7): Return: 0.08%, Hit Ratio: 53.57%, Max Drawdown: 0.02%
(65, 2.0, 0.3, 3.6): Return: 0.07%, Hit Ratio: 61.76%, Max Drawdown: 0.02%
(65, 2.0, 0.3, 3.7): Return: 0.07%, Hit Ratio: 63.89%, Max Drawdown: 0.02%
(65, 2.0, 0.4, 3.7): Return: 0.07%, Hit Ratio: 61.11%, Max Drawdown: 0.02%
(65, 2.0, 0.5, 3.6): Return: 0.07%, Hit Ratio: 57.14%, Max Drawdown: 0.02%
(65, 2.0, 0.5, 3.7): Return: 0.07%, Hit Ratio: 59.46%, Max Drawdown: 0.02%
(65, 2.1, 0.3, 3.6): Return: 0.07%, Hit Ratio: 61.29%, Max Drawdown: 0.02%
(65, 2.1, 0.3, 3.7): Return: 0.07%, Hit Ratio: 63.64%, Max Drawdown: 0.02%
(65, 2.1, 0.4, 3.6): Return: 0.07%, Hit Ratio: 58.06%, Max Drawdown: 0.02%
(65, 2.1, 0.4, 3.7): Return: 0.07%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
(65, 2.1, 0.5, 3.3): Return: 0.07%, Hit Ratio: 53.33%, Max Drawdown: 0.02%
(65, 2.1, 0.5, 3.4): Return: 0.07%, Hit Ratio: 53.33%, Max Drawdown: 0.02%
(65, 2.1, 0.6, 3.3): Return: 0.07%, Hit Ratio: 56.67%, Max Drawdown: 0.02%
(65, 2.1, 0.6, 3.4): Return: 0.07%, Hit Ratio: 56.67%, Max Drawdown: 0.02%
(65, 2.2, 0.3, 3.7): Return: 0.07%, Hit Ratio: 58.62%, Max Drawdown: 0.02%
(65, 2.2, 0.4, 3.7): Return: 0.07%, Hit Ratio: 58.62%, Max Drawdown: 0.02%
(65, 2.2, 0.5, 3.6): Return: 0.07%, Hit Ratio: 53.57%, Max Drawdown: 0.02%
(65, 2.2, 0.5, 3.7): Return: 0.07%, Hit Ratio: 56.67%, Max Drawdown: 0.02%
(60, 1.8, 0.6, 3.5): Return: 0.07%, Hit Ratio: 52.08%, Max Drawdown: 0.02%
(60, 1.8, 0.6, 3.6): Return: 0.07%, Hit Ratio: 54.9%, Max Drawdown: 0.02%
(60, 1.8, 0.6, 3.7): Return: 0.07%, Hit Ratio: 54.9%, Max Drawdown: 0.02%
(60, 1.9, 0.6, 3.5): Return: 0.07%, Hit Ratio: 53.66%, Max Drawdown: 0.02%
(60, 1.9, 0.6, 3.6): Return: 0.07%, Hit Ratio: 56.82%, Max Drawdown: 0.02%
(60, 1.9, 0.6, 3.7): Return: 0.07%, Hit Ratio: 56.82%, Max Drawdown: 0.02%
(60, 2.0, 0.3, 3.5): Return: 0.07%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(60, 2.0, 0.3, 3.6): Return: 0.07%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(60, 2.0, 0.3, 3.7): Return: 0.07%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(60, 2.0, 0.4, 3.5): Return: 0.07%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(60, 2.0, 0.4, 3.6): Return: 0.07%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(60, 2.0, 0.4, 3.7): Return: 0.07%, Hit Ratio: 60.0%, Max Drawdown: 0.02%
(60, 2.0, 0.5, 3.3): Return: 0.07%, Hit Ratio: 54.84%, Max Drawdown: 0.02%
(60, 2.0, 0.5, 3.4): Return: 0.07%, Hit Ratio: 54.84%, Max Drawdown: 0.02%
(60, 2.0, 0.6, 3.3): Return: 0.07%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(60, 2.0, 0.6, 3.4): Return: 0.07%, Hit Ratio: 56.25%, Max Drawdown: 0.02%
(60, 2.0, 0.7, 3.5): Return: 0.07%, Hit Ratio: 54.55%, Max Drawdown: 0.02%
(60, 2.0, 0.7, 3.6): Return: 0.07%, Hit Ratio: 58.33%, Max Drawdown: 0.02%
(60, 2.0, 0.7, 3.7): Return: 0.07%, Hit Ratio: 58.33%, Max Drawdown: 0.02%
(60, 2.1, 0.3, 3.5): Return: 0.07%, Hit Ratio: 55.17%, Max Drawdown: 0.02%
(60, 2.1, 0.3, 3.6): Return: 0.07%, Hit Ratio: 59.38%, Max Drawdown: 0.02%
(60, 2.1, 0.3, 3.7): Return: 0.07%, Hit Ratio: 59.38%, Max Drawdown: 0.02%
(60, 2.1, 0.4, 3.5): Return: 0.07%, Hit Ratio: 55.17%, Max Drawdown: 0.02%
(60, 2.1, 0.4, 3.6): Return: 0.07%, Hit Ratio: 59.38%, Max Drawdown: 0.02%
(60, 2.1, 0.4, 3.7): Return: 0.07%, Hit Ratio: 59.38%, Max Drawdown: 0.02%
(60, 2.1, 0.5, 3.3): Return: 0.07%, Hit Ratio: 53.57%, Max Drawdown: 0.02%
(60, 2.1, 0.5, 3.4): Return: 0.07%, Hit Ratio: 53.57%, Max Drawdown: 0.02%
(60, 2.1, 0.6, 3.3): Return: 0.07%, Hit Ratio: 55.17%, Max Drawdown: 0.02%
