(Lookback, Entry, Exit, Stop-loss)
Best HPs: (70, 1.5, -0.5, 3.1), Return: 0.41%, Hit Ratio: 64.0%, Max Drawdown: 0.09%
(70, 1.5, -0.5, 3.1): Return: 0.41%, Hit Ratio: 64.0%, Max Drawdown: 0.09%
(70, 1.5, -0.4, 3.1): Return: 0.41%, Hit Ratio: 64.0%, Max Drawdown: 0.09%
(70, 1.5, -0.4, 2.9): Return: 0.4%, Hit Ratio: 60.0%, Max Drawdown: 0.09%
(70, 1.5, -0.4, 3.0): Return: 0.4%, Hit Ratio: 60.0%, Max Drawdown: 0.09%
(70, 1.5, -0.5, 2.9): Return: 0.39%, Hit Ratio: 60.0%, Max Drawdown: 0.09%
(70, 1.5, -0.5, 3.0): Return: 0.39%, Hit Ratio: 60.0%, Max Drawdown: 0.09%
(70, 1.5, -0.5, 3.2): Return: 0.39%, Hit Ratio: 59.26%, Max Drawdown: 0.09%
(70, 1.5, -0.4, 3.2): Return: 0.39%, Hit Ratio: 59.26%, Max Drawdown: 0.09%
(70, 1.5, -0.3, 3.1): Return: 0.39%, Hit Ratio: 61.54%, Max Drawdown: 0.09%
(70, 1.5, -0.3, 3.2): Return: 0.39%, Hit Ratio: 60.71%, Max Drawdown: 0.09%
(65, 1.5, -0.4, 3.0): Return: 0.38%, Hit Ratio: 59.26%, Max Drawdown: 0.1%
(65, 1.5, -0.4, 3.1): Return: 0.38%, Hit Ratio: 59.26%, Max Drawdown: 0.1%
(65, 1.5, -0.4, 3.0): Return: 0.38%, Hit Ratio: 59.26%, Max Drawdown: 0.1%
(65, 1.5, -0.4, 3.1): Return: 0.38%, Hit Ratio: 59.26%, Max Drawdown: 0.1%
(70, 1.5, -0.6, 3.1): Return: 0.38%, Hit Ratio: 58.33%, Max Drawdown: 0.1%
(70, 1.5, -0.3, 2.9): Return: 0.38%, Hit Ratio: 57.69%, Max Drawdown: 0.09%
(70, 1.5, -0.3, 3.0): Return: 0.38%, Hit Ratio: 57.69%, Max Drawdown: 0.09%
(60, 1.5, -0.3, 2.9): Return: 0.37%, Hit Ratio: 60.71%, Max Drawdown: 0.1%
(60, 1.5, -0.3, 3.0): Return: 0.37%, Hit Ratio: 60.71%, Max Drawdown: 0.1%
(65, 1.5, -0.4, 2.8): Return: 0.36%, Hit Ratio: 55.56%, Max Drawdown: 0.1%
(65, 1.5, -0.4, 2.9): Return: 0.36%, Hit Ratio: 55.56%, Max Drawdown: 0.1%
(60, 1.5, -0.3, 2.8): Return: 0.36%, Hit Ratio: 57.14%, Max Drawdown: 0.1%
(65, 1.5, -0.4, 2.8): Return: 0.36%, Hit Ratio: 55.56%, Max Drawdown: 0.1%
(65, 1.5, -0.4, 2.9): Return: 0.36%, Hit Ratio: 55.56%, Max Drawdown: 0.1%
(70, 1.5, -0.6, 2.9): Return: 0.36%, Hit Ratio: 54.17%, Max Drawdown: 0.1%
(70, 1.5, -0.6, 3.0): Return: 0.36%, Hit Ratio: 54.17%, Max Drawdown: 0.1%
(70, 1.5, -0.6, 3.2): Return: 0.36%, Hit Ratio: 53.85%, Max Drawdown: 0.1%
(70, 1.6, -0.5, 3.1): Return: 0.36%, Hit Ratio: 63.16%, Max Drawdown: 0.06%
(70, 1.6, -0.4, 3.1): Return: 0.36%, Hit Ratio: 63.16%, Max Drawdown: 0.06%
(65, 1.3, -0.4, 3.0): Return: 0.35%, Hit Ratio: 58.06%, Max Drawdown: 0.1%
(65, 1.3, -0.4, 3.1): Return: 0.35%, Hit Ratio: 58.06%, Max Drawdown: 0.1%
(65, 1.5, -0.5, 3.0): Return: 0.35%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(65, 1.5, -0.5, 3.1): Return: 0.35%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(65, 1.3, -0.4, 3.0): Return: 0.35%, Hit Ratio: 58.06%, Max Drawdown: 0.1%
(65, 1.3, -0.4, 3.1): Return: 0.35%, Hit Ratio: 58.06%, Max Drawdown: 0.1%
(65, 1.5, -0.5, 3.0): Return: 0.35%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(65, 1.5, -0.5, 3.1): Return: 0.35%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(70, 1.5, -0.7, 3.1): Return: 0.35%, Hit Ratio: 52.17%, Max Drawdown: 0.1%
(50, 1.6, -0.7, 2.8): Return: 0.34%, Hit Ratio: 55.0%, Max Drawdown: 0.13%
(65, 1.3, -0.4, 2.8): Return: 0.34%, Hit Ratio: 54.84%, Max Drawdown: 0.1%
(65, 1.3, -0.4, 2.9): Return: 0.34%, Hit Ratio: 54.84%, Max Drawdown: 0.1%
(65, 1.4, -0.4, 3.0): Return: 0.34%, Hit Ratio: 55.17%, Max Drawdown: 0.1%
(65, 1.4, -0.4, 3.1): Return: 0.34%, Hit Ratio: 55.17%, Max Drawdown: 0.1%
(65, 1.5, -0.5, 2.8): Return: 0.34%, Hit Ratio: 53.85%, Max Drawdown: 0.1%
(65, 1.5, -0.5, 2.9): Return: 0.34%, Hit Ratio: 53.85%, Max Drawdown: 0.1%
(60, 1.5, -0.6, 2.9): Return: 0.34%, Hit Ratio: 60.87%, Max Drawdown: 0.14%
(60, 1.5, -0.6, 3.0): Return: 0.34%, Hit Ratio: 60.87%, Max Drawdown: 0.14%
(60, 1.5, -0.4, 2.9): Return: 0.34%, Hit Ratio: 59.26%, Max Drawdown: 0.12%
(60, 1.5, -0.4, 3.0): Return: 0.34%, Hit Ratio: 59.26%, Max Drawdown: 0.12%
(65, 1.3, -0.4, 2.8): Return: 0.34%, Hit Ratio: 54.84%, Max Drawdown: 0.1%
(65, 1.3, -0.4, 2.9): Return: 0.34%, Hit Ratio: 54.84%, Max Drawdown: 0.1%
(65, 1.4, -0.4, 3.0): Return: 0.34%, Hit Ratio: 55.17%, Max Drawdown: 0.1%
(65, 1.4, -0.4, 3.1): Return: 0.34%, Hit Ratio: 55.17%, Max Drawdown: 0.1%
(65, 1.5, -0.5, 2.8): Return: 0.34%, Hit Ratio: 53.85%, Max Drawdown: 0.1%
(65, 1.5, -0.5, 2.9): Return: 0.34%, Hit Ratio: 53.85%, Max Drawdown: 0.1%
(70, 1.5, -0.7, 2.9): Return: 0.34%, Hit Ratio: 47.83%, Max Drawdown: 0.1%
(70, 1.5, -0.7, 3.0): Return: 0.34%, Hit Ratio: 47.83%, Max Drawdown: 0.1%
(70, 1.5, -0.7, 3.2): Return: 0.34%, Hit Ratio: 48.0%, Max Drawdown: 0.1%
(70, 1.6, -0.6, 3.1): Return: 0.34%, Hit Ratio: 57.89%, Max Drawdown: 0.07%
(70, 1.6, -0.5, 2.9): Return: 0.34%, Hit Ratio: 57.89%, Max Drawdown: 0.06%
(70, 1.6, -0.5, 3.0): Return: 0.34%, Hit Ratio: 57.89%, Max Drawdown: 0.06%
(70, 1.6, -0.5, 3.2): Return: 0.34%, Hit Ratio: 57.14%, Max Drawdown: 0.06%
(70, 1.6, -0.4, 2.9): Return: 0.34%, Hit Ratio: 57.89%, Max Drawdown: 0.06%
(70, 1.6, -0.4, 3.0): Return: 0.34%, Hit Ratio: 57.89%, Max Drawdown: 0.06%
(70, 1.6, -0.4, 3.2): Return: 0.34%, Hit Ratio: 57.14%, Max Drawdown: 0.06%
(70, 1.6, -0.3, 3.1): Return: 0.34%, Hit Ratio: 60.0%, Max Drawdown: 0.06%
(70, 1.6, -0.3, 3.2): Return: 0.34%, Hit Ratio: 59.09%, Max Drawdown: 0.06%
(50, 1.3, -0.7, 2.8): Return: 0.33%, Hit Ratio: 55.17%, Max Drawdown: 0.13%
(65, 1.3, -0.5, 3.0): Return: 0.33%, Hit Ratio: 56.67%, Max Drawdown: 0.1%
(65, 1.3, -0.5, 3.1): Return: 0.33%, Hit Ratio: 56.67%, Max Drawdown: 0.1%
(65, 1.4, -0.4, 2.8): Return: 0.33%, Hit Ratio: 51.72%, Max Drawdown: 0.1%
(65, 1.4, -0.4, 2.9): Return: 0.33%, Hit Ratio: 51.72%, Max Drawdown: 0.1%
(60, 1.5, -0.6, 2.8): Return: 0.33%, Hit Ratio: 56.52%, Max Drawdown: 0.14%
(60, 1.5, -0.4, 2.8): Return: 0.33%, Hit Ratio: 55.56%, Max Drawdown: 0.12%
(65, 1.3, -0.5, 3.0): Return: 0.33%, Hit Ratio: 56.67%, Max Drawdown: 0.1%
(65, 1.3, -0.5, 3.1): Return: 0.33%, Hit Ratio: 56.67%, Max Drawdown: 0.1%
(65, 1.4, -0.4, 2.8): Return: 0.33%, Hit Ratio: 51.72%, Max Drawdown: 0.1%
(65, 1.4, -0.4, 2.9): Return: 0.33%, Hit Ratio: 51.72%, Max Drawdown: 0.1%
(70, 1.6, -0.7, 3.1): Return: 0.33%, Hit Ratio: 52.63%, Max Drawdown: 0.07%
(70, 1.6, -0.6, 2.9): Return: 0.33%, Hit Ratio: 52.63%, Max Drawdown: 0.07%
(70, 1.6, -0.6, 3.0): Return: 0.33%, Hit Ratio: 52.63%, Max Drawdown: 0.07%
(70, 1.6, -0.6, 3.2): Return: 0.33%, Hit Ratio: 52.38%, Max Drawdown: 0.07%
(50, 1.3, -0.4, 2.8): Return: 0.32%, Hit Ratio: 55.88%, Max Drawdown: 0.1%
(50, 1.5, -0.7, 2.8): Return: 0.32%, Hit Ratio: 55.0%, Max Drawdown: 0.13%
(65, 1.4, -0.5, 3.0): Return: 0.32%, Hit Ratio: 53.57%, Max Drawdown: 0.1%
(65, 1.4, -0.5, 3.1): Return: 0.32%, Hit Ratio: 53.57%, Max Drawdown: 0.1%
(60, 1.4, -0.3, 2.9): Return: 0.32%, Hit Ratio: 54.55%, Max Drawdown: 0.1%
(60, 1.4, -0.3, 3.0): Return: 0.32%, Hit Ratio: 54.55%, Max Drawdown: 0.1%
(60, 1.5, -0.5, 2.9): Return: 0.32%, Hit Ratio: 64.0%, Max Drawdown: 0.15%
