(Lookback, Entry, Exit, Stop-loss)
Best HPs: (70, 1.8, 0.3, 3.0), Return: 0.38%, Hit Ratio: 56.82%, Max Drawdown: 0.07%
(70, 1.8, 0.3, 3.0): Return: 0.38%, Hit Ratio: 56.82%, Max Drawdown: 0.07%
(70, 1.8, 0.4, 3.0): Return: 0.38%, Hit Ratio: 54.55%, Max Drawdown: 0.07%
(70, 1.8, 0.3, 3.1): Return: 0.37%, Hit Ratio: 55.56%, Max Drawdown: 0.07%
(70, 1.8, 0.3, 3.2): Return: 0.37%, Hit Ratio: 55.56%, Max Drawdown: 0.07%
(70, 1.8, 0.4, 3.1): Return: 0.37%, Hit Ratio: 53.33%, Max Drawdown: 0.07%
(70, 1.8, 0.4, 3.2): Return: 0.37%, Hit Ratio: 53.33%, Max Drawdown: 0.07%
(70, 1.8, 0.5, 3.0): Return: 0.37%, Hit Ratio: 48.89%, Max Drawdown: 0.07%
(70, 1.8, 0.5, 3.1): Return: 0.37%, Hit Ratio: 47.83%, Max Drawdown: 0.07%
(70, 1.8, 0.5, 3.2): Return: 0.37%, Hit Ratio: 47.83%, Max Drawdown: 0.07%
(65, 2.0, 0.6, 3.2): Return: 0.34%, Hit Ratio: 61.29%, Max Drawdown: 0.04%
(65, 2.0, 0.6, 3.2): Return: 0.34%, Hit Ratio: 61.29%, Max Drawdown: 0.04%
(65, 2.1, 0.6, 3.2): Return: 0.33%, Hit Ratio: 62.07%, Max Drawdown: 0.04%
(65, 2.1, 0.6, 3.2): Return: 0.33%, Hit Ratio: 62.07%, Max Drawdown: 0.04%
(65, 1.8, 0.6, 3.2): Return: 0.32%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 1.9, 0.6, 3.2): Return: 0.32%, Hit Ratio: 53.85%, Max Drawdown: 0.07%
(65, 2.0, 0.6, 3.0): Return: 0.32%, Hit Ratio: 56.67%, Max Drawdown: 0.05%
(65, 2.0, 0.6, 3.1): Return: 0.32%, Hit Ratio: 56.67%, Max Drawdown: 0.05%
(65, 1.8, 0.6, 3.2): Return: 0.32%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 1.9, 0.6, 3.2): Return: 0.32%, Hit Ratio: 53.85%, Max Drawdown: 0.07%
(65, 2.0, 0.6, 3.0): Return: 0.32%, Hit Ratio: 56.67%, Max Drawdown: 0.05%
(65, 2.0, 0.6, 3.1): Return: 0.32%, Hit Ratio: 56.67%, Max Drawdown: 0.05%
(70, 2.1, 0.3, 3.0): Return: 0.32%, Hit Ratio: 68.0%, Max Drawdown: 0.04%
(65, 1.8, 0.6, 3.0): Return: 0.31%, Hit Ratio: 46.67%, Max Drawdown: 0.08%
(65, 1.8, 0.6, 3.1): Return: 0.31%, Hit Ratio: 46.67%, Max Drawdown: 0.08%
(65, 2.0, 0.5, 2.9): Return: 0.31%, Hit Ratio: 62.96%, Max Drawdown: 0.04%
(65, 2.1, 0.6, 3.0): Return: 0.31%, Hit Ratio: 57.14%, Max Drawdown: 0.05%
(65, 2.1, 0.6, 3.1): Return: 0.31%, Hit Ratio: 57.14%, Max Drawdown: 0.05%
(65, 1.8, 0.6, 3.0): Return: 0.31%, Hit Ratio: 46.67%, Max Drawdown: 0.08%
(65, 1.8, 0.6, 3.1): Return: 0.31%, Hit Ratio: 46.67%, Max Drawdown: 0.08%
(65, 2.0, 0.5, 2.9): Return: 0.31%, Hit Ratio: 62.96%, Max Drawdown: 0.04%
(65, 2.1, 0.6, 3.0): Return: 0.31%, Hit Ratio: 57.14%, Max Drawdown: 0.05%
(65, 2.1, 0.6, 3.1): Return: 0.31%, Hit Ratio: 57.14%, Max Drawdown: 0.05%
(70, 2.1, 0.3, 3.1): Return: 0.31%, Hit Ratio: 62.96%, Max Drawdown: 0.04%
(70, 2.1, 0.3, 3.2): Return: 0.31%, Hit Ratio: 62.96%, Max Drawdown: 0.04%
(65, 1.9, 0.6, 3.0): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 1.9, 0.6, 3.1): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 2.0, 0.3, 2.9): Return: 0.3%, Hit Ratio: 66.67%, Max Drawdown: 0.04%
(65, 2.0, 0.3, 3.0): Return: 0.3%, Hit Ratio: 63.33%, Max Drawdown: 0.04%
(65, 2.0, 0.3, 3.1): Return: 0.3%, Hit Ratio: 63.33%, Max Drawdown: 0.04%
(65, 2.0, 0.4, 2.9): Return: 0.3%, Hit Ratio: 62.96%, Max Drawdown: 0.04%
(65, 2.0, 0.5, 3.0): Return: 0.3%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(65, 2.0, 0.5, 3.1): Return: 0.3%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(65, 2.0, 0.6, 2.9): Return: 0.3%, Hit Ratio: 59.26%, Max Drawdown: 0.04%
(65, 2.1, 0.5, 2.9): Return: 0.3%, Hit Ratio: 64.0%, Max Drawdown: 0.04%
(65, 2.2, 0.3, 2.9): Return: 0.3%, Hit Ratio: 72.22%, Max Drawdown: 0.02%
(60, 2.2, 0.3, 2.8): Return: 0.3%, Hit Ratio: 76.47%, Max Drawdown: 0.02%
(60, 2.2, 0.3, 2.9): Return: 0.3%, Hit Ratio: 77.78%, Max Drawdown: 0.04%
(65, 1.9, 0.6, 3.0): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 1.9, 0.6, 3.1): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.07%
(65, 2.0, 0.3, 2.9): Return: 0.3%, Hit Ratio: 66.67%, Max Drawdown: 0.04%
(65, 2.0, 0.3, 3.0): Return: 0.3%, Hit Ratio: 63.33%, Max Drawdown: 0.04%
(65, 2.0, 0.3, 3.1): Return: 0.3%, Hit Ratio: 63.33%, Max Drawdown: 0.04%
(65, 2.0, 0.4, 2.9): Return: 0.3%, Hit Ratio: 62.96%, Max Drawdown: 0.04%
(65, 2.0, 0.5, 3.0): Return: 0.3%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(65, 2.0, 0.5, 3.1): Return: 0.3%, Hit Ratio: 60.0%, Max Drawdown: 0.04%
(65, 2.0, 0.6, 2.9): Return: 0.3%, Hit Ratio: 59.26%, Max Drawdown: 0.04%
(65, 2.1, 0.5, 2.9): Return: 0.3%, Hit Ratio: 64.0%, Max Drawdown: 0.04%
(65, 2.2, 0.3, 2.9): Return: 0.3%, Hit Ratio: 72.22%, Max Drawdown: 0.02%
(70, 1.9, 0.3, 3.0): Return: 0.3%, Hit Ratio: 61.54%, Max Drawdown: 0.07%
(70, 1.9, 0.3, 3.1): Return: 0.3%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(70, 1.9, 0.3, 3.2): Return: 0.3%, Hit Ratio: 60.0%, Max Drawdown: 0.07%
(70, 1.9, 0.4, 3.0): Return: 0.3%, Hit Ratio: 58.97%, Max Drawdown: 0.06%
(70, 1.9, 0.4, 3.1): Return: 0.3%, Hit Ratio: 57.5%, Max Drawdown: 0.06%
(70, 1.9, 0.4, 3.2): Return: 0.3%, Hit Ratio: 57.5%, Max Drawdown: 0.06%
