,date,open,high,low,close,volume,average,barCount
0,2015-12-14 20:30:00,5.24,5.33,5.24,5.33,190000,5.2883,55
1,2015-12-14 20:31:00,5.34,5.39,5.32,5.37,218000,5.3606,29
2,2015-12-14 20:32:00,5.4,5.4,5.4,5.4,6000,5.4,2
3,2015-12-14 20:33:00,5.39,5.39,5.37,5.37,182000,5.3742,13
4,2015-12-14 20:34:00,5.35,5.36,5.35,5.36,126000,5.3508,7
5,2015-12-14 20:35:00,5.34,5.34,5.34,5.34,50000,5.34,1
6,2015-12-14 20:36:00,5.34,5.34,5.34,5.34,0,5.34,0
7,2015-12-14 20:37:00,5.33,5.33,5.32,5.32,30000,5.3253,2
8,2015-12-14 20:38:00,5.32,5.32,5.32,5.32,0,5.32,0
9,2015-12-14 20:39:00,5.32,5.32,5.32,5.32,0,5.32,0
10,2015-12-14 20:40:00,5.31,5.32,5.3,5.32,106000,5.3106,17
11,2015-12-14 20:41:00,5.31,5.32,5.3,5.3,26000,5.3108,7
12,2015-12-14 20:42:00,5.32,5.33,5.32,5.33,36000,5.3206,7
13,2015-12-14 20:43:00,5.33,5.36,5.33,5.36,44000,5.3391,10
14,2015-12-14 20:44:00,5.36,5.36,5.35,5.36,110000,5.3507,6
15,2015-12-14 20:45:00,5.35,5.37,5.34,5.34,32000,5.3525,7
16,2015-12-14 20:46:00,5.34,5.35,5.34,5.35,8000,5.3425,2
17,2015-12-14 20:47:00,5.34,5.35,5.34,5.34,34000,5.3406,3
18,2015-12-14 20:48:00,5.34,5.34,5.34,5.34,2000,5.34,1
19,2015-12-14 20:49:00,5.34,5.35,5.33,5.34,90000,5.3393,15
20,2015-12-14 20:50:00,5.33,5.33,5.33,5.33,2000,5.33,1
21,2015-12-14 20:51:00,5.34,5.34,5.33,5.33,18000,5.3333,5
22,2015-12-14 20:52:00,5.33,5.33,5.33,5.33,2000,5.33,1
23,2015-12-14 20:53:00,5.34,5.34,5.34,5.34,2000,5.34,1
24,2015-12-14 20:54:00,5.34,5.34,5.34,5.34,0,5.34,0
25,2015-12-14 20:55:00,5.33,5.33,5.33,5.33,2000,5.33,1
26,2015-12-14 20:56:00,5.33,5.34,5.33,5.34,4000,5.335,2
27,2015-12-14 20:57:00,5.34,5.34,5.34,5.34,0,5.34,0
28,2015-12-14 20:58:00,5.34,5.34,5.34,5.34,0,5.34,0
29,2015-12-14 20:59:00,5.33,5.33,5.33,5.33,16000,5.33,4
30,2015-12-14 21:00:00,5.33,5.34,5.33,5.33,44000,5.3314,9
31,2015-12-14 21:01:00,5.32,5.33,5.32,5.33,4000,5.325,2
32,2015-12-14 21:02:00,5.33,5.33,5.33,5.33,22000,5.33,2
33,2015-12-14 21:03:00,5.33,5.33,5.33,5.33,2000,5.33,1
34,2015-12-14 21:04:00,5.32,5.32,5.32,5.32,2000,5.32,1
35,2015-12-14 21:05:00,5.32,5.32,5.32,5.32,2000,5.32,1
36,2015-12-14 21:06:00,5.33,5.33,5.32,5.33,20000,5.324,6
37,2015-12-14 21:07:00,5.32,5.33,5.32,5.33,14000,5.3214,3
38,2015-12-14 21:08:00,5.32,5.33,5.31,5.31,84000,5.316,11
39,2015-12-14 21:09:00,5.3,5.3,5.3,5.3,8000,5.3,2
40,2015-12-14 21:10:00,5.31,5.31,5.24,5.24,120000,5.291,10
41,2015-12-14 21:11:00,5.25,5.25,5.25,5.25,6000,5.25,1
42,2015-12-14 21:12:00,5.25,5.26,5.25,5.26,58000,5.2562,7
43,2015-12-14 21:13:00,5.26,5.26,5.26,5.26,0,5.26,0
44,2015-12-14 21:14:00,5.25,5.27,5.25,5.26,6000,5.26,3
45,2015-12-14 21:15:00,5.26,5.26,5.26,5.26,0,5.26,0
46,2015-12-14 21:16:00,5.26,5.26,5.26,5.26,0,5.26,0
47,2015-12-14 21:17:00,5.26,5.26,5.26,5.26,0,5.26,0
48,2015-12-14 21:18:00,5.26,5.26,5.26,5.26,0,5.26,0
49,2015-12-14 21:19:00,5.26,5.26,5.26,5.26,0,5.26,0
50,2015-12-14 21:20:00,5.26,5.26,5.26,5.26,0,5.26,0
51,2015-12-14 21:21:00,5.27,5.27,5.26,5.26,4000,5.265,2
52,2015-12-14 21:22:00,5.26,5.26,5.26,5.26,0,5.26,0
53,2015-12-14 21:23:00,5.26,5.26,5.26,5.26,0,5.26,0
54,2015-12-14 21:24:00,5.27,5.29,5.27,5.29,64000,5.2753,7
55,2015-12-14 21:25:00,5.29,5.3,5.29,5.29,42000,5.2924,6
56,2015-12-14 21:26:00,5.3,5.3,5.3,5.3,38000,5.3,4
57,2015-12-14 21:27:00,5.3,5.3,5.3,5.3,4000,5.3,2
58,2015-12-14 21:28:00,5.29,5.29,5.29,5.29,2000,5.29,1
59,2015-12-14 21:29:00,5.3,5.3,5.29,5.29,4000,5.295,2
60,2015-12-14 21:30:00,5.29,5.3,5.29,5.3,4000,5.295,2
61,2015-12-14 21:31:00,5.29,5.29,5.29,5.29,2000,5.29,1
62,2015-12-14 21:32:00,5.29,5.29,5.29,5.29,2000,5.29,1
63,2015-12-14 21:33:00,5.3,5.3,5.3,5.3,8000,5.3,2
64,2015-12-14 21:34:00,5.29,5.3,5.29,5.3,4000,5.295,2
65,2015-12-14 21:35:00,5.29,5.29,5.29,5.29,2000,5.29,1
66,2015-12-14 21:36:00,5.29,5.29,5.29,5.29,0,5.29,0
67,2015-12-14 21:37:00,5.29,5.3,5.29,5.29,30000,5.2907,5
68,2015-12-14 21:38:00,5.29,5.29,5.29,5.29,0,5.29,0
69,2015-12-14 21:39:00,5.29,5.29,5.29,5.29,0,5.29,0
70,2015-12-14 21:40:00,5.29,5.3,5.29,5.3,4000,5.295,2
71,2015-12-14 21:41:00,5.29,5.29,5.29,5.29,2000,5.29,1
72,2015-12-14 21:42:00,5.29,5.29,5.26,5.26,98000,5.2839,13
73,2015-12-14 21:43:00,5.25,5.25,5.25,5.25,2000,5.25,1
74,2015-12-14 21:44:00,5.25,5.25,5.25,5.25,2000,5.25,1
75,2015-12-14 21:45:00,5.25,5.25,5.25,5.25,2000,5.25,1
76,2015-12-14 21:46:00,5.25,5.25,5.25,5.25,0,5.25,0
77,2015-12-14 21:47:00,5.25,5.27,5.25,5.27,40000,5.2605,10
78,2015-12-14 21:48:00,5.27,5.28,5.26,5.28,46000,5.2722,8
79,2015-12-14 21:49:00,5.28,5.28,5.28,5.28,0,5.28,0
80,2015-12-14 21:50:00,5.28,5.28,5.28,5.28,0,5.28,0
81,2015-12-14 21:51:00,5.27,5.27,5.26,5.26,96000,5.269,11
82,2015-12-14 21:52:00,5.26,5.26,5.26,5.26,0,5.26,0
83,2015-12-14 21:53:00,5.27,5.27,5.26,5.26,6000,5.2667,2
84,2015-12-14 21:54:00,5.27,5.27,5.27,5.27,2000,5.27,1
85,2015-12-14 21:55:00,5.27,5.27,5.27,5.27,0,5.27,0
86,2015-12-14 21:56:00,5.27,5.27,5.27,5.27,0,5.27,0
87,2015-12-14 21:57:00,5.26,5.27,5.26,5.27,24000,5.2692,3
88,2015-12-14 21:58:00,5.27,5.27,5.27,5.27,8000,5.27,3
89,2015-12-14 21:59:00,5.27,5.3,5.26,5.3,186000,5.2754,19
90,2015-12-14 22:00:00,5.3,5.3,5.3,5.3,0,5.3,0
91,2015-12-14 22:01:00,5.29,5.3,5.29,5.3,24000,5.2983,2
92,2015-12-14 22:02:00,5.3,5.3,5.29,5.29,8000,5.2975,3
93,2015-12-14 22:03:00,5.3,5.3,5.3,5.3,4000,5.3,1
94,2015-12-14 22:04:00,5.3,5.3,5.3,5.3,8000,5.3,3
95,2015-12-14 22:05:00,5.3,5.3,5.29,5.3,8000,5.2975,3
96,2015-12-14 22:06:00,5.29,5.3,5.29,5.3,174000,5.2941,9
97,2015-12-14 22:07:00,5.29,5.3,5.29,5.3,6000,5.2933,3
98,2015-12-14 22:08:00,5.3,5.3,5.3,5.3,0,5.3,0
99,2015-12-14 22:09:00,5.3,5.3,5.29,5.29,6000,5.2967,2
100,2015-12-14 22:10:00,5.3,5.3,5.3,5.3,4000,5.3,2
101,2015-12-14 22:11:00,5.3,5.3,5.3,5.3,4000,5.3,1
102,2015-12-14 22:12:00,5.3,5.3,5.3,5.3,0,5.3,0
103,2015-12-14 22:13:00,5.29,5.3,5.29,5.3,4000,5.295,2
104,2015-12-14 22:14:00,5.3,5.3,5.3,5.3,6000,5.3,1
105,2015-12-14 22:15:00,5.3,5.3,5.29,5.29,8000,5.2975,3
106,2015-12-14 22:16:00,5.29,5.29,5.29,5.29,0,5.29,0
107,2015-12-14 22:17:00,5.3,5.3,5.3,5.3,6000,5.3,2
108,2015-12-14 22:18:00,5.29,5.29,5.29,5.29,4000,5.29,2
109,2015-12-14 22:19:00,5.3,5.3,5.29,5.3,20000,5.298,5
110,2015-12-14 22:20:00,5.3,5.3,5.29,5.3,18000,5.2989,6
111,2015-12-14 22:21:00,5.3,5.3,5.29,5.3,38000,5.2947,6
112,2015-12-14 22:22:00,5.29,5.3,5.29,5.29,128000,5.2908,9
113,2015-12-14 22:23:00,5.29,5.29,5.29,5.29,4000,5.29,2
114,2015-12-14 22:24:00,5.28,5.28,5.28,5.28,2000,5.28,1
115,2015-12-14 22:25:00,5.28,5.29,5.28,5.29,8000,5.2875,3
116,2015-12-14 22:26:00,5.28,5.28,5.28,5.28,2000,5.28,1
117,2015-12-14 22:27:00,5.29,5.29,5.29,5.29,6000,5.29,1
118,2015-12-14 22:28:00,5.29,5.29,5.29,5.29,2000,5.29,1
119,2015-12-14 22:29:00,5.29,5.29,5.29,5.29,0,5.29,0
120,2015-12-14 22:30:00,5.28,5.29,5.28,5.29,8000,5.2875,3
121,2015-12-14 22:31:00,5.29,5.29,5.29,5.29,2000,5.29,1
122,2015-12-14 22:32:00,5.28,5.29,5.28,5.29,4000,5.285,2
123,2015-12-14 22:33:00,5.29,5.29,5.28,5.29,36000,5.2856,8
124,2015-12-14 22:34:00,5.29,5.29,5.28,5.29,12000,5.2867,3
125,2015-12-14 22:35:00,5.29,5.29,5.28,5.29,18000,5.2889,6
126,2015-12-14 22:36:00,5.29,5.29,5.28,5.29,24000,5.2892,8
127,2015-12-14 22:37:00,5.28,5.29,5.28,5.28,10000,5.286,4
128,2015-12-14 22:38:00,5.29,5.29,5.28,5.29,24000,5.2892,7
129,2015-12-14 22:39:00,5.29,5.29,5.29,5.29,12000,5.29,4
130,2015-12-14 22:40:00,5.29,5.29,5.28,5.29,20000,5.288,7
131,2015-12-14 22:41:00,5.29,5.29,5.29,5.29,22000,5.29,6
132,2015-12-14 22:42:00,5.29,5.29,5.28,5.29,36000,5.285,8
133,2015-12-14 22:43:00,5.29,5.29,5.29,5.29,18000,5.29,6
134,2015-12-14 22:44:00,5.29,5.29,5.29,5.29,18000,5.29,6
135,2015-12-14 22:45:00,5.29,5.29,5.29,5.29,18000,5.29,5
136,2015-12-14 22:46:00,5.28,5.29,5.28,5.29,10000,5.288,3
137,2015-12-14 22:47:00,5.29,5.29,5.29,5.29,14000,5.29,4
138,2015-12-14 22:48:00,5.29,5.29,5.29,5.29,16000,5.29,5
139,2015-12-14 22:49:00,5.28,5.29,5.28,5.29,22000,5.2891,7
140,2015-12-14 22:50:00,5.28,5.29,5.28,5.29,8000,5.2875,3
141,2015-12-14 22:51:00,5.29,5.29,5.28,5.28,14000,5.2886,4
142,2015-12-14 22:52:00,5.29,5.29,5.29,5.29,22000,5.29,6
143,2015-12-14 22:53:00,5.29,5.29,5.29,5.29,20000,5.29,7
144,2015-12-14 22:54:00,5.28,5.28,5.28,5.28,2000,5.28,1
145,2015-12-14 22:55:00,5.29,5.29,5.29,5.29,6000,5.29,2
