,date,open,high,low,close,volume,average,barCount
5,2019-08-25 19:57:00,0.67088,0.67096,0.67081,0.67091,-1,-1.0,-1
6,2019-08-25 19:58:00,0.67079,0.67095,0.67072,0.67081,-1,-1.0,-1
7,2019-08-25 19:59:00,0.6707,0.67087,0.67062,0.67073,-1,-1.0,-1
8,2019-08-25 20:00:00,0.67086,0.67109,0.67062,0.67089,-1,-1.0,-1
9,2019-08-25 20:01:00,0.67112,0.67133,0.67094,0.67114,-1,-1.0,-1
0,2019-08-26 09:27:00,0.67636,0.67642,0.6763,0.67639,-1,-1.0,-1
1,2019-08-26 09:28:00,0.67631,0.67641,0.67625,0.67634,-1,-1.0,-1
2,2019-08-26 09:29:00,0.67635,0.67641,0.67627,0.67638,-1,-1.0,-1
3,2019-08-26 09:30:00,0.67629,0.67638,0.67626,0.67631,-1,-1.0,-1
4,2019-08-26 09:31:00,0.6763,0.6764,0.67625,0.67632,-1,-1.0,-1
15,2019-08-26 19:57:00,0.677,0.67709,0.67689,0.67701,-1,-1.0,-1
16,2019-08-26 19:58:00,0.67694,0.67699,0.67691,0.67696,-1,-1.0,-1
17,2019-08-26 19:59:00,0.67697,0.677,0.67694,0.67698,-1,-1.0,-1
18,2019-08-26 20:00:00,0.67697,0.67701,0.67695,0.67699,-1,-1.0,-1
19,2019-08-26 20:01:00,0.67697,0.67701,0.67693,0.67698,-1,-1.0,-1
10,2019-08-27 09:27:00,0.67609,0.67612,0.67604,0.6761,-1,-1.0,-1
11,2019-08-27 09:28:00,0.67609,0.67612,0.67608,0.6761,-1,-1.0,-1
12,2019-08-27 09:29:00,0.6761,0.67616,0.67608,0.67611,-1,-1.0,-1
13,2019-08-27 09:30:00,0.67599,0.67611,0.67593,0.67601,-1,-1.0,-1
14,2019-08-27 09:31:00,0.67597,0.67601,0.67591,0.67599,-1,-1.0,-1
25,2019-08-27 19:57:00,0.67542,0.67546,0.67538,0.67543,-1,-1.0,-1
26,2019-08-27 19:58:00,0.67543,0.67554,0.67537,0.67544,-1,-1.0,-1
27,2019-08-27 19:59:00,0.67549,0.67555,0.67543,0.6755,-1,-1.0,-1
28,2019-08-27 20:00:00,0.6755,0.67557,0.67544,0.67551,-1,-1.0,-1
29,2019-08-27 20:01:00,0.67552,0.67556,0.67549,0.67554,-1,-1.0,-1
20,2019-08-28 09:27:00,0.67457,0.67463,0.67457,0.6746,-1,-1.0,-1
21,2019-08-28 09:28:00,0.67456,0.67461,0.6745,0.67458,-1,-1.0,-1
22,2019-08-28 09:29:00,0.67459,0.67464,0.67457,0.67461,-1,-1.0,-1
23,2019-08-28 09:30:00,0.67462,0.67475,0.67457,0.67464,-1,-1.0,-1
24,2019-08-28 09:31:00,0.67459,0.67465,0.67444,0.67461,-1,-1.0,-1
35,2019-08-28 19:57:00,0.67384,0.67391,0.67379,0.67386,-1,-1.0,-1
36,2019-08-28 19:58:00,0.67391,0.67401,0.67383,0.67393,-1,-1.0,-1
37,2019-08-28 19:59:00,0.67396,0.674,0.67391,0.67397,-1,-1.0,-1
38,2019-08-28 20:00:00,0.67396,0.674,0.67391,0.67397,-1,-1.0,-1
39,2019-08-28 20:01:00,0.67394,0.674,0.67391,0.67397,-1,-1.0,-1
30,2019-08-29 09:27:00,0.67395,0.67403,0.67392,0.67397,-1,-1.0,-1
31,2019-08-29 09:28:00,0.67394,0.67406,0.67389,0.67397,-1,-1.0,-1
32,2019-08-29 09:29:00,0.67393,0.67406,0.67387,0.67396,-1,-1.0,-1
33,2019-08-29 09:30:00,0.67378,0.67393,0.67372,0.67379,-1,-1.0,-1
34,2019-08-29 09:31:00,0.67386,0.67397,0.67374,0.67387,-1,-1.0,-1
45,2019-08-29 19:57:00,0.67353,0.67359,0.67351,0.67355,-1,-1.0,-1
46,2019-08-29 19:58:00,0.67351,0.67356,0.67347,0.67354,-1,-1.0,-1
47,2019-08-29 19:59:00,0.67354,0.67362,0.6735,0.67356,-1,-1.0,-1
48,2019-08-29 20:00:00,0.6735,0.67359,0.6734,0.67352,-1,-1.0,-1
