,date,open,high,low,close,volume,average,barCount
0,2018-09-28 16:55:00,7.82862,7.82883,7.82862,7.82883,-1,-1.0,-1
5,2018-09-28 16:55:00,7.82862,7.82883,7.82862,7.82883,-1,-1.0,-1
1,2018-09-28 16:56:00,7.82861,7.82883,7.82856,7.82883,-1,-1.0,-1
6,2018-09-28 16:56:00,7.82861,7.82883,7.82856,7.82883,-1,-1.0,-1
2,2018-09-28 16:57:00,7.8286,7.82883,7.82855,7.82883,-1,-1.0,-1
7,2018-09-28 16:57:00,7.8286,7.82883,7.82855,7.82883,-1,-1.0,-1
3,2018-09-28 16:58:00,7.8285,7.82894,7.82845,7.82877,-1,-1.0,-1
8,2018-09-28 16:58:00,7.8285,7.82894,7.82845,7.82877,-1,-1.0,-1
4,2018-09-28 16:59:00,7.82694,7.82901,7.82642,7.82898,-1,-1.0,-1
9,2018-09-28 16:59:00,7.82694,7.82901,7.82642,7.82898,-1,-1.0,-1
15,2018-09-30 21:27:00,7.82817,7.82833,7.82812,7.82833,-1,-1.0,-1
16,2018-09-30 21:28:00,7.82826,7.82836,7.82818,7.82835,-1,-1.0,-1
17,2018-09-30 21:29:00,7.8283,7.82841,7.82828,7.82837,-1,-1.0,-1
18,2018-09-30 21:30:00,7.8283,7.82835,7.8283,7.82832,-1,-1.0,-1
19,2018-09-30 21:31:00,7.8283,7.82837,7.8283,7.82835,-1,-1.0,-1
10,2018-10-01 09:27:00,7.82743,7.82745,7.82742,7.82744,-1,-1.0,-1
11,2018-10-01 09:28:00,7.8273,7.82743,7.82719,7.82732,-1,-1.0,-1
12,2018-10-01 09:29:00,7.82721,7.82726,7.82707,7.82722,-1,-1.0,-1
13,2018-10-01 09:30:00,7.8271,7.82717,7.82707,7.82713,-1,-1.0,-1
14,2018-10-01 09:31:00,7.8271,7.82715,7.8271,7.82715,-1,-1.0,-1
25,2018-10-01 21:27:00,7.83225,7.83227,7.83225,7.83227,-1,-1.0,-1
26,2018-10-01 21:28:00,7.83225,7.83227,7.83225,7.83227,-1,-1.0,-1
27,2018-10-01 21:29:00,7.83225,7.83228,7.83225,7.83227,-1,-1.0,-1
28,2018-10-01 21:30:00,7.83222,7.83228,7.8322,7.83228,-1,-1.0,-1
29,2018-10-01 21:31:00,7.8322,7.83228,7.8322,7.83228,-1,-1.0,-1
20,2018-10-02 09:27:00,7.83356,7.8336,7.83356,7.8336,-1,-1.0,-1
21,2018-10-02 09:28:00,7.83354,7.8336,7.83351,7.83358,-1,-1.0,-1
22,2018-10-02 09:29:00,7.83351,7.83355,7.83351,7.83355,-1,-1.0,-1
23,2018-10-02 09:30:00,7.83351,7.83355,7.83351,7.83355,-1,-1.0,-1
24,2018-10-02 09:31:00,7.83351,7.83355,7.83351,7.83355,-1,-1.0,-1
35,2018-10-02 21:27:00,7.83945,7.83947,7.83944,7.83946,-1,-1.0,-1
36,2018-10-02 21:28:00,7.83944,7.83946,7.83944,7.83946,-1,-1.0,-1
37,2018-10-02 21:29:00,7.83944,7.83947,7.83944,7.83947,-1,-1.0,-1
38,2018-10-02 21:30:00,7.83941,7.83947,7.83939,7.83945,-1,-1.0,-1
39,2018-10-02 21:31:00,7.83936,7.83944,7.83935,7.83938,-1,-1.0,-1
30,2018-10-03 09:27:00,7.8372,7.83726,7.83718,7.83725,-1,-1.0,-1
31,2018-10-03 09:28:00,7.83718,7.83725,7.83718,7.83724,-1,-1.0,-1
32,2018-10-03 09:29:00,7.83714,7.83726,7.83691,7.8372,-1,-1.0,-1
33,2018-10-03 09:30:00,7.83684,7.83697,7.83672,7.83688,-1,-1.0,-1
34,2018-10-03 09:31:00,7.83684,7.83691,7.83684,7.83691,-1,-1.0,-1
45,2018-10-03 21:27:00,7.83819,7.83853,7.83808,7.83833,-1,-1.0,-1
46,2018-10-03 21:28:00,7.8384,7.83854,7.8383,7.83851,-1,-1.0,-1
47,2018-10-03 21:29:00,7.83842,7.83866,7.83823,7.83849,-1,-1.0,-1
48,2018-10-03 21:30:00,7.83857,7.8387,7.83854,7.83866,-1,-1.0,-1
49,2018-10-03 21:31:00,7.83864,7.83877,7.83848,7.83869,-1,-1.0,-1
40,2018-10-04 09:27:00,7.83467,7.83483,7.8346,7.83471,-1,-1.0,-1
41,2018-10-04 09:28:00,7.83462,7.8347,7.83461,7.83464,-1,-1.0,-1
42,2018-10-04 09:29:00,7.83464,7.83465,7.83462,7.83465,-1,-1.0,-1
43,2018-10-04 09:30:00,7.83458,7.83465,7.83449,7.83461,-1,-1.0,-1
44,2018-10-04 09:31:00,7.83445,7.8346,7.83435,7.8345,-1,-1.0,-1
55,2018-10-04 21:27:00,7.83479,7.83489,7.83479,7.83489,-1,-1.0,-1
56,2018-10-04 21:28:00,7.83473,7.83489,7.83454,7.83479,-1,-1.0,-1
57,2018-10-04 21:29:00,7.83464,7.83471,7.83452,7.83467,-1,-1.0,-1
58,2018-10-04 21:30:00,7.83454,7.83462,7.83451,7.83461,-1,-1.0,-1
59,2018-10-04 21:31:00,7.83452,7.83461,7.83452,7.83459,-1,-1.0,-1
50,2018-10-05 09:27:00,7.83368,7.83377,7.83365,7.83373,-1,-1.0,-1
51,2018-10-05 09:28:00,7.83374,7.83377,7.83374,7.83377,-1,-1.0,-1
52,2018-10-05 09:29:00,7.83374,7.83378,7.83372,7.83377,-1,-1.0,-1
53,2018-10-05 09:30:00,7.83373,7.83378,7.83372,7.83377,-1,-1.0,-1
54,2018-10-05 09:31:00,7.83373,7.83378,7.83371,7.83374,-1,-1.0,-1
60,2018-10-05 16:55:00,7.83338,7.83725,7.83309,7.83628,-1,-1.0,-1
65,2018-10-05 16:55:00,7.83338,7.83725,7.83309,7.83628,-1,-1.0,-1
61,2018-10-05 16:56:00,7.83309,7.83755,7.83309,7.8371,-1,-1.0,-1
66,2018-10-05 16:56:00,7.83309,7.83755,7.83309,7.8371,-1,-1.0,-1
62,2018-10-05 16:57:00,7.83309,7.83755,7.83309,7.83755,-1,-1.0,-1
