,date,avg_bid_non_us_before,avg_ask_non_us_before,avg_bid_non_us_at,avg_ask_non_us_at,avg_bid_us_before,avg_ask_us_before,avg_bid_us_at,avg_ask_us_at
0,2015-04-02,7.75294,7.753010000000001,7.752910000000001,7.75299,7.75247,7.75253,7.752460000000001,7.75253
1,2015-04-03,7.75299,7.75315,7.75299,7.75315,7.75177,7.7519100000000005,7.75177,7.7519100000000005
2,2015-04-06,7.7522899999999995,7.752610000000001,7.7522899999999995,7.752610000000001,7.752689999999999,7.75275,7.75272,7.752789999999999
3,2015-04-07,7.75225,7.7522899999999995,7.75225,7.7522899999999995,7.751639999999999,7.751710000000001,7.751639999999999,7.751710000000001
4,2015-04-08,7.75192,7.75195,7.75208,7.75212,7.75024,7.7503,7.75025,7.75029
5,2015-04-09,7.75029,7.75034,7.75029,7.75034,7.750030000000001,7.7501,7.75005,7.75012
6,2015-04-10,7.750030000000001,7.75011,7.750030000000001,7.75011,7.75002,7.750089999999999,7.75002,7.750089999999999
7,2015-04-13,7.750030000000001,7.75011,7.750030000000001,7.75011,7.75005,7.75011,7.75005,7.75011
8,2015-04-14,7.75011,7.750189999999999,7.75011,7.750189999999999,7.750489999999999,7.7505,7.7504800000000005,7.7505
9,2015-04-15,7.751060000000001,7.751110000000001,7.75109,7.75115,7.75218,7.752260000000001,7.75223,7.75237
10,2015-04-16,7.7512,7.75132,7.7512,7.75131,7.751939999999999,7.75197,7.751939999999999,7.75196
11,2015-04-17,7.751339999999999,7.75139,7.751339999999999,7.75139,7.751110000000001,7.7512,7.751110000000001,7.7512
12,2015-04-21,7.7500800000000005,7.75015,7.75011,7.75016,7.75018,7.75025,7.75017,7.75025
13,2015-04-22,7.75,7.75006,7.75,7.75006,7.750039999999999,7.75011,7.750039999999999,7.75011
14,2015-04-23,7.7501,7.75016,7.7501,7.75016,7.75005,7.75011,7.75005,7.75011
15,2015-04-24,7.7500100000000005,7.75006,7.7500100000000005,7.75006,7.75002,7.75007,7.75002,7.75007
16,2015-04-27,7.75,7.75006,7.75,7.75006,7.75081,7.750889999999999,7.75081,7.750889999999999
17,2015-04-28,7.75033,7.7504100000000005,7.7503,7.750360000000001,7.7509,7.75093,7.75092,7.75098
18,2015-04-29,7.750430000000001,7.7504800000000005,7.75042,7.75047,7.750439999999999,7.7505,7.7503899999999994,7.75045
19,2015-04-30,7.7504800000000005,7.75052,7.750430000000001,7.750489999999999,7.750710000000001,7.75073,7.750710000000001,7.75073
20,2015-05-01,7.75117,7.75126,7.751239999999999,7.751339999999999,7.750710000000001,7.75081,7.750710000000001,7.75081
21,2015-05-04,7.751110000000001,7.7512,7.75113,7.75121,7.752389999999999,7.75248,7.752389999999999,7.75248
22,2015-05-05,7.75281,7.752860000000001,7.75281,7.75287,7.7509,7.75097,7.7509,7.750939999999999
23,2015-05-06,7.75148,7.751530000000001,7.7515,7.7515600000000004,7.75236,7.75243,7.752260000000001,7.75235
24,2015-05-07,7.751860000000001,7.751939999999999,7.751860000000001,7.751939999999999,7.75294,7.75299,7.75294,7.75299
25,2015-05-08,7.75365,7.7537199999999995,7.75365,7.75373,7.7538,7.753889999999999,7.75386,7.7539
26,2015-05-11,7.75368,7.75378,7.75368,7.75378,7.75275,7.752860000000001,7.75275,7.752860000000001
27,2015-05-12,7.75254,7.75259,7.75255,7.752610000000001,7.753439999999999,7.7535,7.753439999999999,7.7535
28,2015-05-13,7.752000000000001,7.75205,7.752000000000001,7.75205,7.7522,7.75224,7.7522,7.75224
29,2015-05-14,7.751939999999999,7.75202,7.751939999999999,7.751989999999999,7.750589999999999,7.7506699999999995,7.750539999999999,7.750610000000001
30,2015-05-15,7.75122,7.7513,7.75122,7.7513,7.75085,7.7509,7.75085,7.7509
31,2015-05-18,7.75122,7.75131,7.75126,7.75135,7.7513,7.75139,7.7513,7.75139
32,2015-05-19,7.75139,7.7514,7.75139,7.7514,7.75201,7.75208,7.75202,7.7521
33,2015-05-20,7.752280000000001,7.75235,7.752280000000001,7.75235,7.75247,7.752560000000001,7.75248,7.75255
34,2015-05-21,7.75224,7.7523,7.75224,7.7523,7.75385,7.75391,7.75385,7.75391
35,2015-05-22,7.75321,7.753260000000001,7.75318,7.75323,7.7518899999999995,7.751930000000001,7.7518899999999995,7.75192
36,2015-05-25,7.7525699999999995,7.75265,7.7525699999999995,7.75265,7.75185,7.75195,7.75185,7.75195
37,2015-05-26,7.752210000000001,7.752280000000001,7.752280000000001,7.75235,7.7525699999999995,7.752619999999999,7.7525699999999995,7.752610000000001
38,2015-05-27,7.7522899999999995,7.75232,7.75232,7.75235,7.75475,7.75484,7.754760000000001,7.75484
39,2015-05-28,7.75378,7.7538,7.753760000000001,7.7538,7.75386,7.75395,7.75386,7.75395
40,2015-05-29,7.75325,7.75333,7.753260000000001,7.7533199999999995,7.753360000000001,7.753480000000001,7.75335,7.75347
41,2015-06-01,7.7529,7.75294,7.7528,7.75287,7.75588,7.75595,7.75588,7.75595
42,2015-06-02,7.7549600000000005,7.755,7.7549600000000005,7.755,7.755839999999999,7.75595,7.75585,7.75597
43,2015-06-03,7.7554300000000005,7.75547,7.755439999999999,7.75545,7.7533,7.75339,7.7533,7.75338
44,2015-06-04,7.7533,7.75338,7.7533,7.75338,7.752210000000001,7.7522899999999995,7.752210000000001,7.7522899999999995
45,2015-06-05,7.752160000000001,7.75225,7.75218,7.752280000000001,7.7531,7.753189999999999,7.7531,7.753189999999999
46,2015-06-08,7.7526399999999995,7.752739999999999,7.7526399999999995,7.752739999999999,7.75265,7.752739999999999,7.75265,7.752739999999999
47,2015-06-09,7.75232,7.7523800000000005,7.7523,7.75236,7.75237,7.75253,7.7523800000000005,7.75254
48,2015-06-10,7.7530399999999995,7.753139999999999,7.7530399999999995,7.753139999999999,7.75281,7.75289,7.75281,7.75289
49,2015-06-11,7.75258,7.75265,7.75252,7.752610000000001,7.7529699999999995,7.7530600000000005,7.7529699999999995,7.7530600000000005
50,2015-06-12,7.752510000000001,7.7526,7.752510000000001,7.7526,7.75315,7.75322,7.75315,7.75322
51,2015-06-15,7.75323,7.75334,7.75323,7.75334,7.75259,7.75265,7.75259,7.75265
52,2015-06-16,7.752560000000001,7.752619999999999,7.75254,7.752619999999999,7.75292,7.75299,7.75292,7.75299
53,2015-06-17,7.7519800000000005,7.752000000000001,7.75197,7.752000000000001,7.753019999999999,7.753089999999999,7.753019999999999,7.753089999999999
54,2015-06-18,7.7523,7.7524,7.7522899999999995,7.75232,7.75275,7.752789999999999,7.75275,7.752789999999999
55,2015-06-19,7.75252,7.752619999999999,7.75253,7.752619999999999,7.751519999999999,7.751580000000001,7.751519999999999,7.751589999999999
56,2015-06-22,7.751689999999999,7.75175,7.75168,7.75175,7.7511600000000005,7.7512300000000005,7.7511600000000005,7.7512300000000005
57,2015-06-23,7.751189999999999,7.75126,7.751189999999999,7.75126,7.75247,7.75255,7.75247,7.75255
58,2015-06-24,7.75307,7.75315,7.7530600000000005,7.75315,7.752560000000001,7.752619999999999,7.75248,7.752560000000001
59,2015-06-25,7.75247,7.7525699999999995,7.75247,7.7525699999999995,7.75173,7.751810000000001,7.75173,7.751810000000001
