,date,open,high,low,close,volume,average,barCount
5,2021-03-31 19:57:00,110.758,110.76,110.755,110.76,-1,-1.0,-1
6,2021-03-31 19:58:00,110.763,110.773,110.758,110.764,-1,-1.0,-1
7,2021-03-31 19:59:00,110.76,110.77,110.758,110.762,-1,-1.0,-1
8,2021-03-31 20:00:00,110.745,110.76,110.733,110.746,-1,-1.0,-1
9,2021-03-31 20:01:00,110.748,110.759,110.736,110.75,-1,-1.0,-1
0,2021-04-01 09:27:00,110.674,110.683,110.665,110.675,-1,-1.0,-1
1,2021-04-01 09:28:00,110.659,110.673,110.641,110.66,-1,-1.0,-1
2,2021-04-01 09:29:00,110.629,110.643,110.611,110.63,-1,-1.0,-1
3,2021-04-01 09:30:00,110.626,110.637,110.613,110.627,-1,-1.0,-1
4,2021-04-01 09:31:00,110.603,110.616,110.585,110.604,-1,-1.0,-1
15,2021-04-01 19:57:00,110.618,110.623,110.615,110.62,-1,-1.0,-1
16,2021-04-01 19:58:00,110.614,110.617,110.613,110.615,-1,-1.0,-1
17,2021-04-01 19:59:00,110.613,110.616,110.608,110.615,-1,-1.0,-1
18,2021-04-01 20:00:00,110.617,110.624,110.611,110.619,-1,-1.0,-1
19,2021-04-01 20:01:00,110.615,110.623,110.609,110.618,-1,-1.0,-1
10,2021-04-02 09:27:00,110.739,110.743,110.734,110.74,-1,-1.0,-1
11,2021-04-02 09:28:00,110.738,110.743,110.735,110.739,-1,-1.0,-1
12,2021-04-02 09:29:00,110.741,110.748,110.736,110.743,-1,-1.0,-1
13,2021-04-02 09:30:00,110.736,110.744,110.73,110.737,-1,-1.0,-1
14,2021-04-02 09:31:00,110.73,110.741,110.72,110.731,-1,-1.0,-1
20,2021-04-02 16:55:00,110.651,110.719,110.651,110.706,-1,-1.0,-1
25,2021-04-02 16:55:00,110.651,110.719,110.651,110.706,-1,-1.0,-1
26,2021-04-02 16:56:00,110.669,110.725,110.637,110.721,-1,-1.0,-1
21,2021-04-02 16:56:00,110.669,110.725,110.637,110.721,-1,-1.0,-1
27,2021-04-02 16:57:00,110.7,110.723,110.7,110.721,-1,-1.0,-1
22,2021-04-02 16:57:00,110.7,110.723,110.7,110.721,-1,-1.0,-1
23,2021-04-02 16:58:00,110.7,110.722,110.7,110.713,-1,-1.0,-1
28,2021-04-02 16:58:00,110.7,110.722,110.7,110.713,-1,-1.0,-1
24,2021-04-02 16:59:00,110.696,110.713,110.642,110.712,-1,-1.0,-1
29,2021-04-02 16:59:00,110.696,110.713,110.642,110.712,-1,-1.0,-1
35,2021-04-04 19:57:00,110.682,110.69,110.678,110.683,-1,-1.0,-1
36,2021-04-04 19:58:00,110.677,110.689,110.667,110.679,-1,-1.0,-1
37,2021-04-04 19:59:00,110.671,110.681,110.668,110.673,-1,-1.0,-1
38,2021-04-04 20:00:00,110.672,110.687,110.665,110.674,-1,-1.0,-1
39,2021-04-04 20:01:00,110.673,110.68,110.668,110.675,-1,-1.0,-1
30,2021-04-05 09:27:00,110.441,110.452,110.431,110.442,-1,-1.0,-1
31,2021-04-05 09:28:00,110.44,110.446,110.437,110.441,-1,-1.0,-1
32,2021-04-05 09:29:00,110.433,110.439,110.426,110.434,-1,-1.0,-1
33,2021-04-05 09:30:00,110.425,110.438,110.418,110.427,-1,-1.0,-1
34,2021-04-05 09:31:00,110.418,110.429,110.407,110.419,-1,-1.0,-1
45,2021-04-05 19:57:00,110.179,110.186,110.179,110.181,-1,-1.0,-1
46,2021-04-05 19:58:00,110.191,110.195,110.179,110.192,-1,-1.0,-1
47,2021-04-05 19:59:00,110.191,110.196,110.187,110.192,-1,-1.0,-1
48,2021-04-05 20:00:00,110.197,110.206,110.193,110.199,-1,-1.0,-1
49,2021-04-05 20:01:00,110.174,110.2,110.166,110.175,-1,-1.0,-1
40,2021-04-06 09:27:00,109.775,109.781,109.763,109.776,-1,-1.0,-1
41,2021-04-06 09:28:00,109.779,109.792,109.763,109.78,-1,-1.0,-1
42,2021-04-06 09:29:00,109.776,109.793,109.759,109.777,-1,-1.0,-1
43,2021-04-06 09:30:00,109.79,109.811,109.766,109.791,-1,-1.0,-1
44,2021-04-06 09:31:00,109.782,109.8,109.758,109.783,-1,-1.0,-1
55,2021-04-06 19:57:00,109.776,109.785,109.773,109.777,-1,-1.0,-1
56,2021-04-06 19:58:00,109.784,109.793,109.773,109.785,-1,-1.0,-1
57,2021-04-06 19:59:00,109.795,109.799,109.79,109.796,-1,-1.0,-1
58,2021-04-06 20:00:00,109.79,109.798,109.775,109.791,-1,-1.0,-1
59,2021-04-06 20:01:00,109.811,109.834,109.786,109.812,-1,-1.0,-1
50,2021-04-07 09:27:00,109.803,109.811,109.795,109.805,-1,-1.0,-1
51,2021-04-07 09:28:00,109.79,109.802,109.772,109.791,-1,-1.0,-1
52,2021-04-07 09:29:00,109.781,109.791,109.773,109.782,-1,-1.0,-1
53,2021-04-07 09:30:00,109.786,109.799,109.78,109.787,-1,-1.0,-1
54,2021-04-07 09:31:00,109.795,109.803,109.783,109.796,-1,-1.0,-1
65,2021-04-07 19:57:00,109.849,109.852,109.848,109.851,-1,-1.0,-1
66,2021-04-07 19:58:00,109.854,109.858,109.849,109.856,-1,-1.0,-1
67,2021-04-07 19:59:00,109.854,109.858,109.848,109.855,-1,-1.0,-1
68,2021-04-07 20:00:00,109.869,109.894,109.848,109.871,-1,-1.0,-1
69,2021-04-07 20:01:00,109.874,109.883,109.869,109.876,-1,-1.0,-1
60,2021-04-08 09:27:00,109.1,109.113,109.094,109.102,-1,-1.0,-1
61,2021-04-08 09:28:00,109.111,109.116,109.108,109.113,-1,-1.0,-1
62,2021-04-08 09:29:00,109.117,109.128,109.108,109.118,-1,-1.0,-1
63,2021-04-08 09:30:00,109.121,109.134,109.113,109.122,-1,-1.0,-1
