,date,open,high,low,close,volume,average,barCount
5,2016-09-25 19:57:00,100.89,100.902,100.886,100.895,-1,-1.0,-1
6,2016-09-25 19:58:00,100.895,100.903,100.891,100.899,-1,-1.0,-1
7,2016-09-25 19:59:00,100.904,100.924,100.892,100.907,-1,-1.0,-1
8,2016-09-25 20:00:00,100.902,100.925,100.887,100.906,-1,-1.0,-1
9,2016-09-25 20:01:00,100.876,100.892,100.859,100.88,-1,-1.0,-1
0,2016-09-25 23:57:00,100.951,100.97,100.937,100.955,-1,-1.0,-1
1,2016-09-25 23:58:00,100.936,100.946,100.925,100.939,-1,-1.0,-1
2,2016-09-25 23:59:00,100.918,100.939,100.865,100.921,-1,-1.0,-1
3,2016-09-26 00:00:00,100.897,100.92,100.88,100.9,-1,-1.0,-1
4,2016-09-26 00:01:00,100.892,100.903,100.885,100.894,-1,-1.0,-1
15,2016-09-26 19:57:00,100.361,100.375,100.356,100.365,-1,-1.0,-1
16,2016-09-26 19:58:00,100.363,100.371,100.355,100.367,-1,-1.0,-1
17,2016-09-26 19:59:00,100.372,100.381,100.366,100.375,-1,-1.0,-1
18,2016-09-26 20:00:00,100.371,100.399,100.339,100.374,-1,-1.0,-1
19,2016-09-26 20:01:00,100.346,100.367,100.33,100.349,-1,-1.0,-1
10,2016-09-26 23:57:00,100.825,100.835,100.814,100.828,-1,-1.0,-1
11,2016-09-26 23:58:00,100.821,100.835,100.81,100.824,-1,-1.0,-1
12,2016-09-26 23:59:00,100.796,100.821,100.78,100.8,-1,-1.0,-1
13,2016-09-27 00:00:00,100.784,100.791,100.778,100.787,-1,-1.0,-1
14,2016-09-27 00:01:00,100.789,100.805,100.781,100.793,-1,-1.0,-1
25,2016-09-27 19:57:00,100.466,100.481,100.449,100.469,-1,-1.0,-1
26,2016-09-27 19:58:00,100.467,100.485,100.449,100.47,-1,-1.0,-1
27,2016-09-27 19:59:00,100.49,100.508,100.48,100.493,-1,-1.0,-1
28,2016-09-27 20:00:00,100.477,100.5,100.451,100.48,-1,-1.0,-1
29,2016-09-27 20:01:00,100.494,100.534,100.456,100.497,-1,-1.0,-1
20,2016-09-27 23:57:00,100.55,100.559,100.548,100.552,-1,-1.0,-1
21,2016-09-27 23:58:00,100.559,100.568,100.555,100.561,-1,-1.0,-1
22,2016-09-27 23:59:00,100.56,100.57,100.558,100.562,-1,-1.0,-1
23,2016-09-28 00:00:00,100.576,100.585,100.564,100.579,-1,-1.0,-1
24,2016-09-28 00:01:00,100.577,100.585,100.576,100.579,-1,-1.0,-1
35,2016-09-28 19:57:00,100.938,100.956,100.929,100.941,-1,-1.0,-1
36,2016-09-28 19:58:00,100.938,100.949,100.934,100.942,-1,-1.0,-1
37,2016-09-28 19:59:00,100.946,100.956,100.938,100.95,-1,-1.0,-1
38,2016-09-28 20:00:00,100.935,100.956,100.908,100.938,-1,-1.0,-1
39,2016-09-28 20:01:00,100.94,100.98,100.909,100.944,-1,-1.0,-1
30,2016-09-28 23:57:00,101.374,101.384,101.369,101.377,-1,-1.0,-1
31,2016-09-28 23:58:00,101.371,101.376,101.368,101.374,-1,-1.0,-1
32,2016-09-28 23:59:00,101.362,101.374,101.356,101.365,-1,-1.0,-1
33,2016-09-29 00:00:00,101.361,101.366,101.358,101.364,-1,-1.0,-1
34,2016-09-29 00:01:00,101.364,101.375,101.358,101.367,-1,-1.0,-1
45,2016-09-29 19:57:00,101.202,101.211,101.19,101.206,-1,-1.0,-1
46,2016-09-29 19:58:00,101.202,101.21,101.2,101.206,-1,-1.0,-1
47,2016-09-29 19:59:00,101.199,101.206,101.197,101.203,-1,-1.0,-1
48,2016-09-29 20:00:00,101.19,101.206,101.154,101.194,-1,-1.0,-1
49,2016-09-29 20:01:00,101.197,101.209,101.18,101.2,-1,-1.0,-1
40,2016-09-29 23:57:00,101.4,101.418,101.387,101.404,-1,-1.0,-1
41,2016-09-29 23:58:00,101.416,101.429,101.403,101.421,-1,-1.0,-1
42,2016-09-29 23:59:00,101.39,101.414,101.383,101.394,-1,-1.0,-1
