,date,avg_bid_non_us_before,avg_ask_non_us_before,avg_bid_non_us_at,avg_ask_non_us_at,avg_bid_us_before,avg_ask_us_before,avg_bid_us_at,avg_ask_us_at
0,2015-12-01,123.21700000000001,123.22,123.21700000000001,123.22,123.096,123.098,123.095,123.09700000000001
1,2015-12-02,122.913,122.915,122.90899999999999,122.912,123.335,123.337,123.338,123.34
2,2015-12-03,123.23899999999999,123.241,123.245,123.24700000000001,123.287,123.289,123.279,123.28200000000001
3,2015-12-04,122.65100000000001,122.655,122.647,122.65100000000001,123.065,123.066,123.074,123.07600000000001
4,2015-12-07,123.2,123.20299999999999,123.2,123.20200000000001,123.43700000000001,123.44,123.42,123.42200000000001
5,2015-12-08,123.302,123.306,123.289,123.292,122.79,122.792,122.787,122.788
6,2015-12-09,122.928,122.932,122.919,122.921,122.059,122.061,122.072,122.074
7,2015-12-10,121.682,121.685,121.711,121.714,121.376,121.37799999999999,121.368,121.37
8,2015-12-11,121.713,121.71600000000001,121.704,121.70700000000001,121.12,121.12299999999999,121.09100000000001,121.09299999999999
9,2015-12-14,120.919,120.92399999999999,120.866,120.87,120.77799999999999,120.78,120.789,120.791
10,2015-12-15,121.10799999999999,121.111,121.09700000000001,121.1,121.272,121.275,121.3,121.302
11,2015-12-16,121.677,121.682,121.675,121.679,121.867,121.869,121.882,121.885
12,2015-12-17,122.485,122.49,122.48200000000001,122.486,122.704,122.706,122.681,122.68299999999999
13,2015-12-18,122.455,122.46,122.484,122.488,121.73100000000001,121.734,121.72399999999999,121.728
14,2015-12-21,121.303,121.307,121.258,121.26299999999999,121.26700000000001,121.26899999999999,121.28200000000001,121.285
15,2015-12-22,121.20700000000001,121.21,121.227,121.23,120.962,120.965,120.95100000000001,120.95299999999999
16,2015-12-23,121.029,121.035,121.03200000000001,121.036,120.89,120.89299999999999,120.88799999999999,120.89200000000001
17,2015-12-24,120.948,120.955,120.95100000000001,120.956,120.375,120.37899999999999,120.37100000000001,120.375
18,2015-12-28,120.243,120.266,120.26,120.265,120.42,120.42399999999999,120.417,120.42
19,2015-12-29,120.34200000000001,120.34700000000001,120.33,120.335,120.477,120.479,120.47200000000001,120.475
20,2015-12-30,120.51899999999999,120.522,120.529,120.53299999999999,120.522,120.524,120.527,120.53
21,2015-12-31,120.46,120.465,120.465,120.46799999999999,120.384,120.38799999999999,120.375,120.37899999999999
22,2016-01-04,120.314,120.324,120.306,120.311,119.229,119.23,119.205,119.20700000000001
23,2016-01-05,119.464,119.46700000000001,119.48,119.484,119.059,119.06200000000001,119.064,119.066
24,2016-01-06,119.12,119.12299999999999,119.10700000000001,119.11,118.602,118.604,118.62200000000001,118.624
25,2016-01-07,118.618,118.62299999999999,118.641,118.645,117.865,117.868,117.851,117.853
26,2016-01-08,117.53200000000001,117.537,117.531,117.53399999999999,118.07700000000001,118.08,118.024,118.027
27,2016-01-11,117.06299999999999,117.069,117.073,117.07700000000001,117.87,117.87299999999999,117.891,117.89399999999999
28,2016-01-12,117.678,117.68299999999999,117.67399999999999,117.678,117.661,117.664,117.666,117.66799999999999
29,2016-01-13,117.838,117.84100000000001,117.823,117.82600000000001,118.17200000000001,118.17299999999999,118.15299999999999,118.155
30,2016-01-14,117.427,117.43,117.45299999999999,117.458,117.74,117.742,117.71700000000001,117.72
31,2016-01-15,118.226,118.23,118.214,118.21700000000001,116.805,116.807,116.82799999999999,116.83
32,2016-01-18,117.022,117.027,117.04299999999999,117.04799999999999,117.33,117.333,117.34100000000001,117.34299999999999
33,2016-01-19,117.395,117.399,117.445,117.449,117.77,117.772,117.774,117.77600000000001
34,2016-01-20,117.568,117.571,117.556,117.56,116.725,116.728,116.729,116.73100000000001
35,2016-01-21,117.177,117.182,117.181,117.184,117.16799999999999,117.171,117.103,117.105
36,2016-01-22,117.925,117.927,117.934,117.936,118.335,118.338,118.321,118.324
37,2016-01-25,118.57600000000001,118.58200000000001,118.586,118.59100000000001,118.441,118.444,118.43299999999999,118.435
38,2016-01-26,118.24700000000001,118.25200000000001,118.241,118.245,118.486,118.488,118.48899999999999,118.491
39,2016-01-27,118.395,118.399,118.402,118.406,118.5,118.50200000000001,118.5,118.50200000000001
40,2016-01-28,118.48100000000001,118.48299999999999,118.488,118.491,118.93,118.932,118.95,118.95200000000001
41,2016-01-29,118.925,118.927,118.926,118.929,121.288,121.289,121.28,121.28200000000001
42,2016-02-01,121.351,121.35700000000001,121.405,121.40899999999999,121.162,121.164,121.166,121.16799999999999
43,2016-02-02,120.853,120.85700000000001,120.89,120.89399999999999,120.564,120.566,120.557,120.559
44,2016-02-03,119.851,119.855,119.89,119.89399999999999,119.28399999999999,119.286,119.26799999999999,119.26899999999999
45,2016-02-04,118.164,118.169,118.17299999999999,118.176,117.066,117.068,117.052,117.054
46,2016-02-05,116.85700000000001,116.86200000000001,116.839,116.844,117.167,117.169,117.16799999999999,117.17
47,2016-02-08,116.947,116.95200000000001,116.92299999999999,116.929,116.236,116.238,116.20200000000001,116.205
48,2016-02-09,115.649,115.654,115.641,115.64399999999999,114.551,114.554,114.565,114.568
49,2016-02-10,115.184,115.19,115.18700000000001,115.191,114.656,114.65899999999999,114.72399999999999,114.727
50,2016-02-11,113.24,113.24700000000001,113.279,113.285,112.25200000000001,112.256,112.255,112.259
51,2016-02-12,112.507,112.51100000000001,112.42,112.425,112.914,112.917,112.86200000000001,112.865
52,2016-02-15,113.68,113.68700000000001,113.611,113.617,114.204,114.20700000000001,114.19,114.194
53,2016-02-16,114.333,114.338,114.39299999999999,114.397,113.822,113.82600000000001,113.855,113.85799999999999
54,2016-02-17,114.131,114.134,114.14399999999999,114.148,114.23100000000001,114.23299999999999,114.236,114.23899999999999
55,2016-02-18,114.288,114.296,114.26799999999999,114.275,113.87299999999999,113.876,113.867,113.869
56,2016-02-19,113.255,113.259,113.279,113.28200000000001,113.037,113.04,113.06700000000001,113.069
57,2016-02-22,112.509,112.51299999999999,112.541,112.545,113.148,113.15,113.141,113.14299999999999
58,2016-02-23,112.973,112.98,112.96799999999999,112.973,112.286,112.289,112.361,112.36399999999999
59,2016-02-24,111.90100000000001,111.905,111.88799999999999,111.89200000000001,111.71600000000001,111.71700000000001,111.729,111.73100000000001
60,2016-02-25,112.08,112.083,112.061,112.065,112.816,112.818,112.837,112.839
61,2016-02-26,113.13799999999999,113.14200000000001,113.14,113.14399999999999,113.573,113.575,113.566,113.568
62,2016-02-29,113.706,113.711,113.74600000000001,113.75,113.15,113.15100000000001,113.103,113.105
63,2016-03-01,112.43299999999999,112.43799999999999,112.462,112.46600000000001,113.15,113.152,113.152,113.154
64,2016-03-02,113.92,113.92399999999999,113.897,113.9,114.089,114.09200000000001,114.101,114.103
65,2016-03-03,113.485,113.48899999999999,113.455,113.459,113.852,113.854,113.839,113.84100000000001
