,date,open,high,low,close,volume,average,barCount
0,2015-04-09,289.125,292.625,288.1,291.45,1876194,290.66590909,17610
1,2015-04-10,290.275,292.375,288.6,289.375,1537341,290.01136364,14731
2,2015-04-13,290.725,290.725,287.275,288.1,1541862,288.79318182,14248
3,2015-04-15,289.4,293.0,284.6,286.375,1628501,290.96136364,16995
4,2015-04-16,286.825,287.175,281.95,284.1,1541769,284.15,18990
5,2015-04-17,285.825,285.825,280.325,281.9,1671555,281.89545455,17493
6,2015-04-20,283.375,288.725,280.325,282.875,1719201,285.39318182,16629
7,2015-04-21,281.825,287.825,281.775,282.6,1485930,284.92954545,14696
8,2015-04-22,284.5,286.375,275.825,284.5,1508263,282.69318182,15690
9,2015-04-23,285.725,287.175,281.625,283.5,1690813,283.79772727,16082
10,2015-04-24,284.1,284.1,279.175,280.225,1746880,280.92954545,14522
11,2015-04-27,282.1,283.875,269.825,274.825,2078842,280.5,17995
12,2015-04-28,283.1,298.6,281.825,297.125,992639,291.58636364,7711
13,2015-04-29,298.225,304.375,296.95,300.125,2103254,301.54090909,19122
14,2015-04-30,300.875,303.275,295.625,301.05,2000979,299.15227273,16752
15,2015-05-04,302.625,306.1,296.6,299.375,1365161,301.35,14776
16,2015-05-05,299.375,300.825,297.375,298.6,1373765,298.96363636,16034
17,2015-05-06,304.05,306.125,282.0,283.775,2083194,289.17045455,19610
18,2015-05-07,284.225,284.45,273.275,276.9,1768105,278.07272727,18673
19,2015-05-08,282.325,289.875,282.325,288.175,1957195,286.49090909,19665
20,2015-05-11,292.0,295.675,290.125,294.1,1302761,293.74090909,16968
21,2015-05-12,294.175,294.175,279.125,280.175,2004637,283.60681818,18888
22,2015-05-13,284.9,290.125,278.625,288.775,2072676,285.03636364,17266
23,2015-05-14,288.625,289.05,283.1,286.325,1801329,285.68863636,14908
24,2015-05-15,286.825,287.675,282.375,283.95,1578168,284.725,15375
25,2015-05-18,285.675,288.1,284.45,287.5,1505297,286.13863636,16646
26,2015-05-19,285.125,289.9,283.625,286.675,1535441,286.90227273,15181
27,2015-05-20,288.1,291.825,287.875,289.775,1295474,290.40454545,13425
28,2015-05-21,291.375,291.625,284.375,285.05,1445907,286.73409091,13724
29,2015-05-22,286.375,289.175,283.5,285.1,1580020,286.97272727,16499
30,2015-05-25,282.9,285.55,282.775,283.775,1199501,283.98636364,11435
31,2015-05-26,283.95,284.55,280.6,281.55,1063501,281.85681818,16204
32,2015-05-27,282.275,286.05,279.55,284.675,2064653,283.23409091,12530
