,date,open,high,low,close,volume,average,barCount
0,2015-04-09,562.15,564.85,552.25,559.9,653973,557.7075,10707
1,2015-04-10,558.5,569.4,555.55,562.65,584425,561.615,10466
2,2015-04-13,563.0,563.35,552.5,556.25,487072,555.9675,13093
3,2015-04-15,551.2,551.2,538.35,540.45,566000,544.15,13657
4,2015-04-16,543.45,551.25,534.4,541.25,714320,543.055,14424
5,2015-04-17,541.1,544.8,534.15,535.35,504078,539.7675,11039
6,2015-04-20,540.7,540.7,521.3,533.2,835592,529.6875,13889
7,2015-04-21,531.0,538.0,523.5,527.4,556958,531.7625,13162
8,2015-04-22,529.1,529.4,510.7,523.5,582008,521.0925,13334
9,2015-04-23,527.0,527.75,508.45,512.0,805882,517.27,12279
10,2015-04-24,515.25,520.0,508.65,516.2,788253,515.5125,11544
11,2015-04-27,521.2,522.95,513.8,516.85,549560,519.1875,12886
12,2015-04-28,520.2,533.75,518.35,529.85,892807,526.875,16480
13,2015-04-29,526.7,527.65,516.8,520.9,583884,520.9125,11125
14,2015-04-30,520.0,520.4,506.75,508.25,1341002,513.36,15350
15,2015-05-04,513.0,515.95,497.6,506.45,852658,503.8775,15569
16,2015-05-05,509.65,515.55,506.15,510.45,764880,511.3725,11243
17,2015-05-06,508.1,508.45,495.8,497.85,890769,500.84,13417
18,2015-05-07,493.5,502.9,482.7,488.1,1078631,494.5925,14441
19,2015-05-08,498.95,515.9,497.45,513.7,1009606,510.1075,16526
20,2015-05-11,522.2,530.95,517.0,529.7,911911,525.0875,14876
21,2015-05-12,525.5,525.5,511.2,513.55,863386,515.57,14044
22,2015-05-13,518.0,525.5,506.55,520.45,702261,516.7275,12135
23,2015-05-14,517.0,518.8,510.35,516.6,596625,514.0075,10918
24,2015-05-15,519.75,524.4,517.05,519.9,756768,520.4675,12124
25,2015-05-18,519.0,524.35,510.4,520.7,881116,515.605,11873
26,2015-05-19,516.9,518.75,508.75,509.8,855637,513.88,13389
27,2015-05-20,510.5,513.6,503.8,505.25,927215,507.6625,14359
28,2015-05-21,506.5,512.5,505.2,511.2,694714,510.4825,12157
29,2015-05-22,512.0,516.95,510.2,514.65,790653,514.6,11980
30,2015-05-25,514.0,514.0,503.3,505.3,655225,508.485,8398
31,2015-05-26,505.65,506.0,493.6,497.6,1124250,497.6325,16090
32,2015-05-27,471.0,474.65,463.9,471.75,1435921,470.935,18830
33,2015-05-28,473.5,487.4,473.5,484.35,1334747,481.885,16368
34,2015-05-29,485.15,490.2,479.45,481.65,1088255,484.3125,13059
35,2015-06-01,481.5,481.8,471.0,472.05,894893,474.4775,15601
36,2015-06-02,473.7,478.4,465.0,466.95,1157884,469.8675,14229
37,2015-06-03,468.0,468.2,435.5,456.85,1156254,450.93,16704
38,2015-06-04,456.85,456.9,445.45,451.2,1242537,448.8475,17677
39,2015-06-05,446.5,449.0,439.5,442.1,1506467,443.42,16109
40,2015-06-08,435.9,436.9,429.05,435.6,1061186,433.015,13064
41,2015-06-09,432.65,443.8,432.3,440.05,1183537,438.9825,14254
42,2015-06-10,439.75,449.35,436.05,446.6,1164893,445.8775,20610
43,2015-06-11,446.5,446.5,428.5,430.2,1611486,434.6725,17285
44,2015-06-12,428.0,428.95,417.25,421.8,1586956,422.0025,16262
45,2015-06-15,426.95,427.9,418.3,426.35,1210972,423.74,14427
46,2015-06-16,427.25,435.6,421.45,432.8,1029866,425.785,11714
47,2015-06-17,435.7,437.2,426.5,433.7,1331197,432.08,14236
48,2015-06-18,434.0,447.3,431.5,445.45,1044053,442.6275,17298
49,2015-06-19,443.95,444.25,431.7,433.05,899448,436.63,14204
50,2015-06-22,436.0,444.0,435.25,440.5,878798,441.12,13429
51,2015-06-23,441.65,447.35,435.0,436.0,921422,439.7075,14529
52,2015-06-24,437.8,438.6,428.15,430.6,848715,434.14,12890
53,2015-06-25,433.45,436.1,429.75,432.4,1089142,433.1475,12597
54,2015-06-26,435.5,438.7,431.8,437.6,802737,435.1675,11300
55,2015-06-29,428.0,432.35,418.6,428.25,1066577,425.9375,13245
56,2015-06-30,428.0,436.25,422.8,434.15,1095512,427.4275,16506
57,2015-07-01,435.6,447.4,431.45,444.5,986981,440.1825,12706
58,2015-07-02,443.7,444.75,435.0,436.4,677890,439.82,11349
59,2015-07-03,435.55,435.8,430.5,433.15,778809,433.0975,11594
60,2015-07-06,427.05,433.5,420.7,431.1,862265,427.0,11427
61,2015-07-07,433.45,435.7,428.0,431.55,936373,431.34,12230
62,2015-07-08,422.3,422.3,400.0,404.95,1256063,408.425,19798
63,2015-07-09,399.9,403.3,394.25,397.8,1145437,397.5575,15498
64,2015-07-10,400.8,405.8,398.05,401.9,1278499,401.595,15230
65,2015-07-13,405.5,405.95,397.1,402.1,1066927,402.215,14142
66,2015-07-14,403.45,403.45,380.95,385.95,1051265,392.4425,18374
67,2015-07-15,387.0,395.0,382.6,394.3,1611058,390.585,16982
68,2015-07-16,394.7,398.6,392.5,395.25,807318,395.125,15412
69,2015-07-17,395.85,403.25,390.4,398.05,939902,395.835,17021
70,2015-07-20,398.9,401.7,389.5,390.75,935780,393.455,17250
71,2015-07-21,391.8,393.3,386.15,389.1,1111255,389.895,12306
