,date,open,high,low,close,volume,average,barCount
0,2015-04-09,9.865,10.11,9.865,10.095,8650,10.00450011,4102
1,2015-04-10,10.05,10.075,9.87,9.885,3953,9.93737343,1557
2,2015-04-13,9.88,9.97,9.765,9.775,5182,9.83912098,2105
3,2015-04-14,9.84,9.925,9.76,9.825,7233,9.80987025,3457
4,2015-04-15,9.75,9.885,9.72,9.805,4881,9.80349509,1956
5,2015-04-16,9.745,9.795,9.555,9.76,8959,9.7318683,3323
6,2015-04-17,9.615,9.7,9.535,9.63,7414,9.60249006,3021
7,2015-04-20,9.42,9.58,9.37,9.465,10407,9.46223656,4137
8,2015-04-21,9.355,9.36,9.045,9.06,18475,9.17497937,7006
9,2015-04-22,8.905,8.95,8.67,8.77,25842,8.77821946,9000
10,2015-04-23,8.715,8.895,8.67,8.845,12049,8.82434561,5051
11,2015-04-24,8.815,8.85,8.575,8.61,14508,8.68521713,4596
12,2015-04-27,8.74,8.935,8.74,8.805,11337,8.82734568,4233
13,2015-04-28,8.82,8.83,8.635,8.71,14330,8.71146779,4831
14,2015-04-29,8.845,8.845,8.695,8.745,7846,8.75346884,3229
15,2015-04-30,8.755,8.77,8.56,8.605,8102,8.62971574,2921
16,2015-05-01,8.685,8.77,8.61,8.695,3293,8.67246681,1363
17,2015-05-04,8.8,8.85,8.745,8.775,4902,8.80034501,2173
18,2015-05-05,8.73,8.82,8.725,8.77,4943,8.7680942,2107
19,2015-05-06,8.76,8.77,8.545,8.605,6225,8.61359034,2342
20,2015-05-07,8.62,8.665,8.53,8.655,4695,8.61959049,2042
21,2015-05-08,8.755,8.95,8.7,8.785,5705,8.79284482,2769
22,2015-05-11,8.785,8.83,8.61,8.625,3779,8.66721668,1627
23,2015-05-12,8.545,8.68,8.545,8.625,6594,8.61471537,2308
24,2015-05-13,8.685,8.77,8.61,8.715,5065,8.67959199,2214
25,2015-05-14,8.745,8.745,8.61,8.64,4933,8.65071627,2210
26,2015-05-15,8.625,8.745,8.595,8.625,8969,8.6600915,3370
27,2015-05-18,8.67,8.815,8.65,8.775,5955,8.76434411,2443
28,2015-05-19,8.83,8.845,8.745,8.82,3591,8.80747019,1767
29,2015-05-20,8.89,8.985,8.85,8.95,7811,8.92972324,3441
30,2015-05-21,8.97,8.97,8.7,8.77,7782,8.75909398,3297
31,2015-05-22,8.775,8.8,8.715,8.74,4099,8.74859371,2172
