(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 2.0, -0.3, 3.3), Return: 0.56%, Hit Ratio: 85.71%, Max Drawdown: 0.37%
(60, 2.0, -0.3, 3.3): Return: 0.56%, Hit Ratio: 85.71%, Max Drawdown: 0.37%
(60, 2.0, -0.3, 3.4): Return: 0.56%, Hit Ratio: 85.71%, Max Drawdown: 0.37%
(60, 2.0, -0.3, 3.5): Return: 0.56%, Hit Ratio: 85.71%, Max Drawdown: 0.37%
(60, 2.0, -0.3, 3.6): Return: 0.56%, Hit Ratio: 85.71%, Max Drawdown: 0.37%
(60, 2.0, -0.3, 3.7): Return: 0.56%, Hit Ratio: 85.71%, Max Drawdown: 0.37%
(65, 2.1, -0.3, 3.3): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(65, 2.1, -0.3, 3.4): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(65, 2.1, -0.3, 3.5): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(65, 2.1, -0.3, 3.6): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(65, 2.1, -0.3, 3.7): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(60, 2.0, -0.4, 3.3): Return: 0.54%, Hit Ratio: 85.71%, Max Drawdown: 0.4%
(60, 2.0, -0.4, 3.4): Return: 0.54%, Hit Ratio: 85.71%, Max Drawdown: 0.4%
(60, 2.0, -0.4, 3.5): Return: 0.54%, Hit Ratio: 85.71%, Max Drawdown: 0.4%
(60, 2.0, -0.4, 3.6): Return: 0.54%, Hit Ratio: 85.71%, Max Drawdown: 0.4%
(60, 2.0, -0.4, 3.7): Return: 0.54%, Hit Ratio: 85.71%, Max Drawdown: 0.4%
(65, 2.1, -0.3, 3.3): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(65, 2.1, -0.3, 3.4): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(65, 2.1, -0.3, 3.5): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(65, 2.1, -0.3, 3.6): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(65, 2.1, -0.3, 3.7): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(70, 2.1, -0.3, 3.3): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(70, 2.1, -0.3, 3.4): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(70, 2.1, -0.3, 3.5): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(70, 2.1, -0.3, 3.6): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(70, 2.1, -0.3, 3.7): Return: 0.54%, Hit Ratio: 83.33%, Max Drawdown: 0.4%
(60, 2.1, -0.3, 3.3): Return: 0.53%, Hit Ratio: 80.0%, Max Drawdown: 0.41%
(60, 2.1, -0.3, 3.4): Return: 0.53%, Hit Ratio: 80.0%, Max Drawdown: 0.41%
(60, 2.1, -0.3, 3.5): Return: 0.53%, Hit Ratio: 80.0%, Max Drawdown: 0.41%
