(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 2.0, -0.5, 2.7), Return: 0.46%, Hit Ratio: 75.0%, Max Drawdown: 0.29%
(30, 2.0, -0.5, 2.7): Return: 0.46%, Hit Ratio: 75.0%, Max Drawdown: 0.29%
(35, 2.1, -0.7, 2.4): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.7, 2.5): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.7, 2.6): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.6, 2.4): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.6, 2.5): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.6, 2.6): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.7, 2.4): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.7, 2.5): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.7, 2.6): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.6, 2.4): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.6, 2.5): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.6, 2.6): Return: 0.45%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.1, -0.6, 2.7): Return: 0.42%, Hit Ratio: 83.33%, Max Drawdown: 0.29%
(35, 2.1, -0.6, 2.7): Return: 0.42%, Hit Ratio: 83.33%, Max Drawdown: 0.29%
(35, 2.1, -0.3, 2.7): Return: 0.41%, Hit Ratio: 83.33%, Max Drawdown: 0.17%
(35, 2.1, -0.3, 2.7): Return: 0.41%, Hit Ratio: 83.33%, Max Drawdown: 0.17%
(30, 2.0, -0.5, 2.5): Return: 0.4%, Hit Ratio: 83.33%, Max Drawdown: 0.29%
(30, 2.0, -0.5, 2.6): Return: 0.4%, Hit Ratio: 71.43%, Max Drawdown: 0.29%
(20, 2.0, -0.7, 2.4): Return: 0.37%, Hit Ratio: 63.64%, Max Drawdown: 0.29%
(20, 2.0, -0.7, 2.5): Return: 0.37%, Hit Ratio: 63.64%, Max Drawdown: 0.29%
(35, 2.1, -0.7, 2.7): Return: 0.37%, Hit Ratio: 83.33%, Max Drawdown: 0.35%
(35, 2.1, -0.5, 2.4): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.5, 2.5): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.5, 2.6): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.4, 2.4): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.4, 2.5): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.4, 2.6): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.3, 2.4): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.3, 2.5): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.3, 2.6): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.7, 2.7): Return: 0.37%, Hit Ratio: 83.33%, Max Drawdown: 0.35%
(35, 2.1, -0.5, 2.4): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.5, 2.5): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.5, 2.6): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.4, 2.4): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.4, 2.5): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.4, 2.6): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.3, 2.4): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.3, 2.5): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.3, 2.6): Return: 0.37%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(40, 2.1, -0.7, 2.5): Return: 0.34%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(40, 2.1, -0.6, 2.5): Return: 0.34%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(40, 2.2, -0.7, 2.5): Return: 0.34%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(40, 2.2, -0.6, 2.5): Return: 0.34%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(30, 2.1, -0.5, 2.7): Return: 0.33%, Hit Ratio: 66.67%, Max Drawdown: 0.29%
(35, 2.0, -0.3, 2.7): Return: 0.32%, Hit Ratio: 55.56%, Max Drawdown: 0.17%
(35, 2.0, -0.3, 2.7): Return: 0.32%, Hit Ratio: 55.56%, Max Drawdown: 0.17%
(20, 2.0, -0.4, 2.4): Return: 0.31%, Hit Ratio: 63.64%, Max Drawdown: 0.17%
(20, 2.0, -0.4, 2.5): Return: 0.31%, Hit Ratio: 63.64%, Max Drawdown: 0.17%
(20, 2.0, -0.3, 2.4): Return: 0.31%, Hit Ratio: 63.64%, Max Drawdown: 0.17%
(20, 2.0, -0.3, 2.5): Return: 0.31%, Hit Ratio: 63.64%, Max Drawdown: 0.17%
(30, 2.2, -0.5, 2.7): Return: 0.31%, Hit Ratio: 60.0%, Max Drawdown: 0.29%
(35, 2.1, -0.5, 2.7): Return: 0.3%, Hit Ratio: 83.33%, Max Drawdown: 0.3%
(35, 2.1, -0.4, 2.7): Return: 0.3%, Hit Ratio: 83.33%, Max Drawdown: 0.3%
(35, 2.1, -0.5, 2.7): Return: 0.3%, Hit Ratio: 83.33%, Max Drawdown: 0.3%
(35, 2.1, -0.4, 2.7): Return: 0.3%, Hit Ratio: 83.33%, Max Drawdown: 0.3%
(30, 2.0, -0.6, 2.5): Return: 0.29%, Hit Ratio: 83.33%, Max Drawdown: 0.35%
(35, 2.0, -0.3, 2.4): Return: 0.28%, Hit Ratio: 57.14%, Max Drawdown: 0.17%
(35, 2.0, -0.3, 2.5): Return: 0.28%, Hit Ratio: 57.14%, Max Drawdown: 0.17%
(35, 2.0, -0.3, 2.6): Return: 0.28%, Hit Ratio: 57.14%, Max Drawdown: 0.17%
(35, 2.0, -0.3, 2.4): Return: 0.28%, Hit Ratio: 57.14%, Max Drawdown: 0.17%
(35, 2.0, -0.3, 2.5): Return: 0.28%, Hit Ratio: 57.14%, Max Drawdown: 0.17%
(35, 2.0, -0.3, 2.6): Return: 0.28%, Hit Ratio: 57.14%, Max Drawdown: 0.17%
(20, 2.1, -0.7, 2.4): Return: 0.27%, Hit Ratio: 80.0%, Max Drawdown: 0.29%
(20, 2.1, -0.7, 2.5): Return: 0.27%, Hit Ratio: 80.0%, Max Drawdown: 0.29%
(30, 2.0, -0.4, 2.7): Return: 0.27%, Hit Ratio: 75.0%, Max Drawdown: 0.3%
(30, 2.0, -0.3, 2.7): Return: 0.27%, Hit Ratio: 75.0%, Max Drawdown: 0.3%
(30, 2.1, -0.5, 2.5): Return: 0.27%, Hit Ratio: 75.0%, Max Drawdown: 0.29%
(30, 2.1, -0.5, 2.6): Return: 0.26%, Hit Ratio: 60.0%, Max Drawdown: 0.29%
(40, 2.1, -0.5, 2.5): Return: 0.26%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(40, 2.1, -0.4, 2.5): Return: 0.26%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(40, 2.1, -0.3, 2.5): Return: 0.26%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(40, 2.2, -0.5, 2.5): Return: 0.26%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(40, 2.2, -0.4, 2.5): Return: 0.26%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(40, 2.2, -0.3, 2.5): Return: 0.26%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.7, 2.4): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.7, 2.5): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.7, 2.6): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.6, 2.4): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.6, 2.5): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.6, 2.6): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(30, 2.0, -0.4, 2.5): Return: 0.25%, Hit Ratio: 83.33%, Max Drawdown: 0.3%
(30, 2.0, -0.3, 2.5): Return: 0.25%, Hit Ratio: 83.33%, Max Drawdown: 0.3%
(30, 2.2, -0.5, 2.5): Return: 0.25%, Hit Ratio: 66.67%, Max Drawdown: 0.29%
(30, 2.2, -0.5, 2.6): Return: 0.25%, Hit Ratio: 50.0%, Max Drawdown: 0.29%
(35, 2.2, -0.7, 2.4): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.7, 2.5): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.7, 2.6): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.6, 2.4): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.6, 2.5): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(35, 2.2, -0.6, 2.6): Return: 0.25%, Hit Ratio: 100.0%, Max Drawdown: 0.21%
(30, 1.9, -0.3, 2.5): Return: 0.24%, Hit Ratio: 60.0%, Max Drawdown: 0.3%
(40, 2.0, -0.3, 2.5): Return: 0.24%, Hit Ratio: 50.0%, Max Drawdown: 0.21%
(35, 2.2, -0.6, 2.7): Return: 0.23%, Hit Ratio: 66.67%, Max Drawdown: 0.29%
(30, 2.0, -0.7, 2.5): Return: 0.23%, Hit Ratio: 83.33%, Max Drawdown: 0.35%
(35, 2.2, -0.6, 2.7): Return: 0.23%, Hit Ratio: 66.67%, Max Drawdown: 0.29%
(20, 2.0, -0.5, 2.4): Return: 0.22%, Hit Ratio: 72.73%, Max Drawdown: 0.3%
(20, 2.0, -0.5, 2.5): Return: 0.22%, Hit Ratio: 72.73%, Max Drawdown: 0.3%
(30, 1.9, -0.5, 2.5): Return: 0.22%, Hit Ratio: 60.0%, Max Drawdown: 0.29%
(30, 2.0, -0.6, 2.7): Return: 0.22%, Hit Ratio: 75.0%, Max Drawdown: 0.35%
(20, 1.9, -0.4, 2.4): Return: 0.21%, Hit Ratio: 57.14%, Max Drawdown: 0.27%
(20, 1.9, -0.4, 2.5): Return: 0.21%, Hit Ratio: 57.14%, Max Drawdown: 0.27%
(20, 1.9, -0.3, 2.4): Return: 0.21%, Hit Ratio: 57.14%, Max Drawdown: 0.27%
(20, 1.9, -0.3, 2.5): Return: 0.21%, Hit Ratio: 57.14%, Max Drawdown: 0.27%
(20, 2.1, -0.4, 2.4): Return: 0.21%, Hit Ratio: 60.0%, Max Drawdown: 0.17%
(20, 2.1, -0.4, 2.5): Return: 0.21%, Hit Ratio: 60.0%, Max Drawdown: 0.17%
(20, 2.1, -0.3, 2.4): Return: 0.21%, Hit Ratio: 60.0%, Max Drawdown: 0.17%
(20, 2.1, -0.3, 2.5): Return: 0.21%, Hit Ratio: 60.0%, Max Drawdown: 0.17%
(20, 2.2, -0.7, 2.4): Return: 0.21%, Hit Ratio: 66.67%, Max Drawdown: 0.29%
(20, 2.2, -0.7, 2.5): Return: 0.21%, Hit Ratio: 66.67%, Max Drawdown: 0.29%
(35, 2.2, -0.3, 2.7): Return: 0.21%, Hit Ratio: 66.67%, Max Drawdown: 0.17%
(30, 1.9, -0.5, 2.6): Return: 0.21%, Hit Ratio: 56.25%, Max Drawdown: 0.29%
(30, 2.0, -0.7, 2.4): Return: 0.21%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(30, 2.0, -0.6, 2.4): Return: 0.21%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(30, 2.0, -0.5, 2.4): Return: 0.21%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(30, 2.0, -0.4, 2.4): Return: 0.21%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(30, 2.0, -0.3, 2.4): Return: 0.21%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.2, -0.3, 2.7): Return: 0.21%, Hit Ratio: 66.67%, Max Drawdown: 0.17%
(35, 2.1, -0.7, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.6, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.5, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.4, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.3, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(30, 1.9, -0.3, 2.4): Return: 0.2%, Hit Ratio: 61.54%, Max Drawdown: 0.29%
(30, 2.0, -0.4, 2.6): Return: 0.2%, Hit Ratio: 71.43%, Max Drawdown: 0.3%
(30, 2.0, -0.3, 2.6): Return: 0.2%, Hit Ratio: 71.43%, Max Drawdown: 0.3%
(35, 2.1, -0.7, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.6, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.5, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.4, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(35, 2.1, -0.3, 2.3): Return: 0.2%, Hit Ratio: 100.0%, Max Drawdown: 0.13%
(30, 1.9, -0.3, 2.6): Return: 0.19%, Hit Ratio: 56.25%, Max Drawdown: 0.3%
(35, 2.2, -0.7, 2.7): Return: 0.17%, Hit Ratio: 66.67%, Max Drawdown: 0.35%
(35, 2.2, -0.5, 2.4): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.5, 2.5): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.5, 2.6): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.4, 2.4): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.4, 2.5): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.4, 2.6): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.3, 2.4): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.3, 2.5): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.3, 2.6): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(30, 1.9, -0.6, 2.5): Return: 0.17%, Hit Ratio: 60.0%, Max Drawdown: 0.35%
(30, 1.9, -0.5, 2.7): Return: 0.17%, Hit Ratio: 60.0%, Max Drawdown: 0.29%
(30, 1.9, -0.3, 2.7): Return: 0.17%, Hit Ratio: 56.25%, Max Drawdown: 0.3%
(30, 2.0, -0.7, 2.7): Return: 0.17%, Hit Ratio: 75.0%, Max Drawdown: 0.35%
(35, 2.2, -0.7, 2.7): Return: 0.17%, Hit Ratio: 66.67%, Max Drawdown: 0.35%
(35, 2.2, -0.5, 2.4): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.5, 2.5): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.5, 2.6): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
(35, 2.2, -0.4, 2.4): Return: 0.17%, Hit Ratio: 100.0%, Max Drawdown: 0.12%
