,date,open,high,low,close,volume,average,barCount
0,2015-03-10 20:00:00,3980.0,3995.5,3979.5,3985.5,478100,3982.34,161
1,2015-03-10 20:01:00,3982.0,3985.0,3971.0,3985.0,47500,3977.52,103
2,2015-03-10 20:02:00,3986.0,3993.0,3983.0,3990.0,17900,3988.24,51
3,2015-03-10 20:03:00,3990.0,3994.0,3989.0,3989.0,17300,3992.01,46
4,2015-03-10 20:04:00,3988.5,3994.0,3988.5,3994.0,34100,3992.49,49
5,2015-03-10 20:05:00,3994.5,3997.0,3992.5,3992.5,38100,3995.56,60
6,2015-03-10 20:06:00,3992.5,3992.5,3982.5,3983.0,18600,3987.56,50
7,2015-03-10 20:07:00,3983.5,3984.5,3977.5,3979.5,29100,3980.85,62
8,2015-03-10 20:08:00,3980.5,3983.0,3978.0,3978.5,22200,3980.35,46
9,2015-03-10 20:09:00,3979.5,3983.0,3979.5,3982.0,18100,3981.13,44
10,2015-03-10 20:10:00,3982.0,3983.0,3980.5,3981.0,6900,3981.36,18
11,2015-03-10 20:11:00,3981.0,3981.5,3980.0,3980.5,15400,3980.71,46
12,2015-03-10 20:12:00,3981.0,3982.0,3980.0,3981.5,22700,3981.46,35
13,2015-03-10 20:13:00,3982.0,3987.0,3981.5,3985.0,40000,3984.18,66
14,2015-03-10 20:14:00,3983.5,3986.5,3982.0,3986.5,18500,3984.53,33
15,2015-03-10 20:15:00,3986.5,3988.0,3984.5,3985.0,11400,3986.46,30
16,2015-03-10 20:16:00,3986.5,3989.0,3986.0,3989.0,12600,3987.23,23
17,2015-03-10 20:17:00,3989.0,3989.5,3986.5,3988.5,33600,3987.99,40
18,2015-03-10 20:18:00,3989.5,3992.0,3987.5,3992.0,14200,3989.83,27
19,2015-03-10 20:19:00,3992.0,3995.0,3992.0,3992.5,22800,3993.25,45
20,2015-03-10 20:20:00,3991.5,3992.0,3990.0,3990.0,8600,3990.66,19
21,2015-03-10 20:21:00,3989.5,3990.5,3989.0,3989.5,2500,3989.74,9
