(Lookback, Entry, Exit, Stop-loss)
Best HPs: (65, 2.1, 0.5, 2.9), Return: 0.49%, Hit Ratio: 85.71%, Max Drawdown: 0.1%
(65, 2.1, 0.5, 2.9): Return: 0.49%, Hit Ratio: 85.71%, Max Drawdown: 0.1%
(65, 2.1, 0.5, 2.9): Return: 0.49%, Hit Ratio: 85.71%, Max Drawdown: 0.1%
(60, 2.0, 0.5, 3.0): Return: 0.46%, Hit Ratio: 57.14%, Max Drawdown: 0.23%
(65, 2.1, 0.3, 2.9): Return: 0.45%, Hit Ratio: 71.43%, Max Drawdown: 0.13%
(65, 2.1, 0.4, 2.9): Return: 0.45%, Hit Ratio: 71.43%, Max Drawdown: 0.13%
(65, 2.1, 0.3, 2.9): Return: 0.45%, Hit Ratio: 71.43%, Max Drawdown: 0.13%
(65, 2.1, 0.4, 2.9): Return: 0.45%, Hit Ratio: 71.43%, Max Drawdown: 0.13%
(50, 2.1, 0.3, 3.0): Return: 0.43%, Hit Ratio: 62.5%, Max Drawdown: 0.18%
(50, 2.1, 0.3, 3.1): Return: 0.43%, Hit Ratio: 62.5%, Max Drawdown: 0.18%
(50, 2.1, 0.4, 3.0): Return: 0.43%, Hit Ratio: 62.5%, Max Drawdown: 0.18%
(50, 2.1, 0.4, 3.1): Return: 0.43%, Hit Ratio: 62.5%, Max Drawdown: 0.18%
(50, 2.1, 0.5, 3.0): Return: 0.43%, Hit Ratio: 62.5%, Max Drawdown: 0.18%
(50, 2.1, 0.5, 3.1): Return: 0.43%, Hit Ratio: 62.5%, Max Drawdown: 0.18%
(60, 2.0, 0.4, 3.0): Return: 0.41%, Hit Ratio: 50.0%, Max Drawdown: 0.28%
(50, 2.1, 0.3, 2.8): Return: 0.4%, Hit Ratio: 66.67%, Max Drawdown: 0.17%
(50, 2.1, 0.4, 2.8): Return: 0.4%, Hit Ratio: 66.67%, Max Drawdown: 0.17%
(50, 2.1, 0.5, 2.8): Return: 0.4%, Hit Ratio: 66.67%, Max Drawdown: 0.17%
(50, 2.1, 0.6, 2.8): Return: 0.4%, Hit Ratio: 66.67%, Max Drawdown: 0.17%
(50, 2.1, 0.7, 2.8): Return: 0.4%, Hit Ratio: 66.67%, Max Drawdown: 0.17%
(60, 2.0, 0.5, 3.1): Return: 0.39%, Hit Ratio: 53.33%, Max Drawdown: 0.3%
(60, 2.0, 0.5, 3.2): Return: 0.39%, Hit Ratio: 53.33%, Max Drawdown: 0.3%
(50, 2.1, 0.3, 3.2): Return: 0.36%, Hit Ratio: 55.56%, Max Drawdown: 0.25%
(50, 2.1, 0.4, 3.2): Return: 0.36%, Hit Ratio: 55.56%, Max Drawdown: 0.25%
(50, 2.1, 0.5, 3.2): Return: 0.36%, Hit Ratio: 55.56%, Max Drawdown: 0.25%
(65, 2.1, 0.6, 2.9): Return: 0.35%, Hit Ratio: 85.71%, Max Drawdown: 0.1%
(65, 2.1, 0.6, 2.9): Return: 0.35%, Hit Ratio: 85.71%, Max Drawdown: 0.1%
(65, 2.1, 0.5, 3.0): Return: 0.34%, Hit Ratio: 66.67%, Max Drawdown: 0.18%
(65, 2.1, 0.5, 3.1): Return: 0.34%, Hit Ratio: 66.67%, Max Drawdown: 0.18%
(60, 2.0, 0.4, 3.1): Return: 0.34%, Hit Ratio: 46.67%, Max Drawdown: 0.35%
(60, 2.0, 0.4, 3.2): Return: 0.34%, Hit Ratio: 46.67%, Max Drawdown: 0.35%
(65, 2.1, 0.5, 3.0): Return: 0.34%, Hit Ratio: 66.67%, Max Drawdown: 0.18%
(65, 2.1, 0.5, 3.1): Return: 0.34%, Hit Ratio: 66.67%, Max Drawdown: 0.18%
(65, 2.1, 0.7, 2.9): Return: 0.33%, Hit Ratio: 85.71%, Max Drawdown: 0.1%
(65, 2.1, 0.7, 2.9): Return: 0.33%, Hit Ratio: 85.71%, Max Drawdown: 0.1%
(60, 2.0, 0.6, 3.0): Return: 0.32%, Hit Ratio: 57.14%, Max Drawdown: 0.23%
(65, 2.2, 0.5, 2.9): Return: 0.31%, Hit Ratio: 80.0%, Max Drawdown: 0.1%
(65, 2.2, 0.5, 2.9): Return: 0.31%, Hit Ratio: 80.0%, Max Drawdown: 0.1%
(50, 2.2, 0.3, 3.0): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.18%
(50, 2.2, 0.3, 3.1): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.18%
(50, 2.2, 0.4, 3.0): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.18%
(50, 2.2, 0.4, 3.1): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.18%
(50, 2.2, 0.5, 3.0): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.18%
(50, 2.2, 0.5, 3.1): Return: 0.3%, Hit Ratio: 50.0%, Max Drawdown: 0.18%
(65, 2.1, 0.4, 3.0): Return: 0.3%, Hit Ratio: 55.56%, Max Drawdown: 0.22%
(65, 2.1, 0.4, 3.1): Return: 0.3%, Hit Ratio: 55.56%, Max Drawdown: 0.22%
(65, 2.1, 0.4, 3.0): Return: 0.3%, Hit Ratio: 55.56%, Max Drawdown: 0.22%
(65, 2.1, 0.4, 3.1): Return: 0.3%, Hit Ratio: 55.56%, Max Drawdown: 0.22%
(50, 2.1, 0.6, 3.0): Return: 0.29%, Hit Ratio: 62.5%, Max Drawdown: 0.18%
(50, 2.1, 0.6, 3.1): Return: 0.29%, Hit Ratio: 62.5%, Max Drawdown: 0.18%
