(Lookback, Entry, Exit, Stop-loss)
Best HPs: (60, 2.0, -0.2, 2.7), Return: 1.26%, Hit Ratio: 54.17%, Max Drawdown: 1.05%
(60, 2.0, -0.2, 2.7): Return: 1.26%, Hit Ratio: 54.17%, Max Drawdown: 1.05%
(50, 1.9, 0.2, 2.3): Return: 1.2%, Hit Ratio: 48.15%, Max Drawdown: 0.65%
(50, 1.9, 0.0, 2.3): Return: 1.14%, Hit Ratio: 51.85%, Max Drawdown: 0.63%
(60, 2.0, -0.1, 2.7): Return: 1.07%, Hit Ratio: 54.17%, Max Drawdown: 1.06%
(60, 1.9, -0.2, 2.7): Return: 1.05%, Hit Ratio: 50.0%, Max Drawdown: 1.39%
(50, 2.1, 0.2, 2.3): Return: 1.04%, Hit Ratio: 62.5%, Max Drawdown: 0.45%
(50, 2.0, 0.2, 2.3): Return: 1.02%, Hit Ratio: 55.0%, Max Drawdown: 0.45%
(50, 1.9, 0.1, 2.3): Return: 0.93%, Hit Ratio: 48.15%, Max Drawdown: 0.65%
(60, 2.0, 0.2, 2.6): Return: 0.91%, Hit Ratio: 55.0%, Max Drawdown: 1.06%
(50, 1.9, -0.1, 2.3): Return: 0.89%, Hit Ratio: 48.15%, Max Drawdown: 0.74%
(60, 2.0, 0.2, 2.7): Return: 0.84%, Hit Ratio: 54.17%, Max Drawdown: 1.3%
(60, 2.0, -0.2, 2.6): Return: 0.83%, Hit Ratio: 50.0%, Max Drawdown: 1.06%
(60, 2.0, 0.1, 2.6): Return: 0.82%, Hit Ratio: 55.0%, Max Drawdown: 1.06%
(70, 2.1, 0.2, 2.6): Return: 0.8%, Hit Ratio: 56.25%, Max Drawdown: 0.72%
(50, 1.9, -0.2, 2.3): Return: 0.79%, Hit Ratio: 44.44%, Max Drawdown: 0.74%
(60, 2.0, 0.2, 2.5): Return: 0.78%, Hit Ratio: 55.0%, Max Drawdown: 1.06%
(50, 2.1, 0.0, 2.3): Return: 0.76%, Hit Ratio: 62.5%, Max Drawdown: 0.63%
(50, 2.1, 0.1, 2.3): Return: 0.76%, Hit Ratio: 62.5%, Max Drawdown: 0.63%
(50, 2.0, 0.0, 2.3): Return: 0.75%, Hit Ratio: 55.0%, Max Drawdown: 0.63%
(50, 2.0, 0.1, 2.3): Return: 0.75%, Hit Ratio: 55.0%, Max Drawdown: 0.63%
(60, 2.0, 0.1, 2.7): Return: 0.75%, Hit Ratio: 54.17%, Max Drawdown: 1.3%
(60, 2.0, 0.1, 2.3): Return: 0.74%, Hit Ratio: 57.14%, Max Drawdown: 0.69%
(60, 2.0, 0.2, 2.3): Return: 0.74%, Hit Ratio: 57.14%, Max Drawdown: 0.69%
(65, 1.9, 0.1, 2.6): Return: 0.73%, Hit Ratio: 53.12%, Max Drawdown: 1.44%
(65, 1.9, 0.1, 2.6): Return: 0.73%, Hit Ratio: 53.12%, Max Drawdown: 1.44%
(70, 2.1, 0.2, 2.7): Return: 0.72%, Hit Ratio: 57.89%, Max Drawdown: 0.88%
(60, 2.0, -0.2, 2.3): Return: 0.71%, Hit Ratio: 50.0%, Max Drawdown: 0.9%
(60, 2.0, 0.2, 2.4): Return: 0.71%, Hit Ratio: 55.56%, Max Drawdown: 0.83%
(70, 2.1, 0.1, 2.6): Return: 0.71%, Hit Ratio: 56.25%, Max Drawdown: 0.72%
(65, 2.0, 0.2, 2.6): Return: 0.69%, Hit Ratio: 50.0%, Max Drawdown: 1.08%
(60, 1.9, -0.1, 2.7): Return: 0.69%, Hit Ratio: 48.65%, Max Drawdown: 1.5%
(60, 2.0, 0.1, 2.5): Return: 0.69%, Hit Ratio: 55.0%, Max Drawdown: 1.06%
(65, 2.0, 0.2, 2.6): Return: 0.69%, Hit Ratio: 50.0%, Max Drawdown: 1.08%
(65, 1.9, 0.1, 2.5): Return: 0.66%, Hit Ratio: 53.33%, Max Drawdown: 1.22%
(60, 2.0, -0.2, 2.5): Return: 0.66%, Hit Ratio: 50.0%, Max Drawdown: 1.06%
(65, 1.9, 0.1, 2.5): Return: 0.66%, Hit Ratio: 53.33%, Max Drawdown: 1.22%
(50, 1.9, 0.2, 2.4): Return: 0.65%, Hit Ratio: 43.75%, Max Drawdown: 1.16%
(50, 2.2, 0.2, 2.3): Return: 0.65%, Hit Ratio: 62.5%, Max Drawdown: 0.4%
(65, 2.0, -0.2, 2.6): Return: 0.64%, Hit Ratio: 47.62%, Max Drawdown: 1.06%
(65, 2.0, -0.2, 2.6): Return: 0.64%, Hit Ratio: 47.62%, Max Drawdown: 1.06%
(70, 1.8, -0.2, 2.6): Return: 0.64%, Hit Ratio: 46.15%, Max Drawdown: 1.34%
(70, 2.1, 0.1, 2.7): Return: 0.64%, Hit Ratio: 57.89%, Max Drawdown: 0.88%
(65, 2.0, 0.2, 2.5): Return: 0.63%, Hit Ratio: 50.0%, Max Drawdown: 0.85%
(60, 2.0, -0.1, 2.6): Return: 0.63%, Hit Ratio: 50.0%, Max Drawdown: 1.06%
(60, 2.0, 0.0, 2.6): Return: 0.63%, Hit Ratio: 50.0%, Max Drawdown: 1.06%
(60, 2.0, 0.1, 2.4): Return: 0.63%, Hit Ratio: 55.56%, Max Drawdown: 0.83%
(65, 2.0, 0.2, 2.5): Return: 0.63%, Hit Ratio: 50.0%, Max Drawdown: 0.85%
(60, 1.9, -0.2, 2.6): Return: 0.62%, Hit Ratio: 46.88%, Max Drawdown: 1.4%
(65, 1.9, 0.2, 2.6): Return: 0.61%, Hit Ratio: 50.0%, Max Drawdown: 1.36%
(65, 2.0, 0.1, 2.6): Return: 0.61%, Hit Ratio: 50.0%, Max Drawdown: 1.16%
(65, 1.9, 0.2, 2.6): Return: 0.61%, Hit Ratio: 50.0%, Max Drawdown: 1.36%
(65, 2.0, 0.1, 2.6): Return: 0.61%, Hit Ratio: 50.0%, Max Drawdown: 1.16%
(50, 1.9, 0.0, 2.4): Return: 0.59%, Hit Ratio: 46.88%, Max Drawdown: 1.34%
(60, 2.0, -0.2, 2.4): Return: 0.59%, Hit Ratio: 50.0%, Max Drawdown: 0.9%
