,date,open,high,low,close,volume,average,barCount
0,2015-03-13 09:30:00,34.03,34.1,34.02,34.08,101,34.038,8
1,2015-03-13 09:31:00,34.05,34.05,34.02,34.05,19,34.039,6
2,2015-03-13 09:32:00,34.05,34.05,34.05,34.05,0,34.05,0
3,2015-03-13 09:33:00,34.06,34.06,34.01,34.04,102,34.036,52
4,2015-03-13 09:34:00,34.01,34.01,34.01,34.01,2,34.01,1
5,2015-03-13 09:35:00,34.01,34.03,34.01,34.02,21,34.018,14
6,2015-03-13 09:36:00,34.0,34.01,34.0,34.0,8,34.001,7
7,2015-03-13 09:37:00,34.0,34.0,33.99,34.0,14,34.0,12
8,2015-03-13 09:38:00,34.0,34.0,34.0,34.0,20,34.0,16
9,2015-03-13 09:39:00,34.0,34.01,33.99,33.99,30,34.0,25
10,2015-03-13 09:40:00,33.99,33.99,33.98,33.98,28,33.989,14
11,2015-03-13 09:41:00,33.98,33.99,33.98,33.98,65,33.981,44
12,2015-03-13 09:42:00,33.99,33.99,33.99,33.99,13,33.99,8
13,2015-03-13 09:43:00,33.99,34.0,33.99,34.0,17,33.992,14
14,2015-03-13 09:44:00,34.01,34.02,34.01,34.02,10,34.011,7
15,2015-03-13 09:45:00,34.02,34.02,34.02,34.02,1,34.02,1
16,2015-03-13 09:46:00,34.03,34.04,34.03,34.04,14,34.036,8
17,2015-03-13 09:47:00,34.04,34.05,34.04,34.04,6,34.04,1
18,2015-03-13 09:48:00,34.04,34.04,34.04,34.04,0,34.04,0
19,2015-03-13 09:49:00,34.04,34.04,34.04,34.04,75,34.04,13
20,2015-03-13 09:50:00,34.05,34.07,34.05,34.07,7,34.054,5
21,2015-03-13 09:51:00,34.06,34.07,34.06,34.06,11,34.065,8
22,2015-03-13 09:52:00,34.06,34.06,34.06,34.06,3,34.06,2
23,2015-03-13 09:53:00,34.06,34.07,34.06,34.06,4,34.063,2
24,2015-03-13 09:54:00,34.05,34.05,34.04,34.04,10,34.046,5
25,2015-03-13 09:55:00,34.05,34.05,34.04,34.05,9,34.044,7
26,2015-03-13 09:56:00,34.05,34.05,34.04,34.05,1,34.05,1
27,2015-03-13 09:57:00,34.05,34.05,34.04,34.05,3,34.047,1
28,2015-03-13 09:58:00,34.04,34.05,34.04,34.05,2,34.045,2
29,2015-03-13 09:59:00,34.04,34.04,34.03,34.04,31,34.04,25
30,2015-03-13 10:00:00,34.03,34.04,34.03,34.03,14,34.031,14
31,2015-03-13 10:01:00,34.04,34.04,34.03,34.03,3,34.033,3
32,2015-03-13 10:02:00,34.03,34.03,34.03,34.03,1,34.03,1
33,2015-03-13 10:03:00,34.03,34.03,34.03,34.03,0,34.03,0
34,2015-03-13 10:04:00,34.04,34.04,34.0,34.0,19,34.026,15
35,2015-03-13 10:05:00,33.99,33.99,33.97,33.98,21,33.981,13
36,2015-03-13 10:06:00,33.98,33.99,33.98,33.99,15,33.983,11
37,2015-03-13 10:07:00,33.99,33.99,33.99,33.99,0,33.99,0
38,2015-03-13 10:08:00,34.0,34.0,34.0,34.0,4,34.0,2
39,2015-03-13 10:09:00,33.99,33.99,33.96,33.97,12,33.978,8
40,2015-03-13 10:10:00,33.97,33.98,33.95,33.98,23,33.967,20
41,2015-03-13 10:11:00,33.98,34.0,33.98,34.0,13,33.987,10
42,2015-03-13 10:12:00,33.99,34.0,33.99,33.99,1,33.99,1
43,2015-03-13 10:13:00,33.99,34.01,33.99,34.01,20,34.009,14
44,2015-03-13 10:14:00,34.01,34.01,34.0,34.01,58,34.01,15
45,2015-03-13 10:15:00,34.0,34.01,34.0,34.0,2,34.0,2
46,2015-03-13 10:16:00,34.0,34.01,33.99,33.99,24,34.0,21
47,2015-03-13 10:17:00,33.99,34.0,33.99,33.99,22,33.992,15
48,2015-03-13 10:18:00,33.99,33.99,33.99,33.99,0,33.99,0
49,2015-03-13 10:19:00,34.0,34.0,34.0,34.0,14,34.0,8
50,2015-03-13 10:20:00,34.01,34.01,34.01,34.01,17,34.01,12
51,2015-03-13 10:21:00,34.01,34.01,34.01,34.01,2,34.01,2
52,2015-03-13 10:22:00,34.02,34.02,34.01,34.01,13,34.012,11
53,2015-03-13 10:23:00,33.99,33.99,33.99,33.99,3,33.99,3
54,2015-03-13 10:24:00,33.99,33.99,33.99,33.99,0,33.99,0
55,2015-03-13 10:25:00,33.99,33.99,33.98,33.98,2,33.985,2
56,2015-03-13 10:26:00,33.98,33.98,33.98,33.98,0,33.98,0
57,2015-03-13 10:27:00,33.98,33.98,33.98,33.98,7,33.98,7
58,2015-03-13 10:28:00,33.98,33.98,33.98,33.98,1,33.98,1
59,2015-03-13 10:29:00,33.98,33.98,33.98,33.98,0,33.98,0
60,2015-03-13 10:30:00,33.97,33.97,33.96,33.97,53,33.97,22
61,2015-03-13 10:31:00,33.96,33.96,33.96,33.96,1,33.96,1
62,2015-03-13 10:32:00,33.96,33.96,33.96,33.96,0,33.96,0
63,2015-03-13 10:33:00,33.97,33.98,33.97,33.98,23,33.974,8
64,2015-03-13 10:34:00,33.98,33.98,33.98,33.98,0,33.98,0
65,2015-03-13 10:35:00,33.98,33.98,33.98,33.98,3,33.98,3
66,2015-03-13 10:36:00,33.98,33.98,33.98,33.98,2,33.98,2
67,2015-03-13 10:37:00,33.98,33.98,33.98,33.98,0,33.98,0
68,2015-03-13 10:38:00,33.98,34.0,33.97,34.0,101,33.988,48
69,2015-03-13 10:39:00,34.0,34.01,33.99,34.0,42,33.994,20
70,2015-03-13 10:40:00,34.01,34.01,34.01,34.01,3,34.01,2
71,2015-03-13 10:41:00,34.02,34.02,34.01,34.01,21,34.019,7
72,2015-03-13 10:42:00,34.02,34.03,34.02,34.03,24,34.023,10
73,2015-03-13 10:43:00,34.04,34.04,34.04,34.04,13,34.04,9
74,2015-03-13 10:44:00,34.04,34.04,34.02,34.02,3,34.033,3
75,2015-03-13 10:45:00,34.01,34.01,34.01,34.01,4,34.01,2
76,2015-03-13 10:46:00,34.01,34.01,34.01,34.01,0,34.01,0
77,2015-03-13 10:47:00,34.01,34.01,34.01,34.01,0,34.01,0
78,2015-03-13 10:48:00,34.0,34.0,34.0,34.0,3,34.0,3
79,2015-03-13 10:49:00,33.99,33.99,33.99,33.99,2,33.99,1
80,2015-03-13 10:50:00,34.0,34.0,33.98,33.98,23,33.983,15
81,2015-03-13 10:51:00,33.98,33.98,33.97,33.97,2,33.975,2
82,2015-03-13 10:52:00,33.97,33.97,33.96,33.96,4,33.968,4
83,2015-03-13 10:53:00,33.96,33.96,33.95,33.95,7,33.959,7
84,2015-03-13 10:54:00,33.95,33.96,33.94,33.95,62,33.95,33
85,2015-03-13 10:55:00,33.96,33.97,33.96,33.97,10,33.962,5
86,2015-03-13 10:56:00,33.97,33.97,33.97,33.97,0,33.97,0
87,2015-03-13 10:57:00,33.97,33.97,33.97,33.97,0,33.97,0
88,2015-03-13 10:58:00,33.96,33.97,33.96,33.96,4,33.965,1
89,2015-03-13 10:59:00,33.96,33.96,33.95,33.95,4,33.955,4
90,2015-03-13 11:00:00,33.94,33.94,33.93,33.94,10,33.938,5
91,2015-03-13 11:01:00,33.93,33.94,33.93,33.94,5,33.938,3
92,2015-03-13 11:02:00,33.94,33.94,33.94,33.94,2,33.94,2
93,2015-03-13 11:03:00,33.94,33.95,33.94,33.94,3,33.943,1
94,2015-03-13 11:04:00,33.95,33.96,33.95,33.95,11,33.95,7
95,2015-03-13 11:05:00,33.95,33.95,33.94,33.94,18,33.948,10
96,2015-03-13 11:06:00,33.95,33.95,33.95,33.95,1,33.95,1
97,2015-03-13 11:07:00,33.94,33.95,33.94,33.95,11,33.941,2
98,2015-03-13 11:08:00,33.95,33.95,33.95,33.95,0,33.95,0
99,2015-03-13 11:09:00,33.95,33.95,33.95,33.95,5,33.95,2
100,2015-03-13 11:10:00,33.95,33.95,33.95,33.95,1,33.95,1
101,2015-03-13 11:11:00,33.95,33.96,33.95,33.95,7,33.953,1
102,2015-03-13 11:12:00,33.95,33.95,33.95,33.95,0,33.95,0
103,2015-03-13 11:13:00,33.96,33.96,33.95,33.95,9,33.953,2
104,2015-03-13 11:14:00,33.95,33.96,33.95,33.96,30,33.957,13
105,2015-03-13 11:15:00,33.97,33.97,33.96,33.97,12,33.967,5
106,2015-03-13 11:16:00,33.97,33.97,33.97,33.97,0,33.97,0
107,2015-03-13 11:17:00,33.97,33.98,33.96,33.96,44,33.97,26
108,2015-03-13 11:18:00,33.95,33.95,33.95,33.95,1,33.95,1
109,2015-03-13 11:19:00,33.96,33.96,33.96,33.96,2,33.96,1
110,2015-03-13 11:20:00,33.96,33.96,33.96,33.96,11,33.96,5
111,2015-03-13 11:21:00,33.95,33.96,33.95,33.96,11,33.955,4
112,2015-03-13 11:22:00,33.96,33.96,33.96,33.96,0,33.96,0
113,2015-03-13 11:23:00,33.96,33.96,33.96,33.96,0,33.96,0
114,2015-03-13 11:24:00,33.96,33.96,33.96,33.96,6,33.96,5
115,2015-03-13 11:25:00,33.96,33.96,33.95,33.96,4,33.96,3
116,2015-03-13 11:26:00,33.95,33.95,33.95,33.95,2,33.95,2
117,2015-03-13 11:27:00,33.96,33.96,33.94,33.95,32,33.95,17
118,2015-03-13 11:28:00,33.95,33.96,33.95,33.95,8,33.951,8
119,2015-03-13 11:29:00,33.95,33.95,33.94,33.94,27,33.949,13
120,2015-03-13 11:30:00,33.94,33.95,33.94,33.94,1,33.94,1
121,2015-03-13 11:31:00,33.94,33.95,33.94,33.94,12,33.943,2
122,2015-03-13 11:32:00,33.94,33.94,33.94,33.94,12,33.94,5
123,2015-03-13 11:33:00,33.94,33.94,33.93,33.94,14,33.94,11
124,2015-03-13 11:34:00,33.94,33.95,33.94,33.95,9,33.941,7
125,2015-03-13 11:35:00,33.95,33.96,33.94,33.94,20,33.95,10
126,2015-03-13 11:36:00,33.96,33.96,33.95,33.96,6,33.96,2
127,2015-03-13 11:37:00,33.96,33.96,33.96,33.96,10,33.96,5
128,2015-03-13 11:38:00,33.96,33.96,33.96,33.96,16,33.96,2
129,2015-03-13 11:39:00,33.96,33.96,33.95,33.96,1,33.96,1
130,2015-03-13 11:40:00,33.95,33.96,33.95,33.95,1,33.95,1
131,2015-03-13 11:41:00,33.95,33.95,33.95,33.95,24,33.95,15
132,2015-03-13 11:42:00,33.95,33.95,33.95,33.95,0,33.95,0
133,2015-03-13 11:43:00,33.95,33.95,33.95,33.95,0,33.95,0
134,2015-03-13 11:44:00,33.95,33.95,33.95,33.95,0,33.95,0
135,2015-03-13 11:45:00,33.94,33.94,33.94,33.94,10,33.94,6
136,2015-03-13 11:46:00,33.94,33.94,33.93,33.93,13,33.939,8
137,2015-03-13 11:47:00,33.94,33.95,33.94,33.95,14,33.941,5
138,2015-03-13 11:48:00,33.95,33.95,33.95,33.95,1,33.95,1
139,2015-03-13 11:49:00,33.95,33.95,33.94,33.95,26,33.942,9
140,2015-03-13 11:50:00,33.94,33.94,33.94,33.94,1,33.94,1
141,2015-03-13 11:51:00,33.94,33.94,33.94,33.94,1,33.94,1
142,2015-03-13 11:52:00,33.94,33.95,33.94,33.94,2,33.94,2
143,2015-03-13 11:53:00,33.94,33.94,33.94,33.94,0,33.94,0
144,2015-03-13 11:54:00,33.94,33.94,33.94,33.94,0,33.94,0
145,2015-03-13 11:55:00,33.94,33.94,33.94,33.94,0,33.94,0
146,2015-03-13 11:56:00,33.94,33.94,33.94,33.94,1,33.94,1
147,2015-03-13 11:57:00,33.94,33.94,33.94,33.94,6,33.94,2
148,2015-03-13 11:58:00,33.94,33.94,33.94,33.94,1,33.94,1
149,2015-03-13 11:59:00,33.94,33.95,33.94,33.95,29,33.946,13
150,2015-03-13 12:00:00,33.95,33.95,33.95,33.95,0,33.95,0
151,2015-03-13 12:01:00,33.95,33.95,33.94,33.94,96,33.949,59
152,2015-03-13 12:02:00,33.95,33.95,33.94,33.94,6,33.948,2
153,2015-03-13 12:03:00,33.94,33.94,33.94,33.94,16,33.94,10
154,2015-03-13 12:04:00,33.95,33.96,33.95,33.95,23,33.95,14
155,2015-03-13 12:05:00,33.95,33.96,33.95,33.95,15,33.955,3
156,2015-03-13 12:06:00,33.96,33.97,33.95,33.97,30,33.967,16
157,2015-03-13 12:07:00,33.98,33.98,33.97,33.98,20,33.98,8
158,2015-03-13 12:08:00,33.98,33.98,33.97,33.98,3,33.977,1
159,2015-03-13 12:09:00,33.98,33.98,33.98,33.98,0,33.98,0
160,2015-03-13 12:10:00,33.97,33.98,33.97,33.97,9,33.973,1
161,2015-03-13 12:11:00,33.97,33.97,33.97,33.97,0,33.97,0
162,2015-03-13 12:12:00,33.97,33.97,33.97,33.97,8,33.97,3
163,2015-03-13 12:13:00,33.97,33.97,33.97,33.97,1,33.97,1
164,2015-03-13 12:14:00,33.97,33.97,33.97,33.97,0,33.97,0
165,2015-03-13 12:15:00,33.97,33.97,33.96,33.96,6,33.968,4
166,2015-03-13 12:16:00,33.96,33.97,33.96,33.96,6,33.965,5
167,2015-03-13 12:17:00,33.97,33.97,33.97,33.97,2,33.97,1
168,2015-03-13 12:18:00,33.97,33.97,33.97,33.97,11,33.97,6
169,2015-03-13 12:19:00,33.98,33.98,33.98,33.98,1,33.98,1
170,2015-03-13 12:20:00,33.98,33.98,33.98,33.98,0,33.98,0
171,2015-03-13 12:21:00,33.98,33.98,33.98,33.98,0,33.98,0
172,2015-03-13 12:22:00,33.98,33.98,33.97,33.98,9,33.978,5
173,2015-03-13 12:23:00,33.98,33.99,33.98,33.98,3,33.983,1
174,2015-03-13 12:24:00,33.98,33.99,33.97,33.97,53,33.98,14
175,2015-03-13 12:25:00,33.98,33.98,33.97,33.97,2,33.975,2
176,2015-03-13 12:26:00,33.97,33.98,33.97,33.97,2,33.975,1
177,2015-03-13 12:27:00,33.97,33.97,33.97,33.97,1,33.97,1
178,2015-03-13 12:28:00,33.97,33.98,33.97,33.98,3,33.973,2
179,2015-03-13 12:29:00,33.98,33.98,33.97,33.98,9,33.973,6
180,2015-03-13 12:30:00,33.97,33.98,33.97,33.98,2,33.975,2
181,2015-03-13 12:31:00,33.98,34.0,33.97,34.0,111,33.994,27
182,2015-03-13 12:32:00,34.0,34.0,34.0,34.0,0,34.0,0
183,2015-03-13 12:33:00,33.99,34.0,33.99,34.0,17,33.999,7
184,2015-03-13 12:34:00,34.0,34.0,34.0,34.0,0,34.0,0
185,2015-03-13 12:35:00,34.02,34.02,34.01,34.02,2,34.02,2
186,2015-03-13 12:36:00,34.02,34.04,34.02,34.03,20,34.026,9
187,2015-03-13 12:37:00,34.04,34.04,34.03,34.04,3,34.04,2
188,2015-03-13 12:38:00,34.04,34.05,34.04,34.04,9,34.04,5
189,2015-03-13 12:39:00,34.04,34.04,34.04,34.04,14,34.04,11
190,2015-03-13 12:40:00,34.04,34.04,34.03,34.04,1,34.04,1
191,2015-03-13 12:41:00,34.04,34.04,34.03,34.04,1,34.04,1
192,2015-03-13 12:42:00,34.04,34.04,34.04,34.04,1,34.04,1
193,2015-03-13 12:43:00,34.04,34.04,34.04,34.04,1,34.04,1
194,2015-03-13 12:44:00,34.04,34.04,34.03,34.04,9,34.033,5
195,2015-03-13 12:45:00,34.03,34.03,34.03,34.03,4,34.03,4
196,2015-03-13 12:46:00,34.02,34.02,34.02,34.02,1,34.02,1
197,2015-03-13 12:47:00,34.02,34.02,34.02,34.02,0,34.02,0
198,2015-03-13 12:48:00,34.02,34.02,34.02,34.02,0,34.02,0
199,2015-03-13 12:49:00,34.02,34.02,34.02,34.02,10,34.02,8
200,2015-03-13 12:50:00,34.02,34.03,34.02,34.02,5,34.02,2
201,2015-03-13 12:51:00,34.02,34.02,34.02,34.02,0,34.02,0
202,2015-03-13 12:52:00,34.02,34.02,34.02,34.02,0,34.02,0
203,2015-03-13 12:53:00,34.02,34.02,34.02,34.02,0,34.02,0
204,2015-03-13 12:54:00,34.01,34.01,34.01,34.01,11,34.01,2
205,2015-03-13 12:55:00,34.01,34.01,34.0,34.01,198,34.01,14
206,2015-03-13 12:56:00,34.02,34.02,34.01,34.02,5,34.018,5
207,2015-03-13 12:57:00,34.02,34.02,34.02,34.02,0,34.02,0
208,2015-03-13 12:58:00,34.02,34.02,34.01,34.01,2,34.015,2
209,2015-03-13 12:59:00,34.01,34.01,34.01,34.01,0,34.01,0
210,2015-03-13 13:00:00,34.01,34.02,34.01,34.02,18,34.012,10
211,2015-03-13 13:01:00,34.0,34.0,34.0,34.0,2,34.0,2
212,2015-03-13 13:02:00,34.0,34.0,34.0,34.0,0,34.0,0
213,2015-03-13 13:03:00,34.0,34.01,34.0,34.01,20,34.003,10
214,2015-03-13 13:04:00,34.01,34.01,34.01,34.01,0,34.01,0
215,2015-03-13 13:05:00,34.0,34.0,34.0,34.0,20,34.0,13
216,2015-03-13 13:06:00,34.0,34.01,33.99,34.0,21,34.0,11
217,2015-03-13 13:07:00,34.0,34.0,34.0,34.0,0,34.0,0
218,2015-03-13 13:08:00,33.99,34.0,33.99,34.0,38,33.991,27
219,2015-03-13 13:09:00,34.0,34.0,33.99,34.0,10,33.995,1
220,2015-03-13 13:10:00,34.0,34.0,34.0,34.0,0,34.0,0
221,2015-03-13 13:11:00,33.99,34.0,33.98,33.98,46,33.99,21
222,2015-03-13 13:12:00,33.98,33.99,33.98,33.99,11,33.99,9
223,2015-03-13 13:13:00,33.99,33.99,33.99,33.99,0,33.99,0
224,2015-03-13 13:14:00,33.99,33.99,33.99,33.99,0,33.99,0
225,2015-03-13 13:15:00,33.99,34.01,33.99,33.99,114,33.996,51
226,2015-03-13 13:16:00,34.0,34.0,33.99,33.99,29,33.999,8
227,2015-03-13 13:17:00,33.99,34.0,33.99,33.99,1,33.99,1
228,2015-03-13 13:18:00,34.0,34.0,34.0,34.0,3,34.0,1
229,2015-03-13 13:19:00,34.0,34.01,34.0,34.01,18,34.0,7
230,2015-03-13 13:20:00,34.01,34.01,34.0,34.0,3,34.003,3
231,2015-03-13 13:21:00,34.0,34.0,34.0,34.0,0,34.0,0
232,2015-03-13 13:22:00,34.0,34.0,34.0,34.0,0,34.0,0
233,2015-03-13 13:23:00,34.0,34.0,34.0,34.0,0,34.0,0
234,2015-03-13 13:24:00,34.0,34.0,34.0,34.0,0,34.0,0
235,2015-03-13 13:25:00,34.01,34.01,34.0,34.01,8,34.008,4
236,2015-03-13 13:26:00,34.01,34.01,34.0,34.01,26,34.001,11
237,2015-03-13 13:27:00,34.0,34.0,33.99,34.0,1,34.0,1
238,2015-03-13 13:28:00,33.99,34.0,33.99,34.0,3,33.993,3
239,2015-03-13 13:29:00,33.99,33.99,33.99,33.99,2,33.99,2
