,date,open,high,low,close,volume,average,barCount
0,2020-12-11 09:30:00,29.36,29.46,29.36,29.38,72,29.362,3
1,2020-12-11 09:31:00,29.38,29.38,29.38,29.38,0,29.38,0
2,2020-12-11 09:32:00,29.42,29.43,29.42,29.43,2,29.423,2
3,2020-12-11 09:33:00,29.43,29.44,29.42,29.44,5,29.43,4
4,2020-12-11 09:34:00,29.44,29.44,29.37,29.38,2,29.406,2
5,2020-12-11 09:35:00,29.39,29.43,29.35,29.36,54,29.41,42
6,2020-12-11 09:36:00,29.35,29.36,29.34,29.34,14,29.352,10
7,2020-12-11 09:37:00,29.36,29.38,29.34,29.34,37,29.366,34
8,2020-12-11 09:38:00,29.35,29.35,29.32,29.33,47,29.334,32
9,2020-12-11 09:39:00,29.33,29.33,29.31,29.31,42,29.321,21
10,2020-12-11 09:40:00,29.3,29.31,29.29,29.3,60,29.308,28
11,2020-12-11 09:41:00,29.3,29.31,29.29,29.3,39,29.299,21
12,2020-12-11 09:42:00,29.3,29.31,29.3,29.3,32,29.307,22
13,2020-12-11 09:43:00,29.31,29.41,29.31,29.4,71,29.365,52
14,2020-12-11 09:44:00,29.39,29.39,29.38,29.38,33,29.385,16
15,2020-12-11 09:45:00,29.38,29.38,29.38,29.38,9,29.38,2
16,2020-12-11 09:46:00,29.4,29.41,29.38,29.38,29,29.394,20
17,2020-12-11 09:47:00,29.38,29.38,29.36,29.37,32,29.364,24
18,2020-12-11 09:48:00,29.37,29.37,29.37,29.37,0,29.37,0
19,2020-12-11 09:49:00,29.36,29.36,29.34,29.34,7,29.353,6
20,2020-12-11 09:50:00,29.32,29.36,29.32,29.36,19,29.323,9
21,2020-12-11 09:51:00,29.36,29.37,29.36,29.37,6,29.363,5
22,2020-12-11 09:52:00,29.37,29.37,29.37,29.37,3,29.37,1
23,2020-12-11 09:53:00,29.37,29.37,29.36,29.36,11,29.364,6
24,2020-12-11 09:54:00,29.35,29.35,29.35,29.35,1,29.35,1
25,2020-12-11 09:55:00,29.35,29.35,29.34,29.34,4,29.344,3
26,2020-12-11 09:56:00,29.33,29.34,29.31,29.32,26,29.322,21
27,2020-12-11 09:57:00,29.31,29.31,29.26,29.26,49,29.298,41
28,2020-12-11 09:58:00,29.27,29.28,29.25,29.28,59,29.267,52
29,2020-12-11 09:59:00,29.29,29.29,29.29,29.29,18,29.29,9
