(Lookback, Entry, Exit, Stop-loss)
Best HPs: (30, 1.9, 0.4, 2.8), Return: 0.63%, Hit Ratio: 61.11%, Max Drawdown: 0.23%
(30, 1.9, 0.4, 2.8): Return: 0.63%, Hit Ratio: 61.11%, Max Drawdown: 0.23%
(30, 1.9, 0.4, 2.9): Return: 0.63%, Hit Ratio: 52.63%, Max Drawdown: 0.23%
(30, 1.9, 0.4, 3.0): Return: 0.63%, Hit Ratio: 52.63%, Max Drawdown: 0.23%
(30, 1.9, 0.4, 3.1): Return: 0.62%, Hit Ratio: 50.0%, Max Drawdown: 0.23%
(30, 1.9, 0.4, 3.2): Return: 0.62%, Hit Ratio: 50.0%, Max Drawdown: 0.23%
(30, 1.9, 0.3, 2.8): Return: 0.61%, Hit Ratio: 55.56%, Max Drawdown: 0.25%
(30, 1.9, 0.3, 2.9): Return: 0.61%, Hit Ratio: 47.37%, Max Drawdown: 0.25%
(30, 1.9, 0.3, 3.0): Return: 0.61%, Hit Ratio: 47.37%, Max Drawdown: 0.25%
(30, 1.9, 0.3, 3.1): Return: 0.6%, Hit Ratio: 45.0%, Max Drawdown: 0.25%
(30, 1.9, 0.3, 3.2): Return: 0.6%, Hit Ratio: 45.0%, Max Drawdown: 0.25%
(40, 2.1, 0.4, 2.9): Return: 0.59%, Hit Ratio: 41.67%, Max Drawdown: 0.25%
(40, 2.2, 0.4, 2.9): Return: 0.59%, Hit Ratio: 41.67%, Max Drawdown: 0.25%
(35, 2.0, 0.4, 2.8): Return: 0.58%, Hit Ratio: 46.15%, Max Drawdown: 0.26%
(35, 2.0, 0.4, 2.9): Return: 0.58%, Hit Ratio: 42.86%, Max Drawdown: 0.26%
(30, 2.0, 0.4, 2.8): Return: 0.58%, Hit Ratio: 57.14%, Max Drawdown: 0.23%
(30, 2.0, 0.5, 2.8): Return: 0.58%, Hit Ratio: 57.14%, Max Drawdown: 0.23%
(35, 2.0, 0.4, 2.8): Return: 0.58%, Hit Ratio: 46.15%, Max Drawdown: 0.26%
(35, 2.0, 0.4, 2.9): Return: 0.58%, Hit Ratio: 42.86%, Max Drawdown: 0.26%
(40, 2.1, 0.3, 2.9): Return: 0.58%, Hit Ratio: 41.67%, Max Drawdown: 0.26%
(40, 2.1, 0.3, 3.0): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.26%
(40, 2.1, 0.3, 3.1): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.26%
(40, 2.1, 0.3, 3.2): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.26%
(40, 2.1, 0.4, 3.0): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.25%
(40, 2.1, 0.4, 3.1): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.25%
(40, 2.1, 0.4, 3.2): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.25%
(40, 2.2, 0.3, 2.9): Return: 0.58%, Hit Ratio: 41.67%, Max Drawdown: 0.26%
(40, 2.2, 0.3, 3.0): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.26%
(40, 2.2, 0.3, 3.1): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.26%
(40, 2.2, 0.3, 3.2): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.26%
(40, 2.2, 0.4, 3.0): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.25%
(40, 2.2, 0.4, 3.1): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.25%
(40, 2.2, 0.4, 3.2): Return: 0.58%, Hit Ratio: 38.46%, Max Drawdown: 0.25%
(35, 2.0, 0.3, 2.8): Return: 0.57%, Hit Ratio: 46.15%, Max Drawdown: 0.27%
(35, 2.0, 0.3, 2.9): Return: 0.57%, Hit Ratio: 42.86%, Max Drawdown: 0.27%
(35, 2.0, 0.4, 3.0): Return: 0.57%, Hit Ratio: 40.0%, Max Drawdown: 0.27%
(35, 2.0, 0.4, 3.1): Return: 0.57%, Hit Ratio: 40.0%, Max Drawdown: 0.27%
(35, 2.0, 0.4, 3.2): Return: 0.57%, Hit Ratio: 40.0%, Max Drawdown: 0.27%
(30, 2.0, 0.4, 2.9): Return: 0.57%, Hit Ratio: 50.0%, Max Drawdown: 0.24%
(30, 2.0, 0.4, 3.0): Return: 0.57%, Hit Ratio: 50.0%, Max Drawdown: 0.24%
(30, 2.0, 0.4, 3.1): Return: 0.57%, Hit Ratio: 47.06%, Max Drawdown: 0.24%
(30, 2.0, 0.4, 3.2): Return: 0.57%, Hit Ratio: 47.06%, Max Drawdown: 0.24%
(30, 2.0, 0.5, 2.9): Return: 0.57%, Hit Ratio: 50.0%, Max Drawdown: 0.24%
(30, 2.0, 0.5, 3.0): Return: 0.57%, Hit Ratio: 50.0%, Max Drawdown: 0.24%
(30, 2.0, 0.5, 3.1): Return: 0.57%, Hit Ratio: 47.06%, Max Drawdown: 0.24%
(30, 2.0, 0.5, 3.2): Return: 0.57%, Hit Ratio: 47.06%, Max Drawdown: 0.24%
(35, 2.0, 0.3, 2.8): Return: 0.57%, Hit Ratio: 46.15%, Max Drawdown: 0.27%
(35, 2.0, 0.3, 2.9): Return: 0.57%, Hit Ratio: 42.86%, Max Drawdown: 0.27%
(35, 2.0, 0.4, 3.0): Return: 0.57%, Hit Ratio: 40.0%, Max Drawdown: 0.27%
(35, 2.0, 0.4, 3.1): Return: 0.57%, Hit Ratio: 40.0%, Max Drawdown: 0.27%
(35, 2.0, 0.4, 3.2): Return: 0.57%, Hit Ratio: 40.0%, Max Drawdown: 0.27%
(35, 2.0, 0.3, 3.0): Return: 0.56%, Hit Ratio: 40.0%, Max Drawdown: 0.28%
(35, 2.0, 0.3, 3.1): Return: 0.56%, Hit Ratio: 40.0%, Max Drawdown: 0.28%
(35, 2.0, 0.3, 3.2): Return: 0.56%, Hit Ratio: 40.0%, Max Drawdown: 0.28%
(30, 2.0, 0.3, 2.8): Return: 0.56%, Hit Ratio: 50.0%, Max Drawdown: 0.25%
(35, 2.0, 0.3, 3.0): Return: 0.56%, Hit Ratio: 40.0%, Max Drawdown: 0.28%
(35, 2.0, 0.3, 3.1): Return: 0.56%, Hit Ratio: 40.0%, Max Drawdown: 0.28%
(35, 2.0, 0.3, 3.2): Return: 0.56%, Hit Ratio: 40.0%, Max Drawdown: 0.28%
(40, 2.0, 0.3, 2.9): Return: 0.56%, Hit Ratio: 40.0%, Max Drawdown: 0.28%
(40, 2.0, 0.4, 2.9): Return: 0.56%, Hit Ratio: 40.0%, Max Drawdown: 0.27%
(40, 2.0, 0.4, 3.0): Return: 0.56%, Hit Ratio: 37.5%, Max Drawdown: 0.27%
(40, 2.0, 0.4, 3.1): Return: 0.56%, Hit Ratio: 37.5%, Max Drawdown: 0.27%
(40, 2.0, 0.4, 3.2): Return: 0.56%, Hit Ratio: 37.5%, Max Drawdown: 0.27%
(30, 2.0, 0.3, 2.9): Return: 0.55%, Hit Ratio: 43.75%, Max Drawdown: 0.26%
(30, 2.0, 0.3, 3.0): Return: 0.55%, Hit Ratio: 43.75%, Max Drawdown: 0.26%
(30, 2.0, 0.3, 3.1): Return: 0.55%, Hit Ratio: 41.18%, Max Drawdown: 0.26%
(30, 2.0, 0.3, 3.2): Return: 0.55%, Hit Ratio: 41.18%, Max Drawdown: 0.26%
(40, 2.0, 0.3, 3.0): Return: 0.55%, Hit Ratio: 37.5%, Max Drawdown: 0.28%
(40, 2.0, 0.3, 3.1): Return: 0.55%, Hit Ratio: 37.5%, Max Drawdown: 0.28%
(40, 2.0, 0.3, 3.2): Return: 0.55%, Hit Ratio: 37.5%, Max Drawdown: 0.28%
(35, 2.1, 0.4, 2.8): Return: 0.54%, Hit Ratio: 41.67%, Max Drawdown: 0.26%
(35, 2.1, 0.4, 2.9): Return: 0.54%, Hit Ratio: 38.46%, Max Drawdown: 0.26%
(35, 2.1, 0.4, 2.8): Return: 0.54%, Hit Ratio: 41.67%, Max Drawdown: 0.26%
(35, 2.1, 0.4, 2.9): Return: 0.54%, Hit Ratio: 38.46%, Max Drawdown: 0.26%
(35, 2.1, 0.3, 2.8): Return: 0.53%, Hit Ratio: 41.67%, Max Drawdown: 0.27%
(35, 2.1, 0.3, 2.9): Return: 0.53%, Hit Ratio: 38.46%, Max Drawdown: 0.27%
(35, 2.1, 0.4, 3.0): Return: 0.53%, Hit Ratio: 35.71%, Max Drawdown: 0.27%
(35, 2.1, 0.4, 3.1): Return: 0.53%, Hit Ratio: 35.71%, Max Drawdown: 0.27%
(35, 2.1, 0.4, 3.2): Return: 0.53%, Hit Ratio: 35.71%, Max Drawdown: 0.27%
(30, 1.9, 0.5, 2.8): Return: 0.53%, Hit Ratio: 55.56%, Max Drawdown: 0.23%
(35, 2.1, 0.3, 2.8): Return: 0.53%, Hit Ratio: 41.67%, Max Drawdown: 0.27%
(35, 2.1, 0.3, 2.9): Return: 0.53%, Hit Ratio: 38.46%, Max Drawdown: 0.27%
(35, 2.1, 0.4, 3.0): Return: 0.53%, Hit Ratio: 35.71%, Max Drawdown: 0.27%
(35, 2.1, 0.4, 3.1): Return: 0.53%, Hit Ratio: 35.71%, Max Drawdown: 0.27%
(35, 2.1, 0.4, 3.2): Return: 0.53%, Hit Ratio: 35.71%, Max Drawdown: 0.27%
(35, 2.1, 0.3, 3.0): Return: 0.52%, Hit Ratio: 35.71%, Max Drawdown: 0.28%
(35, 2.1, 0.3, 3.1): Return: 0.52%, Hit Ratio: 35.71%, Max Drawdown: 0.28%
(35, 2.1, 0.3, 3.2): Return: 0.52%, Hit Ratio: 35.71%, Max Drawdown: 0.28%
(30, 1.9, 0.5, 2.9): Return: 0.52%, Hit Ratio: 47.37%, Max Drawdown: 0.23%
(30, 1.9, 0.5, 3.0): Return: 0.52%, Hit Ratio: 47.37%, Max Drawdown: 0.23%
(30, 1.9, 0.5, 3.1): Return: 0.52%, Hit Ratio: 45.0%, Max Drawdown: 0.23%
(30, 1.9, 0.5, 3.2): Return: 0.52%, Hit Ratio: 45.0%, Max Drawdown: 0.23%
(35, 2.1, 0.3, 3.0): Return: 0.52%, Hit Ratio: 35.71%, Max Drawdown: 0.28%
(35, 2.1, 0.3, 3.1): Return: 0.52%, Hit Ratio: 35.71%, Max Drawdown: 0.28%
(35, 2.1, 0.3, 3.2): Return: 0.52%, Hit Ratio: 35.71%, Max Drawdown: 0.28%
(30, 1.8, 0.4, 2.9): Return: 0.49%, Hit Ratio: 41.67%, Max Drawdown: 0.38%
(30, 1.8, 0.4, 3.0): Return: 0.49%, Hit Ratio: 41.67%, Max Drawdown: 0.38%
(30, 1.8, 0.4, 3.1): Return: 0.49%, Hit Ratio: 40.0%, Max Drawdown: 0.39%
(30, 1.8, 0.4, 3.2): Return: 0.49%, Hit Ratio: 40.0%, Max Drawdown: 0.39%
(40, 2.1, 0.5, 2.9): Return: 0.49%, Hit Ratio: 41.67%, Max Drawdown: 0.35%
(40, 2.1, 0.5, 3.0): Return: 0.49%, Hit Ratio: 38.46%, Max Drawdown: 0.35%
(40, 2.1, 0.5, 3.1): Return: 0.49%, Hit Ratio: 38.46%, Max Drawdown: 0.35%
(40, 2.1, 0.5, 3.2): Return: 0.49%, Hit Ratio: 38.46%, Max Drawdown: 0.35%
(40, 2.2, 0.5, 2.9): Return: 0.49%, Hit Ratio: 41.67%, Max Drawdown: 0.35%
(40, 2.2, 0.5, 3.0): Return: 0.49%, Hit Ratio: 38.46%, Max Drawdown: 0.35%
(40, 2.2, 0.5, 3.1): Return: 0.49%, Hit Ratio: 38.46%, Max Drawdown: 0.35%
(40, 2.2, 0.5, 3.2): Return: 0.49%, Hit Ratio: 38.46%, Max Drawdown: 0.35%
(35, 2.0, 0.5, 2.8): Return: 0.48%, Hit Ratio: 46.15%, Max Drawdown: 0.35%
(35, 2.0, 0.5, 2.9): Return: 0.48%, Hit Ratio: 42.86%, Max Drawdown: 0.36%
(30, 1.8, 0.4, 2.8): Return: 0.48%, Hit Ratio: 45.83%, Max Drawdown: 0.38%
(35, 2.0, 0.5, 2.8): Return: 0.48%, Hit Ratio: 46.15%, Max Drawdown: 0.35%
(35, 2.0, 0.5, 2.9): Return: 0.48%, Hit Ratio: 42.86%, Max Drawdown: 0.36%
(35, 2.0, 0.5, 3.0): Return: 0.47%, Hit Ratio: 40.0%, Max Drawdown: 0.37%
(35, 2.0, 0.5, 3.1): Return: 0.47%, Hit Ratio: 40.0%, Max Drawdown: 0.37%
(35, 2.0, 0.5, 3.2): Return: 0.47%, Hit Ratio: 40.0%, Max Drawdown: 0.37%
(30, 1.8, 0.3, 2.9): Return: 0.47%, Hit Ratio: 37.5%, Max Drawdown: 0.4%
(30, 1.8, 0.3, 3.0): Return: 0.47%, Hit Ratio: 37.5%, Max Drawdown: 0.4%
(30, 1.8, 0.3, 3.1): Return: 0.47%, Hit Ratio: 36.0%, Max Drawdown: 0.41%
(30, 1.8, 0.3, 3.2): Return: 0.47%, Hit Ratio: 36.0%, Max Drawdown: 0.41%
(35, 2.0, 0.5, 3.0): Return: 0.47%, Hit Ratio: 40.0%, Max Drawdown: 0.37%
(35, 2.0, 0.5, 3.1): Return: 0.47%, Hit Ratio: 40.0%, Max Drawdown: 0.37%
(35, 2.0, 0.5, 3.2): Return: 0.47%, Hit Ratio: 40.0%, Max Drawdown: 0.37%
(40, 2.0, 0.5, 2.9): Return: 0.47%, Hit Ratio: 40.0%, Max Drawdown: 0.37%
(30, 1.8, 0.3, 2.8): Return: 0.46%, Hit Ratio: 41.67%, Max Drawdown: 0.4%
(30, 2.0, 0.6, 2.8): Return: 0.46%, Hit Ratio: 50.0%, Max Drawdown: 0.35%
(30, 2.0, 0.7, 2.8): Return: 0.46%, Hit Ratio: 50.0%, Max Drawdown: 0.35%
(40, 2.0, 0.5, 3.0): Return: 0.46%, Hit Ratio: 37.5%, Max Drawdown: 0.37%
(40, 2.0, 0.5, 3.1): Return: 0.46%, Hit Ratio: 37.5%, Max Drawdown: 0.37%
(40, 2.0, 0.5, 3.2): Return: 0.46%, Hit Ratio: 37.5%, Max Drawdown: 0.37%
(30, 2.0, 0.6, 2.9): Return: 0.45%, Hit Ratio: 43.75%, Max Drawdown: 0.36%
(30, 2.0, 0.6, 3.0): Return: 0.45%, Hit Ratio: 43.75%, Max Drawdown: 0.36%
(30, 2.0, 0.6, 3.1): Return: 0.45%, Hit Ratio: 41.18%, Max Drawdown: 0.36%
(30, 2.0, 0.6, 3.2): Return: 0.45%, Hit Ratio: 41.18%, Max Drawdown: 0.36%
(30, 2.0, 0.7, 2.9): Return: 0.45%, Hit Ratio: 43.75%, Max Drawdown: 0.36%
(30, 2.0, 0.7, 3.0): Return: 0.45%, Hit Ratio: 43.75%, Max Drawdown: 0.36%
(30, 2.0, 0.7, 3.1): Return: 0.45%, Hit Ratio: 41.18%, Max Drawdown: 0.36%
(30, 2.0, 0.7, 3.2): Return: 0.45%, Hit Ratio: 41.18%, Max Drawdown: 0.36%
(35, 2.1, 0.5, 2.8): Return: 0.44%, Hit Ratio: 41.67%, Max Drawdown: 0.36%
(35, 2.1, 0.5, 2.9): Return: 0.44%, Hit Ratio: 38.46%, Max Drawdown: 0.36%
(35, 2.1, 0.6, 2.8): Return: 0.44%, Hit Ratio: 41.67%, Max Drawdown: 0.36%
(35, 2.1, 0.6, 2.9): Return: 0.44%, Hit Ratio: 38.46%, Max Drawdown: 0.36%
(35, 2.1, 0.5, 2.8): Return: 0.44%, Hit Ratio: 41.67%, Max Drawdown: 0.36%
(35, 2.1, 0.5, 2.9): Return: 0.44%, Hit Ratio: 38.46%, Max Drawdown: 0.36%
(35, 2.1, 0.6, 2.8): Return: 0.44%, Hit Ratio: 41.67%, Max Drawdown: 0.36%
(35, 2.1, 0.6, 2.9): Return: 0.44%, Hit Ratio: 38.46%, Max Drawdown: 0.36%
(35, 2.1, 0.5, 3.0): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.5, 3.1): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.5, 3.2): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.6, 3.0): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.6, 3.1): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.6, 3.2): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.5, 3.0): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.5, 3.1): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.5, 3.2): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.6, 3.0): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.6, 3.1): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.6, 3.2): Return: 0.43%, Hit Ratio: 35.71%, Max Drawdown: 0.37%
(35, 2.1, 0.7, 2.8): Return: 0.42%, Hit Ratio: 33.33%, Max Drawdown: 0.38%
(35, 2.1, 0.7, 2.9): Return: 0.42%, Hit Ratio: 30.77%, Max Drawdown: 0.38%
(30, 1.9, 0.7, 2.8): Return: 0.42%, Hit Ratio: 50.0%, Max Drawdown: 0.35%
(35, 2.1, 0.7, 2.8): Return: 0.42%, Hit Ratio: 33.33%, Max Drawdown: 0.38%
(35, 2.1, 0.7, 2.9): Return: 0.42%, Hit Ratio: 30.77%, Max Drawdown: 0.38%
(35, 2.1, 0.7, 3.0): Return: 0.41%, Hit Ratio: 28.57%, Max Drawdown: 0.39%
(35, 2.1, 0.7, 3.1): Return: 0.41%, Hit Ratio: 28.57%, Max Drawdown: 0.39%
(35, 2.1, 0.7, 3.2): Return: 0.41%, Hit Ratio: 28.57%, Max Drawdown: 0.39%
(30, 1.9, 0.6, 2.8): Return: 0.41%, Hit Ratio: 50.0%, Max Drawdown: 0.35%
(30, 1.9, 0.7, 2.9): Return: 0.41%, Hit Ratio: 42.11%, Max Drawdown: 0.35%
(30, 1.9, 0.7, 3.0): Return: 0.41%, Hit Ratio: 42.11%, Max Drawdown: 0.35%
(30, 1.9, 0.7, 3.1): Return: 0.41%, Hit Ratio: 40.0%, Max Drawdown: 0.35%
(30, 1.9, 0.7, 3.2): Return: 0.41%, Hit Ratio: 40.0%, Max Drawdown: 0.35%
(35, 2.1, 0.7, 3.0): Return: 0.41%, Hit Ratio: 28.57%, Max Drawdown: 0.39%
(35, 2.1, 0.7, 3.1): Return: 0.41%, Hit Ratio: 28.57%, Max Drawdown: 0.39%
(35, 2.1, 0.7, 3.2): Return: 0.41%, Hit Ratio: 28.57%, Max Drawdown: 0.39%
(30, 1.9, 0.6, 2.9): Return: 0.4%, Hit Ratio: 42.11%, Max Drawdown: 0.35%
(30, 1.9, 0.6, 3.0): Return: 0.4%, Hit Ratio: 42.11%, Max Drawdown: 0.35%
(30, 1.9, 0.6, 3.1): Return: 0.4%, Hit Ratio: 40.0%, Max Drawdown: 0.35%
(30, 1.9, 0.6, 3.2): Return: 0.4%, Hit Ratio: 40.0%, Max Drawdown: 0.35%
(30, 1.8, 0.5, 2.9): Return: 0.39%, Hit Ratio: 37.5%, Max Drawdown: 0.39%
(30, 1.8, 0.5, 3.0): Return: 0.39%, Hit Ratio: 37.5%, Max Drawdown: 0.39%
(40, 2.1, 0.6, 2.9): Return: 0.39%, Hit Ratio: 33.33%, Max Drawdown: 0.35%
(40, 2.1, 0.7, 2.9): Return: 0.39%, Hit Ratio: 33.33%, Max Drawdown: 0.35%
(40, 2.2, 0.6, 2.9): Return: 0.39%, Hit Ratio: 33.33%, Max Drawdown: 0.35%
(40, 2.2, 0.7, 2.9): Return: 0.39%, Hit Ratio: 33.33%, Max Drawdown: 0.35%
(35, 2.0, 0.6, 2.8): Return: 0.38%, Hit Ratio: 38.46%, Max Drawdown: 0.36%
(35, 2.0, 0.6, 2.9): Return: 0.38%, Hit Ratio: 35.71%, Max Drawdown: 0.36%
(30, 1.8, 0.5, 2.8): Return: 0.38%, Hit Ratio: 41.67%, Max Drawdown: 0.38%
(30, 1.8, 0.5, 3.1): Return: 0.38%, Hit Ratio: 36.0%, Max Drawdown: 0.39%
(30, 1.8, 0.5, 3.2): Return: 0.38%, Hit Ratio: 36.0%, Max Drawdown: 0.39%
(35, 2.0, 0.6, 2.8): Return: 0.38%, Hit Ratio: 38.46%, Max Drawdown: 0.36%
(35, 2.0, 0.6, 2.9): Return: 0.38%, Hit Ratio: 35.71%, Max Drawdown: 0.36%
(40, 2.1, 0.6, 3.0): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.1, 0.6, 3.1): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.1, 0.6, 3.2): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.1, 0.7, 3.0): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.1, 0.7, 3.1): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.1, 0.7, 3.2): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.2, 0.6, 3.0): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.2, 0.6, 3.1): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.2, 0.6, 3.2): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.2, 0.7, 3.0): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.2, 0.7, 3.1): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(40, 2.2, 0.7, 3.2): Return: 0.38%, Hit Ratio: 30.77%, Max Drawdown: 0.35%
(35, 2.0, 0.6, 3.0): Return: 0.37%, Hit Ratio: 33.33%, Max Drawdown: 0.37%
(35, 2.0, 0.6, 3.1): Return: 0.37%, Hit Ratio: 33.33%, Max Drawdown: 0.37%
(35, 2.0, 0.6, 3.2): Return: 0.37%, Hit Ratio: 33.33%, Max Drawdown: 0.37%
(35, 2.0, 0.6, 3.0): Return: 0.37%, Hit Ratio: 33.33%, Max Drawdown: 0.37%
(35, 2.0, 0.6, 3.1): Return: 0.37%, Hit Ratio: 33.33%, Max Drawdown: 0.37%
(35, 2.0, 0.6, 3.2): Return: 0.37%, Hit Ratio: 33.33%, Max Drawdown: 0.37%
(35, 2.0, 0.7, 2.8): Return: 0.36%, Hit Ratio: 30.77%, Max Drawdown: 0.38%
(35, 2.0, 0.7, 2.9): Return: 0.36%, Hit Ratio: 28.57%, Max Drawdown: 0.38%
(35, 2.0, 0.7, 2.8): Return: 0.36%, Hit Ratio: 30.77%, Max Drawdown: 0.38%
(35, 2.0, 0.7, 2.9): Return: 0.36%, Hit Ratio: 28.57%, Max Drawdown: 0.38%
(40, 2.0, 0.6, 2.9): Return: 0.36%, Hit Ratio: 33.33%, Max Drawdown: 0.37%
(40, 2.0, 0.6, 3.0): Return: 0.36%, Hit Ratio: 31.25%, Max Drawdown: 0.37%
(40, 2.0, 0.6, 3.1): Return: 0.36%, Hit Ratio: 31.25%, Max Drawdown: 0.37%
(40, 2.0, 0.6, 3.2): Return: 0.36%, Hit Ratio: 31.25%, Max Drawdown: 0.37%
(35, 2.0, 0.7, 3.0): Return: 0.34%, Hit Ratio: 26.67%, Max Drawdown: 0.39%
(35, 2.0, 0.7, 3.1): Return: 0.34%, Hit Ratio: 26.67%, Max Drawdown: 0.39%
(35, 2.0, 0.7, 3.2): Return: 0.34%, Hit Ratio: 26.67%, Max Drawdown: 0.39%
(35, 2.0, 0.7, 3.0): Return: 0.34%, Hit Ratio: 26.67%, Max Drawdown: 0.39%
(35, 2.0, 0.7, 3.1): Return: 0.34%, Hit Ratio: 26.67%, Max Drawdown: 0.39%
